UniqueCount	AmbigCount
0	0
2200	494
0	484
0	3
5	82
8	82
0	3
1	0
0	0
0	5
0	5
0	0
0	0
0	56
0	38
0	70
0	53
0	40
0	38
0	38
0	55
0	57
1	70
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
234	147
6	152
0	24
23	86
2	242
68	242
0	0
43	1806
74	1947
0	1747
0	136
1	136
1	144
1	145
2	157
0	140
1	97
0	112
1	97
0	0
0	0
2	1491
0	1337
0	1324
0	1393
0	1355
0	1218
4	1323
0	1268
0	1265
0	1598
0	1528
0	1559
0	1299
1	1369
0	1364
0	974
0	974
0	974
0	964
0	23
0	24
0	24
0	24
7	0
1	0
69	2
0	1460
1	1878
0	1947
0	1858
0	1890
0	2032
0	1734
0	1824
0	1824
0	1877
0	1824
0	1824
0	0
0	250
0	250
0	250
0	244
0	249
0	250
0	250
1	246
0	246
0	251
0	250
0	250
0	246
0	244
0	244
0	253
0	253
1	254
0	254
1	251
0	250
0	246
0	245
0	246
0	252
0	251
0	248
0	252
0	250
1	0
1	1212
3	1235
5	1292
2	1368
0	1256
0	0
0	0
2	0
0	0
0	0
0	17
0	17
0	10
0	10
0	15
0	10
0	12
0	17
0	12
0	0
0	112
0	108
0	132
0	141
0	145
0	141
0	140
0	141
0	135
0	132
0	133
1	140
0	144
0	134
0	143
0	41
1	0
0	0
4	0
0	0
0	0
0	0
0	0
471	2
3	47
0	49
0	44
1	49
0	47
0	46
0	0
581	2
4	51
0	57
3	52
0	57
0	14
1544	10
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	91
9	91
0	0
2	91
5	9
0	9
150	0
0	0
0	2
0	2
1	6
0	0
0	3
0	6
0	3
0	0
8	670
281	782
18	782
0	150
0	137
0	587
0	604
0	562
0	580
1	490
0	536
0	518
0	611
0	525
0	537
0	569
0	594
0	581
0	593
0	539
0	564
0	556
0	568
0	598
0	610
0	583
0	535
0	560
0	564
0	593
121	1675
18	1675
0	0
0	0
0	3
0	3
0	0
0	0
0	0
0	0
0	139
0	144
0	55
0	145
0	136
0	0
0	92
0	75
0	72
0	69
0	75
0	68
0	54
0	59
0	47
1	49
0	268
0	237
2	247
0	231
0	74
0	51
0	94
0	86
0	91
0	72
0	87
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	303
0	280
0	162
0	284
0	311
0	293
0	279
1	284
0	297
0	280
0	1450
0	1402
0	1377
0	1435
8	1405
0	1419
0	1394
0	1452
0	1407
0	0
0	0
0	1555
0	1706
0	1687
0	1683
0	1555
0	1558
0	1689
0	1627
0	1548
0	1575
0	733
1	735
0	734
0	733
0	735
2	736
0	733
0	736
0	739
0	687
0	734
0	735
0	736
0	737
0	737
0	621
0	685
0	737
0	835
0	640
0	704
0	0
0	0
0	0
0	0
490	2
0	70
0	70
1	67
0	64
0	59
0	76
0	69
0	66
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	69
0	84
0	85
0	74
0	74
0	73
0	73
0	87
0	92
0	95
0	90
1	92
0	77
0	93
0	80
0	33
0	22
0	14
0	8
0	8
0	8
0	8
1	8
1	2
0	2
0	2
1	2
0	0
1	3
0	3
0	0
0	0
48	501
0	501
0	0
0	0
0	501
0	0
0	0
0	71
16	38
1	67
0	59
1	52
1	89
2	73
0	70
4	0
0	0
0	1
0	1
0	1
0	1
0	4
0	4
7706	65
157	0
0	1145
0	1116
0	1147
0	1147
2	1138
2	1138
2	1131
0	1054
1	1122
7	1153
0	1243
0	1164
0	0
0	0
0	0
43	0
24	843
0	1412
0	1540
8	11
7	631
91	719
0	622
1	81
0	28
1	105
4	108
0	1166
0	1254
1	1255
0	1264
0	1166
0	1167
8	1256
1	1174
0	1168
12	1270
0	1166
0	1166
14	1254
19	1254
174	601
0	0
9	331
95	331
0	263
0	0
1	0
0	0
0	45
36	45
0	45
0	45
0	0
0	0
2	0
0	0
0	0
0	0
11	2490
0	2204
0	2495
6	0
0	0
0	0
0	0
0	0
1	0
0	8
0	8
1	8
0	8
0	8
0	8
0	9
1	10
0	5
0	8
0	1
1	0
0	20
0	20
0	19
1	20
6	19
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	265
1	274
0	263
8	272
0	0
0	0
0	2
0	2
0	3
0	3
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	344
42	344
0	0
1	0
16	611
0	611
0	0
0	611
0	0
1	10
5	10
14	0
0	30
0	37
0	0
0	0
1	49
2	56
0	1
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	554
18	578
0	585
8	585
6	0
1	522
0	685
0	683
0	1019
0	1028
0	1010
0	1023
0	1020
0	936
0	809
0	807
0	806
0	812
0	796
0	822
0	780
0	767
0	734
0	785
0	750
0	776
0	755
0	775
0	754
0	742
0	777
0	780
0	901
0	914
0	939
0	933
4	932
0	910
0	928
0	933
0	960
0	930
0	949
0	931
1	930
0	932
0	899
0	941
0	906
0	965
0	923
0	890
0	897
2	953
2	947
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	69
0	69
0	0
0	0
0	0
0	0
0	0
0	0
16	720
24	697
0	629
0	1
0	1
0	0
451	2
4	455
2	1115
0	1001
16	1175
3	1061
0	0
145	0
0	804
0	854
0	835
0	861
0	709
0	759
0	740
0	783
0	764
0	846
0	751
0	834
0	883
0	735
0	783
0	837
0	817
0	858
0	732
0	829
0	754
0	850
1	698
0	0
0	5
0	6
0	22
0	18
2	257
0	258
0	254
0	250
0	250
0	246
0	258
0	0
0	675
6	815
1	622
0	762
0	0
0	0
1	1468
0	1308
0	1348
0	1405
0	1341
6	1290
1	1302
1	1438
6	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
14	0
0	0
0	0
0	0
0	0
0	0
0	5
0	5
0	3
3	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
1	2240
0	2192
4	1748
0	2205
0	2171
0	1753
0	1734
0	1755
0	1742
5	1728
0	2218
0	2170
6	2158
4	2187
0	2124
1	4557
1	4557
0	4627
0	3866
0	4023
0	4014
0	4784
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	269
3	269
9	269
5	269
329	194
90	239
0	0
0	0
0	2
1	2
0	0
0	0
0	0
0	0
0	0
0	0
9	142
0	168
0	252
0	253
0	248
0	227
0	195
0	215
0	214
0	165
0	158
0	316
1	0
3	126
2	126
0	125
3	125
0	125
15	0
0	0
2	565
0	565
3	564
0	524
0	586
171	0
0	362
0	402
0	364
4	326
0	1003
0	359
1	374
26	374
0	671
0	480
6	1
84	1055
8	1007
1	0
115	52
0	6222
0	6331
0	6404
0	6355
0	6260
8	6323
0	6178
0	6252
0	6249
0	6360
0	6247
0	6351
0	6240
0	6309
0	6216
0	6347
2	6338
0	6168
0	0
0	0
3	6179
0	6142
0	6133
0	6166
0	6275
0	6235
0	6138
0	6297
0	6335
0	6386
0	6283
0	6245
0	6126
0	6142
0	0
0	0
0	0
16	6095
0	0
2	564
0	5985
0	517
0	6096
2	0
1	5324
91	14
132	0
0	0
0	0
0	0
394	2
14	535
40	535
0	0
0	2
0	0
0	2
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	1092
21	1092
2	1092
0	0
2	0
0	0
0	0
0	0
97	410
1	0
1	0
0	23
0	25
0	23
0	25
0	25
0	52
1	54
0	51
0	471
0	471
2	7444
12	7443
2	7226
87	7661
17	142
5	1067
0	995
4	998
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1322	12
2	0
0	0
61	1659
2	1659
0	0
0	0
0	0
0	0
0	5
0	5
0	3
0	3
0	26
0	26
0	26
0	24
0	24
0	24
0	26
0	942
0	940
0	1010
0	955
0	1001
0	1007
0	1029
0	974
115	474
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	0
0	2
0	2
0	952
0	943
0	965
0	934
4	475
16	497
0	0
1	0
204	4
27	520
13	517
0	546
0	64
0	64
0	64
0	64
0	64
5	41
1	46
14	42
0	1582
2	1593
10	1628
2	1584
0	1582
6	1584
1	1584
16	1595
0	1599
1	1558
0	1608
0	1545
16	1618
0	1582
0	0
0	0
0	0
0	0
0	0
