"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"0610010K14Rik",290.773725280195,-0.310625569476514,0.108926323681583,0.000397564201327475,0.00395881389893285
"1110015O18Rik",69.0415535645213,0.308394041344779,0.235662700948644,0.00931204407284895,0.0460671680870117
"1500004A13Rik",1059.19779454193,0.183494786295897,0.05708281629441,0.000320611479658881,0.00334156300081179
"1500015A07Rik",78.0369310296781,-0.330884898969786,0.21113765695284,0.00614118556557948,0.033570115618649
"1700025G04Rik",1477.89656183199,0.160202466600487,0.0557771882158555,0.00123888871957404,0.00971904031118644
"1700052K11Rik",118.246927045967,-0.40702974021497,0.15800042345652,0.000597371258837391,0.00545753742297072
"2210016L21Rik",713.878809672628,-0.175930253284205,0.0717330195611595,0.00340233429585975,0.021313529250431
"2210408I21Rik",277.006438971782,0.32906516230142,0.122263025885891,0.000577465978946235,0.00533646868758432
"2310011J03Rik",171.511736534843,-0.3364587657139,0.130884994716164,0.000776296131665271,0.00669301389958003
"2310022B05Rik",1653.99611653617,-0.307965005206189,0.0752830770329062,4.61397735871551e-06,0.000104620546856658
"2310057M21Rik",220.848891559275,0.244492290380448,0.123088710674885,0.00521144079281211,0.029759653664719
"2310067E19Rik",134.301591535867,-0.502694989162886,0.157064602556585,7.55675723867968e-05,0.00106246232510529
"2410002F23Rik",1903.22828161199,-0.14210272566947,0.0479866567878269,0.00114269131048072,0.00907402973132794
"2600014E21Rik",216.463407727366,-0.577857588954009,0.121992066940614,1.3289425744784e-07,5.11304768333986e-06
"2610005L07Rik",1157.48373759667,0.312829204552479,0.0774358495939588,5.61477866233581e-06,0.000123487636223058
"2610507I01Rik",284.989568350659,-0.191704778525613,0.0982288055934753,0.00912812645963744,0.0453788445204768
"2810025M15Rik",220.115275012113,-0.210908263580444,0.116757395375076,0.00982759194730087,0.0479774898570283
"2810408A11Rik",172.008493253804,-0.502932003362845,0.133571946556161,9.89100240459867e-06,0.000197729993441856
"2900079G21Rik",179.579588574675,-0.304203105818872,0.131894124674848,0.0017423306514606,0.012667474614979
"2900092D14Rik",1020.98524290458,-0.262084452585686,0.09096556161012,0.000487610810787443,0.0046582921111775
"3300002I08Rik",1016.51276628206,0.212255898655097,0.0728112127759722,0.000642286195289784,0.00578364889729843
"4833439L19Rik",1881.0773834346,-0.249489827592643,0.0472383865895876,2.01105781458836e-08,9.78546541336535e-07
"4933409K07Rik",565.109538548829,0.386728829380278,0.112430141504387,4.32472079993819e-05,0.000671070339439172
"4933439C10Rik",613.798374981939,-0.210450250377853,0.0794510254937574,0.0014270942942484,0.010861086211686
"5930403L14Rik",370.118127968295,-0.459161116737917,0.119580027232586,7.93252798473444e-06,0.000163797999484156
"6720473M11Rik",713.721768046671,-0.247171118673777,0.101716230251719,0.00186288095617718,0.0133741655131761
"9330133O14Rik",238.880794849662,-0.363244094318591,0.108495918136334,6.47066884471393e-05,0.000938817085465433
"9530068E07Rik",1112.2631870437,-0.159858852253286,0.0559380245299358,0.00127672996048056,0.00991724086047814
"9630028B13Rik",35.3701207754876,-0.410900300088593,0.379221841652333,0.00743635924431318,0.0390149727935411
"9930014A18Rik",161.180478555389,-0.282862352904974,0.147982953961569,0.00456189843242634,0.0267146548363981
"A230070E04Rik",78.5882594886244,0.356401264941981,0.228923539379833,0.0055949880126222,0.0313385935706993
"A2m",108.36014586685,0.449159201879952,0.165683671863976,0.000377365142295337,0.00379496823251814
"A830018L16Rik",281.430336442521,0.392055128195087,0.103464654128286,1.15866376128306e-05,0.000224474064575633
"A830082N09Rik",658.061753663454,0.304292785454413,0.083552391362617,2.85908497396578e-05,0.000478112866031036
"Aak1",3030.60086521726,0.14707546245499,0.0567059916609443,0.00324206544573154,0.0204358709005107
"Abat",1239.7447270458,0.178560106723167,0.0529670331355857,0.000195193542874665,0.00226163564980724
"Abca5",588.347579236485,0.336438877825368,0.0912522447470547,2.07955295464959e-05,0.000364308917879704
"Abcb1a",94.2498953788159,0.450297659517635,0.182628249224594,0.000718718132309832,0.00631647276520996
"Abce1",2244.79974495514,0.152476656081472,0.0557840359678764,0.00203754061928432,0.0143160320631742
"Abcf1",1565.95190181144,-0.239773781270524,0.0589542822572539,7.68485646737895e-06,0.000159685014355284
"Abhd13",617.847700244779,0.241197329003869,0.0773474415093471,0.000267032905786733,0.00288351762363477
"Abhd17c",1293.25352491507,-0.290873872655767,0.0582869555691274,7.40881779277225e-08,3.05967917247591e-06
"Abhd4",404.988454704553,-0.214583204627922,0.113935958344668,0.00822990070884207,0.0421461460873015
"Abl1",1730.39822915948,-0.132756188459158,0.0572081863721436,0.00783003482002241,0.0406754253623719
"Ablim2",200.040336922559,0.453766281326015,0.13709385523164,5.80435196355104e-05,0.000859174525481139
"Ablim3",1448.76431126832,0.183854265173816,0.0665057482026909,0.00132516807910194,0.0102271612619151
"Acaca",3763.61647056876,0.108808464296151,0.0461165803477676,0.00957991297507294,0.04712687585273
"Acads",109.563900290609,-0.316213395967148,0.170885774480889,0.00422394248953448,0.0252135108097541
"Acadsb",1080.99941042084,0.137871991969549,0.0544631058159412,0.00429297365157077,0.0254984828159573
"Acap3",2398.5548880966,-0.161312240162351,0.0458124201862085,0.000134777012525568,0.00168139428315514
"Acat1",2420.96407700625,0.168025440549271,0.0450318395420617,5.66269388457193e-05,0.000840188385350432
"Acd",494.526877666864,-0.313904894130181,0.0811261845160421,1.13949502184131e-05,0.000222725629343284
