UniqueCount	AmbigCount
0	0
1947	326
0	324
0	0
5	64
1	64
0	0
0	0
0	0
0	1
0	1
0	0
1	0
0	57
0	40
0	70
0	49
0	43
0	42
0	42
0	51
0	52
2	71
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
221	168
1	163
0	19
32	98
0	263
90	263
0	0
42	1852
95	1973
0	1817
0	158
0	175
0	167
0	197
7	218
0	174
1	114
0	139
0	115
0	0
0	0
0	1416
0	1313
0	1326
0	1385
0	1362
0	1208
0	1326
0	1255
0	1259
0	1513
0	1434
0	1490
0	1315
0	1382
0	1377
0	1007
0	1007
0	1007
0	997
0	24
0	25
0	25
0	25
7	0
2	0
52	8
0	1094
0	1510
0	1575
0	1499
0	1562
0	1642
0	1464
0	1514
0	1515
0	1562
0	1514
0	1515
0	0
0	288
0	288
0	288
0	282
0	286
0	288
0	287
0	286
0	287
0	289
0	286
0	286
0	282
0	282
0	284
0	292
0	289
0	289
0	291
0	290
0	288
0	284
0	284
0	284
0	291
0	288
0	284
0	288
0	288
0	0
1	1383
2	1386
9	1406
2	1475
0	1432
0	0
0	0
0	0
2	0
0	0
0	1
0	1
0	0
0	0
0	1
0	0
0	0
0	1
0	0
0	0
0	78
0	77
0	105
0	94
0	108
0	108
0	101
0	109
0	105
0	106
0	98
0	102
0	104
0	104
0	106
3	38
0	0
0	0
2	1
0	0
0	0
0	0
0	0
436	0
1	46
0	46
0	45
5	46
0	46
0	46
0	0
650	4
20	88
0	86
4	85
0	94
0	30
1390	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	124
2	124
1	0
0	124
7	16
0	16
107	0
0	0
0	1
0	1
0	1
0	1
0	2
0	2
0	2
0	0
7	542
259	660
23	660
0	173
0	168
0	708
0	736
0	687
0	715
0	606
0	651
0	621
0	732
0	617
0	651
0	683
0	704
0	708
0	708
0	653
0	689
0	687
0	687
0	736
0	736
1	727
0	646
0	682
0	691
0	726
140	1620
12	1620
0	0
0	0
