UniqueCount	AmbigCount
0	0
2171	541
0	535
0	0
6	82
7	82
0	0
0	0
0	0
0	4
0	4
0	0
0	0
0	51
0	37
0	64
0	47
0	39
0	37
0	37
0	47
1	49
1	64
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
175	152
2	148
0	13
40	82
3	252
62	252
0	0
39	1698
80	1848
2	1656
0	90
0	104
0	95
0	116
2	134
0	103
0	64
0	84
2	64
0	0
0	0
0	1446
1	1331
0	1300
0	1359
0	1297
0	1198
1	1299
0	1214
0	1188
0	1570
0	1516
0	1497
0	1273
0	1321
0	1313
0	918
0	918
0	918
0	914
0	33
0	35
0	35
0	35
13	0
1	0
59	0
0	1406
1	1776
0	1830
0	1769
0	1766
0	1862
0	1657
0	1723
0	1723
0	1744
0	1723
0	1723
0	0
0	203
0	203
0	203
0	202
0	204
0	203
0	205
0	204
0	204
1	203
0	205
0	204
0	203
0	202
0	202
0	204
0	203
0	204
0	203
2	205
0	205
0	202
0	204
0	202
0	203
0	204
0	201
0	203
0	203
0	0
1	1246
0	1263
9	1290
1	1359
3	1283
0	0
0	0
0	0
1	0
0	0
0	16
0	16
0	11
0	11
0	16
0	11
0	11
0	16
0	11
0	0
0	106
0	100
0	146
0	143
0	153
0	146
0	150
0	148
0	154
0	148
0	150
0	148
1	147
0	151
0	151
1	63
1	0
0	0
5	0
1	0
0	0
0	0
0	0
412	0
1	43
0	43
0	41
0	43
0	43
0	43
1	0
591	4
8	63
0	63
2	72
0	73
0	30
1470	14
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	106
1	106
0	0
1	106
5	11
0	11
101	0
0	0
0	4
0	4
0	1
0	1
0	2
0	2
0	2
0	0
16	531
263	631
21	629
0	179
2	187
0	595
0	638
0	581
0	624
4	521
2	551
0	520
0	642
0	524
0	562
0	585
0	599
0	585
0	596
0	557
0	576
0	571
0	582
0	628
0	639
0	625
0	557
0	576
0	579
0	618
113	1706
21	1706
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	133
0	143
0	60
0	146
0	135
0	0
0	87
0	101
0	72
0	62
0	105
0	67
0	66
0	66
0	44
0	55
0	293
0	265
0	244
0	239
0	91
0	78
0	115
0	104
0	105
0	76
0	110
10	0
0	0
0	0
0	0
0	0
0	0
0	0
0	264
0	248
0	143
0	249
0	271
0	258
0	238
0	248
0	260
0	242
0	1465
0	1407
0	1396
0	1458
3	1417
0	1413
0	1402
0	1464
0	1415
0	0
0	0
0	1685
0	1809
0	1782
0	1777
0	1685
0	1692
0	1788
0	1752
0	1674
0	1716
0	756
2	759
0	758
0	756
0	761
0	761
0	758
0	760
0	767
0	731
1	758
0	764
0	759
0	769
0	761
0	670
0	726
0	762
0	851
0	700
0	755
0	0
0	0
0	0
0	0
417	4
0	53
0	55
0	57
0	52
0	44
0	63
0	60
0	57
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	57
0	63
0	66
0	61
0	61
0	60
0	60
0	65
0	68
0	66
0	65
0	63
0	65
0	69
0	57
0	20
0	8
0	7
0	8
0	8
0	8
0	8
0	8
0	7
0	7
0	7
0	7
0	0
0	2
0	2
0	0
0	0
43	498
0	498
0	0
0	0
0	498
0	0
0	0
0	68
7	38
0	78
0	74
0	69
3	90
0	63
0	62
2	0
0	0
0	4
0	4
0	2
0	4
0	7
1	7
6956	12
129	2
1	1043
0	1018
0	1044
0	1044
1	1046
0	1046
5	1049
0	968
0	1020
8	1047
0	1138
0	1056
0	0
0	0
0	0
39	0
10	767
0	1275
0	1398
20	19
10	604
67	656
0	588
0	58
0	23
0	92
3	102
0	1200
0	1263
0	1264
1	1275
0	1201
0	1200
9	1263
1	1212
0	1202
11	1283
0	1200
0	1200
10	1263
13	1265
147	617
0	0
8	339
99	339
0	277
0	1
0	1
0	0
0	48
30	48
1	49
0	48
1	0
0	0
1	0
0	0
0	0
0	0
26	2401
0	2137
0	2404
2	0
0	0
0	0
0	0
0	0
2	0
0	15
0	15
2	15
