"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Lars2",5665.62179566729,0.799915282945218,0.0615353803965633,12.9992742027462,1.23509888327563e-38,1.62711926882731e-34
"Grm3",536.688607418941,1.02694109598049,0.0888117797587022,11.5631180770236,6.33653424969864e-31,4.1738751102765e-27
"ND4L",961.745676930898,0.676847414113099,0.0642560306607979,10.5336013935582,6.04755270733682e-26,2.65568197888184e-22
"Ranbp2",2282.62723372282,0.500065515706453,0.0482625273141866,10.3613619827874,3.71632068611589e-25,1.22397021797227e-21
"Nexmif",2704.20466204335,0.580704028175811,0.0563706033802265,10.3015400466604,6.93421651396659e-25,1.62681133643596e-21
"Rev3l",3807.78078672111,0.542550393901112,0.0526995300638163,10.2951656920681,7.40919084455423e-25,1.62681133643596e-21
"Akap6",2576.23245936547,0.523536202902719,0.0517162032036949,10.1232528776458,4.35689987708572e-24,8.19968556867533e-21
"H2ac23",368.130455021971,-1.2998347181828,0.128808359610497,-10.091229498717,6.04080903345752e-24,9.94770227584618e-21
"Sptbn1",11110.5488899275,0.366741115057135,0.0368286248889731,9.95804530206453,2.32590650305872e-23,3.40461025236618e-20
"Hspa5",3292.37163999262,0.546525113985822,0.0555365226970977,9.84082343373622,7.50936764089952e-23,8.99349175465548e-20
"Ttc3",19842.2817280491,0.301638561522791,0.0306289562346392,9.84815020179041,6.981706417291e-23,8.99349175465548e-20
"Pgap1",3120.29957885435,0.497776446243394,0.0510493771057159,9.75088188074402,1.8287266874569e-22,1.85572906914796e-19
"Tenm1",1341.97252658043,0.722449102431328,0.0740916928368555,9.75074363629548,1.83121890837434e-22,1.85572906914796e-19
"Grm5",2873.19782809309,0.525692956502827,0.0550392381014645,9.55123970890941,1.28153451823574e-21,1.20592398165983e-18
"Chl1",10641.3210670305,0.43366106709214,0.0455196135874224,9.52690572074553,1.62041072485579e-21,1.33420568057814e-18
"Reln",6358.18866432074,0.68094283850358,0.0714672040367353,9.5280464330683,1.60270738735281e-21,1.33420568057814e-18
"Ube3a",3894.22689343902,0.402239684942261,0.0427711152531389,9.40447034316556,5.22929115590913e-21,4.05239304046746e-18
"Caln1",2423.16244915886,0.594836323388092,0.0634762634863659,9.37100406856584,7.18457640313671e-21,5.25831164082906e-18
"Bltp1",2782.60225526582,0.516242089485959,0.0551816194445705,9.35532691287759,8.33415827597081e-21,5.7786421646126e-18
"Usp9x",7872.0127600112,0.434919905424348,0.0466978216986148,9.3134944972658,1.23694235934428e-20,8.14773932100079e-18
"Gprasp1",6749.08311255365,0.445153904528435,0.0478926601390047,9.29482520362015,1.47448275597571e-20,9.24992182248763e-18
"Gabrb2",2347.84521842599,0.489718043877941,0.0527258775395308,9.28800176935469,1.57211976909277e-20,9.41413901728551e-18
"Pcdh11x",624.76082134215,0.972561159740933,0.106690134835094,9.11575527806927,7.81243888603592e-20,4.47482912541901e-17
"Dlx1",1669.62074685109,-0.438642522461859,0.0489115284078833,-8.96808046569162,3.01726593101059e-19,1.65622755729723e-16
"Scn2a",2328.29262280063,0.447889455487978,0.0502270312352517,8.91729900161068,4.77798383383734e-19,2.51780636107892e-16
"Pcdh7",1759.56120173192,0.452054145603261,0.0522605172743269,8.6500128429715,5.14936353788562e-18,2.60914289415789e-15
"Cntn1",1849.01390340692,0.411804100719376,0.0478188340120283,8.61175537270088,7.19502502820078e-18,3.51063924894508e-15
"Marchf1",872.475330462683,0.498685738199484,0.0589062299379335,8.46575546805361,2.54497621039043e-17,1.1974113069887e-14
"Ranbp6",907.683971108603,0.490347425389597,0.0587103798786694,8.35197160030215,6.71328058601085e-17,3.04968132552093e-14
"Alkbh8",1670.82335124881,0.446129931249735,0.0537116873022,8.30601222299456,9.89720445269449e-17,4.34619238199324e-14
"Oip5os1",634.871619485581,0.744277328970234,0.0897153445557386,8.29598696472516,1.07687343698241e-16,4.57636472864718e-14
"Mmp16",544.537995975406,0.702956496647962,0.085370797321186,8.23415639429098,1.80827333079598e-16,7.44443526872069e-14
"Wnk3",1698.02764968554,0.499850219751062,0.0607336744094723,8.23019889066851,1.86902853630864e-16,7.46138846585759e-14
"Birc6",3943.97746128441,0.359365712063237,0.0437288984208023,8.21803715714649,2.06860881508614e-16,8.0152507441014e-14
"Scg2",672.515796401423,0.609209905815499,0.0743564538377775,8.19310059009275,2.54581236456086e-16,9.58243774020707e-14
"Lrrn3",1834.27770297844,0.443013661623018,0.054114749847541,8.1865602792424,2.68798062896303e-16,9.83651577943305e-14
"Cltc",7435.15767486285,0.31846877920592,0.0393342840966398,8.09646817070519,5.65777720450033e-16,1.96146202347598e-13
"Pcm1",3601.0920805545,0.355313230110008,0.0438689810814709,8.09941834414029,5.52225777602371e-16,1.96146202347598e-13
"Zfp148",2647.15224746321,0.388028543568692,0.0480940195792672,8.06812462262911,7.1386162619862e-16,2.41138796501041e-13
"Fam210b",1156.00739681202,-0.586664720800857,0.073031508674065,-8.03303576021009,9.50899369381823e-16,3.13178707305903e-13
"Hectd1",3505.98311516826,0.358082820466016,0.0446228421132259,8.02465292455862,1.01813385909385e-15,3.2714379170006e-13
"Lhx2",1966.83121276232,-0.56540400308948,0.0704941168105454,-8.02058425115129,1.05243371816409e-15,3.30113376264135e-13
"Epm2aip1",4042.94256620714,0.347162004819737,0.0433586557373126,8.00675202946813,1.17777637195268e-15,3.60837812188478e-13
"Coro2b",1563.27687310666,-0.45607691337771,0.0569882477534767,-8.0029994140307,1.21424518432781e-15,3.6355604678033e-13
"Tro",4060.36720422488,0.43039566448627,0.0538955613802348,7.98573488176171,1.39687612507208e-15,4.08943246037769e-13
"Csmd3",520.119213331275,0.656720556545608,0.0832593680047864,7.88764762792644,3.07935776415168e-15,8.81901286629006e-13
"Lnpep",375.922880096682,0.793747019125701,0.101040046190694,7.85576659008699,3.97334401753992e-15,1.113719874193e-12
"Akap11",4192.00682755349,0.416436714057878,0.0532383395011113,7.82212063637305,5.19407958296679e-15,1.42555842554176e-12
"Arfgef3",700.190209158129,0.598025219017445,0.0774309773105829,7.72333295779943,1.13326634367399e-14,3.04686751256349e-12
"Atp2b1",4096.74097027918,0.317485749900772,0.0411486756760773,7.71557637480299,1.2043671409656e-14,3.13177518305506e-12
"Rb1cc1",1811.66762421643,0.364358074347516,0.0472288860265617,7.71472937436212,1.21239209303027e-14,3.13177518305506e-12
"Pcbp2",4131.13433822692,-0.338336696212476,0.0441061223569802,-7.67096897510264,1.70701836732974e-14,4.3246653790773e-12
"Pja2",5025.19137682206,0.353961712250667,0.0465434305138253,7.6049768644691,2.84954864481262e-14,7.08301015976631e-12
"Bsn",3379.47716651091,0.387367325293383,0.0510812360444131,7.58335849501727,3.36722759506314e-14,8.21478821062255e-12
"Grin2b",8385.61942060258,0.408211078655994,0.05397834006266,7.56249781268057,3.95401770412174e-14,9.30182664894638e-12
"Xkr4",2457.27278284382,0.403847633907026,0.0534003878439949,7.56263484615197,3.94985291691459e-14,9.30182664894638e-12
"Raver1",1043.30263389465,-0.445475959940344,0.0589472718693506,-7.55719384143318,4.11857966064958e-14,9.51897692094694e-12
"Lrp1b",334.328071019781,0.770108962546889,0.102037898403411,7.54728365241545,4.44429950003837e-14,1.0094689933363e-11
"Apc",12769.5579873798,0.335485291515262,0.0445827830553808,7.52499661356989,5.27216906584573e-14,1.17721280124494e-11
"Akap9",8580.1648946703,0.28090072538409,0.0374790294550086,7.49487725452697,6.63604347019374e-14,1.45705394460554e-11
"Ndnf",663.921415925231,0.568200100028113,0.0759563030786318,7.48061815804672,7.39738237879619e-14,1.5975920566928e-11
"Vps35",2734.86562295856,0.313620299686674,0.0419638506233372,7.47358250084565,7.80404732968587e-14,1.65823418582712e-11
"Pgm2l1",3209.30191881526,0.400575125743844,0.0539878185799179,7.41973164096035,1.17357877761148e-13,2.45408362162757e-11
"Gm15564",116.857266402209,1.10681740167895,0.14989899464617,7.38375466954628,1.53886889771713e-13,3.1676654466446e-11
"Smarca1",1108.50911617488,0.47793276622253,0.0649148708291445,7.3624542438118,1.80559327225966e-13,3.6595208874998e-11
"Cdkl5",1625.29047158664,0.405590067695555,0.0552760459211081,7.33753764287748,2.17559221002684e-13,4.21488996689611e-11
"Pds5b",2439.87186849638,0.419233547319842,0.0571305616199428,7.33816604340011,2.16540428346383e-13,4.21488996689611e-11
"Zbtb41",1846.5834622963,0.385255043159957,0.0524797416007365,7.3410240105784,2.11965775699568e-13,4.21488996689611e-11
"Cxadr",8027.7392788451,0.300300460297302,0.0409768893463847,7.32853237733128,2.32686751751187e-13,4.44263082256541e-11
"Adcy1",5807.12464453831,0.397805098356485,0.0545258006847053,7.29572227021089,2.97061118424851e-13,5.5906902487557e-11
"Lima1",702.020024613379,-0.524169289145047,0.0718826379919046,-7.29201520406191,3.0535269263712e-13,5.66579770817102e-11
"Fem1b",4969.40629391335,0.334575737515002,0.0460273413792074,7.2690650272089,3.6198413054949e-13,6.62330407758191e-11
"Nfix",14748.5409878946,-0.488230553485434,0.0671931541152881,-7.26607583635294,3.70080872873939e-13,6.67869235512504e-11
"Atat1",5207.55915590248,-0.301139983820323,0.0414696401892174,-7.26169753212915,3.82262242608239e-13,6.74869480502268e-11
"Prepl",2757.92093970736,0.324859009543981,0.0447401845785592,7.26101183095394,3.8420533655435e-13,6.74869480502268e-11
"Cntnap5a",428.100721785799,0.655952031926599,0.0905359596892832,7.24520990529958,4.31769985292623e-13,7.22271581754515e-11
"Gmps",1959.07415779995,0.376478378377333,0.0519654224655972,7.24478625429388,4.33121716704165e-13,7.22271581754515e-11
"R3hdm2",2478.9621196465,-0.299716517582124,0.0413626290561027,-7.24607029150879,4.29037511844731e-13,7.22271581754515e-11
"Rabgap1",2603.95774000414,0.300557823524645,0.041476267715995,7.24650119395234,4.27675411246645e-13,7.22271581754515e-11
"Kif5c",12425.2954195238,0.279732311585853,0.0386361542488645,7.24016965518959,4.48123818373521e-13,7.37947897906595e-11
"Atp6v1a",2909.18738771878,0.29991750805681,0.0414389945470102,7.23756720777988,4.56804399687099e-13,7.42955698947881e-11
"Nrcam",4855.41817263735,0.320240166189601,0.0444041302828751,7.21194546880035,5.51580646677633e-13,8.86161395040383e-11
"Myo9a",3141.06924337528,0.366932203704875,0.0509671901502398,7.19938067260999,6.04866640201611e-13,9.60061821447714e-11
"Fubp1",5560.47558610518,0.305033629863441,0.0426026825298819,7.15996298236591,8.06988492454777e-13,1.26562695233324e-10
"Lrrc7",4568.48963500154,0.329421532226771,0.04607774217043,7.14925507869556,8.7250069761792e-13,1.35227343416688e-10
"Sez6",6849.03476188168,-0.319656496103491,0.0447709402229493,-7.13982093098051,9.34525821985946e-13,1.43156316033056e-10
"Wbp2",1523.70589779312,-0.430535623998247,0.0603442479744007,-7.13465886890975,9.70274905814246e-13,1.4692415642755e-10
"Pcdh10",2648.86342449584,0.384001687421115,0.0539688122713758,7.11525177708578,1.11708721679976e-12,1.67233034024092e-10
"Rac1",3518.17464191142,-0.314174104314794,0.0441918058389539,-7.10932939603608,1.16608142571611e-12,1.72606255082966e-10
"Celsr1",1245.23703172896,-0.653219647487052,0.0919424025019437,-7.10466150232742,1.20617798383772e-12,1.74617458890969e-10
"St8sia4",1485.19126730062,0.407450572997045,0.0573411139913908,7.10573172781784,1.19686702551821e-12,1.74617458890969e-10
"Kcnk9",547.047085565287,0.656216054902977,0.0924541962675547,7.09774224853941,1.26811402459555e-12,1.81588414782845e-10
"Shank3",1393.88653536372,0.489037465504451,0.06900664287323,7.0868172271885,1.37231429084317e-12,1.94396435135138e-10
"Foxg1",7595.59508706067,-0.364100310050741,0.0516596053015573,-7.04806604551748,1.81421531744701e-12,2.54260346723904e-10
"Ptar1",829.784799927714,0.454016315613031,0.0645760986399743,7.03071763663319,2.05473949115533e-12,2.84938295331371e-10
"Adgrl3",3040.67439508679,0.396950037667944,0.0565618162684882,7.01798605235195,2.25089007950395e-12,3.08510260130182e-10
"Rasl10b",1470.28662151777,0.372610767478873,0.0531033552308164,7.01670856501065,2.27155725160374e-12,3.08510260130182e-10
"Ctxn1",3037.21728896701,-0.344655969776725,0.0491422355347762,-7.01343693517614,2.32533806100965e-12,3.12591873630012e-10
"Ppfia2",2554.84011699215,0.315156660420565,0.0450211000879472,7.00019901346073,2.55599175452846e-12,3.3672635374158e-10
"Slc8a1",5698.12569877577,0.390972256387449,0.0558492617193988,7.00049104233097,2.55066941978759e-12,3.3672635374158e-10
"Map9",3592.75448987036,0.303590550787682,0.043663874497749,6.95289994943837,3.57852494088807e-12,4.66767203675836e-10
"Klhl9",3073.69873840692,0.302700803089153,0.0435806389510017,6.94576331084735,3.76419420693084e-12,4.86171514530459e-10
"Ckap5",4374.18312362992,0.335954969073127,0.0483887964498555,6.94282548278032,3.84334105524313e-12,4.91574515162845e-10
"Tmod2",8707.69935891004,0.404492553351847,0.058391956334293,6.92719646240543,4.29262267126175e-12,5.43759721838484e-10
"Pkia",6416.30122458404,0.312457738166483,0.0452813759531755,6.90035873666007,5.18713802571653e-12,6.50812917626567e-10
"Tmx4",2890.71930316699,0.313899855116471,0.0457804047880589,6.8566421937437,7.04979075635565e-12,8.76169277587069e-10
"Arhgap5",1605.30684736014,0.367787571787261,0.0537726960401785,6.83967141079281,7.93750322787918e-12,9.42060067784508e-10
"Ascc3",685.742663468491,0.511934102491896,0.0748452291086925,6.83990293821467,7.9246855076073e-12,9.42060067784508e-10
"Clip3",6022.18735561838,-0.385349614658378,0.0563349680464758,-6.84032720743657,7.90124991463268e-12,9.42060067784508e-10
"Dst",6359.49912725145,0.306382249634175,0.0447937122268749,6.83984948785635,7.92764280120866e-12,9.42060067784508e-10
"Usp34",4456.3171435865,0.407677299525021,0.0595682849342211,6.84386498579241,7.70845768002228e-12,9.42060067784508e-10
"Fut9",2938.42687669192,0.441049365858189,0.0646650071902106,6.82052604681312,9.07077389866706e-12,1.06694977983071e-09
"Sacs",2492.76395283181,0.340720432884133,0.0499835354470152,6.8166533206782,9.31857693978462e-12,1.08639763367011e-09
"Vars1",1961.57416014422,-0.352010517395883,0.0517421587664898,-6.80316642729369,1.02344298200652e-11,1.18270507411876e-09
"Ssbp3",3687.18393227456,-0.306835928884582,0.0452249631195289,-6.78465846558282,1.16361451789404e-11,1.33299631815097e-09
"Serinc1",6445.36453969068,0.264431778835323,0.0390216644697199,6.77653766000981,1.23089987031813e-11,1.39792024927337e-09
"Rims3",1610.60760364381,0.403492843194595,0.0595700035272133,6.77342318790141,1.25770364208288e-11,1.41615280177776e-09
"Gucy1a2",1131.15990457679,0.476188962018419,0.0706484459806556,6.74026095561684,1.58102416532153e-11,1.76511969101236e-09
"Hmgcr",5429.15220186729,0.248147070343772,0.036853838776359,6.73327605977787,1.65884895490298e-11,1.83644337242789e-09
"Gse1",3004.95973210114,-0.389466189337488,0.0579083171753748,-6.72556565852179,1.74911596400961e-11,1.92023780915522e-09
"Ctdsp2",1671.96902784699,-0.340619610642396,0.0508245493726937,-6.70187173022728,2.05766626153152e-11,2.23028846951368e-09
"Gm53411",148.309740641666,1.03707058160041,0.154758546995479,6.70121684219942,2.0669105559088e-11,2.23028846951368e-09
"Slc16a7",971.782804702639,0.6271940668584,0.0936092216283843,6.70013120446908,2.08232489562914e-11,2.23028846951368e-09
"Trio",5297.80861725332,0.319593701655125,0.0477269536063338,6.69629376077991,2.13771787133147e-11,2.27115284168716e-09
"Nfia",4336.73324131816,-0.484315135699181,0.072365270049347,-6.69264600780069,2.19170884091655e-11,2.30988578161877e-09
"Msi1",2443.32065969772,-0.34682584056834,0.0519506971481517,-6.67605748541296,2.45455721541212e-11,2.56637593300312e-09
"ATP8",191.217536645466,1.0203092799872,0.153063772388059,6.6659096667266,2.6303101376164e-11,2.72848076794948e-09
"Tspyl4",3910.71830826529,0.309769423223026,0.0465547104367776,6.65387928131784,2.85466846803802e-11,2.93807831233851e-09
"Foxm1",373.171988654683,-0.765144052586531,0.115042441854573,-6.65097193915408,2.91163796436633e-11,2.97348205756295e-09
"Gabrg1",212.730769327015,0.927289018007732,0.140349774119906,6.60698618022369,3.92222637842645e-11,3.97472386995308e-09
"Sf1",3311.83631538688,-0.270433082737541,0.0409777448191778,-6.59951112319331,4.12515802909028e-11,4.14846044849125e-09
"Atrx",7895.69949171317,0.277516903241399,0.0421171142742338,6.58917183723524,4.42286656246203e-11,4.41415485559657e-09
"Zfr",3172.74909848832,0.303232526677726,0.0460499658986885,6.58485887578827,4.55317661751062e-11,4.51004126008157e-09
"Mkln1",1854.68772375779,0.463271839436091,0.0703998850705649,6.58057664400636,4.6862718331729e-11,4.60723471121043e-09
"Ptms",7285.55233194872,-0.326112731089049,0.0496064014667644,-6.57400499626122,4.89795868057573e-11,4.77968204873368e-09
"Zfp451",1096.30257457556,0.53094304557105,0.0808413048505226,6.56771988716382,5.10915342667848e-11,4.9491167090487e-09
"Atp8a2",496.904685935217,0.656251704384961,0.0999897078665749,6.5631925363824,5.26677703213748e-11,5.06456354900578e-09
"Rapgef5",1851.47198042454,0.316442810346939,0.0482262681841693,6.5616275582114,5.32236173439712e-11,5.0809270644165e-09
"Ube2r2",1170.59582626674,-0.412887722992554,0.0629476311702088,-6.5592257455426,5.40878695847373e-11,5.12628484826855e-09
