"","gene_name","padj","minuslog10padj","significance"
"1","1500004A13Rik",0.00180042108625562,2.74462590931341,"significant"
"2","1700048O20Rik",0.0416113831174481,1.38078784848746,"significant"
"3","2410002F23Rik+gene-Gm26247",0.00031631975819798,3.49987368001486,"significant"
"4","2610005L07Rik",0.0457730344296235,1.33939029595464,"significant"
"5","2610008E11Rik",0,20,"significant"
"6","2900026A02Rik",0.00041604470698352,3.38085999881313,"significant"
"7","3300002I08Rik",0.00190229865810187,2.7207212984484,"significant"
"8","4833418N02Rik",0.0280209027564776,1.55251787705021,"significant"
"9","4930503L19Rik",0.0113788154610797,1.94390294580495,"significant"
"10","4930515G01Rik+gene-Git2",1.88847830207201e-05,4.72388800069324,"significant"
"11","5730455P16Rik",0.00435409205453533,2.3611023933119,"significant"
"12","6430548M08Rik",1.43710190917251e-07,6.8425124336598,"significant"
"13","9330159F19Rik+gene-Mtcl3",0.0168074039960249,1.77449936075839,"significant"
"14","9530051G07Rik",0.0458459360550848,1.33869915567716,"significant"
"15","9530068E07Rik",0.0485513886551733,1.31379834399173,"significant"
"16","A230045G11Rik",0.00577732143882294,2.23827346849399,"significant"
"17","A830018L16Rik",0.0256108668780539,1.59157572125888,"significant"
"18","AI480526",0.00024716865547693,3.60700660484745,"significant"
"19","AI504432+gene-Kcna3",0.0230507277444969,1.63731535875893,"significant"
"20","AW551984",0.0325398916792455,1.48758389710243,"significant"
"21","Aacs",0.0139854633389839,1.8543231408598,"significant"
"22","Aak1",4.4124435761368e-12,11.3553208350838,"significant"
"23","Aatk",1.16235747984988e-06,5.93466028532765,"significant"
"24","Abat",5.1505358237859e-07,6.28814758781151,"significant"
"25","Abca1",1.82872799269072e-09,8.73785088722917,"significant"
"26","Abca2",0.0033024131842728,2.48116859054518,"significant"
"27","Abca3",0.0141071004239213,1.85056224204276,"significant"
"28","Abca5",4.95348739240505e-05,4.30508893803448,"significant"
"29","Abca7",0.0452578785938025,1.3443058069124,"significant"
"30","Abca8b",0.0327774588807723,1.4844247187593,"significant"
"31","Abcb7",6.34988029618036e-07,6.19723446166839,"significant"
"32","Abcc5",0.00026791604698795,3.57200127329137,"significant"
"33","Abcc8",0.0039781564388549,2.40031814247967,"significant"
"34","Abcc9",7.19529895696873e-07,6.14295115688171,"significant"
"35","Abcd3",3.81512501612479e-05,4.41849122627435,"significant"
"36","Abce1",0.00364190413889513,2.43867148975933,"significant"
"37","Abcf2",0.00621782506200473,2.20636150096037,"significant"
"38","Abcf3",0.00419488172854423,2.37728027926071,"significant"
"39","Abcg4",0.00222221704614319,2.65321352535067,"significant"
"40","Abi1",0.00951784548538685,2.02146134990378,"significant"
"41","Abi2",8.61392548662311e-06,5.06479888935173,"significant"
"42","Abitram",0.00404863996972425,2.39269084168407,"significant"
"43","Abl1",5.23583359740069e-05,4.2810141644282,"significant"
"44","Abl2",0.00370581812421685,2.43111589899102,"significant"
"45","Ablim1",1.74495911921743e-06,5.75821474320695,"significant"
"46","Abr",0,20,"significant"
"47","Acaca",1.81420617320383e-11,10.7413133596151,"significant"
"48","Acad9",0.0229071135818414,1.64002963077799,"significant"
"49","Acadm",0.0451879708207215,1.3449771603539,"significant"
"50","Acadsb",0.0121966669873876,1.91375883381294,"significant"
"51","Acadvl",0.0265457023362483,1.5760057797701,"significant"
"52","Acap2",1.19214950193898e-05,4.92366927832413,"significant"
"53","Acap3",0.00326447788633171,2.48618626897302,"significant"
"54","Acat1",0.00562019804166138,2.25024838071469,"significant"
"55","Acat2",0.0094897458076804,2.02274542042837,"significant"
"56","Acbd5",1.15148387170185e-07,6.93874214061763,"significant"
"57","Acin1",0.00069068531590722,3.16071977707371,"significant"
"58","Acly",1.48872952478508e-07,6.82718419852949,"significant"
"59","Aco2",4.92815735704616e-05,4.30731543351291,"significant"
"60","Acot9",0.0106861838118148,1.97117735983959,"significant"
"61","Acox1",1.52095311767686e-05,4.81788417256636,"significant"
"62","Acox3",0.00133426811985613,2.87475689060412,"significant"
"63","Acp2",0.00012820993485393,3.89207832048751,"significant"
"64","Acsl3+gene-Utp14b",0.00016395560897666,3.78527372137983,"significant"
"65","Acsl4",0.00802619601156123,2.09549023835997,"significant"
"66","Acsl6",0.04151115478171,1.38183518499419,"significant"
"67","Actb",0.00026195565455972,3.5817722224591,"significant"
"68","Actg1",7.19936050607586e-05,4.14270607870997,"significant"
"69","Actn4",0.00032088336341395,3.49365279884346,"significant"
"70","Actr1a",0.0107347084830426,1.96920974497948,"significant"
"71","Actr1b",2.15783978496518e-05,4.66598080390175,"significant"
"72","Actr2",8.26464069432714e-10,9.08277602265672,"significant"
"73","Actr3",0,20,"significant"
"74","Acvr1",0.00016283830229361,3.78824343410129,"significant"
"75","Acvr1b",0.00010236830887997,3.98983447118,"significant"
"76","Acvr2a",0.00075389817285015,3.12268730924388,"significant"
"77","Adal",0.0350265406893611,1.45560275259689,"significant"
"78","Adam10",4.11223575564902e-07,6.3859219950725,"significant"
"79","Adam11",0.00197020502275396,2.70548857809338,"significant"
"80","Adam17",0.0179931136843752,1.74489367606897,"significant"
"81","Adam19",4.15918142152121e-05,4.38099213550255,"significant"
"82","Adam22",1.06848781687719e-05,4.9712304253887,"significant"
"83","Adamts17",0.00019899269078867,3.70116287539153,"significant"
"84","Adamts3",0,20,"significant"
"85","Adar",6.35714373587046e-07,6.19673796900219,"significant"
"86","Adcy1",0,20,"significant"
"87","Adcy5",0.0329521894236511,1.48211572452912,"significant"
"88","Adcy6",0.0373294194051378,1.42794876472426,"significant"
"89","Adcy9",0.0458389709137732,1.33876514085494,"significant"
"90","Adcyap1r1",0,20,"significant"
"91","Add1",1.91200543769736e-12,11.7185108769351,"significant"
"92","Add2",2.09815189517891e-10,9.67816307436452,"significant"
"93","Add3",0.0419991734917737,1.37675925606624,"significant"
"94","Adgra3",0.0178027630702463,1.74951258797006,"significant"
"95","Adgrb1",8.47936475002951e-09,8.07163668263607,"significant"
"96","Adgrb2",4.36956786948386e-05,4.35956151066763,"significant"
"97","Adgrb3",0.0187755223516709,1.72640797169836,"significant"
"98","Adgrf5",0.0117349166506264,1.93051999070975,"significant"
"99","Adgrg1",0.0110183905276501,1.95788183887886,"significant"
"100","Adgrl1",3.19131426767536e-13,12.4960304261428,"significant"
"101","Adgrl2",3.5247918022008e-08,7.45286653025433,"significant"
"102","Adgrl3",9.55731896653686e-07,6.01966391957927,"significant"
"103","Adipor2",0.0132223853729621,1.8786901892631,"significant"
"104","Adnp2",0.00025697809729652,3.59010389078785,"significant"
"105","Adss2",0.0339136581123973,1.46962536232034,"significant"
"106","Aebp1",0.0062407180267167,2.20476543962829,"significant"
"107","Aebp2",0.0417202745087753,1.37965284268908,"significant"
"108","Afap1",3.6984587786293e-07,6.43197921738754,"significant"
"109","Afdn",9.71345972361065e-10,9.01262605626549,"significant"
"110","Aff2",9.08431787824811e-05,4.04170767736361,"significant"
"111","Aff3",0.00015437050519346,3.81143567456611,"significant"
"112","Aff4",0,20,"significant"
"113","Afg1l",0.0261624876894172,1.58232096300756,"significant"
"114","Afg2a",0.0387618465129595,1.41159554247556,"significant"
"115","Afg3l1",0.00703392098837371,2.15280251439639,"significant"
"116","Agap1",8.55391994083176e-08,7.06783481877616,"significant"
"117","Agap2",5.72744609517173e-08,7.24203898955535,"significant"
"118","Agap3",0.00596896658066694,2.22410085265005,"significant"
"119","Agfg1",0.00521350120554503,2.28287052169888,"significant"
"120","Ago1",8.91232886948362e-14,13.0500087961866,"significant"
"121","Ago2",1.90756797603064e-10,9.71951997704857,"significant"
"122","Ago3",6.61699191860187e-06,5.17933939576426,"significant"
"123","Ago4",4.09889461834509e-06,5.38733324715301,"significant"
"124","Agpat3",0.00025621663998317,3.59139266843131,"significant"
"125","Agpat5",0.00906477716214803,2.04264286762352,"significant"
"126","Agps",0,20,"significant"
"127","Agrn",1.26284408783114e-07,6.89865026462623,"significant"
"128","Agtpbp1",0.00020950342330145,3.67880887623571,"significant"
"129","Ahctf1+gene-Kif28",8.97495178167199e-07,6.04696787600981,"significant"
"130","Ahcyl1",0.00231516449518638,2.63541814641114,"significant"
"131","Ahi1",3.0471080234775e-09,8.51611214926646,"significant"
"132","Ahnak",1.65219289668808e-09,8.78193924934213,"significant"
"133","Ahr",0.00131773080929014,2.88017329989395,"significant"
