"","groupID","featureID","exonBaseMean","dispersion","stat","pvalue","padj","PREECLAMPSIA","CONTROL","log2fold_CONTROL_PREECLAMPSIA","-log10padj","regulation"
"1","4930503L19Rik","E019",10.4846714168112,0.00658308030213633,13.9589892725422,0.00018684208900509,0.00367880851101163,6.96858941218068,4.4407223336807,-1.30177717070426,2.43429281743534,"skipped exon"
"2","A230045G11Rik","E001",32.3093353978345,0.019986616113067,15.4713214062114,8.37666131544418e-05,0.0019151109929352,12.0492475321028,8.39217603882889,-1.04788161889262,2.71780605082204,"skipped exon"
"3","Abca1","E048",22.2785363560275,0.0296846805030471,9.77053495355435,0.00177330849104485,0.021138044043489,9.81662643595592,6.92691286455198,-1.00876760425425,1.67493520153284,"skipped exon"
"4","Abca5","E038",25.7987746133569,0.00215295416419082,25.8751948852377,3.64219521796176e-07,1.89495483353987e-05,10.3617075834511,7.04312994169754,-1.11721474443182,4.72240113703003,"skipped exon"
"5","Abca5","E039",18.1799402512367,0.00307144584496888,22.7477354154143,1.84721692538567e-06,7.76463361709238e-05,8.81355933326876,5.67244670876505,-1.27408252087451,4.10987903212204,"skipped exon"
"6","Abca8b","E004",10.0598392354987,0.00546970435933865,9.85726168306812,0.00169162706043655,0.020395700459644,4.66748331444046,6.7809708185867,1.07906360028678,1.69046137490024,"included exon"
"7","Acsl4","E018",16.2306054656478,0.0424539121878631,9.40950011191779,0.00215864069594867,0.0244737079511237,8.4684736961409,5.46991914341783,-1.26353048014757,1.61130022677749,"skipped exon"
"8","Acsl4","E019",14.0340678137312,0.0346761411461616,8.77246432067037,0.00305811993438336,0.0316372869778817,7.83011752227833,5.15062855733339,-1.21053963362858,1.49980076604205,"skipped exon"
"9","Adgrl2","E001",10.8448204386949,0.00465489793493589,20.8068638743801,5.08005723637736e-06,0.00018578375597895,4.1885729678707,7.26813767081086,1.59225103021317,3.73099226126332,"included exon"
"10","Aebp1","E025",20.8755159303612,0.00707706149998968,15.3048864972416,9.1479568143524e-05,0.00205574814310677,6.64309700928567,9.43058559736158,1.01351836570348,2.68703009335329,"included exon"
"11","Ahnak2","E001",68.8679885839832,0.105690542130924,6.06901808307327,0.0137573420183826,0.0928957616278277,12.4196685568441,17.7740220445975,1.04342403754502,1.03200410025434,"included exon"
"12","Aim2","E012",10.4553425337387,0.00549599030891517,9.66268417427571,0.00188048661271426,0.0220727816643873,6.82879729539297,4.8178297295305,-1.00782197309671,1.65614293256697,"skipped exon"
"13","Ank1","E020",17.9028584386831,0.00580108162239845,19.7224457700277,8.95434455735978e-06,0.00030140371399823,8.7800771742825,5.74828053625436,-1.22469922746148,3.52085140046532,"skipped exon"
"14","Ankrd6","E020",12.3537964601453,0.0424760181107645,8.34409748309918,0.00386942326451702,0.0376029154424223,7.49588372128147,5.04631182150945,-1.14347746005174,1.42477848189492,"skipped exon"
"15","Ankrd6","E021",12.7056945225369,0.0327551745319008,7.52732172563239,0.00607701848219552,0.0523234693404502,7.49198187502077,5.26514683561629,-1.01935526162626,1.28130346756108,"skipped exon"
"16","Ap1g2","E017",10.9586083233071,0.00535015867496671,9.20268727264354,0.00241660109609571,0.0265974814591958,4.85013163088308,6.87060908349662,1.00616870575894,1.57515948517938,"included exon"
"17","Ap5z1","E016",10.9501856735355,0.0238289129044762,11.5927026511422,0.00066211117319952,0.0100128343233235,7.27301346584812,4.57816460845027,-1.33737562633742,1.99944296979904,"skipped exon"
