"","Sample Name","Analysis Stage","Reads (millions)"
"1","CONTROL_REP1","paired_reads_millions",21.2
"2","CONTROL_REP1","STAR_M_Uniquely_mapped_reads",20
"3","CONTROL_REP1","Salmon_M_mapped_reads",15.4
"4","CONTROL_REP2","paired_reads_millions",21.6
"5","CONTROL_REP2","STAR_M_Uniquely_mapped_reads",20.5
"6","CONTROL_REP2","Salmon_M_mapped_reads",15.8
"7","CONTROL_REP3","paired_reads_millions",21.1
"8","CONTROL_REP3","STAR_M_Uniquely_mapped_reads",20
"9","CONTROL_REP3","Salmon_M_mapped_reads",15.5
"10","CONTROL_REP4","paired_reads_millions",19.3
"11","CONTROL_REP4","STAR_M_Uniquely_mapped_reads",18.4
"12","CONTROL_REP4","Salmon_M_mapped_reads",14.1
"13","PREECLAMPSIA_REP1","paired_reads_millions",20.4
"14","PREECLAMPSIA_REP1","STAR_M_Uniquely_mapped_reads",19.3
"15","PREECLAMPSIA_REP1","Salmon_M_mapped_reads",14.5
"16","PREECLAMPSIA_REP2","paired_reads_millions",21.3
"17","PREECLAMPSIA_REP2","STAR_M_Uniquely_mapped_reads",20.3
"18","PREECLAMPSIA_REP2","Salmon_M_mapped_reads",14.9
"19","PREECLAMPSIA_REP3","paired_reads_millions",20
"20","PREECLAMPSIA_REP3","STAR_M_Uniquely_mapped_reads",18.9
"21","PREECLAMPSIA_REP3","Salmon_M_mapped_reads",14.7
"22","PREECLAMPSIA_REP4","paired_reads_millions",20.6
"23","PREECLAMPSIA_REP4","STAR_M_Uniquely_mapped_reads",19.4
"24","PREECLAMPSIA_REP4","Salmon_M_mapped_reads",15.3
