"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance","minuslog10padj","regulation","inPublication"
"1","0610010K14Rik",290.773725280195,-0.365154295228853,0.103101551319307,-3.5416954503232,0.000397564201327475,0.00395881389893285,"p adj. < 0.05",2.40243491364719,"not significant",FALSE
"2","0610030E20Rik",426.671398786255,-0.00247383299562292,0.0927196096665324,-0.0266807960529612,0.978714330209491,0.990201154372766,"p adj. >= 0.05",0.00427657170537273,"not significant",FALSE
"3","0610042G04Rik",39.9261590946239,-0.104772598639594,0.258027302013037,-0.40605237438905,0.684704118139103,0.825731604939999,"p adj. >= 0.05",0.0831610924316283,"not significant",FALSE
"4","1110002E22Rik",68.1541317204043,0.349520828379217,0.20474136263205,1.7071334482,0.0877972514039333,0.228811273985246,"p adj. >= 0.05",0.640522580801409,"not significant",FALSE
"5","1110002J07Rik",39.2993516441693,-0.483539970411349,0.251160929096916,-1.92521970734057,0.0542018776221977,0.164150697883869,"p adj. >= 0.05",0.784757266535194,"not significant",FALSE
"6","1110002L01Rik",280.766228107612,-0.0455413198705677,0.0991923416961795,-0.459121330254085,0.646147039977469,0.799498138610236,"p adj. >= 0.05",0.0971825430400029,"not significant",FALSE
"7","1110004F10Rik",1796.95596307545,-0.00464266457620367,0.0512180270649665,-0.0906451271603018,0.927774573215817,0.963708228414286,"p adj. >= 0.05",0.0160544328707726,"not significant",FALSE
"8","1110015O18Rik",69.0415535645213,0.493394525875533,0.189739356510825,2.60038051645539,0.00931204407284895,0.0460671680870117,"p adj. < 0.05",1.33660848455622,"not significant",FALSE
"9","1110032F04Rik",91.5674464629472,-0.213086432466264,0.159740701768384,-1.33395202416995,0.182219580087041,0.375045293141458,"p adj. >= 0.05",0.425916280609409,"not significant",FALSE
"10","1110038B12Rik",158.539440211521,0.0313073584884335,0.121529357359224,0.25761148720546,0.796706763369663,0.893286294399768,"p adj. >= 0.05",0.0490093292958858,"not significant",FALSE
"11","1110038F14Rik",192.034189446415,-0.219246328494533,0.119023287814277,-1.84204564098955,0.065468474063404,0.187740896236675,"p adj. >= 0.05",0.726441113232103,"not significant",FALSE
"12","1110059E24Rik",224.540955266835,0.207290656108685,0.108809861718222,1.90507232373379,0.0567706704465123,0.169732950544325,"p adj. >= 0.05",0.770233839176428,"not significant",FALSE
"13","1110059G10Rik",166.297487994899,0.0164368654695439,0.135617804782315,0.121199908049886,0.903532696946722,0.952091115974979,"p adj. >= 0.05",0.0213214872546136,"not significant",FALSE
"14","1110065P20Rik",225.843827655799,0.0377570414192615,0.125906040974898,0.299882683363772,0.764266643467859,0.874667628023726,"p adj. >= 0.05",0.0581569466778122,"not significant",FALSE
"15","1190005I06Rik",34.517442327811,-0.284531098760805,0.269552786673317,-1.05556726855746,0.291165961463459,0.504866795424891,"p adj. >= 0.05",0.296823191471173,"not significant",FALSE
"16","1300002E11Rik",118.647945191372,-0.13002732967854,0.143499368497704,-0.906117783233454,0.364873513690441,0.578440874772307,"p adj. >= 0.05",0.237741025774302,"not significant",FALSE
"17","1500004A13Rik",1059.19779454193,0.203629898581189,0.0565945095373323,3.59805041594832,0.000320611479658881,0.00334156300081179,"p adj. < 0.05",2.47605034640712,"not significant",FALSE
"18","1500009L16Rik",164.539475082027,0.0969265577574622,0.150922621807388,0.642226835160358,0.520725911560019,0.709561766538239,"p adj. >= 0.05",0.149009793724263,"not significant",FALSE
"19","1500011B03Rik",683.874515579399,0.0274609616384818,0.0685230704182763,0.400754978883104,0.688600528429878,0.828685791681302,"p adj. >= 0.05",0.0816101073338146,"not significant",FALSE
"20","1500015A07Rik",78.0369310296781,-0.486153463663935,0.17741880315633,-2.74014622472437,0.00614118556557948,0.033570115618649,"p adj. < 0.05",1.4740471629982,"not significant",FALSE
