groupID	padj
gene-0610010K14Rik	1
gene-0610030E20Rik	0.888174719369886
gene-0610040J01Rik	1
gene-1110002J07Rik	0.203333699107536
gene-1110038B12Rik	1
gene-1110038F14Rik	1
gene-1110065P20Rik	0.593013401937592
gene-1300002E11Rik	1
gene-1500004A13Rik	0.00172014780624381
gene-1500009L16Rik	0.947726518258454
gene-1600012H06Rik	0.134145511234253
gene-1700003M07Rik	1
gene-1700017B05Rik	0.873712222816044
gene-1700019D03Rik	1
gene-1700025G04Rik	1
gene-1700030J22Rik	0.559805571737853
gene-1700030K09Rik	1
gene-1700086O06Rik	0.824279844896881
gene-1700088E04Rik	1
gene-1700102P08Rik	1
gene-1700123O20Rik	1
gene-1810010H24Rik	1
gene-1810030O07Rik	1
gene-1810055G02Rik	1
gene-2010315B03Rik	1
gene-2210408I21Rik	0.28446542746666
gene-2210418O10Rik	1
gene-2310022A10Rik	1
gene-2310057M21Rik	0.361080721982106
gene-2310061I04Rik	1
gene-2410002F23Rik	1
gene-2410004B18Rik	1
gene-2410004P03Rik	1
gene-2510002D24Rik	1
gene-2600014E21Rik	0.157978077273021
gene-2610008E11Rik	0
gene-2610307P16Rik	1
gene-2610318N02Rik	0.908547913513577
gene-2700049A03Rik	0.216261555822641
gene-2700054A10Rik	1
gene-2700097O09Rik	1
gene-2810021J22Rik	1
gene-2810408A11Rik	0.890145892172366
gene-2810408B13Rik	1
gene-2810459M11Rik	1
gene-2900026A02Rik	0.684202347055166
gene-3110040N11Rik	0.783474059362884
gene-3110053B16Rik	1
gene-3300002I08Rik	1
gene-4833420G17Rik	1
gene-4833439L19Rik	0.94982196613349
gene-4921536K21Rik	1
gene-4930445E18Rik	1
gene-4930447C04Rik	0.551860320516468
gene-4930453N24Rik	1
gene-4930480K23Rik	1
gene-4930503L19Rik	0.0853438101691655
gene-4930522L14Rik	1
gene-4930523C07Rik	1
gene-4930570G19Rik	1
gene-4931406C07Rik	1
gene-4931414P19Rik	1
gene-4933427D14Rik	1
gene-4933434E20Rik	0.536592624598779
gene-4933439C10Rik	0.962502100514324
gene-5031425E22Rik	1
gene-5031434O11Rik	0.674447702035969
gene-5031439G07Rik	0.587421074596535
gene-5033417F24Rik	1
gene-5430405H02Rik	0.84102234604429
gene-5730409E04Rik	1
gene-5930430L01Rik	1
gene-6030458C11Rik	0.291091788548172
gene-6330409D20Rik	1
gene-6430548M08Rik	1
gene-8430429K09Rik	0.294682846203773
gene-9030624G23Rik	0.0154104036784386
gene-9130024F11Rik	1
gene-9330159F19Rik	1
gene-9430015G10Rik	0.669837931845242
gene-9430053O09Rik	1
gene-9930012K11Rik	1
gene-A130010J15Rik	0.891016572268399
gene-A230072C01Rik	1
gene-A230087F16Rik	0.784439830861439
gene-A330001L22Rik	1
gene-A430046D13Rik	1
gene-A630034I12Rik	1
gene-A630039O03Rik	0.9354352325323
gene-A730056A06Rik	0.954792209232616
gene-A730060N03Rik	1
gene-A730094K22Rik	1
gene-A830018L16Rik	0.227543528657975
gene-AB010352	0.883885683134789
gene-AI480526	1
gene-AI837181	1
gene-AI987944	0.690148780776485
gene-AU040320	0.607046199643363
gene-AU041133	1
gene-AW209491	1
gene-AW551984	0.530360902370067
gene-AW554918	0.216473370676974
gene-Aagab	0.91564654095503
gene-Aak1	0.0338864888871157
gene-Aamdc	1
gene-Aar2	1
gene-Aars2	0.697084458076247
gene-Aasdh	1
gene-Aasdhppt	0.0398925514412106
gene-Aatf	0.595665923807624
gene-Aatk	0.155942750046253
gene-Abat	1
gene-Abca1	1
gene-Abca2	0.466003582784706
gene-Abca3	1
gene-Abca4	1
gene-Abca5	0.472362054010212
gene-Abca7	1
gene-Abca8a	1
gene-Abca8b	0.470454979269775
gene-Abca9	1
gene-Abcb6	1
gene-Abcb9	1
gene-Abcc1	1
gene-Abcc10	1
gene-Abcc4	1
gene-Abcc5	0.227546405531177
gene-Abcc8	0.495226872545767
gene-Abcc9	1
gene-Abcd2	1
gene-Abcd4	1
gene-Abcf2	1
gene-Abcg2	1
gene-Abcg4	0.423655606963927
gene-Abhd10	1
gene-Abhd11	1
gene-Abhd13	0.374267314704628
gene-Abhd14a	0.987870063946384
gene-Abhd16a	1
gene-Abhd18	1
gene-Abhd2	0.737530555402521
gene-Abhd4	1
gene-Abhd5	0.0179776020654898
gene-Abhd6	1
gene-Abi1	1
gene-Abi2	0.903929141292686
gene-Abl1	0.00835361278080592
gene-Abl2	0.106777463585547
gene-Ablim1	0.0331214290895308
gene-Ablim2	0.867464053161225
gene-Ablim3	1
gene-Abr	0.00381564668952983
gene-Abracl	1
gene-Abraxas1	1
gene-Abtb1	0.621706382233183
gene-Abtb3	0.196195113496449
gene-Acaa1a	0.800666619231758
gene-Acaca	0.0282361354368888
gene-Acacb	0.0731807575367667
gene-Acad8	0.170984325657185
gene-Acad9	1
gene-Acadsb	1
gene-Acap2	0.0175126764859395
gene-Acap3	0.586222442876312
gene-Acbd5	0.805728139235066
gene-Acbd6	1
gene-Accs	0.857644089300683
gene-Acd	0.737158672182785
gene-Ace	0.816267025221467
gene-Acer2	1
gene-Acer3	1
gene-Ache	1
gene-Acin1	1
gene-Ackr2	1
gene-Acly	1
gene-Acot11	1
gene-Acot6	1
gene-Acot8	1
gene-Acox3	1
gene-Acp1	1
gene-Acp2	1
gene-Acr	1
gene-Acrbp	1
gene-Acsbg1	1
gene-Acsf2	0.200065164488348
gene-Acsf3	0.907904591825916
gene-Acsl1	1
gene-Acsl3	1
gene-Acsl4	1
gene-Acsl5	0.469342724219405
gene-Acsl6	1
gene-Actl6a	1
gene-Actl6b	0.904872742389188
gene-Actmap	1
gene-Actn1	1
gene-Actn2	0.411053403983398
gene-Actn4	0.604890317686625
gene-Actr3	0.316258240224933
gene-Actr3b	1
gene-Actr5	0.7332634324619
gene-Actr6	1
gene-Actr8	1
gene-Acvr1	0.966432010254943
gene-Acvr1c	0.380446354198377
gene-Acvr2a	1
gene-Acvr2b	0.732782144812321
gene-Acvrl1	0.914411968024094
gene-Acy1	0.91780343103938
gene-Ada	1
gene-Adal	0.549433706288842
gene-Adam11	1
gene-Adam15	1
gene-Adam17	0.00866225493641701
gene-Adam19	0.321970182869352
gene-Adam22	1
gene-Adam23	0.773043453410689
gene-Adam8	1
gene-Adam9	1
gene-Adamts10	0.54350135511227
gene-Adamts12	0.569902774608144
gene-Adamts14	1
gene-Adamts15	0.845601552964839
gene-Adamts16	1
gene-Adamts18	0.0847750175108057
gene-Adamts19	1
gene-Adamts20	0.118834035384541
gene-Adamts5	1
gene-Adamts6	0.543273112218957
gene-Adamts7	1
gene-Adamtsl1	1
gene-Adamtsl2	1
gene-Adap2	0.179216568914205
gene-Adar	0.470611777384143
gene-Adarb1	0.29489101077746
gene-Adarb2	0.834453669661388
gene-Adat1	1
gene-Adck1	0.629556782688337
gene-Adck2	0.335056476738171
gene-Adck5	0.52902540413272
gene-Adcy2	1
gene-Adcy3	0.0502398866043029
gene-Adcy4	1
gene-Adcy5	0.391056541145331
gene-Adcy6	0.0597230897558268
gene-Adcy7	1
gene-Adcy8	0.791785746990674
gene-Adcy9	0.0721950520618661
gene-Adcyap1	1
gene-Adcyap1r1	0.331135074739779
gene-Add1	0.121479968637997
gene-Add2	1
gene-Add3	0.468456864396762
gene-Adgra1	1
gene-Adgra2	1
gene-Adgrb1	1
gene-Adgrb2	1
gene-Adgrb3	1
gene-Adgre1	1
gene-Adgre5	1
gene-Adgrf5	0.713620623020264
gene-Adgrg1	1
gene-Adgrg2	1
gene-Adgrl1	1.05569434918045e-08
gene-Adgrl2	0.0413239549399114
gene-Adgrl3	0.0547404039363539
gene-Adgrv1	1
gene-Adhfe1	1
gene-Adipor1	1
gene-Adipor2	1
gene-Adk	1
gene-Adnp	0.456161627553974
gene-Adnp2	6.4491129103672e-09
gene-Adora1	0.718311825593469
gene-Adora2a	1
gene-Adpgk	1
gene-Adprm	0.894594385842294
gene-Adra1a	0.851402928625658
gene-Aebp1	1
gene-Aebp2	1
gene-Aen	1
gene-Afap1	0.00503257673348155
gene-Afdn	0.978345468134409
gene-Aff1	0.358951420917463
gene-Aff2	0.495455951544372
gene-Aff3	1
gene-Aff4	0.919361386144075
gene-Afg1l	0.328497617019591
gene-Afg2a	0.0505865836435906
gene-Afg2b	1
gene-Afg3l1	1
gene-Afmid	1
gene-Aftph	1
gene-Agap1	0.660832116851014
gene-Agap2	0.00573899629542189
gene-Agap3	1
gene-Agbl3	1
gene-Agbl5	0.794259800132762
gene-Agfg1	0.634057177620384
gene-Agfg2	0.204233052804637
gene-Agl	0.184604030089538
gene-Ago1	1
gene-Ago3	0.00299636061713538
gene-Ago4	0.00274041033289794
gene-Agpat3	0.0178241107258847
gene-Agrn	0.00894304515543322
gene-Agtpbp1	1
gene-Ahcyl1	1
gene-Ahcyl2	0.402859853442324
gene-Ahdc1	0.442465090667937
gene-Ahi1	8.38274604184821e-07
gene-Ahnak	0.38026853812524
gene-Ahr	1
gene-Ahrr	1
gene-Ahsa1	0.822322768027141
gene-Ahsa2	0.396218387457054
gene-Aifm1	1
gene-Aifm2	1
gene-Aifm3	1
gene-Aim2	0.783565022467442
gene-Aimp2	1
gene-Airim	0.435194486342637
