geneID	txID	gene	transcript
gene-Sox17	rna-NM_001420508	1	NA
gene-Sox17	rna-XM_030252405	1	NA
gene-Mrpl15	rna-NM_001177658	0.887678869625476	NA
gene-Mrpl15	rna-NM_025300	0.887678869625476	NA
gene-Mrpl15	rna-NM_001420685	0.887678869625476	NA
gene-Tcea1	rna-NM_001159750	1	NA
gene-Tcea1	rna-NM_011541	1	NA
gene-Rgs20	rna-XM_006495554	1	NA
gene-Rgs20	rna-XM_036152516	1	NA
gene-Rgs20	rna-NM_021374	1	NA
gene-Atp6v1h	rna-NM_001310442	1	NA
gene-Atp6v1h	rna-NM_133826	1	NA
gene-Atp6v1h	rna-XM_036152423	1	NA
gene-Rb1cc1	rna-XM_006495443	0.598610331693568	NA
gene-Rb1cc1	rna-XM_011238338	0.598610331693568	NA
gene-Rb1cc1	rna-XM_036156334	0.598610331693568	NA
gene-Rb1cc1	rna-NM_009826	0.598610331693568	NA
gene-Rb1cc1	rna-XM_036156270	0.598610331693568	NA
gene-St18	rna-XM_036164682	1	NA
gene-St18	rna-NM_173868	1	NA
gene-Pcmtd1	rna-NM_183028	1	NA
gene-Pcmtd1	rna-XM_036165672	1	NA
gene-Sntg1	rna-NM_001290390	1	NA
gene-Sntg1	rna-NM_001290392	1	NA
gene-Sntg1	rna-NM_001290393	1	NA
gene-Sntg1	rna-NM_027671	1	NA
gene-Adhfe1	rna-NM_001357376	1	NA
gene-Adhfe1	rna-NM_175236	1	NA
gene-Mybl1	rna-XM_011238350	1	NA
gene-Mybl1	rna-XM_006495461	1	NA
gene-Mybl1	rna-NM_001290397	1	NA
gene-Mybl1	rna-NM_008651	1	NA
gene-Sgk3	rna-NM_133220	1	NA
gene-Sgk3	rna-NM_177547	1	NA
gene-Sgk3	rna-NM_001037759	1	NA
gene-Cspp1	rna-XM_030252691	0.534839282223891	NA
gene-Cspp1	rna-NM_026493	0.534839282223891	NA
gene-Cspp1	rna-XM_017319604	0.534839282223891	NA
gene-Cspp1	rna-XM_030252688	0.534839282223891	NA
gene-Cspp1	rna-XM_017319609	0.534839282223891	NA
gene-Cspp1	rna-XM_036163294	0.534839282223891	NA
gene-Prex2	rna-NM_029525	0.0143663753551261	0
gene-Prex2	rna-NM_001033636	0.0143663753551261	0
gene-A830018L16Rik	rna-XR_004942886	0.227543528657975	NA
gene-A830018L16Rik	rna-XM_006495540	0.227543528657975	NA
gene-A830018L16Rik	rna-NM_001160370	0.227543528657975	NA
gene-A830018L16Rik	rna-NM_001400291	0.227543528657975	NA
gene-A830018L16Rik	rna-NM_001400289	0.227543528657975	NA
gene-A830018L16Rik	rna-NM_001160369	0.227543528657975	NA
gene-A830018L16Rik	rna-NM_001374633	0.227543528657975	NA
gene-A830018L16Rik	rna-NM_001374634	0.227543528657975	NA
gene-A830018L16Rik	rna-NM_177173	0.227543528657975	NA
gene-Sulf1	rna-XM_006495510	1	NA
gene-Sulf1	rna-NM_001198565	1	NA
gene-Sulf1	rna-NM_001198566	1	NA
gene-Slco5a1	rna-NM_172841	1	NA
gene-Slco5a1	rna-XM_011238381	1	NA
gene-Slco5a1	rna-XM_006495518	1	NA
gene-Slco5a1	rna-XM_030253982	1	NA
gene-Slco5a1	rna-XM_011238382	1	NA
gene-Ncoa2	rna-NM_008678	0.43056730945733	NA
gene-Ncoa2	rna-XM_036162692	0.43056730945733	NA
gene-Ncoa2	rna-XM_036162694	0.43056730945733	NA
gene-Eya1	rna-XM_036159662	0.78711659572629	NA
gene-Eya1	rna-NM_001402661	0.78711659572629	NA
gene-Eya1	rna-NM_001252192	0.78711659572629	NA
gene-Eya1	rna-NM_001310459	0.78711659572629	NA
gene-Eya1	rna-NM_001402659	0.78711659572629	NA
gene-Eya1	rna-NM_001402660	0.78711659572629	NA
gene-Eya1	rna-NM_010164	0.78711659572629	NA
gene-Eya1	rna-XM_006495452	0.78711659572629	NA
gene-Eya1	rna-XM_017315414	0.78711659572629	NA
gene-Kcnb2	rna-NM_001098528	0.916182850625988	NA
gene-Kcnb2	rna-XM_006495597	0.916182850625988	NA
gene-Terf1	rna-XR_004941784	1	NA
gene-Terf1	rna-NM_009352	1	NA
gene-Terf1	rna-NR_152944	1	NA
gene-Stau2	rna-NM_001111272	0.00042986688321036	1
gene-Stau2	rna-NM_025303	0.00042986688321036	0.378966212889641
gene-Stau2	rna-NM_001347045	0.00042986688321036	4.80567782597829e-05
gene-Ube2w	rna-NM_001271017	1	NA
gene-Ube2w	rna-NM_025773	1	NA
gene-Eloc	rna-XM_006495563	0.982663212983167	NA
gene-Eloc	rna-NM_026456	0.982663212983167	NA
gene-Jph1	rna-NM_020604	1	NA
gene-Jph1	rna-XM_011238398	1	NA
gene-Crispld1	rna-NM_001356551	1	NA
gene-Crispld1	rna-NM_031402	1	NA
gene-Crispld1	rna-XM_011238410	1	NA
gene-Tmem14a	rna-NM_001290679	0.946204665883804	NA
gene-Tmem14a	rna-NM_029398	0.946204665883804	NA
gene-Kcnq5	rna-NM_001310477	0.749256270966734	NA
gene-Kcnq5	rna-NM_023872	0.749256270966734	NA
gene-Rims1	rna-NM_001012623	0.198599913809268	NA
gene-Rims1	rna-NM_001012624	0.198599913809268	NA
gene-Rims1	rna-NM_001012625	0.198599913809268	NA
gene-Rims1	rna-XM_036154433	0.198599913809268	NA
gene-Rims1	rna-XM_036154426	0.198599913809268	NA
gene-Rims1	rna-XM_036154235	0.198599913809268	NA
gene-Gm53541	rna-XR_004935838	1	NA
gene-Gm53541	rna-XR_004935839	1	NA
gene-Ogfrl1	rna-NM_001081079	1	NA
gene-Ogfrl1	rna-NM_001379082	1	NA
gene-Smap1	rna-NM_001290683	0.283635749581281	NA
gene-Smap1	rna-NM_001357395	0.283635749581281	NA
gene-Fam135a	rna-NM_001403096	0.0272040659771783	1
gene-Fam135a	rna-NM_001403097	0.0272040659771783	1
gene-Fam135a	rna-XM_030242597	0.0272040659771783	0.0287122179731972
gene-Fam135a	rna-XM_030242599	0.0272040659771783	1
gene-Fam135a	rna-XM_017322275	0.0272040659771783	1
gene-Fam135a	rna-XM_006496232	0.0272040659771783	1
gene-Lmbrd1	rna-NM_026719	0.538307461056801	NA
gene-Lmbrd1	rna-XM_030242602	0.538307461056801	NA
gene-Adgrb3	rna-NM_175642	1	NA
gene-Adgrb3	rna-XM_036163221	1	NA
