Geneid,Chr,Strand,NExons,gene.F,P.Value,FDR
gene-Macf1,NC_000070.7,-,105,19.550079619239,3.23620013563602e-144,4.18537763541806e-140
gene-Lrp1,NC_000076.7,-,89,24.324190021511,1.10282534153938e-142,7.1314200710644e-139
gene-Ubr4,NC_000070.7,+,106,18.0195220843996,3.2441243861408e-137,1.3985420228653e-133
gene-Huwe1,NC_000086.8,+,95,20.8215000434579,7.08302017441808e-137,2.29011749789373e-133
gene-Dync1h1,NC_000078.7,+,77,24.835865490978,6.7589339323159e-126,1.74826585093283e-122
gene-Mycbp2,NC_000080.7,-,91,14.2988883024981,3.9913678220733e-99,8.603393340479e-96
gene-Reln,NC_000071.7,-,65,22.685060261366,2.13305974639751e-98,3.94098024287985e-95
gene-Dst,NC_000067.7,+,103,11.9200873265305,9.21020131156026e-96,1.48894416953011e-92
gene-Herc2,NC_000073.7,+,94,13.0726961784736,5.84334504843848e-95,8.39688683460609e-92
gene-Sptan1,NC_000068.8,+,58,24.2964536338726,7.11493854566499e-95,9.20175002110853e-92
gene-Ank3,NC_000076.7,+,59,22.8194868492951,1.60149525956373e-92,1.88292165381252e-89
gene-Birc6,NC_000083.7,+,83,12.9330340112634,1.51381928042808e-83,1.63151872948137e-80
gene-Ank2,NC_000069.7,-,59,19.3288494715682,1.55090360296444e-82,1.54291048439532e-79
gene-Hectd4,NC_000071.7,+,81,12.7185385420004,1.77197811075538e-80,1.63692806474281e-77
gene-Nbea,NC_000069.7,-,66,16.0131099022721,7.93899912226874e-80,6.84500504322011e-77
gene-Kif1a,NC_000067.7,-,53,19.4624383869705,5.39427734245831e-75,4.36026180437583e-72
gene-Ubr5,NC_000081.7,-,67,14.1138867993176,2.76504153261609e-73,2.10354600831317e-70
gene-Trrap,NC_000071.7,+,81,11.3879753222884,4.30059542307469e-73,3.08997781147917e-70
gene-Herc1,NC_000075.7,+,86,10.6063993832696,1.50525001854028e-72,1.02459992051482e-69
gene-Sptbn1,NC_000077.7,-,39,27.1164642107579,2.65889964940345e-70,1.71937745828674e-67
gene-Cltc,NC_000077.7,-,35,29.7596734481973,2.16973929314593e-67,1.33624944182173e-64
gene-Usp9x,NC_000086.8,+,49,16.7712453298704,1.61029484090079e-62,9.46633780789541e-60
gene-Top2b,NC_000080.7,-,36,23.0980461382282,5.99188659575249e-59,3.36926388447248e-56
gene-Bltp1,NC_000069.7,+,91,7.814521615047,1.37144995105851e-56,7.39040092376656e-54
gene-Snrnp200,NC_000068.8,+,45,14.7215534106772,3.07588234165627e-52,1.59121545298562e-49
gene-Prpf8,NC_000077.7,+,42,15.5280305540028,4.15463568735393e-51,2.06661166709801e-48
gene-Ptprz1,NC_000072.7,+,34,20.19712234325,4.34242622143253e-51,2.08002216006618e-48
gene-Kif1b,NC_000070.7,-,54,11.1183498027658,7.61365927815705e-49,3.51669483730018e-46
gene-Ckap5,NC_000068.8,+,49,12.2810884864186,1.09535460958682e-48,4.88490385027115e-46
gene-Trio,NC_000081.7,-,67,8.62696521217655,5.72886377727532e-47,2.46971317438339e-44
gene-Fry,NC_000071.7,+,67,8.49113496926076,3.19251559406368e-46,1.33189690896857e-43
gene-Hectd1,NC_000078.7,-,47,11.6123977712088,1.24802520633591e-44,5.04397187298199e-42
gene-Cnot1,NC_000074.7,-,56,9.53377931310589,7.94463379202081e-44,3.11357420703652e-41
gene-Map2,NC_000067.7,+,29,19.8099976963631,1.17024208305872e-43,4.45139437064661e-41
gene-Apc,NC_000084.7,+,25,23.9697221095667,1.69591625975506e-43,6.26665285354635e-41
gene-Kidins220,NC_000078.7,+,39,13.2247822382941,5.39942040037045e-42,1.93974177883308e-39
gene-Syne2,NC_000078.7,+,115,4.99874456088342,1.80541379221398e-41,6.31065312829822e-39
gene-Wdfy3,NC_000071.7,-,74,6.88338221356649,1.45546798938232e-40,4.95357039649513e-38
gene-Ttc3,NC_000082.7,+,60,8.07002023403542,1.36170758128886e-39,4.51563183302791e-37
gene-Cep170,NC_000067.7,-,27,18.5972168999025,3.66123722750827e-39,1.18376952658411e-36
gene-Dmxl2,NC_000075.7,-,48,9.71917216470165,1.04654344630131e-38,3.30120643683288e-36
gene-Sptbn2,NC_000085.7,+,37,12.4376066308749,5.01624236305862e-38,1.54464434479612e-35
