Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
CONTROL_REP1_1 - Adapter 1	0.9416311035736761	1.2082654522550182	1.2629227897099655	1.0083843792768972	0.9860264203090422	0.6669758991901973	1.9180517974487823	6.679035250463822	28.081683168316832	118.66336633663367	393.13725490196083	1416.1538461538462	5946.666666666667	5810.0	5543.333333333334	4753.333333333334	5076.666666666667	4953.333333333334	4593.333333333334	4230.0	3973.3333333333335	3950.0	3673.3333333333335	3560.0	3750.0	3296.666666666667	3186.666666666667	3026.666666666667	2940.0	2910.0	2600.0	2453.3333333333335	2380.0	2423.3333333333335	2163.3333333333335	2006.6666666666667	2043.3333333333335	1700.0	1700.0	1583.3333333333335	1616.6666666666667	1446.6666666666667	1506.6666666666667	1143.3333333333335	1693.3333333333335	806.6666666666667	916.6666666666667	980.0	1096.6666666666667	1006.6666666666667	953.3333333333334	853.3333333333334	750.0	770.0	883.3333333333334	680.0	710.0	696.6666666666667	656.6666666666667	633.3333333333334	646.6666666666667	653.3333333333334	686.6666666666667	620.0	613.3333333333334	503.33333333333337	440.0	406.6666666666667	466.6666666666667	580.0	3203.3333333333335	3380.0	846.6666666666667	443.33333333333337	260.0	230.0	226.66666666666669	203.33333333333334	166.66666666666669	203.33333333333334	203.33333333333334	186.66666666666669	216.66666666666669	173.33333333333334	166.66666666666669	193.33333333333334	180.0	110.0	116.66666666666667	146.66666666666669	153.33333333333334	126.66666666666667	140.0	180.0	120.0	166.66666666666669	96.66666666666667	106.66666666666667	116.66666666666667	96.66666666666667	130.0	133.33333333333334	113.33333333333334	110.0	160.0	126.66666666666667	183.33333333333334	130.0	126.66666666666667	86.66666666666667	106.66666666666667	120.0	106.66666666666667	120.0	93.33333333333334	86.66666666666667	90.0	103.33333333333334	113.33333333333334	136.66666666666669	103.33333333333334	96.66666666666667	83.33333333333334	140.0	106.66666666666667	83.33333333333334	100.0	96.66666666666667	63.333333333333336	116.66666666666667	123.33333333333334	76.66666666666667	80.0	63.333333333333336	70.0	90.0	53.333333333333336	66.66666666666667	66.66666666666667	83.33333333333334	96.66666666666667	73.33333333333334	53.333333333333336	93.33333333333334	76.66666666666667	93.33333333333334	196.66666666666669	126.66666666666667	500.0	3830.0
CONTROL_REP1_2 - Adapter 1	0.9427248637952381	1.2341616164956324	1.463297374703977	1.2047849305851672	1.1522888259680522	0.9286639222280203	2.2605334364128336	7.037724180581324	33.56435643564357	145.34653465346534	463.921568627451	1625.3846153846152	6686.666666666667	7260.0	5543.333333333334	5493.333333333334	5980.0	4863.333333333334	5493.333333333334	4550.0	4233.333333333334	4613.333333333334	4236.666666666667	4616.666666666667	4003.3333333333335	3750.0	3543.3333333333335	3726.666666666667	3436.666666666667	3663.3333333333335	2906.666666666667	2976.666666666667	2913.3333333333335	2980.0	2833.3333333333335	2513.3333333333335	2480.0	2303.3333333333335	2093.3333333333335	2126.666666666667	2353.3333333333335	2266.666666666667	1706.6666666666667	1903.3333333333335	1920.0	1606.6666666666667	1443.3333333333335	1633.3333333333335	1506.6666666666667	1460.0	1903.3333333333335	1133.3333333333335	1193.3333333333335	1093.3333333333335	1393.3333333333335	1133.3333333333335	1100.0	1120.0	1136.6666666666667	1153.3333333333335	1266.6666666666667	1243.3333333333335	5026.666666666667	7723.333333333334	2426.666666666667	1206.6666666666667	866.6666666666667	786.6666666666667	680.0	706.6666666666667	710.0	766.6666666666667	693.3333333333334	780.0	793.3333333333334	870.0	716.6666666666667	696.6666666666667	743.3333333333334	726.6666666666667	783.3333333333334	690.0	673.3333333333334	683.3333333333334	603.3333333333334	713.3333333333334	660.0	630.0	696.6666666666667	686.6666666666667	660.0	630.0	666.6666666666667	666.6666666666667	643.3333333333334	726.6666666666667	526.6666666666667	803.3333333333334	630.0	586.6666666666667	533.3333333333334	700.0	663.3333333333334	686.6666666666667	610.0	593.3333333333334	660.0	643.3333333333334	673.3333333333334	676.6666666666667	630.0	613.3333333333334	546.6666666666667	643.3333333333334	626.6666666666667	580.0	570.0	626.6666666666667	600.0	613.3333333333334	520.0	586.6666666666667	463.33333333333337	640.0	510.0	440.0	546.6666666666667	450.0	393.33333333333337	373.33333333333337	380.0	340.0	316.6666666666667	206.66666666666669	343.33333333333337	363.33333333333337	310.0	316.6666666666667	163.33333333333334	156.66666666666669	270.0	130.0	136.66666666666669	63.333333333333336	190.0	166.66666666666669	356.6666666666667	253.33333333333334	650.0	3790.0
CONTROL_REP2_1 - Adapter 1	0.9391838598745347	1.2141005799046074	1.2668862755120756	1.0037402131483697	0.9787254182738955	0.5895382518316579	1.7493373722074972	5.434716752499242	24.254545454545454	105.29126213592232	319.4230769230769	1208.4615384615383	5056.666666666667	4826.666666666667	4503.333333333334	4336.666666666667	4153.333333333334	4036.666666666667	3973.3333333333335	3636.666666666667	3480.0	3390.0	3453.3333333333335	3453.3333333333335	3186.666666666667	2870.0	2756.666666666667	2683.3333333333335	2473.3333333333335	2420.0	2276.666666666667	2123.3333333333335	1930.0	1913.3333333333335	1743.3333333333335	1740.0	1723.3333333333335	1750.0	1500.0	1296.6666666666667	1343.3333333333335	1200.0	1406.6666666666667	1116.6666666666667	1390.0	733.3333333333334	846.6666666666667	1033.3333333333335	813.3333333333334	860.0	693.3333333333334	730.0	690.0	553.3333333333334	523.3333333333334	443.33333333333337	510.0	486.6666666666667	446.6666666666667	516.6666666666667	400.0	396.6666666666667	473.33333333333337	433.33333333333337	330.0	410.0	286.6666666666667	350.0	323.33333333333337	356.6666666666667	1300.0	2036.6666666666667	720.0	343.33333333333337	240.0	160.0	156.66666666666669	173.33333333333334	140.0	96.66666666666667	116.66666666666667	103.33333333333334	120.0	103.33333333333334	133.33333333333334	123.33333333333334	90.0	113.33333333333334	96.66666666666667	113.33333333333334	153.33333333333334	160.0	106.66666666666667	123.33333333333334	86.66666666666667	173.33333333333334	110.0	110.0	60.0	116.66666666666667	83.33333333333334	76.66666666666667	100.0	86.66666666666667	143.33333333333334	146.66666666666669	130.0	100.0	80.0	140.0	73.33333333333334	90.0	90.0	90.0	70.0	86.66666666666667	103.33333333333334	123.33333333333334	113.33333333333334	66.66666666666667	93.33333333333334	126.66666666666667	60.0	76.66666666666667	100.0	73.33333333333334	76.66666666666667	76.66666666666667	56.66666666666667	90.0	96.66666666666667	73.33333333333334	93.33333333333334	80.0	63.333333333333336	40.0	30.0	116.66666666666667	40.0	26.666666666666668	43.333333333333336	50.0	33.333333333333336	33.333333333333336	50.0	70.0	123.33333333333334	73.33333333333334	206.66666666666669	1703.3333333333335
CONTROL_REP2_2 - Adapter 1	0.941048382978703	1.243780608870257	1.4642177203986564	1.1874141413424302	1.1485907660269306	0.869729842297571	2.0863309352517985	5.9557709784913655	29.806060606060605	131.1165048543689	397.3076923076923	1439.2307692307693	5783.333333333334	6240.0	4653.333333333334	4776.666666666667	5150.0	3860.0	4793.333333333334	3786.666666666667	3773.3333333333335	3886.666666666667	4016.666666666667	4366.666666666667	3553.3333333333335	3440.0	3183.3333333333335	3390.0	2933.3333333333335	3303.3333333333335	2493.3333333333335	2736.666666666667	2460.0	2416.666666666667	2313.3333333333335	2386.666666666667	2126.666666666667	2266.666666666667	1856.6666666666667	1910.0	2036.6666666666667	1843.3333333333335	1543.3333333333335	1836.6666666666667	1776.6666666666667	1483.3333333333335	1366.6666666666667	1593.3333333333335	1270.0	1316.6666666666667	1760.0	1100.0	1090.0	890.0	1143.3333333333335	933.3333333333334	923.3333333333334	836.6666666666667	940.0	946.6666666666667	993.3333333333334	980.0	2406.666666666667	5196.666666666667	1926.6666666666667	913.3333333333334	696.6666666666667	766.6666666666667	523.3333333333334	580.0	583.3333333333334	536.6666666666667	660.0	670.0	696.6666666666667	626.6666666666667	633.3333333333334	550.0	656.6666666666667	656.6666666666667	603.3333333333334	603.3333333333334	633.3333333333334	700.0	580.0	573.3333333333334	636.6666666666667	626.6666666666667	566.6666666666667	533.3333333333334	546.6666666666667	620.0	570.0	656.6666666666667	580.0	580.0	540.0	703.3333333333334	596.6666666666667	566.6666666666667	610.0	583.3333333333334	566.6666666666667	633.3333333333334	623.3333333333334	616.6666666666667	613.3333333333334	630.0	636.6666666666667	560.0	616.6666666666667	533.3333333333334	533.3333333333334	520.0	556.6666666666667	506.6666666666667	663.3333333333334	743.3333333333334	580.0	570.0	443.33333333333337	450.0	483.33333333333337	633.3333333333334	536.6666666666667	506.6666666666667	423.33333333333337	356.6666666666667	340.0	470.0	390.0	313.33333333333337	290.0	246.66666666666669	236.66666666666669	293.33333333333337	313.33333333333337	280.0	196.66666666666669	156.66666666666669	270.0	133.33333333333334	103.33333333333334	66.66666666666667	146.66666666666669	96.66666666666667	380.0	160.0	223.33333333333334	1333.3333333333335
CONTROL_REP3_1 - Adapter 1	0.9386199877099667	1.212606496294854	1.2648169395423945	0.9998360924438616	0.991894477657606	0.6348466305340249	1.7685911881265055	5.6636617967050045	25.783582089552237	101.64179104477611	371.2	1250.7692307692307	5076.666666666667	4763.333333333334	4730.0	4446.666666666667	4323.333333333334	4066.666666666667	3743.3333333333335	3676.666666666667	3300.0	3570.0	3236.666666666667	3040.0	2880.0	2723.3333333333335	2513.3333333333335	2570.0	2350.0	2263.3333333333335	2050.0	2000.0	1893.3333333333335	1866.6666666666667	1943.3333333333335	1616.6666666666667	1616.6666666666667	1493.3333333333335	1553.3333333333335	1540.0	1150.0	996.6666666666667	1076.6666666666667	1040.0	1160.0	593.3333333333334	846.6666666666667	833.3333333333334	770.0	710.0	733.3333333333334	520.0	640.0	533.3333333333334	600.0	433.33333333333337	476.6666666666667	500.0	403.33333333333337	460.0	373.33333333333337	380.0	400.0	333.33333333333337	310.0	423.33333333333337	263.33333333333337	303.33333333333337	350.0	326.6666666666667	913.3333333333334	1850.0	656.6666666666667	293.33333333333337	230.0	186.66666666666669	186.66666666666669	176.66666666666669	140.0	140.0	120.0	153.33333333333334	153.33333333333334	106.66666666666667	153.33333333333334	103.33333333333334	83.33333333333334	106.66666666666667	120.0	113.33333333333334	123.33333333333334	106.66666666666667	103.33333333333334	136.66666666666669	133.33333333333334	163.33333333333334	110.0	103.33333333333334	93.33333333333334	83.33333333333334	70.0	76.66666666666667	83.33333333333334	70.0	130.0	100.0	170.0	76.66666666666667	60.0	116.66666666666667	120.0	60.0	80.0	80.0	60.0	96.66666666666667	73.33333333333334	63.333333333333336	86.66666666666667	93.33333333333334	76.66666666666667	100.0	60.0	63.333333333333336	36.66666666666667	83.33333333333334	66.66666666666667	66.66666666666667	76.66666666666667	93.33333333333334	143.33333333333334	50.0	140.0	60.0	66.66666666666667	36.66666666666667	33.333333333333336	86.66666666666667	40.0	70.0	40.0	33.333333333333336	20.0	36.66666666666667	56.66666666666667	46.66666666666667	103.33333333333334	40.0	93.33333333333334	950.0
CONTROL_REP3_2 - Adapter 1	0.9441031136521507	1.2441769175934907	1.4718959247725023	1.192275704650725	1.1474000650772913	0.9009849058802961	2.121376952366151	6.248057196145477	31.131840796019898	131.24378109452735	445.8	1471.5384615384614	5773.333333333334	6230.0	4740.0	5056.666666666667	5246.666666666667	3803.3333333333335	4603.333333333334	3883.3333333333335	3736.666666666667	3980.0	3943.3333333333335	3953.3333333333335	3213.3333333333335	3120.0	2820.0	3270.0	2856.666666666667	3116.666666666667	2343.3333333333335	2540.0	2363.3333333333335	2293.3333333333335	2396.666666666667	2146.666666666667	2086.666666666667	1943.3333333333335	1893.3333333333335	1863.3333333333335	1876.6666666666667	1770.0	1346.6666666666667	1610.0	1640.0	1163.3333333333335	1360.0	1443.3333333333335	1130.0	1123.3333333333335	1576.6666666666667	890.0	1016.6666666666667	890.0	1046.6666666666667	890.0	936.6666666666667	1006.6666666666667	970.0	883.3333333333334	983.3333333333334	946.6666666666667	1783.3333333333335	4953.333333333334	1676.6666666666667	763.3333333333334	720.0	736.6666666666667	590.0	596.6666666666667	633.3333333333334	586.6666666666667	616.6666666666667	746.6666666666667	786.6666666666667	680.0	690.0	736.6666666666667	606.6666666666667	636.6666666666667	636.6666666666667	546.6666666666667	656.6666666666667	683.3333333333334	583.3333333333334	533.3333333333334	550.0	636.6666666666667	496.6666666666667	590.0	550.0	513.3333333333334	566.6666666666667	546.6666666666667	636.6666666666667	680.0	633.3333333333334	693.3333333333334	533.3333333333334	613.3333333333334	523.3333333333334	480.0	590.0	486.6666666666667	533.3333333333334	536.6666666666667	550.0	626.6666666666667	556.6666666666667	493.33333333333337	563.3333333333334	546.6666666666667	490.0	526.6666666666667	550.0	530.0	586.6666666666667	563.3333333333334	380.0	533.3333333333334	556.6666666666667	603.3333333333334	366.6666666666667	593.3333333333334	480.0	440.0	463.33333333333337	336.6666666666667	456.6666666666667	466.6666666666667	410.0	360.0	290.0	240.0	230.0	386.6666666666667	326.6666666666667	250.0	190.0	156.66666666666669	260.0	126.66666666666667	150.0	70.0	153.33333333333334	90.0	333.33333333333337	186.66666666666669	196.66666666666669	676.6666666666667
CONTROL_REP4_1 - Adapter 1	0.9393861712286189	1.2143628790126544	1.2701106139585745	1.0067821816238074	0.971045403305619	0.6465134002286295	1.7512067067490895	6.070460704607046	27.059620596205963	106.32432432432432	352.3913043478261	1220.8333333333335	5143.333333333334	4680.0	4593.333333333334	4146.666666666667	3983.3333333333335	4136.666666666667	3840.0	3656.666666666667	3296.666666666667	3450.0	3126.666666666667	3053.3333333333335	3003.3333333333335	2730.0	2690.0	2346.666666666667	2313.3333333333335	2263.3333333333335	2070.0	1980.0	1840.0	1920.0	1650.0	1546.6666666666667	1433.3333333333335	1310.0	1490.0	1326.6666666666667	1103.3333333333335	1243.3333333333335	1130.0	916.6666666666667	1256.6666666666667	556.6666666666667	756.6666666666667	776.6666666666667	920.0	770.0	683.3333333333334	626.6666666666667	670.0	640.0	620.0	533.3333333333334	480.0	433.33333333333337	460.0	416.6666666666667	393.33333333333337	386.6666666666667	433.33333333333337	326.6666666666667	240.0	350.0	303.33333333333337	326.6666666666667	286.6666666666667	486.6666666666667	1640.0	2173.3333333333335	630.0	320.0	193.33333333333334	163.33333333333334	126.66666666666667	140.0	126.66666666666667	146.66666666666669	80.0	100.0	140.0	136.66666666666669	86.66666666666667	136.66666666666669	133.33333333333334	106.66666666666667	120.0	120.0	93.33333333333334	113.33333333333334	60.0	120.0	110.0	110.0	90.0	83.33333333333334	46.66666666666667	86.66666666666667	63.333333333333336	56.66666666666667	96.66666666666667	106.66666666666667	113.33333333333334	113.33333333333334	123.33333333333334	110.0	50.0	106.66666666666667	60.0	60.0	53.333333333333336	60.0	110.0	46.66666666666667	80.0	93.33333333333334	90.0	53.333333333333336	46.66666666666667	83.33333333333334	86.66666666666667	60.0	73.33333333333334	53.333333333333336	40.0	43.333333333333336	50.0	53.333333333333336	76.66666666666667	53.333333333333336	63.333333333333336	40.0	73.33333333333334	30.0	46.66666666666667	73.33333333333334	50.0	30.0	53.333333333333336	36.66666666666667	56.66666666666667	36.66666666666667	70.0	63.333333333333336	100.0	110.0	166.66666666666669	1636.6666666666667
CONTROL_REP4_2 - Adapter 1	0.9431501668235429	1.2446162481886016	1.4788915251535037	1.1962360612010523	1.132833380082667	0.9066852957364833	2.111948513845372	6.5210027100271	31.476964769647697	130.86486486486487	430.4347826086957	1432.5	5686.666666666667	6060.0	4550.0	4636.666666666667	4723.333333333334	4060.0	4560.0	3793.3333333333335	3516.666666666667	3773.3333333333335	3716.666666666667	3923.3333333333335	3330.0	3173.3333333333335	3026.666666666667	2976.666666666667	2576.666666666667	2936.666666666667	2360.0	2456.666666666667	2293.3333333333335	2310.0	2220.0	1996.6666666666667	1906.6666666666667	1806.6666666666667	1800.0	1683.3333333333335	1696.6666666666667	1920.0	1313.3333333333335	1603.3333333333335	1616.6666666666667	1150.0	1160.0	1370.0	1206.6666666666667	1146.6666666666667	1513.3333333333335	823.3333333333334	1006.6666666666667	936.6666666666667	1016.6666666666667	833.3333333333334	850.0	780.0	853.3333333333334	843.3333333333334	880.0	883.3333333333334	2603.3333333333335	5036.666666666667	1696.6666666666667	856.6666666666667	676.6666666666667	650.0	496.6666666666667	610.0	470.0	480.0	586.6666666666667	626.6666666666667	596.6666666666667	510.0	550.0	506.6666666666667	560.0	496.6666666666667	580.0	623.3333333333334	540.0	703.3333333333334	473.33333333333337	446.6666666666667	486.6666666666667	523.3333333333334	520.0	533.3333333333334	450.0	550.0	573.3333333333334	513.3333333333334	676.6666666666667	656.6666666666667	546.6666666666667	650.0	510.0	510.0	493.33333333333337	550.0	526.6666666666667	586.6666666666667	530.0	500.0	476.6666666666667	480.0	453.33333333333337	496.6666666666667	500.0	540.0	466.6666666666667	530.0	483.33333333333337	416.6666666666667	526.6666666666667	566.6666666666667	490.0	463.33333333333337	500.0	410.0	370.0	540.0	473.33333333333337	413.33333333333337	406.6666666666667	280.0	396.6666666666667	323.33333333333337	356.6666666666667	316.6666666666667	240.0	216.66666666666669	196.66666666666669	320.0	286.6666666666667	280.0	140.0	126.66666666666667	166.66666666666669	113.33333333333334	100.0	43.333333333333336	143.33333333333334	86.66666666666667	283.33333333333337	143.33333333333334	206.66666666666669	1146.6666666666667
PREECLAMPSIA_REP1_1 - Adapter 1	0.9325932389068621	1.2016043943400394	1.2706212012957798	1.0324227052988644	1.0898429466439938	1.0290930979133226	3.229534510433387	11.71107544141252	49.96148908857509	207.3846153846154	735.7142857142857	2669.166666666667	10760.0	10226.666666666668	9906.666666666668	9706.666666666668	9303.333333333334	9553.333333333334	8333.333333333334	8253.333333333334	8023.333333333334	7853.333333333334	7516.666666666667	7353.333333333334	6890.0	6900.0	6443.333333333334	6033.333333333334	5823.333333333334	5490.0	5180.0	5126.666666666667	4726.666666666667	4880.0	4286.666666666667	4106.666666666667	3946.666666666667	3603.3333333333335	3660.0	3490.0	3393.3333333333335	3006.666666666667	3200.0	2730.0	3416.666666666667	1683.3333333333335	2030.0	2203.3333333333335	1910.0	2130.0	1683.3333333333335	1820.0	1640.0	1540.0	1540.0	1333.3333333333335	1563.3333333333335	1380.0	1280.0	1113.3333333333335	1020.0	1166.6666666666667	1163.3333333333335	1006.6666666666667	883.3333333333334	823.3333333333334	893.3333333333334	803.3333333333334	973.3333333333334	1943.3333333333335	21426.666666666668	11286.666666666668	3163.3333333333335	1823.3333333333335	983.3333333333334	763.3333333333334	466.6666666666667	400.0	343.33333333333337	323.33333333333337	320.0	303.33333333333337	303.33333333333337	233.33333333333334	196.66666666666669	196.66666666666669	226.66666666666669	210.0	206.66666666666669	226.66666666666669	233.33333333333334	180.0	153.33333333333334	223.33333333333334	190.0	200.0	123.33333333333334	146.66666666666669	150.0	130.0	130.0	93.33333333333334	146.66666666666669	133.33333333333334	163.33333333333334	206.66666666666669	193.33333333333334	166.66666666666669	136.66666666666669	163.33333333333334	136.66666666666669	156.66666666666669	110.0	110.0	106.66666666666667	83.33333333333334	120.0	123.33333333333334	120.0	106.66666666666667	113.33333333333334	103.33333333333334	96.66666666666667	90.0	76.66666666666667	73.33333333333334	33.333333333333336	86.66666666666667	86.66666666666667	100.0	126.66666666666667	130.0	106.66666666666667	80.0	96.66666666666667	63.333333333333336	110.0	106.66666666666667	106.66666666666667	113.33333333333334	100.0	86.66666666666667	110.0	136.66666666666669	156.66666666666669	246.66666666666669	426.6666666666667	483.33333333333337	1616.6666666666667	16033.333333333334
PREECLAMPSIA_REP1_2 - Adapter 1	0.9389332945109348	1.237590875367722	1.4780895866401607	1.2221184171750676	1.23084485776915	1.2748796147672552	3.5609951845906904	12.054574638844302	54.45442875481386	230.4102564102564	804.0816326530612	2925.8333333333335	11266.666666666668	11996.666666666668	9526.666666666668	10106.666666666668	10380.0	8766.666666666668	9286.666666666668	8236.666666666668	8306.666666666668	8196.666666666668	8003.333333333334	8266.666666666668	7103.333333333334	7300.0	6696.666666666667	6540.0	6120.0	6280.0	5323.333333333334	5473.333333333334	5170.0	5313.333333333334	4793.333333333334	4453.333333333334	4210.0	4176.666666666667	3780.0	3836.666666666667	4000.0	3723.3333333333335	3216.666666666667	3310.0	3126.666666666667	2736.666666666667	2576.666666666667	2783.3333333333335	2226.666666666667	2523.3333333333335	2633.3333333333335	2060.0	1963.3333333333335	1863.3333333333335	1923.3333333333335	1900.0	1876.6666666666667	1653.3333333333335	1556.6666666666667	1483.3333333333335	1586.6666666666667	2040.0	28400.0	19056.666666666668	4843.333333333334	2423.3333333333335	1470.0	1240.0	826.6666666666667	800.0	773.3333333333334	660.0	743.3333333333334	960.0	823.3333333333334	646.6666666666667	636.6666666666667	600.0	676.6666666666667	676.6666666666667	736.6666666666667	640.0	573.3333333333334	670.0	590.0	580.0	620.0	506.6666666666667	596.6666666666667	590.0	486.6666666666667	613.3333333333334	600.0	486.6666666666667	686.6666666666667	766.6666666666667	563.3333333333334	666.6666666666667	456.6666666666667	633.3333333333334	506.6666666666667	470.0	550.0	533.3333333333334	540.0	486.6666666666667	543.3333333333334	633.3333333333334	590.0	650.0	540.0	533.3333333333334	470.0	573.3333333333334	483.33333333333337	520.0	496.6666666666667	600.0	500.0	473.33333333333337	403.33333333333337	400.0	410.0	586.6666666666667	440.0	353.33333333333337	380.0	346.6666666666667	276.6666666666667	426.6666666666667	320.0	273.33333333333337	276.6666666666667	253.33333333333334	280.0	386.6666666666667	330.0	260.0	150.0	113.33333333333334	273.33333333333337	173.33333333333334	136.66666666666669	150.0	170.0	246.66666666666669	483.33333333333337	490.0	1246.6666666666667	11246.666666666668
