Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
CONTROL_REP1_1	55.24841661463032	12.143292507419016	6.218617056242769	4.067500826614782	2.918901938642461	2.21690243709941	1.6555944666662312	1.240023439536641	1.058216114585772	8.87327622702144	1.6997950241287123	2.264161949240092	0.28192915840888	0.11337223976339043	0.0	0.0
CONTROL_REP1_1_val_1	55.20381719695499	12.14562057306227	6.233595692500693	4.068639980166443	2.9170429237643343	2.2209695676843224	1.668601971342945	1.2351038966942747	1.0682684160990994	8.882272945283077	1.7072269863089424	2.2604535377549566	0.28210418451522135	0.10628212786843595	0.0	0.0
CONTROL_REP1_2	61.73232957535239	10.494509188300945	5.46556577736769	3.551892720017201	2.4466690449493393	1.7667859488855728	1.3551944732794288	1.0443135267473684	0.8968823956776784	7.027614102775195	1.5473033036082244	2.129273478355946	0.3213730843805042	0.2202933803027763	0.0	0.0
CONTROL_REP1_2_val_2	61.59612191316608	10.538150837389876	5.484514693214719	3.5688473813312096	2.4626343704747296	1.7708519844920227	1.3602486785753587	1.0503636397799991	0.8969420523140087	7.0511098233365725	1.5546207956249802	2.1410671598476587	0.3151896341228743	0.20933703632990694	0.0	0.0
CONTROL_REP2_1	55.27187182505321	12.181898621564498	6.3639394309639785	4.037464922680271	2.9566626283100996	2.1645126041664504	1.6452118183032254	1.3598447123210708	1.0900931372797729	8.788679387789138	1.6301966355636455	2.158313678328147	0.27584368271387655	0.07546691496265058	0.0	0.0
CONTROL_REP2_1_val_1	55.25000535015367	12.179352466128835	6.375011874019918	4.04058592920885	2.9557949676103243	2.165601545469415	1.6472800405187695	1.3649012677023173	1.1001519605578693	8.79271717986503	1.627310116461474	2.1550831952277067	0.27069000164846657	0.07551410542740143	0.0	0.0
CONTROL_REP2_2	60.47504667057252	10.767645027773867	5.75160404757323	3.6667368934569198	2.5781180522527385	1.9280436382652981	1.4101835687110535	1.1212680343802215	0.874958949110382	7.255607823506098	1.5307680873693745	2.157572100882116	0.28184572097835314	0.2006013851678444	0.0	0.0
CONTROL_REP2_2_val_2	60.40111599399468	10.803191827290446	5.766486217664423	3.6826194804438237	2.5781776816915603	1.925115853441813	1.410225159267447	1.1213046631521213	0.8789902601688597	7.2664920930726336	1.535744709157077	2.1546381239492223	0.27506459175776415	0.20083334494828037	0.0	0.0
CONTROL_REP3_1	54.1814050577636	12.167366789958516	6.5128582781204685	4.282643858220368	2.8664900247500817	2.2477115294323693	1.709363283665484	1.4155452753124698	1.13624480127001	9.135466865895344	1.7503271336299098	2.194978698239204	0.31718291604585647	0.08241548769639184	0.0	0.0
CONTROL_REP3_1_val_1	54.15060161308236	12.177121529317827	6.516777659408253	4.291525500840613	2.8605595282450755	2.254665745959587	1.712358950019427	1.413565439336093	1.1392568865545698	9.136621018265798	1.7553340349679807	2.1919243109096564	0.31725183584236977	0.08243594725042251	0.0	0.0
CONTROL_REP3_2	60.16717392440771	10.89505346986533	5.785178800223685	3.739868110540649	2.639021792106826	1.8523651563917436	1.3961785132501	1.1382465781189666	0.9230366694257426	7.33421111671216	1.4872739188741955	2.132878963970989	0.30807653776751776	0.20143644834431934	0.0	0.0
CONTROL_REP3_2_val_2	60.07502796660695	10.920469230150376	5.794975222487066	3.746756958483831	2.6538652157571714	1.8533561643670853	1.3991668365486816	1.1452354844151267	0.9270442834169489	7.357196775594425	1.4853523879779185	2.136975613571853	0.3029621409985174	0.20161571962398092	0.0	0.0
CONTROL_REP4_1	56.06834633111353	11.842533559664295	6.473534386799823	4.1000089825879	2.8771576135310646	2.166419761377599	1.7348156166987483	1.2379218685681492	0.9938021169464163	8.601695574255332	1.5799452716117754	1.9906483373018171	0.26477009224120696	0.06840048730243116	0.0	0.0
