Module	Section	Sample Name	Source
featureCounts	all_sections	CONTROL_REP2_sorted	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/67/CONTROL_REP2.featureCounts.txt.summary
featureCounts	all_sections	PREECLAMPSIA_REP3_sorted	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/73/PREECLAMPSIA_REP3.featureCounts.txt.summary
featureCounts	all_sections	PREECLAMPSIA_REP1_sorted	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/72/PREECLAMPSIA_REP1.featureCounts.txt.summary
featureCounts	all_sections	PREECLAMPSIA_REP4_sorted	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/74/PREECLAMPSIA_REP4.featureCounts.txt.summary
featureCounts	all_sections	CONTROL_REP1_sorted	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/68/CONTROL_REP1.featureCounts.txt.summary
featureCounts	all_sections	PREECLAMPSIA_REP2_sorted	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/71/PREECLAMPSIA_REP2.featureCounts.txt.summary
featureCounts	all_sections	CONTROL_REP3_sorted	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/69/CONTROL_REP3.featureCounts.txt.summary
featureCounts	all_sections	CONTROL_REP4_sorted	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/70/CONTROL_REP4.featureCounts.txt.summary
Samtools	stats	CONTROL_REP2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/93/CONTROL_REP2.stats
Samtools	stats	PREECLAMPSIA_REP1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/94/PREECLAMPSIA_REP1.stats
Samtools	stats	PREECLAMPSIA_REP4	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/97/PREECLAMPSIA_REP4.stats
Samtools	stats	PREECLAMPSIA_REP2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/91/PREECLAMPSIA_REP2.stats
Samtools	stats	PREECLAMPSIA_REP3	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/98/PREECLAMPSIA_REP3.stats
Samtools	stats	CONTROL_REP3	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/96/CONTROL_REP3.stats
Samtools	stats	CONTROL_REP1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/92/CONTROL_REP1.stats
Samtools	stats	CONTROL_REP4	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/95/CONTROL_REP4.stats
Samtools	flagstat	PREECLAMPSIA_REP3	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/82/PREECLAMPSIA_REP3.flagstat
Samtools	flagstat	CONTROL_REP4	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/80/CONTROL_REP4.flagstat
Samtools	flagstat	PREECLAMPSIA_REP4	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/81/PREECLAMPSIA_REP4.flagstat
Samtools	flagstat	CONTROL_REP2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/79/CONTROL_REP2.flagstat
Samtools	flagstat	CONTROL_REP3	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/78/CONTROL_REP3.flagstat
Samtools	flagstat	CONTROL_REP1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/75/CONTROL_REP1.flagstat
Samtools	flagstat	PREECLAMPSIA_REP1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/77/PREECLAMPSIA_REP1.flagstat
Samtools	flagstat	PREECLAMPSIA_REP2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/76/PREECLAMPSIA_REP2.flagstat
Samtools	idxstats	PREECLAMPSIA_REP2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/84/PREECLAMPSIA_REP2.idxstats
Samtools	idxstats	CONTROL_REP1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/90/CONTROL_REP1.idxstats
Samtools	idxstats	PREECLAMPSIA_REP1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/85/PREECLAMPSIA_REP1.idxstats
Samtools	idxstats	CONTROL_REP4	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/89/CONTROL_REP4.idxstats
Samtools	idxstats	PREECLAMPSIA_REP3	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/88/PREECLAMPSIA_REP3.idxstats
Samtools	idxstats	CONTROL_REP3	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/86/CONTROL_REP3.idxstats
Samtools	idxstats	CONTROL_REP2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/83/CONTROL_REP2.idxstats
Samtools	idxstats	PREECLAMPSIA_REP4	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/87/PREECLAMPSIA_REP4.idxstats
Salmon	all_sections	CONTROL_REP2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/53/CONTROL_REP2/libParams/flenDist.txt
Salmon	all_sections	CONTROL_REP1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/55/CONTROL_REP1/libParams/flenDist.txt
Salmon	all_sections	PREECLAMPSIA_REP2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/56/PREECLAMPSIA_REP2/libParams/flenDist.txt
Salmon	all_sections	PREECLAMPSIA_REP1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/52/PREECLAMPSIA_REP1/libParams/flenDist.txt
Salmon	all_sections	CONTROL_REP4	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/54/CONTROL_REP4/libParams/flenDist.txt
Salmon	all_sections	PREECLAMPSIA_REP3	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/57/PREECLAMPSIA_REP3/libParams/flenDist.txt
Salmon	all_sections	CONTROL_REP3	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/51/CONTROL_REP3/libParams/flenDist.txt
Salmon	all_sections	PREECLAMPSIA_REP4	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/58/PREECLAMPSIA_REP4/libParams/flenDist.txt
STAR	SummaryLog	PREECLAMPSIA_REP3	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/66/PREECLAMPSIA_REP3.Log.final.out
STAR	SummaryLog	CONTROL_REP3	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/63/CONTROL_REP3.Log.final.out
STAR	SummaryLog	CONTROL_REP4	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/61/CONTROL_REP4.Log.final.out
STAR	SummaryLog	CONTROL_REP1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/60/CONTROL_REP1.Log.final.out
STAR	SummaryLog	PREECLAMPSIA_REP2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/64/PREECLAMPSIA_REP2.Log.final.out
STAR	SummaryLog	CONTROL_REP2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/59/CONTROL_REP2.Log.final.out
STAR	SummaryLog	PREECLAMPSIA_REP4	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/65/PREECLAMPSIA_REP4.Log.final.out
STAR	SummaryLog	PREECLAMPSIA_REP1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/62/PREECLAMPSIA_REP1.Log.final.out
Cutadapt	all_sections	PREECLAMPSIA_REP1_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/37/PREECLAMPSIA_REP1_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	PREECLAMPSIA_REP1_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/38/PREECLAMPSIA_REP1_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	CONTROL_REP2_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/36/CONTROL_REP2_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	CONTROL_REP4_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/44/CONTROL_REP4_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	CONTROL_REP3_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/42/CONTROL_REP3_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	PREECLAMPSIA_REP2_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/46/PREECLAMPSIA_REP2_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	PREECLAMPSIA_REP4_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/49/PREECLAMPSIA_REP4_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	PREECLAMPSIA_REP3_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/47/PREECLAMPSIA_REP3_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	PREECLAMPSIA_REP2_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/45/PREECLAMPSIA_REP2_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	CONTROL_REP1_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/40/CONTROL_REP1_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	PREECLAMPSIA_REP3_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/48/PREECLAMPSIA_REP3_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	CONTROL_REP4_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/43/CONTROL_REP4_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	PREECLAMPSIA_REP4_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/50/PREECLAMPSIA_REP4_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	CONTROL_REP1_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/39/CONTROL_REP1_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	CONTROL_REP3_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/41/CONTROL_REP3_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	CONTROL_REP2_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/35/CONTROL_REP2_1.fastq.gz_trimming_report.txt
FastQC	all_sections	CONTROL_REP4_2_val_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/28/CONTROL_REP4_2_val_2_fastqc.zip
FastQC	all_sections	CONTROL_REP1_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/8/CONTROL_REP1_2_fastqc.zip
FastQC	all_sections	PREECLAMPSIA_REP2_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/4/PREECLAMPSIA_REP2_2_fastqc.zip
FastQC	all_sections	CONTROL_REP1_2_val_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/24/CONTROL_REP1_2_val_2_fastqc.zip
FastQC	all_sections	CONTROL_REP4_1_val_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/27/CONTROL_REP4_1_val_1_fastqc.zip
FastQC	all_sections	PREECLAMPSIA_REP4_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/18/PREECLAMPSIA_REP4_2_fastqc.zip
FastQC	all_sections	PREECLAMPSIA_REP1_1_val_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/21/PREECLAMPSIA_REP1_1_val_1_fastqc.zip
FastQC	all_sections	PREECLAMPSIA_REP3_1_val_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/31/PREECLAMPSIA_REP3_1_val_1_fastqc.zip
FastQC	all_sections	CONTROL_REP1_1_val_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/23/CONTROL_REP1_1_val_1_fastqc.zip
FastQC	all_sections	PREECLAMPSIA_REP1_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/11/PREECLAMPSIA_REP1_1_fastqc.zip
FastQC	all_sections	PREECLAMPSIA_REP2_2_val_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/30/PREECLAMPSIA_REP2_2_val_2_fastqc.zip
FastQC	all_sections	PREECLAMPSIA_REP4_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/17/PREECLAMPSIA_REP4_1_fastqc.zip
FastQC	all_sections	PREECLAMPSIA_REP2_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/3/PREECLAMPSIA_REP2_1_fastqc.zip
FastQC	all_sections	PREECLAMPSIA_REP4_1_val_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/33/PREECLAMPSIA_REP4_1_val_1_fastqc.zip
FastQC	all_sections	CONTROL_REP2_2_val_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/20/CONTROL_REP2_2_val_2_fastqc.zip
FastQC	all_sections	CONTROL_REP1_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/7/CONTROL_REP1_1_fastqc.zip
FastQC	all_sections	PREECLAMPSIA_REP1_2_val_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/22/PREECLAMPSIA_REP1_2_val_2_fastqc.zip
FastQC	all_sections	PREECLAMPSIA_REP2_1_val_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/29/PREECLAMPSIA_REP2_1_val_1_fastqc.zip
FastQC	all_sections	PREECLAMPSIA_REP4_2_val_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/34/PREECLAMPSIA_REP4_2_val_2_fastqc.zip
FastQC	all_sections	PREECLAMPSIA_REP3_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/15/PREECLAMPSIA_REP3_1_fastqc.zip
FastQC	all_sections	CONTROL_REP2_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/6/CONTROL_REP2_2_fastqc.zip
FastQC	all_sections	CONTROL_REP3_1_val_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/25/CONTROL_REP3_1_val_1_fastqc.zip
FastQC	all_sections	CONTROL_REP4_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/10/CONTROL_REP4_2_fastqc.zip
FastQC	all_sections	PREECLAMPSIA_REP3_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/16/PREECLAMPSIA_REP3_2_fastqc.zip
FastQC	all_sections	CONTROL_REP3_2_val_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/26/CONTROL_REP3_2_val_2_fastqc.zip
FastQC	all_sections	CONTROL_REP3_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/13/CONTROL_REP3_1_fastqc.zip
FastQC	all_sections	PREECLAMPSIA_REP3_2_val_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/32/PREECLAMPSIA_REP3_2_val_2_fastqc.zip
FastQC	all_sections	CONTROL_REP2_1_val_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/19/CONTROL_REP2_1_val_1_fastqc.zip
FastQC	all_sections	PREECLAMPSIA_REP1_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/12/PREECLAMPSIA_REP1_2_fastqc.zip
FastQC	all_sections	CONTROL_REP3_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/14/CONTROL_REP3_2_fastqc.zip
FastQC	all_sections	CONTROL_REP4_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/9/CONTROL_REP4_1_fastqc.zip
FastQC	all_sections	CONTROL_REP2_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder/73/27b3bc3ac8bd771d7c623af4481115/5/CONTROL_REP2_1_fastqc.zip
