task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	6a/018809	38356	NFCORE_RNASPLICE:RNASPLICE:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_preeclampsia.csv)	CACHED	0	2024-08-14 15:17:14.202	466ms	0ms	109.1%	11.9 MB	16.8 MB	941.4 KB	2.9 KB
1	c4/ed4701	35230	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (GCF_000001635.27_GRCm39_genomic.fna)	CACHED	0	2024-08-14 15:04:57.265	16.2s	16s	98.0%	5.4 MB	12 MB	2.6 GB	8.1 KB
2	4f/788081	35237	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:GFFREAD (GCF_000001635.27_GRCm39_genomic.gff)	CACHED	0	2024-08-14 15:04:57.273	37.8s	36s	99.8%	2 GB	2 GB	878.9 MB	959.4 MB
4	3d/4f37d7	27078	NFCORE_RNASPLICE:RNASPLICE:CONTRASTS_CHECK:CONTRASTSHEET_CHECK (contrastssheet_preeclampsia.csv)	CACHED	0	2024-08-18 15:22:28.059	501ms	0ms	43.4%	9.2 MB	14.8 MB	930.7 KB	447 B
5	a7/435c5b	47162	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_ANNOTATION (GCF_000001635.27_GRCm39_genomic.gtf)	CACHED	0	2024-08-14 15:18:44.394	1m 11s	1m 3s	100.8%	615.9 MB	1.3 GB	965.9 MB	87.9 MB
7	85/e3b1ab	39107	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:GTF_GENE_FILTER (GCF_000001635.27_GRCm39_genomic.fna)	CACHED	0	2024-08-14 15:17:14.687	16.2s	16s	98.2%	1.2 GB	1.2 GB	3.5 GB	959.4 MB
9	fe/354fda	42739	NFCORE_RNASPLICE:RNASPLICE:TX2GENE_TXIMPORT_SALMON:GFFREAD_TX2GENE (GCF_000001635.27_GRCm39_genomic.gtf)	CACHED	0	2024-08-14 15:17:43.142	11.8s	10s	101.7%	431 MB	449.1 MB	964.5 MB	10 MB
6	b2/338963	38425	NFCORE_RNASPLICE:RNASPLICE:EDGER_DEU:SUBREAD_FLATTENGTF (GCF_000001635.27_GRCm39_genomic.gtf)	CACHED	0	2024-08-14 15:17:14.243	4.9s	3s	96.8%	82.1 MB	98.3 MB	959.5 MB	15.7 MB
8	a7/b0f3a3	43907	NFCORE_RNASPLICE:RNASPLICE:TX2GENE_TXIMPORT_STAR_SALMON:GFFREAD_TX2GENE (GCF_000001635.27_GRCm39_genomic.gtf)	CACHED	0	2024-08-14 15:17:52.800	11.1s	9s	99.6%	439 MB	457.2 MB	964.5 MB	10 MB
10	15/9138d2	6241	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/GCF_000001635.27_GRCm39_genomic.fna)	CACHED	0	2024-08-15 12:10:42.942	2m 25s	50s	100.4%	1.4 GB	1.8 GB	4.5 GB	2.6 GB
16	78/106de1	113756	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (PREECLAMPSIA_REP2)	CACHED	0	2024-08-14 16:08:21.755	2m 6s	2m 6s	196.7%	1.2 GB	6 GB	4 GB	3.5 MB
11	b8/f0dc89	234115	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1)	CACHED	0	2024-08-14 17:33:40.374	1m 50s	1m 49s	197.7%	1.2 GB	6 GB	3.9 GB	3.5 MB
12	55/a55835	235977	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2)	CACHED	0	2024-08-14 17:35:30.434	1m 51s	1m 50s	198.6%	1.1 GB	6 GB	4 GB	3.4 MB
14	35/ad531f	109878	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP4)	CACHED	0	2024-08-14 16:04:32.373	1m 53s	1m 51s	198.7%	1.4 GB	6.1 GB	3.6 GB	3.5 MB
18	d9/63b71e	145017	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (CONTROL_REP2)	CACHED	0	2024-08-14 16:30:07.677	22m 3s	22m 2s	269.4%	1.5 GB	3 GB	96.6 GB	92.5 GB
22	93/2ecea3	204367	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (PREECLAMPSIA_REP2)	CACHED	0	2024-08-14 17:12:24.781	21m 16s	21m 15s	268.7%	1.5 GB	3 GB	95.3 GB	91.2 GB
21	23/2c3ef2	175045	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (PREECLAMPSIA_REP1)	CACHED	0	2024-08-14 16:52:10.248	20m 15s	20m 13s	269.6%	1.5 GB	2.9 GB	90.8 GB	87 GB
15	6f/01249b	78185	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (PREECLAMPSIA_REP1)	CACHED	0	2024-08-14 15:41:13.326	2m	1m 58s	198.3%	1.2 GB	6 GB	3.7 GB	3.4 MB
17	05/06184e	48447	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (CONTROL_REP1)	CACHED	0	2024-08-14 15:19:55.521	21m 18s	21m 18s	269.3%	1.5 GB	2.9 GB	94.4 GB	90.4 GB
13	37/860fbe	266955	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3)	CACHED	0	2024-08-14 17:56:44.774	1m 45s	1m 42s	199.5%	1.1 GB	6 GB	3.9 GB	3.4 MB
19	76/47c4f2	80146	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (CONTROL_REP3)	CACHED	0	2024-08-14 15:43:13.466	21m 19s	21m 19s	270.4%	1.5 GB	3 GB	94.1 GB	90.1 GB
