ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,0,0,1	1,0,0,0	0,0,0,0	0,0,1,0	78	39
1	41,48,60,8	34,21,37,4	0,0,36,0	0,0,25,0	42	39
2	2,0,3,0	39,52,31,10	0,0,3,0	0,0,28,0	59	39
3	0,0,2,0	1,0,1,0	0,0,1,0	0,0,3,0	42	39
4	26,18,22,8	3,1,0,0	0,0,7,0	0,0,0,0	78	39
5	28,20,10,4	0,2,2,0	0,0,11,0	0,0,1,0	42	39
6	61,80,38,5	91,134,120,18	0,1,83,0	0,0,109,0	78	39
7	2,2,4,2	33,47,49,6	0,0,2,0	1,0,42,0	68	39
8	1,2,6,0	46,30,34,5	0,0,2,0	1,0,41,0	71	39
9	25,53,43,8	19,20,17,3	0,0,28,0	0,0,17,0	78	39
11	9,11,15,10	9,6,6,7	12,9,14,6	7,4,6,3	42	39
12	20,32,20,11	0,0,0,1	20,13,26,9	0,2,2,0	55	39
13	62,60,53,39	0,0,0,0	40,42,48,59	0,0,1,2	57	39
14	57,49,66,47	0,0,0,0	46,38,54,54	0,0,1,0	78	39
15	50,44,53,44	1,0,0,0	42,35,52,51	0,0,0,0	48	39
17	25,18,20,20	2,0,0,0	14,13,21,21	0,0,0,0	78	39
18	44,37,42,29	2,0,0,0	28,20,39,38	0,0,0,0	78	39
19	19,19,22,9	0,0,0,0	14,8,18,17	0,1,0,0	52	39
22	36,36,31,27	2,4,6,4	32,28,38,43	15,12,3,6	42	39
28	365,403,295,314	518,504,593,509	359,281,313,364	570,506,468,550	78	39
29	13,11,16,20	119,126,147,136	16,8,14,7	80,96,89,89	78	39
30	8,5,10,7	0,0,4,0	16,8,3,3	0,0,0,1	78	39
31	37,48,47,48	3,4,0,2	41,63,59,51	3,1,3,1	78	39
32	62,58,62,68	3,4,0,2	54,77,80,60	3,1,3,1	78	39
33	69,55,52,55	0,1,0,1	54,68,55,40	0,4,0,1	78	39
34	1,1,2,0	26,23,34,31	0,2,0,1	23,31,24,18	48	39
35	0,0,1,0	29,21,26,24	0,0,0,0	12,21,24,14	63	39
41	87,79,95,79	1,2,5,3	104,105,84,81	2,1,0,2	43	39
42	8,10,15,13	0,0,1,0	16,16,18,15	0,0,2,0	42	39
43	40,32,29,22	1,1,2,1	22,26,29,25	1,3,2,0	42	39
45	4,4,3,3	0,0,0,1	2,3,2,4	0,0,0,1	78	39
46	1,1,5,2	97,87,90,99	2,0,1,2	82,55,53,70	78	39
47	31,24,22,12	6,7,2,1	14,15,12,18	1,4,5,6	57	39
48	2,2,0,0	0,1,4,1	0,1,0,0	2,0,3,1	42	39
49	15,9,21,8	0,1,4,1	2,7,4,5	2,0,3,1	57	39
50	13,9,21,8	0,2,0,0	2,7,4,5	0,1,0,0	54	39
51	71,62,69,66	11,9,4,6	65,81,38,76	5,13,11,6	42	39
52	3,4,7,1	210,216,191,227	1,3,3,6	227,161,212,225	78	39
55	4,6,10,4	0,2,0,1	0,4,7,8	0,0,0,1	78	39
56	28,29,34,30	2,4,3,4	22,26,31,25	2,3,0,8	78	39
57	47,41,28,43	0,0,1,0	45,33,44,50	0,1,1,0	78	39
58	0,1,2,1	0,0,0,0	0,1,0,0	0,1,0,0	47	39
59	14,3,11,12	0,0,0,0	11,6,5,6	0,0,1,0	56	39
63	3,1,9,6	1,1,0,0	2,0,2,2	0,0,0,0	42	39
64	24,47,74,44	1,1,0,0	29,24,16,14	0,0,0,0	78	39
65	24,46,67,38	2,0,1,0	28,24,14,13	1,0,0,1	78	39
71	82,97,115,88	11,25,17,12	109,73,95,106	13,9,10,16	42	39
72	191,191,189,200	5,9,7,5	171,145,169,165	4,3,11,8	44	39
73	11,4,10,13	0,2,0,2	3,4,1,9	0,0,0,1	78	39
74	11,5,10,13	13,19,15,15	6,5,2,9	14,19,26,24	78	39
75	10,4,10,12	1,8,12,0	3,6,2,12	1,5,7,4	78	39
76	19,16,17,23	65,63,47,60	9,11,14,22	63,65,63,56	78	39
77	156,157,153,149	0,0,0,1	155,128,178,157	0,0,0,0	78	39
78	535,533,522,519	27,26,13,23	498,508,595,519	18,29,31,25	44	39
79	684,683,668,653	130,95,109,83	645,626,755,668	94,101,128,81	78	39
80	176,176,159,157	130,95,109,83	165,147,191,174	94,101,128,81	78	39
85	70,62,50,71	33,28,20,41	38,34,36,37	15,33,31,15	77	39
86	84,80,65,85	4,4,0,0	47,44,55,49	2,3,10,2	78	39
87	47,46,35,55	4,4,0,0	24,43,50,27	2,3,10,2	58	39
88	0,2,0,1	1,0,0,0	0,1,0,1	0,1,0,1	78	39
89	0,0,0,0	0,0,3,0	0,1,0,0	1,0,0,0	57	39
90	18,23,21,17	18,11,8,11	16,16,9,25	13,11,7,17	78	39
91	136,114,91,111	16,12,2,7	94,89,82,124	12,2,15,9	78	39
92	11,12,12,12	102,83,78,73	8,17,14,18	70,83,77,60	67	39
93	13,15,19,12	50,39,27,39	12,8,20,13	25,34,38,36	78	39
94	152,152,149,164	28,23,23,28	115,92,104,88	27,22,27,20	78	39
95	3,1,0,0	2,4,1,1	0,0,2,0	0,1,1,5	44	39
96	60,45,68,53	14,4,10,3	56,81,58,59	14,3,13,9	78	39
97	46,39,47,46	11,21,18,14	50,67,52,47	22,9,12,14	78	39
98	38,35,47,41	10,23,14,7	43,55,40,39	6,13,14,6	78	39
100	33,28,41,20	2,0,2,0	18,20,24,18	0,1,1,0	43	39
103	41,66,43,33	29,27,48,31	45,51,47,39	24,25,24,28	54	39
106	7,12,8,12	14,12,26,16	7,7,4,10	14,11,9,9	42	39
107	6,0,0,1	0,1,0,0	0,2,0,0	0,0,0,0	78	39
108	9,0,0,0	0,1,0,0	3,4,0,0	0,0,0,0	78	39
109	10,1,1,1	0,0,0,1	3,5,3,1	0,0,0,0	78	39
111	0,0,0,0	1,0,0,0	0,0,1,0	0,0,0,0	78	39
112	2,7,3,2	0,0,0,0	0,5,3,3	2,0,1,0	78	39
113	5,1,2,1	9,8,5,9	0,0,0,0	2,3,3,4	78	39
114	3117,3133,2622,2646	0,1,0,0	2922,2496,2753,2733	0,0,1,0	69	39
116	103,104,87,81	157,279,199,201	80,75,60,68	145,125,86,117	69	39
117	44,68,68,47	16,5,20,19	28,26,27,26	15,8,12,15	78	39
119	1,3,0,0	0,0,0,1	1,5,1,1	0,0,0,0	78	39
120	105,111,98,92	75,81,81,76	57,83,100,98	50,75,57,78	45	39
122	0,0,0,1	0,0,0,1	0,0,0,1	0,0,0,1	58	39
124	11,6,6,7	1,0,0,0	7,6,13,9	0,0,0,0	48	39
125	173,107,136,123	13,13,7,18	126,105,102,109	8,10,9,12	48	39
126	407,408,383,420	2,0,1,2	323,341,285,351	2,7,10,0	45	39
127	45,40,52,58	2,0,1,2	60,40,42,47	2,7,10,0	78	39
128	41,34,46,48	401,400,375,409	56,30,42,37	317,331,283,340	78	39
130	7,12,0,4	4,2,0,1	8,6,6,5	0,0,0,2	42	39
131	96,156,154,114	4,11,15,5	115,110,115,118	14,8,13,12	42	39
132	0,0,0,0	145,140,137,159	0,0,0,1	147,115,121,130	71	39
133	134,133,123,147	0,0,0,1	130,112,119,138	1,1,0,0	60	39
134	4,2,5,3	5,3,1,0	8,4,3,2	0,1,0,3	78	39
135	0,0,2,4	48,42,42,47	1,2,0,7	48,44,49,51	78	39
136	34,31,41,26	7,1,14,5	29,37,29,34	17,6,10,11	42	39
137	4,7,18,7	32,20,21,33	22,3,17,13	26,34,26,36	78	39
138	0,5,6,1	31,45,30,33	4,5,6,0	43,50,44,35	78	39
139	0,1,5,5	0,0,0,0	0,0,1,5	0,1,0,1	75	39
140	64,66,73,68	1,0,0,0	113,84,120,102	0,0,0,0	78	39
141	19,11,32,19	5,4,9,4	26,14,33,14	11,7,10,8	42	39
142	39,25,31,27	128,136,107,87	33,43,28,44	82,102,127,114	42	39
143	125,143,128,132	95,87,85,98	158,123,124,161	141,92,94,96	78	39
144	0,1,1,0	4,0,0,4	0,2,0,0	4,4,4,4	78	39
146	0,1,1,1	2,4,5,8	0,0,0,1	4,4,8,4	57	39
147	10,8,7,6	1,0,0,0	7,7,8,12	0,0,0,0	72	39
148	1,0,0,0	0,0,1,0	1,0,0,0	2,0,0,1	51	39
151	112,146,127,103	51,45,49,46	122,131,131,131	24,47,58,28	42	39
152	1,0,0,1	125,112,130,103	2,1,4,3	105,88,120,118	53	39
154	225,275,200,237	9,2,10,7	232,221,264,241	7,6,8,11	78	39
155	218,264,226,238	7,7,10,5	247,226,285,220	6,7,4,4	78	39
