ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	0,0,0,1	1,0,0,0	0,0,0,0	0,0,1,0	78	39
3	2,15,19,1	6,0,4,2	0,0,7,0	0,0,2,0	78	39
4	28,16,18,3	6,5,3,1	0,0,8,0	0,0,3,0	78	39
5	157,200,203,18	57,64,56,11	0,0,199,0	1,0,54,0	78	39
6	73,86,58,9	12,13,3,0	0,2,88,0	0,0,10,0	78	39
7	73,85,62,9	21,23,9,1	0,2,90,0	0,0,17,0	78	39
8	24,30,22,28	0,0,1,0	25,18,19,27	0,0,0,0	78	39
9	31,23,36,18	0,0,0,0	32,14,16,27	0,0,1,2	78	39
10	11,13,23,7	42,47,38,28	22,9,6,9	28,37,38,41	78	39
22	12,12,5,13	16,11,8,13	7,22,13,12	16,18,11,14	78	39
23	380,446,350,318	36,31,22,31	390,316,344,389	22,31,32,48	78	39
24	165,161,175,165	2,7,3,10	139,141,138,151	2,0,3,3	78	39
25	42,56,60,55	1,1,2,4	31,40,42,42	1,3,3,0	78	39
26	10,13,21,27	3,1,2,2	16,9,15,28	1,1,0,0	78	39
29	5,4,6,5	0,0,0,4	8,5,2,5	1,0,0,2	78	39
30	6,3,4,3	1,2,0,5	7,7,2,7	4,1,2,1	78	39
31	354,310,239,324	5,4,2,2	317,277,317,358	4,1,0,3	78	39
34	222,324,266,187	0,1,1,0	254,205,250,255	3,0,0,1	78	39
35	175,275,217,159	0,0,1,0	223,170,191,214	0,0,0,0	78	39
36	37,71,57,50	1,2,0,1	49,43,47,58	3,1,2,1	78	39
37	40,76,60,55	102,100,107,128	49,44,53,61	93,92,123,104	78	39
38	19,22,23,15	50,39,27,39	14,13,33,16	25,34,38,36	78	39
39	31,52,39,28	50,46,44,47	56,54,45,31	69,47,37,47	78	39
40	5,3,2,1	0,3,9,5	6,1,0,0	0,4,0,2	78	39
42	174,165,181,158	4,3,7,12	159,108,114,142	4,3,4,0	78	39
43	1,8,5,1301	0,0,0,63	1817,1693,6,1708	127,104,1,97	78	39
48	210,230,236,263	3,7,12,8	269,226,256,278	6,7,7,14	78	39
49	1,0,2,1	0,0,0,2	1,2,0,1	0,0,0,0	78	39
51	3,0,0,4	0,1,0,0	3,1,4,0	0,0,2,0	78	39
52	75,120,98,76	95,83,85,80	81,94,89,95	80,91,72,104	78	39
53	129,146,137,119	119,93,69,79	143,86,90,129	77,77,92,98	78	39
54	767,707,669,772	161,100,127,121	608,613,564,647	124,102,94,107	78	39
55	761,707,665,754	13,13,7,18	601,605,563,627	8,10,9,12	78	39
56	362,465,392,373	1344,1170,1273,1331	467,415,437,489	1387,1205,1385,1370	78	39
57	7,4,10,1	0,1,1,4	1,1,0,3	0,1,2,0	78	39
58	0,6,0,0	1,0,1,0	3,1,0,1	0,0,0,0	78	39
60	176,135,119,158	12,8,10,6	170,152,159,174	13,10,12,6	78	39
62	71,85,88,80	0,2,1,2	87,97,90,85	1,0,3,2	78	39
63	65,63,76,75	0,0,0,0	121,97,126,100	0,1,0,1	78	39
64	111,178,134,137	91,100,86,109	151,143,190,138	112,104,124,100	78	39
67	1,5,1,1	0,0,1,0	0,0,0,0	0,2,0,0	78	39
69	7,15,29,24	615,538,626,577	23,18,14,10	717,557,546,604	78	39
72	95,97,130,111	1,2,1,0	115,96,79,94	1,0,2,0	78	39
