ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,0,4,0	0,0,0,0	0,0,1,0	1,0,1,0	78	39
1	1,1,0,0	0,0,0,0	1,0,0,0	0,0,1,1	78	39
2	103,111,76,19	0,1,1,0	0,0,68,0	0,0,1,0	78	39
3	64,67,43,11	0,0,0,0	0,0,44,0	0,0,1,0	78	39
4	29,17,18,1	0,0,0,0	0,0,18,0	0,0,1,0	78	39
5	5,0,0,0	51,53,34,13	0,0,0,0	0,0,19,0	78	39
6	19,25,51,11	3,0,0,0	0,0,29,0	0,0,1,0	78	39
7	48,47,91,20	0,1,1,0	0,0,51,0	0,0,1,0	78	39
8	1,0,1,0	26,26,47,11	0,0,3,0	0,0,26,0	78	39
9	0,0,2,0	26,26,47,11	0,0,1,0	0,0,26,0	78	39
10	54,73,63,15	0,0,1,0	0,0,63,0	0,0,0,0	78	39
11	43,52,39,7	0,0,1,0	0,0,46,0	0,0,0,0	78	39
12	25,48,29,6	1,3,8,0	0,0,22,0	0,0,0,0	78	39
13	0,0,1,0	11,22,25,5	0,0,0,0	0,0,11,0	78	39
14	16,18,25,4	11,8,9,5	0,0,7,0	0,0,3,0	78	39
16	31,40,27,6	0,1,0,0	0,0,23,0	0,0,0,0	78	39
17	239,339,288,64	0,0,0,0	2,2,249,0	0,0,2,0	78	39
18	101,125,118,21	48,56,58,16	1,0,117,0	0,0,68,2	78	39
19	21,27,5,1	91,134,120,18	0,0,25,0	0,0,109,0	78	39
20	29,35,10,2	91,134,120,18	0,0,31,0	0,0,109,0	78	39
21	312,415,353,100	2,8,0,0	1,2,416,0	0,0,1,0	78	39
22	121,131,119,23	0,0,3,0	0,0,142,0	0,0,3,0	78	39
23	57,52,51,9	0,1,1,0	0,0,25,0	0,0,0,0	78	39
25	4,13,10,17	32,23,17,36	12,8,30,17	23,26,31,25	78	39
26	23,24,26,24	8,4,3,0	18,17,23,23	8,4,2,7	78	39
27	0,3,5,0	0,0,1,0	0,0,0,4	0,0,0,1	78	39
28	21,43,35,17	0,1,0,2	27,19,38,16	3,2,0,1	78	39
29	1,11,15,7	0,1,0,2	7,8,14,7	3,2,0,1	78	39
30	16,20,25,27	0,0,1,1	33,32,20,30	1,0,0,0	78	39
31	77,79,78,65	0,0,1,1	73,73,67,86	1,0,0,0	78	39
32	41,46,38,27	0,0,0,0	26,37,38,41	0,0,1,0	78	39
33	90,90,89,69	0,0,0,0	66,70,88,92	0,0,1,0	78	39
