ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	5,1,21,0	20,26,20,3	0,0,5,0	0,0,28,0	612	39
4	22,25,9,1	12,13,3,0	0,0,17,0	0,0,10,0	46	39
5	16,18,17,9	17,36,18,0	0,0,16,0	0,0,19,0	203	39
6	49,51,67,49	0,0,1,1	71,54,38,63	1,0,0,0	489	39
7	21,27,9,16	2,0,0,0	15,6,14,22	0,0,0,0	178	39
10	1,2,0,2	19,21,10,15	3,4,3,3	21,25,13,17	232	39
11	22,29,9,18	16,16,17,8	18,10,17,25	11,5,15,14	371	39
12	47,43,17,31	3,3,14,4	38,23,28,46	5,2,8,11	431	39
13	40,48,19,31	16,16,17,8	36,31,27,39	11,5,15,14	178	39
14	65,62,27,44	3,3,14,4	56,44,38,60	5,2,8,11	238	39
15	41,30,25,21	3,3,14,4	31,18,26,35	5,2,8,11	99	39
16	3,1,3,2	20,26,29,19	4,2,5,1	18,15,22,11	48	39
17	0,1,0,0	0,1,1,0	0,0,2,0	0,1,1,2	48	39
18	0,0,2,0	0,0,0,1	0,0,0,0	0,1,1,1	75	39
25	39,37,37,27	0,0,0,0	48,32,59,37	2,1,4,0	92	39
26	316,321,336,345	2,4,2,1	265,267,240,259	2,2,5,2	401	39
27	40,34,27,17	0,0,1,0	37,25,28,39	1,3,2,0	388	39
28	31,29,50,44	0,2,3,2	23,16,22,25	4,3,6,0	416	39
29	1,0,0,0	1,1,1,0	0,0,1,1	0,1,0,3	139	39
30	24,25,23,19	0,0,2,1	29,21,18,30	0,0,3,0	206	39
31	29,38,33,23	0,0,1,0	30,27,22,33	1,0,0,0	114	39
32	23,22,23,18	4,1,10,6	34,22,25,31	3,2,6,1	206	39
33	9,5,1,0	70,70,71,93	2,5,6,3	69,69,89,70	206	39
34	37,60,65,75	2,0,1,0	49,43,53,77	2,2,0,0	651	39
35	0,0,2,5	32,18,19,23	7,4,5,5	34,31,17,24	44	39
36	0,0,0,0	0,2,0,0	1,2,0,0	0,0,0,0	48	39
37	2,3,2,7	0,0,0,4	8,1,2,2	1,0,0,2	100	39
38	11,14,30,16	3,6,6,3	11,15,18,22	3,0,2,2	83	39
39	38,27,33,37	75,78,79,99	44,50,34,54	118,105,60,103	48	39
40	48,36,25,20	1,0,0,0	36,31,42,20	2,0,0,0	66	39
41	4,6,7,13	0,0,0,1	2,10,2,4	0,0,0,0	286	39
42	4,5,7,15	4,0,0,0	2,10,2,4	2,1,1,0	286	39
43	1,7,2,7	11,10,14,11	1,2,0,0	6,6,1,5	47	39
44	4,6,13,23	11,10,14,11	2,18,9,8	6,6,1,5	286	39
45	4,6,13,19	1,7,2,3	2,18,9,8	1,2,0,0	278	39
46	44,47,22,44	20,26,27,21	34,27,19,31	13,19,5,19	180	39
47	11,22,21,12	74,65,80,67	12,15,14,22	77,41,92,58	48	39
48	2,1,1,4	117,123,108,103	0,5,3,1	80,67,81,90	66	39
49	2,4,0,2	15,10,11,18	1,1,2,6	16,22,20,13	69	39
50	51,29,38,37	11,15,14,18	42,50,25,45	12,15,17,11	149	39
51	16,7,13,4	2,0,0,0	2,10,4,5	0,2,0,1	134	39
54	0,1,0,0	7,16,27,12	0,0,0,0	5,7,2,5	43	39
55	1,0,0,0	2,1,1,3	3,0,2,0	2,0,1,1	205	39
57	141,162,173,136	82,96,114,85	111,134,149,123	105,71,93,106	91	39
58	159,188,185,109	82,96,114,85	131,121,148,126	105,71,93,106	219	39
59	88,97,91,58	0,1,1,0	60,66,91,66	3,0,0,1	91	39
61	10,10,5,14	21,17,22,18	3,5,16,1	23,13,26,31	144	39
62	2,7,5,0	63,52,69,48	3,4,2,1	56,37,46,40	43	39
63	8,2,3,9	24,26,30,21	5,7,7,9	39,30,29,34	235	39
64	19,10,8,14	97,103,108,116	10,9,22,11	63,100,96,116	78	39
65	2,1,1,0	101,165,143,134	0,0,1,0	93,121,122,131	43	39
68	176,203,202,186	18,11,8,11	173,149,197,154	13,11,7,17	206	39
69	5,7,3,6	102,100,107,128	3,2,8,4	93,92,123,104	57	39
70	23,26,27,21	2,0,0,0	21,21,36,16	0,0,0,0	428	39
71	9,3,14,8	70,55,60,45	5,2,4,13	37,50,43,48	45	39
72	89,77,69,73	15,10,14,18	62,56,47,82	17,13,8,12	51	39
74	73,70,78,61	0,4,1,3	92,74,72,67	5,2,4,2	84	39
75	0,1,0,0	9,4,5,3	0,0,0,1	4,4,7,15	74	39
77	4,5,8,4	9,1,6,14	3,2,4,2	8,6,7,4	57	39
78	16,16,15,21	35,32,27,37	25,12,19,7	24,28,27,28	1452	39
85	16,27,6,14	0,1,0,0	16,17,26,16	0,0,0,0	1299	39
86	4,4,0,3	18,14,13,20	2,2,1,0	12,7,5,13	733	39
87	5,5,5,3	30,28,17,21	2,2,1,1	12,27,5,18	743	39
88	19,15,18,20	30,28,17,21	12,7,5,14	12,27,5,18	49	39
89	2,9,10,10	5,1,1,0	10,9,9,9	1,1,2,0	60	39
92	29,24,20,26	781,648,586,647	17,16,15,24	694,577,702,726	434	39
93	0,3,0,0	96,55,69,95	1,0,1,1	84,77,74,63	205	39
98	188,217,151,158	12,22,18,13	184,171,152,187	15,16,16,16	60	39
99	639,603,603,612	11,8,4,12	434,478,541,545	12,12,7,6	561	39
100	15,2,11,5	10,10,22,14	4,4,8,8	10,4,8,10	52	39
103	81,66,57,66	8,19,11,10	61,86,67,63	13,15,10,5	118	39
104	37,43,34,36	45,23,29,36	34,24,38,30	40,43,25,34	109	39
107	3,4,2,4	1,3,4,1	1,1,0,4	3,2,1,12	45	39
109	0,0,0,2	0,0,1,0	0,0,0,0	0,1,0,0	151	39
111	21,12,13,9	0,1,0,1	8,12,3,17	0,0,0,0	63	39
112	54,41,40,50	1,0,1,0	30,35,16,41	0,0,0,0	63	39
113	0,0,2,0	32,20,15,31	0,0,0,1	5,11,19,11	69	39
115	2,0,1,2	0,0,0,2	0,5,0,2	0,1,0,0	270	39
119	0,0,0,0	1,3,0,1	0,0,0,2	8,2,0,0	67	39
120	5,7,4,4	0,0,0,0	9,5,5,3	0,0,0,1	204	39
121	2,4,2,2	1,0,0,2	1,3,5,2	1,0,0,0	81	39
123	265,337,261,270	1,0,0,0	315,277,355,299	0,0,0,0	246	39
124	16,22,17,24	0,0,0,0	19,17,26,13	0,0,0,1	99	39
125	36,44,27,43	5,12,8,3	34,33,39,23	1,10,11,8	99	39
128	0,0,4,1	0,0,1,0	1,0,2,0	1,0,0,0	63	39
143	3,2,5,4	111,87,79,69	4,0,2,1	79,71,80,84	166	39
144	369,270,314,287	149,138,152,154	359,318,321,352	161,159,152,142	221	39
145	221,143,186,157	149,138,152,154	208,180,176,203	161,159,152,142	268	39
146	19,9,16,16	167,136,144,146	17,14,12,17	168,152,157,166	86	39
147	205,137,174,147	6,2,4,7	193,174,167,188	10,0,2,1	221	39
148	208,137,176,147	6,2,4,7	195,169,167,190	10,0,2,1	268	39
149	6,3,6,6	3,3,4,6	4,3,3,4	2,8,3,2	86	39
150	203,134,171,146	1,1,2,2	193,166,164,188	5,4,7,0	221	39
151	6,7,5,6	101,113,108,105	5,7,7,17	110,70,87,102	227	39
152	1,0,2,2	3,12,1,7	3,2,0,0	3,5,8,4	42	39
154	1,1,0,0	0,0,0,0	0,0,0,0	0,1,0,0	158	39
155	0,0,0,1	0,0,0,0	0,0,0,0	0,1,0,0	79	39
156	60,67,51,55	0,0,1,0	50,37,38,48	0,0,0,0	463	39
