ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	0,0,0,1	1,0,0,0	0,0,0,0	0,0,1,0	639	39	NA	NA
1	41,48,60,8	34,21,37,4	0,0,36,0	0,0,25,0	42	39	0.615310369290714	0.912150809945019
2	2,0,3,0	39,52,31,10	0,0,3,0	0,0,28,0	59	39	0.872823777575376	0.999202115572178
3	0,0,2,0	1,0,1,0	0,0,1,0	0,0,3,0	42	39	0.150256727024474	0.619776448347959
4	26,18,22,8	3,1,0,0	0,0,7,0	0,0,0,0	87	39	0.999202115572178	0.999202115572178
5	28,20,10,4	0,2,2,0	0,0,11,0	0,0,1,0	42	39	0.390661253142158	0.784589468477221
6	99,119,79,12	91,134,120,18	0,2,119,0	0,0,109,0	412	39	0.0771313355647335	0.514720053636166
7	2,2,4,2	33,47,49,6	0,0,2,0	1,0,42,0	68	39	0.669292658829465	0.937750864647251
8	1,2,6,0	46,30,34,5	0,0,2,0	1,0,41,0	71	39	0.999202115572178	0.999202115572178
9	25,53,43,8	19,20,17,3	0,0,28,0	0,0,17,0	146	39	0.19521710663387	0.672694933651694
11	9,11,15,10	9,6,6,7	12,9,14,6	7,4,6,3	42	39	0.497336569737473	0.847333912875556
12	20,32,20,11	0,0,0,1	20,13,26,9	0,2,2,0	55	39	0.151805619455161	0.623230821647823
13	62,60,53,39	0,0,0,0	40,42,48,59	0,0,1,2	57	39	0.00986887007869197	0.340550781882136
14	62,64,81,55	0,0,0,0	65,52,60,68	0,0,1,0	492	39	0.125641610740131	0.590284852809359
15	50,44,53,44	1,0,0,0	42,35,52,51	0,0,0,0	48	39	0.329842022084837	0.754596966049271
17	25,18,20,20	2,0,0,0	14,13,21,21	0,0,0,0	101	39	0.302927480003716	0.744383814694772
18	44,37,42,29	2,0,0,0	28,20,39,38	0,0,0,0	114	39	0.312662792287899	0.751426360864952
19	19,19,22,9	0,0,0,0	14,8,18,17	0,1,0,0	52	39	0.326187200841979	0.753040184642872
22	36,36,31,27	2,4,6,4	32,28,38,43	15,12,3,6	42	39	0.191116979824537	0.666568026876544
28	1721,1909,1723,1504	518,504,593,509	1738,1483,1836,1819	570,506,468,550	1600	39	0.805503442128649	0.999202115572178
29	13,11,16,20	119,126,147,136	16,8,14,7	80,96,89,89	142	39	0.698433918586496	0.952504939868709
30	8,5,10,7	0,0,4,0	16,8,3,3	0,0,0,1	131	39	0.999202115572178	0.999202115572178
31	53,63,71,60	3,4,0,2	51,77,80,66	3,1,3,1	258	39	0.67770951437402	0.94229756958903
32	346,364,368,351	3,4,0,2	310,360,405,353	3,1,3,1	1647	39	0.925411569313951	0.999202115572178
33	293,302,297,292	0,1,0,1	259,287,325,288	0,4,0,1	1428	39	0.42145087783398	0.803912449984559
34	1,1,2,0	26,23,34,31	0,2,0,1	23,31,24,18	48	39	0.867890872105742	0.999202115572178
35	0,0,1,0	29,21,26,24	0,0,0,0	12,21,24,14	63	39	0.381345203921412	0.780943028040589
41	87,79,95,79	1,2,5,3	104,105,84,81	2,1,0,2	43	39	0.0576538622835314	0.501495324274303
42	8,10,15,13	0,0,1,0	16,16,18,15	0,0,2,0	42	39	0.999202115572178	0.999202115572178
43	40,32,29,22	1,1,2,1	22,26,29,25	1,3,2,0	42	39	0.458535395785918	0.821971164031821
45	11,4,12,6	0,0,0,1	7,8,5,10	0,0,0,1	493	39	0.933653188072692	0.999202115572178
46	1,1,5,2	97,87,90,99	2,0,1,2	82,55,53,70	232	39	0.717371734640778	0.96114072295955
47	31,24,22,12	6,7,2,1	14,15,12,18	1,4,5,6	57	39	0.220669533125664	0.686343273053873
48	2,2,0,0	0,1,4,1	0,1,0,0	2,0,3,1	42	39	0.242301404457092	0.703515628042571
49	15,9,21,8	0,1,4,1	2,7,4,5	2,0,3,1	57	39	0.237120001054885	0.699668799442706
50	13,9,21,8	0,2,0,0	2,7,4,5	0,1,0,0	54	39	0.999202115572178	0.999202115572178
51	71,62,69,66	11,9,4,6	65,81,38,76	5,13,11,6	42	39	0.613014774294082	0.912012768532033
52	6,4,7,1	210,216,191,227	1,4,4,6	227,161,212,225	252	39	0.721014993056233	0.961814721295955
55	4,6,10,4	0,2,0,1	0,4,7,8	0,0,0,1	84	39	0.377227700102291	0.779906515847908
56	28,29,34,30	2,4,3,4	22,26,31,25	2,3,0,8	84	39	0.835489152158754	0.999202115572178
57	47,41,28,43	0,0,1,0	45,33,44,50	0,1,1,0	90	39	0.815214368899472	0.999202115572178
58	0,1,2,1	0,0,0,0	0,1,0,0	0,1,0,0	47	39	0.041958799730222	0.462683207902331
59	14,3,11,12	0,0,0,0	11,6,5,6	0,0,1,0	56	39	0.256978477360965	0.721218092655081
63	3,1,9,6	1,1,0,0	2,0,2,2	0,0,0,0	42	39	0.472388138414185	0.831264427458611
64	45,74,106,76	1,1,0,0	42,37,29,25	0,0,0,0	332	39	0.235820809538377	0.698928264243337
65	44,73,98,70	2,0,1,0	41,37,27,24	1,0,0,1	329	39	0.704941846090206	0.956226953228377
71	82,97,115,88	11,25,17,12	109,73,95,106	13,9,10,16	42	39	0.174762517753033	0.647826000935812
72	191,191,189,200	5,9,7,5	171,145,169,165	4,3,11,8	44	39	0.641952156345239	0.923606953460148
73	11,4,10,13	0,2,0,2	3,4,1,9	0,0,0,1	103	39	0.68895495319429	0.94737805639245
74	11,5,10,13	13,19,15,15	6,5,2,9	14,19,26,24	103	39	0.0255390440211412	0.418951199578236
75	10,4,10,12	1,8,12,0	3,6,2,12	1,5,7,4	103	39	0.271739261440042	0.72917368828241
76	19,16,17,23	65,63,47,60	9,11,14,22	63,65,63,56	103	39	0.130571207470852	0.598341901438361
77	156,157,153,149	0,0,0,1	155,128,178,157	0,0,0,0	85	39	0.320409486887429	0.751892427555289
78	535,533,522,519	27,26,13,23	498,508,595,519	18,29,31,25	44	39	0.303137920369926	0.744383814694772
79	684,683,668,653	130,95,109,83	645,626,755,668	94,101,128,81	85	39	0.693931276318791	0.950503264166215
80	176,176,159,157	130,95,109,83	165,147,191,174	94,101,128,81	80	39	0.629071123297431	0.916444757221898
85	70,62,50,71	33,28,20,41	38,34,36,37	15,33,31,15	77	39	0.284436997068717	0.734252693094261
86	84,80,65,85	4,4,0,0	47,44,55,49	2,3,10,2	96	39	0.0517910419765144	0.495960504198319
87	47,46,35,55	4,4,0,0	24,43,50,27	2,3,10,2	58	39	0.0565131291465684	0.501495324274303
88	0,2,0,1	1,0,0,0	0,1,0,1	0,1,0,1	178	39	0.00268164936407433	0.285682417888319
89	0,0,0,0	0,0,3,0	0,1,0,0	1,0,0,0	57	39	NA	NA
90	18,23,21,17	18,11,8,11	16,16,9,25	13,11,7,17	108	39	0.492132411141321	0.845113339396313
91	136,114,92,111	16,12,2,7	94,89,82,124	12,2,15,9	96	39	0.740070361319697	0.97161564946281
92	11,12,12,12	102,83,78,73	8,17,14,18	70,83,77,60	67	39	0.147741518527799	0.61736031513975
93	13,15,19,14	50,39,27,39	12,8,20,14	25,34,38,36	189	39	0.999202115572178	0.999202115572178
94	175,188,182,201	28,23,23,28	138,112,122,124	27,22,27,20	244	39	0.0143357763790322	0.365020680015517
95	3,1,0,0	2,4,1,1	0,0,2,0	0,1,1,5	44	39	0.999202115572178	0.999202115572178
96	60,45,68,53	14,4,10,3	56,81,58,59	14,3,13,9	117	39	0.542841815559153	0.874653155242993
97	46,39,47,46	11,21,18,14	50,67,52,47	22,9,12,14	117	39	0.205328024624033	0.679434372073194
98	38,35,47,41	10,23,14,7	43,55,40,39	6,13,14,6	117	39	0.225887878901149	0.692065179947047
100	33,28,41,20	2,0,2,0	18,20,24,18	0,1,1,0	43	39	0.82130328809456	0.999202115572178
103	41,66,43,33	29,27,48,31	45,51,47,39	24,25,24,28	54	39	0.230971658277737	0.696204194868343
106	7,12,8,12	14,12,26,16	7,7,4,10	14,11,9,9	42	39	0.742161512144769	0.972958897055525
107	10,0,1,1	0,1,0,0	0,4,2,1	0,0,0,0	331	39	0.135665362536734	0.608523610393722
108	22,3,2,1	0,1,0,0	6,9,6,2	0,0,0,0	524	39	0.398654107184618	0.787834888209018
109	12,3,1,1	0,0,0,1	6,5,4,1	0,0,0,0	232	39	0.264634253484168	0.726093100447999
111	0,0,0,0	1,0,0,0	0,0,1,0	0,0,0,0	83	39	NA	NA
112	2,7,3,2	0,0,0,0	0,5,3,3	2,0,1,0	122	39	0.503983129677769	0.849756544498553
113	6,2,5,2	9,8,5,9	0,1,0,0	2,3,3,4	315	39	0.0465050542706069	0.476023645399134
114	3117,3133,2622,2646	0,1,0,0	2922,2496,2753,2733	0,0,1,0	69	39	0.999202115572178	0.999202115572178
116	103,104,87,81	157,279,199,201	80,75,60,68	145,125,86,117	69	39	0.0172925125704176	0.38001623834778
117	44,68,68,47	16,5,20,19	28,26,27,26	15,8,12,15	102	39	0.103830923888066	0.559703974331526
119	2,6,2,5	0,0,0,1	1,8,2,6	0,0,0,0	779	39	0.285615978401596	0.734293704698295
120	105,111,98,92	75,81,81,76	57,83,100,98	50,75,57,78	45	39	0.999202115572178	0.999202115572178
122	0,0,0,1	0,0,0,1	0,0,0,1	0,0,0,1	58	39	0.993213711815297	0.999202115572178
124	11,6,6,7	1,0,0,0	7,6,13,9	0,0,0,0	48	39	0.28144169905633	0.733928097064922
125	173,107,136,123	13,13,7,18	126,105,102,109	8,10,9,12	48	39	0.732258087574166	0.967257534501852
126	407,408,383,420	2,0,1,2	323,341,285,351	2,7,10,0	45	39	0.249599278569701	0.712828650708021
127	70,56,75,84	2,0,1,2	101,59,82,70	2,7,10,0	331	39	0.347359366496458	0.764987175916556
128	64,48,67,73	401,400,375,409	95,49,80,59	317,331,283,340	325	39	0.0797206978162097	0.519365047077885
130	7,12,0,4	4,2,0,1	8,6,6,5	0,0,0,2	42	39	0.154245560701593	0.628374038678339
131	96,156,154,114	4,11,15,5	115,110,115,118	14,8,13,12	42	39	0.046929171018065	0.477450586450338
132	0,0,0,0	145,140,137,159	0,0,0,1	147,115,121,130	71	39	0.169260791127074	0.643847838406145
133	134,133,123,147	0,0,0,1	130,112,119,138	1,1,0,0	60	39	0.383964337668087	0.781262098266191
134	4,2,5,3	5,3,1,0	8,4,3,2	0,1,0,3	84	39	0.176173440370693	0.650299854852923
135	0,0,2,4	48,42,42,47	1,2,0,7	48,44,49,51	87	39	0.52602406489018	0.864539723842636
136	34,31,41,26	7,1,14,5	29,37,29,34	17,6,10,11	42	39	0.0598164093247937	0.501495324274303
137	4,7,18,7	32,20,21,33	22,3,17,13	26,34,26,36	114	39	0.64899409511837	0.927861928205955
138	0,5,6,1	31,45,30,33	4,5,6,0	43,50,44,35	94	39	0.994112635885996	0.999202115572178
139	0,1,5,5	0,0,0,0	0,0,1,5	0,1,0,1	75	39	0.0307304011184276	0.444182961915206
140	375,370,488,406	1,0,0,0	554,483,732,579	0,0,0,0	1415	39	0.26197143236818	0.723638492684692
141	19,11,32,19	5,4,9,4	26,14,33,14	11,7,10,8	42	39	0.0763639055306337	0.512493792713155
142	39,25,31,27	128,136,107,87	33,43,28,44	82,102,127,114	42	39	0.130971082739627	0.598969158513055
143	126,143,128,132	95,87,85,98	159,123,125,161	141,92,94,96	171	39	0.457445724015467	0.821895878088984
144	0,1,1,0	4,0,0,4	0,2,0,0	4,4,4,4	193	39	0.230041208958954	0.695766277823162
146	0,1,1,1	2,4,5,8	0,0,0,1	4,4,8,4	57	39	0.322834279061097	0.751892427555289
147	10,8,7,6	1,0,0,0	7,7,8,12	0,0,0,0	72	39	0.295946218561476	0.742434130660052
148	1,0,0,0	0,0,1,0	1,0,0,0	2,0,0,1	51	39	0.0299470769734731	0.443015841012906
151	112,146,127,103	51,45,49,46	122,131,131,131	24,47,58,28	42	39	0.144537720379125	0.61736031513975
152	1,0,0,1	125,112,130,103	2,1,4,3	105,88,120,118	53	39	0.00802433254290347	0.333991582814861
154	225,275,200,237	9,2,10,7	232,221,264,241	7,6,8,11	92	39	0.620722936328379	0.913338254400923
155	224,280,241,244	7,7,10,5	255,238,303,234	6,7,4,4	209	39	0.15035191557069	0.619776448347959
157	2,0,2,1	0,0,1,0	0,0,2,0	0,0,2,0	164	39	0.47121595483289	0.830987477618119
162	152,141,155,154	6,2,4,7	168,164,153,147	10,0,2,1	43	39	0.148458683807635	0.61762093794307
163	389,364,406,403	1,1,2,2	458,369,374,410	5,4,7,0	107	39	0.180004214123084	0.655244649402957
164	243,225,255,256	1,1,2,2	300,205,223,264	5,4,7,0	103	39	0.191827859680826	0.667833330582364
165	170,139,147,146	3,3,4,6	175,157,158,171	2,8,3,2	43	39	0.566819186467259	0.887542590016626
166	407,362,398,395	1,0,1,5	465,362,379,434	2,0,0,2	107	39	0.325343413926147	0.753040184642872
167	240,226,255,255	1,0,1,5	292,213,224,265	2,0,0,2	103	39	0.347561132943866	0.764987175916556
168	16,9,13,12	0,0,0,2	20,16,10,18	0,0,0,0	43	39	0.075017069494684	0.509623790526899
169	238,223,251,249	0,0,0,1	291,207,222,263	0,0,0,3	103	39	0.454139436099739	0.821186601510542
171	653,639,705,718	4,4,4,3	819,643,753,827	1,10,9,1	57	39	0.865098864923465	0.999202115572178
172	301,407,339,378	8,8,9,5	287,281,248,299	12,2,10,7	48	39	0.534080169696021	0.869455029651671
174	117,162,131,134	52,50,61,64	143,140,124,145	51,39,65,60	774	39	0.483474266890455	0.839177868967663
175	120,170,145,138	15,31,18,30	151,151,136,163	15,18,12,21	810	39	0.0369238324609197	0.455984016207464
176	134,183,160,164	24,20,21,21	167,158,151,171	11,18,26,26	849	39	0.623936015853374	0.915222238507616
177	55,58,75,68	15,31,18,30	59,50,77,78	15,18,12,21	75	39	0.0406432691362127	0.461070667122677
178	69,71,90,94	24,20,21,21	75,57,92,86	11,18,26,26	114	39	0.9023719450638	0.999202115572178
179	29,44,33,56	24,20,21,21	31,25,27,29	11,18,26,26	78	39	0.242871201997134	0.703515628042571
180	5,5,2,5	137,156,148,139	6,1,6,2	162,167,157,161	108	39	0.447168737078903	0.819726933508876
181	27,18,24,28	11,6,2,7	21,15,11,8	3,5,9,4	86	39	0.38443651763679	0.781262098266191
183	13,35,37,28	209,229,193,196	34,34,37,31	230,226,238,277	132	39	0.757846212696495	0.981515353662933
190	62,66,82,82	59,48,46,54	88,54,61,80	53,71,64,78	588	39	0.115056798557145	0.577502718928702
191	13,26,15,26	142,119,112,148	18,30,17,27	195,159,186,173	268	39	0.324699972396804	0.753040184642872
192	17,21,16,9	5,4,6,17	27,16,23,19	11,10,7,11	42	39	0.999202115572178	0.999202115572178
193	46,36,47,43	70,60,61,63	35,63,48,66	76,61,72,69	750	39	0.569927042440109	0.8886288079642
194	4,1,3,3	129,96,91,73	3,6,6,3	94,96,92,99	59	39	0.108824482530796	0.571478346281729
195	36,43,51,51	15,23,19,16	44,34,31,43	7,19,8,16	42	39	0.366952958101952	0.776066687275586
196	11,9,11,10	5,4,4,4	11,11,6,9	2,7,0,2	42	39	0.2867803658689	0.735934967060755
197	30,36,27,19	74,51,54,60	33,29,28,26	80,66,58,81	47	39	0.400610355496349	0.789188281341741
198	5,5,6,3	78,99,94,93	5,11,3,2	100,107,83,94	67	39	0.960129032897388	0.999202115572178
199	2,1,1,1	1,0,0,1	0,0,1,3	1,0,2,0	42	39	0.635911665239165	0.920717620840558
200	29,14,21,28	31,18,31,31	22,22,26,27	10,17,27,27	42	39	0.0536049848159054	0.501478306759968
201	103,89,102,99	90,76,84,86	117,91,118,114	111,92,106,119	42	39	0.0713340692459474	0.50259348092079
202	146,110,144,146	28,23,20,32	167,160,204,167	34,36,45,33	45	39	0.340516902448102	0.760418983838918
206	0,1,0,1	0,0,0,0	1,1,0,1	0,0,1,0	50	39	0.999202115572178	0.999202115572178
208	0,0,1,1	3,2,1,4	0,3,0,2	6,6,0,3	91	39	0.40587594186188	0.792432742022295
209	0,1,0,0	0,0,0,0	0,0,0,0	0,2,2,2	85	39	0.0619020935334514	0.501495324274303
217	1,19,6,2	79,101,79,93	1,5,0,1	75,111,91,90	181	39	0.0498511388699906	0.491345288088745
218	4,6,7,10	0,0,0,0	5,4,8,6	0,1,0,0	42	39	0.267006261576656	0.726230714957026
219	3,3,3,4	0,0,0,0	3,2,4,3	0,0,0,2	42	39	0.391108741713678	0.784589468477221
221	187,171,149,187	150,163,115,185	169,199,176,213	175,124,179,167	92	39	0.745257721527867	0.97457561191556
223	22,18,28,17	81,146,127,78	14,13,26,14	74,72,82,94	75	39	0.841692144912539	0.999202115572178
224	14,17,21,14	46,70,52,41	11,10,14,12	56,46,35,49	75	39	0.287510192433538	0.736977448809661
225	22,30,25,19	73,162,108,92	12,11,18,17	69,73,70,91	75	39	0.41892951666154	0.802786684220998
226	7,7,6,19	268,216,205,227	5,14,10,8	177,137,153,198	86	39	0.387673622558956	0.782092572957939
227	50,53,45,43	319,365,324,324	30,47,46,42	349,353,298,330	299	39	0.204985266654197	0.679434372073194
228	625,923,778,581	196,176,184,199	934,745,873,861	173,209,170,212	1486	39	0.233507294302162	0.697467182665751
229	79,99,66,64	27,41,35,29	57,69,42,80	22,30,25,19	42	39	0.614575087433579	0.912150809945019
230	132,105,131,100	5,1,3,3	79,70,57,56	4,1,1,4	45	39	0.370976184036555	0.77666867707939
231	445,436,346,387	6,4,3,4	356,367,384,389	5,6,1,10	42	39	0.529546451898985	0.866511205077862
232	3,1,4,4	39,59,33,34	3,1,4,4	50,24,31,39	469	39	0.827160430773923	0.999202115572178
235	4,6,3,0	0,0,0,1	4,5,2,2	0,0,0,0	48	39	0.649363772607261	0.927953563678768
236	0,0,1,1	0,5,0,0	0,1,0,0	1,0,0,1	42	39	0.573269785139585	0.890284264294998
238	35,44,53,41	77,84,91,79	45,41,42,38	83,53,45,54	606	39	0.0376771078404876	0.455984016207464
239	0,4,1,1	0,0,0,0	0,0,0,4	2,0,0,0	42	39	0.926279834853665	0.999202115572178
241	35,35,33,40	15,20,8,16	29,28,29,40	15,11,22,9	42	39	0.789018848877582	0.997968617919882
242	75,86,87,88	3,4,0,4	62,62,54,84	3,3,5,4	78	39	0.113795960520222	0.575589344643381
248	15,7,7,10	2,0,4,1	5,5,9,1	3,1,2,0	42	39	0.379046029145233	0.780943028040589
249	0,0,0,0	0,0,0,2	0,0,3,0	0,0,0,0	42	39	NA	NA
250	539,481,459,457	1528,1296,1317,1358	430,405,498,468	1486,1339,1402,1494	127	39	0.0389536783996967	0.457741671998156
251	7,13,13,5	87,85,117,103	8,6,6,5	102,109,134,139	70	39	0.0353148649236168	0.455984016207464
252	16,22,25,13	36,38,38,27	16,16,19,25	48,48,27,48	63	39	0.314366338788451	0.751426360864952
253	0,4,0,1	43,72,68,49	2,1,1,1	88,46,66,70	102	39	0.953569675780347	0.999202115572178
254	37,47,46,42	0,7,6,6	41,35,47,50	2,6,6,3	43	39	0.999202115572178	0.999202115572178
255	16,50,34,36	2,4,8,2	27,41,28,45	3,3,3,8	43	39	0.906106244266005	0.999202115572178
256	26,25,31,27	4,4,7,12	27,24,28,28	7,1,2,4	43	39	0.0798699337839642	0.519365047077885
257	1,0,0,2	0,0,0,1	0,0,0,0	1,0,0,0	43	39	0.0694816038749617	0.501495324274303
258	3,3,1,0	66,66,79,65	4,4,4,2	80,81,97,80	75	39	0.36995645841915	0.776173426069353
259	73,97,90,85	0,0,0,3	60,43,43,40	1,0,1,5	174	39	0.0792097523978728	0.519192370739877
260	55,50,42,49	0,5,1,1	22,24,45,22	0,0,0,5	76	39	0.376676885991028	0.779715162776247
261	4,7,2,4	0,0,2,0	5,6,4,8	1,0,0,1	42	39	0.824431840077522	0.999202115572178
264	143,135,125,145	2,1,3,1	118,122,127,131	1,0,1,1	42	39	0.236761636906976	0.699610286157168
267	1,0,0,2	50,46,54,50	0,0,0,1	77,67,57,64	58	39	0.21049349888467	0.681690641606593
269	5,5,4,7	26,23,35,25	7,7,6,1	24,26,24,21	42	39	0.620068800523552	0.913338254400923
270	5,1,0,2	22,25,35,27	1,0,4,4	34,55,37,34	82	39	0.843295138019962	0.999202115572178
271	558,824,770,550	69,82,67,72	798,799,695,743	89,98,75,92	2759	39	0.444923700168515	0.818455451989721
272	6,21,17,13	117,147,151,152	3,7,9,7	113,122,138,125	164	39	0.00930458373344778	0.336780395088353
273	98,97,106,103	12,12,11,3	118,97,84,108	20,6,15,14	43	39	0.187749832270608	0.661297559512672
274	1,1,2,0	10,11,10,12	1,0,3,0	5,5,9,15	59	39	0.999202115572178	0.999202115572178
275	3,7,9,5	2,2,1,3	11,3,10,9	5,7,9,13	75	39	0.0192216223802202	0.386408084140825
276	3,5,8,4	1,2,3,0	9,3,7,9	0,2,0,3	43	39	0.396797388392316	0.787168694128261
277	1,4,4,1	2,2,1,3	2,2,3,3	5,7,9,13	71	39	0.00947141855861877	0.33837107085889
278	244,218,187,271	26,17,22,19	217,203,236,243	19,34,24,23	43	39	0.29723988557553	0.743918906182965
