IncLevel1	IncLevel2	IncLevelDifference
0.0,NA,NA,1.0	NA,NA,0.0,NA	0.5
0.528,0.68,0.601,0.65	NA,NA,0.572,NA	0.043
0.033,0.0,0.06,0.0	NA,NA,0.066,NA	-0.043
0.0,NA,0.65,NA	NA,NA,0.236,NA	0.089
0.795,0.89,1.0,1.0	NA,NA,1.0,NA	-0.079
1.0,0.903,0.823,1.0	NA,NA,0.911,NA	0.02
0.093,0.078,0.059,0.059	NA,1.0,0.094,NA	-0.475
0.034,0.024,0.045,0.16	0.0,NA,0.027,NA	0.052
0.012,0.035,0.088,0.0	0.0,NA,0.026,NA	0.021
0.26,0.414,0.403,0.416	NA,NA,0.306,NA	0.067
0.481,0.63,0.699,0.57	0.614,0.676,0.684,0.65	-0.061
1.0,1.0,1.0,0.886	1.0,0.822,0.902,1.0	0.04
1.0,1.0,1.0,1.0	1.0,1.0,0.97,0.953	0.019
1.0,1.0,1.0,1.0	1.0,1.0,0.826,1.0	0.043
0.976,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.006
0.828,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.043
0.883,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.029
1.0,1.0,1.0,1.0	1.0,0.857,1.0,1.0	0.036
0.944,0.893,0.828,0.862	0.665,0.684,0.922,0.869	0.097
0.075,0.085,0.066,0.067	0.069,0.067,0.087,0.075	-0.001
0.029,0.023,0.029,0.039	0.052,0.022,0.041,0.021	-0.004
1.0,1.0,0.427,1.0	1.0,1.0,1.0,0.472	-0.011
0.728,0.704,1.0,0.819	0.72,0.921,0.801,0.909	-0.025
0.732,0.683,1.0,0.806	0.71,0.895,0.762,0.893	-0.01
1.0,0.892,1.0,0.889	1.0,0.662,1.0,0.887	0.058
0.03,0.034,0.046,0.0	0.0,0.05,0.0,0.043	0.004
0.0,0.0,0.023,0.0	0.0,0.0,0.0,0.0	0.006
0.987,0.973,0.945,0.96	0.979,0.99,1.0,0.973	-0.019
1.0,1.0,0.933,1.0	1.0,1.0,0.893,1.0	0.01
0.974,0.967,0.931,0.953	0.953,0.889,0.931,1.0	0.013
1.0,1.0,1.0,0.322	1.0,1.0,1.0,0.442	-0.03
0.002,0.002,0.009,0.003	0.004,0.0,0.003,0.005	0.001
0.779,0.701,0.883,0.891	0.905,0.72,0.622,0.672	0.084
1.0,0.65,0.0,0.0	0.0,1.0,0.0,0.0	0.162
1.0,0.86,0.782,0.846	0.406,1.0,0.477,0.774	0.208
1.0,0.765,1.0,1.0	1.0,0.835,1.0,1.0	-0.017
0.857,0.865,0.941,0.911	0.923,0.853,0.762,0.922	0.028
0.004,0.003,0.006,0.001	0.001,0.004,0.003,0.004	0.001
1.0,0.582,1.0,0.65	NA,1.0,1.0,0.788	-0.121
0.867,0.771,0.84,0.777	0.836,0.801,1.0,0.592	0.006
1.0,1.0,0.924,1.0	1.0,0.935,0.95,1.0	0.01
NA,1.0,1.0,1.0	NA,0.453,NA,NA	0.547
1.0,1.0,1.0,1.0	1.0,1.0,0.777,1.0	0.056
0.736,0.481,1.0,1.0	1.0,NA,1.0,1.0	-0.196
0.841,0.897,1.0,1.0	1.0,1.0,1.0,1.0	-0.066
0.723,1.0,0.921,1.0	0.829,1.0,1.0,0.74	0.019
0.874,0.783,0.863,0.872	0.886,0.883,0.898,0.86	-0.034
0.971,0.95,0.96,0.973	0.974,0.977,0.932,0.948	0.006
1.0,0.431,1.0,0.711	1.0,1.0,1.0,0.773	-0.158
0.243,0.091,0.202,0.247	0.14,0.091,0.028,0.124	0.1
0.791,0.159,0.24,1.0	0.532,0.312,0.098,0.532	0.179
0.1,0.088,0.12,0.127	0.051,0.06,0.078,0.129	0.029
1.0,1.0,1.0,0.986	1.0,1.0,1.0,1.0	-0.004
0.946,0.948,0.973,0.952	0.961,0.939,0.944,0.948	0.007
0.707,0.767,0.738,0.783	0.759,0.74,0.73,0.791	-0.006
0.398,0.475,0.416,0.48	0.461,0.415,0.421,0.512	-0.01
0.518,0.529,0.559,0.467	0.562,0.343,0.37,0.555	0.061
0.895,0.89,1.0,1.0	0.905,0.856,0.691,0.909	0.106
0.888,0.885,1.0,1.0	0.89,0.906,0.771,0.901	0.076
0.0,1.0,NA,1.0	NA,0.18,NA,0.18	0.487
NA,NA,0.0,NA	0.0,1.0,NA,NA	-0.5
0.265,0.43,0.487,0.358	0.308,0.344,0.317,0.347	0.056
0.775,0.794,0.949,0.866	0.761,0.948,0.69,0.848	0.034
0.059,0.078,0.082,0.087	0.062,0.107,0.096,0.149	-0.027
0.051,0.074,0.127,0.069	0.09,0.046,0.098,0.074	0.003
0.5,0.566,0.558,0.534	0.45,0.449,0.419,0.498	0.085
0.571,0.181,0.0,0.0	NA,0.0,0.639,0.0	-0.025
0.588,0.789,0.694,0.855	0.571,0.9,0.598,0.686	0.043
0.582,0.382,0.465,0.523	0.431,0.713,0.591,0.528	-0.078
0.559,0.337,0.528,0.661	0.705,0.585,0.488,0.684	-0.094
0.937,1.0,0.949,1.0	1.0,0.948,0.956,1.0	-0.004
0.505,0.638,0.393,0.435	0.575,0.596,0.586,0.501	-0.072
0.317,0.481,0.222,0.411	0.317,0.371,0.292,0.508	-0.014
1.0,0.0,1.0,1.0	NA,1.0,1.0,1.0	-0.25
1.0,0.183,1.0,1.0	1.0,1.0,1.0,1.0	-0.204
1.0,1.0,1.0,0.144	1.0,1.0,1.0,1.0	-0.214
0.0,NA,NA,NA	NA,NA,1.0,NA	-1.0
1.0,1.0,1.0,1.0	0.0,1.0,0.49,1.0	0.377
0.076,0.03,0.11,0.027	0.0,0.04,0.0,0.0	0.051
1.0,0.999,1.0,1.0	1.0,1.0,0.999,1.0	0.0
0.271,0.174,0.198,0.186	0.238,0.253,0.283,0.247	-0.048
0.513,0.839,0.565,0.486	0.416,0.554,0.462,0.399	0.143
1.0,1.0,1.0,0.2	1.0,1.0,1.0,1.0	-0.2
0.548,0.543,0.512,0.512	0.497,0.49,0.603,0.521	0.001
NA,NA,NA,0.402	NA,NA,NA,0.402	0.0
0.899,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.025
0.915,0.87,0.94,0.847	0.928,0.895,0.902,0.881	-0.008
0.994,1.0,0.997,0.995	0.993,0.977,0.961,1.0	0.014
0.805,1.0,0.898,0.832	0.856,0.498,0.491,1.0	0.172
0.019,0.014,0.021,0.021	0.035,0.017,0.033,0.02	-0.007
0.619,0.848,NA,0.788	1.0,1.0,1.0,0.699	-0.173
0.957,0.929,0.905,0.955	0.884,0.927,0.891,0.901	0.036
0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.004	-0.001
1.0,1.0,1.0,0.99	0.988,0.986,1.0,1.0	0.004
0.271,0.236,0.699,1.0	1.0,0.65,1.0,0.236	-0.17
0.0,0.0,0.021,0.037	0.009,0.02,0.0,0.058	-0.007
0.819,0.966,0.731,0.828	0.613,0.851,0.729,0.742	0.102
0.041,0.107,0.227,0.068	0.224,0.029,0.183,0.11	-0.026
0.0,0.044,0.077,0.012	0.037,0.04,0.054,0.0	0.001
NA,1.0,1.0,1.0	NA,0.0,1.0,0.722	0.426
0.912,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.022
0.779,0.719,0.768,0.815	0.687,0.65,0.754,0.619	0.093
0.221,0.146,0.212,0.224	0.272,0.281,0.17,0.264	-0.046
0.232,0.273,0.256,0.235	0.205,0.234,0.233,0.277	0.012
0.0,1.0,1.0,0.0	0.0,0.092,0.0,0.0	0.477
0.0,0.146,0.12,0.079	0.0,0.0,0.0,0.146	0.05
0.844,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.039
1.0,NA,0.0,NA	0.277,NA,NA,0.0	0.361
0.671,0.751,0.706,0.675	0.825,0.721,0.677,0.813	-0.058
0.006,0.0,0.0,0.007	0.014,0.008,0.024,0.018	-0.013
0.914,0.983,0.894,0.935	0.934,0.94,0.933,0.903	0.004
0.857,0.882,0.818,0.901	0.888,0.864,0.934,0.916	-0.036
1.0,NA,0.322,1.0	NA,NA,0.192,NA	0.582
0.958,0.985,0.972,0.952	0.938,1.0,0.986,0.993	-0.012
0.993,0.993,0.987,0.987	0.971,0.971,0.951,1.0	0.017
0.989,0.988,0.98,0.98	0.958,0.951,0.923,1.0	0.026
0.981,0.977,0.971,0.957	0.988,0.947,0.979,0.987	-0.004
0.993,1.0,0.993,0.966	0.988,1.0,1.0,0.988	-0.006
0.989,1.0,0.99,0.951	0.982,1.0,1.0,0.98	-0.008
1.0,1.0,1.0,0.845	1.0,1.0,1.0,1.0	-0.039
1.0,1.0,1.0,0.99	1.0,1.0,1.0,0.971	0.005
0.991,0.991,0.992,0.994	0.998,0.978,0.983,0.998	0.003
0.968,0.976,0.968,0.984	0.951,0.991,0.953,0.972	0.007
0.102,0.14,0.098,0.095	0.124,0.153,0.088,0.109	-0.01
0.278,0.209,0.279,0.181	0.326,0.288,0.353,0.272	-0.073
0.204,0.296,0.259,0.264	0.411,0.287,0.211,0.232	-0.029
0.656,0.493,0.684,0.541	0.672,0.591,0.769,0.659	-0.079
0.496,0.548,0.595,0.605	0.7,0.52,0.548,0.531	-0.014
0.377,0.524,0.44,0.571	0.585,0.41,0.342,0.358	0.054
0.013,0.011,0.005,0.013	0.013,0.002,0.014,0.004	0.002
0.527,0.576,0.845,0.645	0.76,0.576,0.357,0.476	0.106
0.018,0.043,0.054,0.04	0.042,0.043,0.044,0.032	-0.002
0.065,0.084,0.106,0.092	0.099,0.048,0.059,0.064	0.019
0.013,0.031,0.019,0.025	0.013,0.027,0.013,0.022	0.003
0.759,0.83,0.712,0.33	0.695,0.598,0.753,0.616	-0.008
0.033,0.03,0.039,0.034	0.023,0.051,0.034,0.047	-0.005
0.02,0.007,0.021,0.026	0.021,0.04,0.041,0.02	-0.012
0.69,0.635,0.714,0.747	0.854,0.624,0.783,0.714	-0.047
0.671,0.676,0.719,0.699	0.836,0.593,1.0,0.807	-0.118
0.252,0.369,0.293,0.208	0.255,0.267,0.286,0.21	0.026
0.036,0.029,0.036,0.018	0.028,0.056,0.021,0.012	0.001
0.65,1.0,1.0,0.481	0.0,NA,0.317,1.0	0.344
0.465,0.419,0.386,0.456	0.671,0.546,0.472,0.481	-0.111
0.515,0.521,0.53,0.517	0.495,0.479,0.508,0.471	0.033
0.819,0.806,0.862,0.798	0.81,0.794,0.797,0.814	0.017
NA,1.0,NA,1.0	1.0,1.0,0.0,1.0	0.25
0.0,0.0,0.3,0.097	0.0,0.176,NA,0.222	-0.033
NA,1.0,NA,NA	NA,0.0,0.0,0.0	1.0
0.003,0.039,0.016,0.005	0.003,0.01,0.0,0.002	0.012
1.0,1.0,1.0,1.0	1.0,0.788,1.0,1.0	0.053
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.582	0.105
0.346,0.308,0.355,0.3	0.29,0.405,0.294,0.351	-0.008
0.124,0.06,0.103,0.102	0.09,0.086,0.142,0.072	-0.0
0.137,0.112,0.174,0.151	0.093,0.102,0.172,0.113	0.023
0.135,0.088,0.107,0.097	0.083,0.073,0.118,0.089	0.016
0.012,0.014,0.013,0.037	0.013,0.044,0.029,0.018	-0.007
0.02,0.019,0.018,0.017	0.011,0.017,0.02,0.016	0.002
0.077,0.121,0.1,0.071	0.124,0.086,0.119,0.096	-0.014
0.731,0.692,0.636,0.672	0.706,0.681,0.609,0.796	-0.015
0.958,0.989,0.974,0.967	0.945,0.984,0.98,0.924	0.014
0.986,0.99,0.991,0.989	0.985,0.983,0.997,0.973	0.005
0.006,0.001,0.01,0.01	0.005,0.003,0.011,0.008	0.0
1.0,1.0,1.0,0.0	1.0,1.0,1.0,1.0	-0.25
NA,0.0,1.0,1.0	0.0,1.0,NA,0.0	0.333
0.028,0.033,0.036,0.032	0.034,0.047,0.057,0.043	-0.013
NA,1.0,1.0,1.0	0.0,NA,NA,1.0	0.5
0.684,0.619,0.793,0.699	0.642,0.703,0.55,0.805	0.024
0.926,0.915,1.0,0.917	0.912,0.912,0.844,0.913	0.044
0.874,1.0,0.619,0.903	0.607,0.823,0.807,1.0	0.04
NA,NA,NA,0.0	NA,NA,1.0,NA	-1.0
0.098,0.102,0.097,0.094	0.082,0.085,0.098,0.088	0.01
0.043,0.079,0.058,0.026	0.042,0.03,0.024,0.02	0.022
0.216,0.264,0.289,0.23	0.171,0.171,0.303,0.244	0.027
0.0,0.021,0.0,0.008	0.009,0.008,0.006,0.005	0.0
1.0,0.859,0.874,0.864	0.949,0.841,0.877,0.938	-0.002
0.879,0.919,0.794,0.942	0.891,0.925,0.894,0.836	-0.003
0.855,0.85,0.801,0.671	0.778,0.956,0.927,0.864	-0.087
1.0,NA,NA,0.645	0.0,NA,NA,NA	0.823
0.023,0.023,0.007,0.0	0.025,0.025,0.021,0.013	-0.008
1.0,1.0,1.0,0.864	0.931,1.0,0.906,0.642	0.096
1.0,0.837,0.956,0.962	1.0,1.0,1.0,0.693	0.015
1.0,1.0,0.481,1.0	0.823,1.0,1.0,0.881	-0.056
0.985,0.992,0.975,0.993	0.991,1.0,0.992,0.992	-0.008
0.013,0.0,0.0,0.026	0.0,0.0,0.0,0.01	0.007
0.152,0.168,0.096,0.206	0.213,0.2,0.188,0.042	-0.005
0.098,0.019,0.0,0.034	0.014,0.0,0.049,0.053	0.009
0.103,0.124,0.14,0.097	0.112,0.103,0.116,0.102	0.008
0.012,0.033,0.026,0.02	0.006,0.013,0.015,0.013	0.011
0.881,0.88,0.897,0.969	0.843,0.936,0.836,0.875	0.034
0.062,0.057,0.117,0.0	0.117,0.0,0.181,0.0	-0.015
0.438,0.645,0.824,0.464	0.534,0.182,0.366,0.265	0.256
0.731,0.694,0.707,1.0	1.0,0.576,1.0,0.731	-0.044
0.215,0.523,0.687,0.155	0.18,0.136,0.155,0.113	0.249
0.895,0.921,0.885,0.928	0.912,0.844,0.899,0.906	0.017
0.77,0.717,0.703,0.644	0.823,0.736,0.731,0.657	-0.028
0.32,0.3,0.332,0.226	0.252,0.236,0.327,0.268	0.024
0.658,0.669,0.684,0.418	0.495,0.58,0.527,0.548	0.07
1.0,0.672,1.0,1.0	0.672,1.0,1.0,1.0	0.0
0.815,0.832,0.832,0.959	0.619,1.0,0.736,0.918	0.041
0.059,0.056,0.041,0.04	0.041,0.054,0.039,0.059	0.001
0.067,0.067,0.275,0.432	0.336,0.336,0.0,0.053	0.029
0.038,0.011,0.036,0.038	0.021,0.051,0.0,0.01	0.01
0.0,1.0,1.0,1.0	NA,1.0,0.0,1.0	0.083
0.972,0.817,0.955,0.935	1.0,1.0,0.957,0.812	-0.023
0.352,0.42,0.258,0.226	0.363,0.391,0.332,0.364	-0.049
1.0,1.0,1.0,1.0	1.0,1.0,0.511,1.0	0.122
0.195,0.548,0.421,1.0	0.029,0.267,0.377,0.195	0.324
0.561,0.83,0.635,1.0	1.0,1.0,0.439,1.0	-0.103
0.884,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.029
0.766,0.571,0.765,0.748	0.771,0.612,0.661,0.693	0.028
0.78,1.0,0.93,0.742	1.0,0.889,1.0,1.0	-0.109
0.722,0.88,0.675,0.927	0.623,0.861,0.738,0.669	0.078
NA,1.0,1.0,1.0	1.0,1.0,1.0,0.384	0.154
0.039,0.042,0.015,0.06	0.023,0.026,0.052,0.057	-0.001
0.324,0.092,0.176,0.124	0.092,0.225,0.07,0.084	0.061
0.184,0.252,0.276,0.263	0.221,0.266,0.241,0.267	-0.005
0.923,0.923,0.705,0.886	1.0,0.867,1.0,0.933	-0.091
0.873,0.925,1.0,0.92	0.765,0.925,1.0,1.0	0.007
0.108,0.162,0.204,0.176	0.19,0.273,0.264,0.268	-0.086
0.078,0.084,0.105,0.078	0.066,0.087,0.087,0.081	0.006
1.0,0.924,0.976,1.0	1.0,1.0,1.0,1.0	-0.025
0.877,0.753,0.832,0.831	0.825,0.763,0.776,0.886	0.011
0.004,0.001,0.007,0.007	0.006,0.0,0.003,0.002	0.002
0.028,0.029,0.029,0.051	0.033,0.013,0.017,0.02	0.014
0.814,0.833,0.796,0.797	0.794,0.827,0.763,0.799	0.014
1.0,1.0,1.0,1.0	0.823,0.848,1.0,0.736	0.148
0.911,0.983,0.915,0.964	0.95,0.851,0.899,0.852	0.055
0.279,0.236,0.198,0.317	0.304,0.104,0.0,0.205	0.104
0.053,0.032,0.027,0.023	0.057,0.056,0.026,0.05	-0.014
0.147,0.043,0.432,0.031	0.055,0.028,0.137,0.16	0.068
0.867,0.825,0.945,0.829	0.86,0.882,0.879,0.711	0.034
0.986,1.0,0.996,0.971	1.0,0.986,0.993,0.996	-0.005
1.0,1.0,1.0,0.995	1.0,1.0,1.0,1.0	-0.001
1.0,1.0,1.0,0.964	1.0,1.0,1.0,1.0	-0.009
0.171,0.296,0.206,0.162	0.177,0.178,0.183,0.153	0.036
0.809,0.776,0.775,0.727	0.811,0.771,0.762,0.852	-0.027
0.803,1.0,0.827,0.704	1.0,1.0,0.414,0.622	0.074
1.0,1.0,1.0,0.871	1.0,1.0,0.801,1.0	0.017
0.827,0.909,0.88,0.821	0.875,0.946,0.839,0.9	-0.031
0.143,0.29,0.187,0.133	0.099,0.238,0.118,0.159	0.035
0.139,0.124,0.0,0.064	0.069,0.086,0.068,0.066	0.009
1.0,0.234,NA,1.0	1.0,1.0,1.0,1.0	-0.255
0.0,0.04,0.0,0.11	0.032,0.026,0.055,0.052	-0.004
0.649,0.734,0.563,0.639	0.727,0.749,0.736,0.717	-0.086
0.565,0.537,0.699,1.0	0.603,0.736,0.779,0.367	0.079
0.686,0.422,0.494,1.0	0.48,0.732,0.652,0.5	0.06
0.617,0.376,0.287,0.501	0.367,0.497,0.337,0.622	-0.01
0.124,0.118,0.113,0.145	0.119,0.154,0.057,0.092	0.019
0.861,0.868,0.778,0.739	0.717,0.773,0.897,0.783	0.019
0.422,0.438,0.218,0.215	0.551,0.513,0.305,0.254	-0.082
1.0,1.0,0.724,1.0	1.0,1.0,0.724,1.0	0.0
0.006,0.002,0.01,0.005	0.004,0.006,0.005,0.008	0.0
0.916,0.889,0.906,0.903	0.907,0.959,0.978,0.946	-0.044
0.038,0.032,0.054,0.043	0.035,0.046,0.032,0.035	0.005
1.0,1.0,NA,0.547	1.0,1.0,1.0,1.0	-0.151
0.859,0.875,0.92,0.713	0.794,0.779,0.736,0.584	0.118
0.057,0.125,0.256,0.125	0.028,0.103,0.067,0.153	0.053
0.0,0.0,0.0,0.0	0.0,0.0,0.037,0.0	-0.009
0.164,0.062,0.027,0.067	0.068,0.032,0.052,0.108	0.015
1.0,1.0,1.0,0.723	1.0,0.608,1.0,1.0	0.029
1.0,1.0,1.0,0.681	1.0,0.584,1.0,1.0	0.024
0.0,0.084,0.269,0.128	0.155,0.227,0.058,0.453	-0.103
0.195,0.233,0.548,0.548	0.305,0.645,1.0,0.515	-0.235
0.055,0.024,0.066,0.048	0.048,0.069,0.054,0.055	-0.008
1.0,1.0,1.0,1.0	0.441,1.0,1.0,1.0	0.14
1.0,1.0,0.808,1.0	1.0,0.793,1.0,0.678	0.084
0.598,0.749,1.0,1.0	1.0,0.833,0.737,1.0	-0.056
NA,NA,0.0,NA	1.0,0.0,NA,0.0	-0.333
0.568,0.717,1.0,1.0	1.0,0.826,0.717,1.0	-0.065
0.57,0.718,1.0,1.0	1.0,0.831,0.718,1.0	-0.065
1.0,0.844,0.76,0.655	0.826,1.0,1.0,1.0	-0.142
0.645,1.0,0.459,0.686	0.288,0.361,1.0,0.361	0.195
