ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	5,1,21,0	20,26,20,3	0,0,5,0	0,0,28,0	612	39	0.0549479635131727	0.436791857587401	0.016,0.002,0.063,0.0	NA,NA,0.011,NA	0.009
4	22,25,9,1	12,13,3,0	0,0,17,0	0,0,10,0	46	39	0.192567905535253	0.619022637584819	0.609,0.62,0.718,1.0	NA,NA,0.59,NA	0.147
5	16,18,17,9	17,36,18,0	0,0,16,0	0,0,19,0	203	39	0.705849937444601	0.957908658082787	0.153,0.088,0.154,1.0	NA,NA,0.139,NA	0.21
6	49,51,67,49	0,0,1,1	71,54,38,63	1,0,0,0	489	39	0.599448734041451	0.895068054376339	1.0,1.0,0.842,0.796	0.85,1.0,1.0,1.0	-0.053
7	21,27,9,16	2,0,0,0	15,6,14,22	0,0,0,0	178	39	0.316686723939884	0.719991212334233	0.697,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.076
10	1,2,0,2	19,21,10,15	3,4,3,3	21,25,13,17	232	39	0.0452552978645488	0.418542189710994	0.009,0.016,0.0,0.022	0.023,0.026,0.037,0.029	-0.017
11	22,29,9,18	16,16,17,8	18,10,17,25	11,5,15,14	371	39	0.556128371282483	0.867240637820302	0.126,0.16,0.053,0.191	0.147,0.174,0.106,0.158	-0.014
12	47,43,17,31	3,3,14,4	38,23,28,46	5,2,8,11	431	39	0.854580402509625	0.999219940423941	0.586,0.565,0.099,0.412	0.407,0.51,0.241,0.275	0.057
13	40,48,19,31	16,16,17,8	36,31,27,39	11,5,15,14	178	39	0.297578728552308	0.713832325427678	0.354,0.397,0.197,0.459	0.418,0.576,0.283,0.379	-0.062
14	65,62,27,44	3,3,14,4	56,44,38,60	5,2,8,11	238	39	0.868624226160394	0.999219940423941	0.78,0.772,0.24,0.643	0.647,0.783,0.438,0.472	0.024
15	41,30,25,21	3,3,14,4	31,18,26,35	5,2,8,11	99	39	0.587592011331464	0.888794638988769	0.843,0.798,0.413,0.674	0.71,0.78,0.561,0.556	0.03
16	3,1,3,2	20,26,29,19	4,2,5,1	18,15,22,11	48	39	0.132059512982716	0.545855614078368	0.109,0.03,0.078,0.079	0.153,0.098,0.156,0.069	-0.045
