ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	15,19,13,6	55,61,43,14	0,0,11,0	0,0,34,0	87	169	0.866004237906762	0.99328749948152	0.346,0.377,0.37,0.454	NA,NA,0.386,NA	0.001
1	1,0,1,0	55,61,43,14	0,0,1,0	0,0,34,0	107	169	0.825921375040236	0.980107479709963	0.028,0.0,0.035,0.0	NA,NA,0.044,NA	-0.028
2	13,23,19,2	28,48,43,11	0,0,18,0	0,0,40,0	154	227	0.982241388730239	0.999202115572178	0.406,0.414,0.394,0.211	NA,NA,0.399,NA	-0.043
3	49,45,55,44	36,32,40,37	40,35,52,52	45,37,30,45	191	188	0.305831841104326	0.742122169757097	0.573,0.581,0.575,0.539	0.467,0.482,0.63,0.532	0.039
5	0,0,0,0	0,3,0,0	0,0,0,2	0,0,1,0	168	208	NA	NA	NA,0.0,NA,NA	NA,NA,0.0,1.0	-0.5
6	106,99,134,100	2,2,3,2	83,62,77,102	2,1,3,1	159	186	0.915655607107664	0.999202115572178	0.984,0.983,0.981,0.983	0.98,0.986,0.968,0.992	0.001
7	270,255,301,278	2,10,6,3	212,187,198,245	6,2,3,2	159	186	0.735203400050805	0.948788530080629	0.994,0.968,0.983,0.991	0.976,0.991,0.987,0.993	-0.003
8	183,186,192,183	1,4,1,3	115,141,131,133	0,2,3,0	107	107	0.591850265994714	0.89130646198408	0.995,0.979,0.995,0.984	1.0,0.986,0.978,1.0	-0.003
9	75,71,61,68	1,4,1,3	51,54,56,51	0,2,3,0	210	107	0.490370426447086	0.850132397856415	0.974,0.9,0.969,0.92	1.0,0.932,0.905,1.0	-0.018
11	0,0,1,1	140,138,150,105	0,0,4,0	145,120,126,93	144	244	0.999202115572178	0.999202115572178	0.0,0.0,0.011,0.016	0.0,0.0,0.051,0.0	-0.006
12	54,47,66,53	22,28,25,20	72,42,47,54	38,29,32,44	188	98	0.00994377518790268	0.284873925154135	0.561,0.467,0.579,0.58	0.497,0.43,0.434,0.39	0.109
13	4,1,9,4	12,18,23,18	2,4,0,2	18,18,10,23	197	198	0.0690059685113978	0.492265718394796	0.251,0.053,0.282,0.183	0.1,0.183,0.0,0.08	0.101
14	1,0,12,2	12,18,23,18	3,6,1,4	18,18,10,23	191	198	0.509604893718846	0.858064365744096	0.08,0.0,0.351,0.103	0.147,0.257,0.094,0.153	-0.029
15	17,8,10,14	21,33,25,34	14,6,10,10	45,37,18,34	93	240	0.131200389607814	0.592290297680903	0.676,0.385,0.508,0.515	0.445,0.295,0.589,0.431	0.081
16	16,6,10,14	6,18,11,18	14,6,11,10	22,20,14,13	93	240	0.321247218775656	0.749040286516419	0.873,0.462,0.701,0.667	0.622,0.436,0.67,0.665	0.078
17	33,42,33,37	1,2,0,1	50,55,37,40	0,0,2,2	240	130	0.713628250550715	0.939452729099054	0.947,0.919,1.0,0.952	1.0,1.0,0.909,0.915	-0.001
18	2,5,0,3	1,9,2,4	3,0,3,0	7,2,3,2	141	192	0.594977346575546	0.893914939850753	0.731,0.431,0.0,0.505	0.369,0.0,0.577,0.0	0.18
19	8,0,3,6	3,0,0,1	4,2,7,0	0,0,1,0	96	114	0.391119388253534	0.793021038247163	0.76,NA,1.0,0.877	1.0,1.0,0.893,NA	-0.085
20	31,23,28,32	25,40,19,31	35,22,25,17	19,32,14,22	138	150	0.512750167836996	0.858953871164631	0.574,0.385,0.616,0.529	0.667,0.428,0.66,0.456	-0.027
21	22,16,20,17	2,0,2,1	14,11,17,16	0,0,0,0	76	84	0.0135155633927598	0.324646957679847	0.924,1.0,0.917,0.949	1.0,1.0,1.0,1.0	-0.052
22	2,3,2,0	26,39,31,32	1,3,5,4	25,20,23,19	112	113	0.0437539271332394	0.456814246545221	0.072,0.072,0.061,0.0	0.039,0.131,0.18,0.175	-0.08
23	7,4,10,6	26,39,31,32	1,10,2,4	25,20,23,19	227	113	0.581294279194424	0.886447110896304	0.118,0.049,0.138,0.085	0.02,0.199,0.041,0.095	0.009
