ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	15,19,13,6	55,61,43,14	0,0,11,0	0,0,34,0	87	169	0.866004237906762	0.99328749948152
1	1,0,1,0	55,61,43,14	0,0,1,0	0,0,34,0	107	169	0.825921375040236	0.980107479709963
2	13,23,19,2	28,48,43,11	0,0,18,0	0,0,40,0	154	227	0.982241388730239	0.999202115572178
3	49,45,55,44	36,32,40,37	40,35,52,52	45,37,30,45	191	188	0.305831841104326	0.742122169757097
5	0,0,0,0	0,3,0,0	0,0,0,2	0,0,1,0	168	208	NA	NA
6	106,99,134,100	2,2,3,2	83,62,77,102	2,1,3,1	159	186	0.915655607107664	0.999202115572178
7	270,255,301,278	2,10,6,3	212,187,198,245	6,2,3,2	159	186	0.735203400050805	0.948788530080629
8	183,186,192,183	1,4,1,3	115,141,131,133	0,2,3,0	107	107	0.591850265994714	0.89130646198408
9	75,71,61,68	1,4,1,3	51,54,56,51	0,2,3,0	210	107	0.490370426447086	0.850132397856415
11	0,0,1,1	140,138,150,105	0,0,4,0	145,120,126,93	144	244	0.999202115572178	0.999202115572178
12	54,47,66,53	22,28,25,20	72,42,47,54	38,29,32,44	188	98	0.00994377518790268	0.284873925154135
13	4,1,9,4	12,18,23,18	2,4,0,2	18,18,10,23	197	198	0.0690059685113978	0.492265718394796
14	1,0,12,2	12,18,23,18	3,6,1,4	18,18,10,23	191	198	0.509604893718846	0.858064365744096
15	17,8,10,14	21,33,25,34	14,6,10,10	45,37,18,34	93	240	0.131200389607814	0.592290297680903
16	16,6,10,14	6,18,11,18	14,6,11,10	22,20,14,13	93	240	0.321247218775656	0.749040286516419
17	33,42,33,37	1,2,0,1	50,55,37,40	0,0,2,2	240	130	0.713628250550715	0.939452729099054
18	2,5,0,3	1,9,2,4	3,0,3,0	7,2,3,2	141	192	0.594977346575546	0.893914939850753
