IncLevel1	IncLevel2	IncLevelDifference
0.346,0.377,0.37,0.454	NA,NA,0.386,NA	0.001
0.028,0.0,0.035,0.0	NA,NA,0.044,NA	-0.028
0.406,0.414,0.394,0.211	NA,NA,0.399,NA	-0.043
0.573,0.581,0.575,0.539	0.467,0.482,0.63,0.532	0.039
NA,0.0,NA,NA	NA,NA,0.0,1.0	-0.5
0.984,0.983,0.981,0.983	0.98,0.986,0.968,0.992	0.001
0.994,0.968,0.983,0.991	0.976,0.991,0.987,0.993	-0.003
0.995,0.979,0.995,0.984	1.0,0.986,0.978,1.0	-0.003
0.974,0.9,0.969,0.92	1.0,0.932,0.905,1.0	-0.018
0.0,0.0,0.011,0.016	0.0,0.0,0.051,0.0	-0.006
0.561,0.467,0.579,0.58	0.497,0.43,0.434,0.39	0.109
0.251,0.053,0.282,0.183	0.1,0.183,0.0,0.08	0.101
0.08,0.0,0.351,0.103	0.147,0.257,0.094,0.153	-0.029
0.676,0.385,0.508,0.515	0.445,0.295,0.589,0.431	0.081
0.873,0.462,0.701,0.667	0.622,0.436,0.67,0.665	0.078
0.947,0.919,1.0,0.952	1.0,1.0,0.909,0.915	-0.001
0.731,0.431,0.0,0.505	0.369,0.0,0.577,0.0	0.18
0.76,NA,1.0,0.877	1.0,1.0,0.893,NA	-0.085
0.574,0.385,0.616,0.529	0.667,0.428,0.66,0.456	-0.027
0.924,1.0,0.917,0.949	1.0,1.0,1.0,1.0	-0.052
0.072,0.072,0.061,0.0	0.039,0.131,0.18,0.175	-0.08
0.118,0.049,0.138,0.085	0.02,0.199,0.041,0.095	0.009
0.99,1.0,0.975,1.0	1.0,1.0,0.977,1.0	-0.003
0.796,0.922,0.932,0.846	0.946,0.907,0.836,0.456	0.088
0.945,0.978,0.908,0.976	0.894,0.898,0.926,0.917	0.043
0.52,0.29,0.322,0.325	0.441,0.408,0.388,0.432	-0.053
0.523,0.253,0.344,0.291	0.363,0.418,0.389,0.42	-0.045
0.652,NA,1.0,NA	1.0,1.0,NA,1.0	-0.174
0.368,0.234,0.45,0.473	0.482,0.336,0.252,0.275	0.045
1.0,1.0,1.0,0.778	1.0,1.0,1.0,1.0	-0.055
0.143,0.19,0.296,0.329	0.284,0.155,0.136,0.121	0.066
1.0,1.0,1.0,0.796	1.0,1.0,1.0,1.0	-0.051
0.317,0.387,0.377,0.367	0.353,0.346,0.317,0.341	0.023
