ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	0,0,0,1	1,0,0,0	0,0,0,0	0,0,1,0	1029	39	NA	NA	0.0,NA,NA,1.0	NA,NA,0.0,NA	0.5
3	9,30,34,1	6,0,4,2	0,0,18,0	0,0,2,0	532	39	0.946447191517088	0.999202115572178	0.099,1.0,0.384,0.035	NA,NA,0.398,NA	-0.019
4	28,16,18,3	6,5,3,1	0,0,8,0	0,0,3,0	126	39	0.261889481930382	0.680864019874716	0.591,0.498,0.65,0.481	NA,NA,0.452,NA	0.103
5	288,330,392,39	57,64,56,11	0,0,362,0	1,0,54,0	437	39	0.999202115572178	0.999202115572178	0.311,0.315,0.385,0.24	0.0,NA,0.374,NA	0.126
6	94,103,86,11	12,13,3,0	0,2,111,0	0,0,10,0	307	39	0.859803349835432	0.999202115572178	0.499,0.502,0.785,1.0	NA,1.0,0.585,NA	-0.096
7	93,101,86,11	21,23,9,1	0,2,113,0	0,0,17,0	300	39	0.71739474785868	0.964252113502493	0.365,0.363,0.554,0.588	NA,1.0,0.464,NA	-0.264
8	75,100,85,93	0,0,1,0	107,69,77,83	0,0,0,0	955	39	0.307612335630917	0.704253631417228	1.0,1.0,0.776,1.0	1.0,1.0,1.0,1.0	-0.056
9	33,32,42,23	0,0,0,0	38,22,18,34	0,0,1,2	358	39	0.0100483414273225	0.249574604979999	1.0,1.0,1.0,1.0	1.0,1.0,0.662,0.649	0.172
10	13,19,27,12	42,47,38,28	26,17,8,16	28,37,38,41	340	39	0.960878464661793	0.999202115572178	0.034,0.044,0.075,0.047	0.096,0.05,0.024,0.043	-0.003
22	33,54,25,41	16,11,8,13	59,50,33,38	16,18,11,14	871	39	0.848102237778194	0.999202115572178	0.085,0.18,0.123,0.124	0.142,0.111,0.118,0.108	0.008
