ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
1	0,0,0,1	1,0,0,0	0,0,0,0	0,0,1,0	1029	39	NA	NA
3	9,30,34,1	6,0,4,2	0,0,18,0	0,0,2,0	532	39	0.946447191517088	0.999202115572178
4	28,16,18,3	6,5,3,1	0,0,8,0	0,0,3,0	126	39	0.261889481930382	0.680864019874716
5	288,330,392,39	57,64,56,11	0,0,362,0	1,0,54,0	437	39	0.999202115572178	0.999202115572178
6	94,103,86,11	12,13,3,0	0,2,111,0	0,0,10,0	307	39	0.859803349835432	0.999202115572178
7	93,101,86,11	21,23,9,1	0,2,113,0	0,0,17,0	300	39	0.71739474785868	0.964252113502493
8	75,100,85,93	0,0,1,0	107,69,77,83	0,0,0,0	955	39	0.307612335630917	0.704253631417228
9	33,32,42,23	0,0,0,0	38,22,18,34	0,0,1,2	358	39	0.0100483414273225	0.249574604979999
10	13,19,27,12	42,47,38,28	26,17,8,16	28,37,38,41	340	39	0.960878464661793	0.999202115572178
22	33,54,25,41	16,11,8,13	59,50,33,38	16,18,11,14	871	39	0.848102237778194	0.999202115572178
23	1635,1820,1660,1415	36,31,22,31	1655,1423,1764,1727	22,31,32,48	1509	39	0.63108247766956	0.90570524729614
24	179,181,187,186	2,7,3,10	148,153,150,161	2,0,3,3	222	39	0.0886101727177957	0.474782606603006
25	42,56,60,56	1,1,2,4	31,40,42,42	1,3,3,0	186	39	0.613660732530767	0.896322405365752
26	26,35,39,50	3,1,2,2	33,27,39,54	1,1,0,0	493	39	0.0345116792919051	0.36465170572579
29	12,4,14,8	0,0,0,4	11,8,5,11	1,0,0,2	431	39	0.617516598019775	0.897082452161884
30	11,3,12,6	1,2,0,5	7,8,5,10	4,1,2,1	370	39	0.836243781302457	0.999202115572178
31	354,310,239,324	5,4,2,2	317,277,317,358	4,1,0,3	105	39	0.181136508735262	0.596059905315035
34	486,730,564,471	0,1,1,0	536,447,560,553	3,0,0,1	617	39	0.548781532080819	0.851720646975479
35	398,633,474,413	0,0,1,0	476,381,469,487	0,0,0,0	565	39	0.316676893309477	0.704845231531427
36	37,71,57,50	1,2,0,1	49,43,47,58	3,1,2,1	128	39	0.223529281244831	0.645014092768673
37	40,76,60,55	102,100,107,128	49,44,53,61	93,92,123,104	146	39	0.763494194004952	0.980515762767005
38	29,28,33,22	50,39,27,39	25,24,43,20	25,34,38,36	335	39	0.476978204270802	0.808437634357292
39	163,217,213,157	50,46,44,47	215,205,183,155	69,47,37,47	847	39	0.720719950972417	0.965096060603907
40	5,3,2,1	0,3,9,5	6,1,0,0	0,4,0,2	132	39	0.282464903008764	0.69124386648422
42	1007,1048,1169,1121	4,3,7,12	897,746,743,924	4,3,4,0	2090	39	0.134316935299297	0.537267741197188
43	75,107,97,22687	0,0,0,63	34463,31161,96,32935	127,104,1,97	5707	39	0.186061521672985	0.604376172487656
48	767,897,866,793	3,7,12,8	966,790,915,960	6,7,7,14	1158	39	0.896572382718824	0.999202115572178
49	2,3,2,5	0,0,0,2	1,2,1,6	0,0,0,0	624	39	0.213625307981929	0.633615009866221
51	3,1,0,10	0,1,0,0	3,3,4,2	0,0,2,0	611	39	0.457042352083788	0.793377920542223
52	98,149,131,92	95,83,85,80	102,124,104,136	80,91,72,104	250	39	0.953402528858661	0.999202115572178
53	179,209,188,160	119,93,69,79	201,142,156,195	77,77,92,98	328	39	0.866854029637547	0.999202115572178
54	1755,1518,1506,1751	161,100,127,121	1387,1384,1339,1505	124,102,94,107	579	39	0.763751742355299	0.980515762767005
55	1767,1525,1515,1753	13,13,7,18	1389,1387,1347,1507	8,10,9,12	588	39	0.604353243671532	0.889689317707828
56	441,558,484,454	1344,1170,1273,1331	553,493,524,598	1387,1205,1385,1370	257	39	0.334258950520914	0.717754567270434
57	7,4,10,1	0,1,1,4	1,1,0,3	0,1,2,0	134	39	0.999202115572178	0.999202115572178
58	0,10,2,2	1,0,1,0	11,13,2,1	0,0,0,0	852	39	0.0744163696478232	0.459968730715022
60	176,135,119,159	12,8,10,6	171,153,159,174	13,10,12,6	157	39	0.940707909824665	0.999202115572178
62	116,138,137,130	0,2,1,2	142,155,149,141	1,0,3,2	390	39	0.822549065815595	0.999202115572178
63	349,341,455,380	0,0,0,0	504,448,680,537	0,1,0,1	1319	39	0.00574653359250232	0.225719567637761
64	111,178,134,137	91,100,86,109	151,143,190,138	112,104,124,100	133	39	0.8238202690591	0.999202115572178
67	1,5,1,1	0,0,1,0	0,0,0,0	0,2,0,0	138	39	0.0557170192758671	0.445974464859407
69	7,19,40,26	615,538,626,577	28,19,19,10	717,557,546,604	264	39	0.705638671502781	0.955881139246003
72	132,122,176,139	1,2,1,0	159,119,102,130	1,0,2,0	238	39	0.777575203778548	0.983973765086122
73	121,210,191,190	7,2,8,10	174,191,192,193	1,8,3,3	755	39	0.0830107727262065	0.469555886128037
74	107,172,159,168	35,40,37,34	154,174,163,154	51,33,30,36	706	39	0.679080214540806	0.938320469283374
75	32,93,51,61	15,27,21,23	47,33,26,52	26,12,21,19	1293	39	0.150037181291537	0.555183902074912
77	1025,945,1081,1170	137,142,129,130	1291,1119,1188,1254	124,91,103,92	2525	39	0.000577367265613304	0.120239382694631
80	122,99,105,123	5,5,4,5	116,133,145,109	4,4,5,2	129	39	0.192935979305145	0.607215596887746
81	330,345,291,324	45,53,50,41	300,309,315,394	46,49,45,51	125	39	0.954838190546757	0.999202115572178
82	472,463,390,470	150,163,115,185	423,459,446,556	175,124,179,167	178	39	0.999202115572178	0.999202115572178
83	323,307,270,315	2,8,6,15	299,291,317,252	4,7,7,2	966	39	0.490079248706679	0.818748148197316
84	334,312,281,323	10,19,15,22	307,293,321,261	9,7,13,13	1003	39	0.0717142314485077	0.453191359918922
85	324,494,486,327	81,89,62,77	487,406,367,501	99,109,78,65	799	39	0.859718135999228	0.999202115572178
86	868,1328,1202,831	196,176,184,199	1321,1044,1165,1298	173,209,170,212	2246	39	0.290704361145953	0.697776844210697
87	580,893,769,537	73,77,69,97	882,681,832,829	103,83,65,68	1408	39	0.366997601258069	0.736626009693615
89	3,6,0,4	2,0,0,0	0,3,3,0	0,0,0,0	1245	39	0.998785007826733	0.999202115572178
90	0,2,1,0	1,3,0,2	0,1,0,1	1,0,0,0	189	39	0.255284609959467	0.676225570728102
91	36,47,56,44	0,1,0,0	47,46,44,37	0,0,0,0	503	39	0.311848052547383	0.704253631417228
96	82,210,161,98	25,21,7,21	116,96,165,156	35,12,18,26	593	39	0.424497553726835	0.76959859754397
97	66,104,106,79	23,28,32,28	95,59,64,82	23,22,33,27	1023	39	0.501568168369313	0.82525348299875
98	1,2,7,10	0,0,1,0	4,2,5,9	0,0,0,0	139	39	0.293938400710619	0.699130104877494
99	1,2,4,0	0,0,1,1	8,3,1,3	0,0,1,1	286	39	0.619299568140456	0.897535606000661
103	0,0,0,0	1,0,0,0	0,0,3,0	0,2,0,0	1039	39	NA	NA
106	914,1377,1343,948	69,82,67,72	1323,1269,1196,1224	89,98,75,92	5083	39	0.335521511522815	0.717754567270434
107	356,555,573,398	0,2,0,0	525,471,501,481	0,1,0,0	2363	39	0.676039915668426	0.9370850316196
108	980,1459,1415,1008	3,5,6,6	1421,1342,1262,1310	12,2,6,10	5176	39	0.520502475572694	0.837109093396636
109	189,299,231,185	119,96,113,99	203,241,262,275	134,91,109,127	278	39	0.755118966504458	0.977048570338485
110	31,45,22,20	8,9,7,15	30,44,34,41	7,9,7,4	610	39	0.0334810871316231	0.360565553725172
113	64,89,77,66	61,63,75,43	76,69,89,72	64,56,70,88	144	39	0.395408583262082	0.755214210868915
114	132,161,155,122	18,18,19,37	158,162,164,164	40,29,35,40	250	39	0.142803473148764	0.549244127495244
116	2,13,17,23	0,0,0,0	15,8,15,20	0,0,1,0	7416	39	0.112833835447507	0.509140415584599
118	304,439,456,350	19,13,16,28	378,382,383,410	17,15,19,16	823	39	0.615900619750961	0.897082452161884
120	0,2,0,0	0,0,0,1	1,0,0,0	0,0,0,0	885	39	NA	NA
121	263,288,303,265	15,15,21,12	320,357,305,321	14,16,20,19	1073	39	0.735461688410233	0.967968167951929
122	189,199,215,171	1,0,1,2	233,219,226,226	2,4,2,4	2035	39	0.0467560424355903	0.429235799408698
128	43,42,34,24	5,8,1,4	57,43,32,31	10,5,0,9	93	39	0.857033732977672	0.999202115572178
129	36,23,56,29	17,6,12,9	32,32,10,39	11,6,17,4	1336	39	0.941027107739979	0.999202115572178
130	46,30,24,45	126,141,143,120	32,23,42,25	140,121,130,129	232	39	0.427992377415338	0.770693821770581
131	9,3,2,5	0,0,0,0	1,1,4,4	2,0,0,1	227	39	0.0287781955540873	0.338567006518675
134	255,348,320,323	33,28,36,21	245,227,233,329	34,33,34,25	2755	39	0.0675760574097545	0.452662585519886
135	94,128,111,91	0,0,3,0	84,100,75,105	0,0,0,0	677	39	0.412651937367503	0.765689479542087
136	123,240,226,150	36,15,22,27	181,193,191,205	36,27,33,26	1833	39	0.5888136570948	0.880233977504239
137	102,203,146,135	7,10,9,12	127,129,112,148	5,7,8,6	1592	39	0.258208735714607	0.677990564216219
138	76,88,96,83	82,72,77,71	67,70,83,80	89,113,83,80	1171	39	0.0357448535782465	0.373453694101083
139	133,125,128,131	7,10,7,7	146,116,185,149	11,8,13,12	131	39	0.271884826381222	0.690076052689616
142	55,92,45,62	1,2,1,1	58,48,50,51	0,0,1,1	737	39	0.277355649453289	0.69124386648422
143	35,50,38,34	25,41,36,32	34,34,38,36	36,29,32,39	307	39	0.41103268983856	0.764826603856824
146	61,115,86,61	8,2,12,17	89,80,87,80	10,9,16,3	954	39	0.999202115572178	0.999202115572178
147	172,154,156,175	100,87,97,86	160,139,161,136	81,80,67,71	252	39	0.171761231191256	0.588940145958715
148	68,90,55,59	0,0,3,1	89,87,76,54	0,1,0,1	1170	39	0.710386914313672	0.958812860615249
149	7,7,8,5	4,11,3,8	19,28,17,11	5,3,2,4	116	39	0.00230218222553535	0.19372449982787
151	13,11,26,6	17,10,15,17	13,13,12,6	9,15,15,13	230	39	0.918431084305781	0.999202115572178
152	13,13,26,6	2,3,1,2	13,13,12,7	3,3,0,1	234	39	0.999202115572178	0.999202115572178
153	14,19,21,8	44,44,38,35	16,5,7,9	39,35,32,37	111	39	0.098327926015255	0.482168463822616
154	221,205,200,231	4,6,4,3	187,168,186,172	2,2,2,4	623	39	0.33365885833116	0.717754567270434
160	163,187,203,159	10,8,5,5	167,172,162,176	3,10,4,2	419	39	0.247570115253541	0.666994676703288
161	73,106,127,73	69,69,60,57	69,92,85,99	62,65,52,55	332	39	0.999202115572178	0.999202115572178
162	22,39,44,35	88,54,56,61	57,42,31,47	58,74,42,58	148	39	0.0819476480024275	0.469229886312468
163	24,42,58,36	5,2,6,3	63,49,33,52	5,11,8,4	156	39	0.369817955558145	0.739911578128997
164	28,46,62,42	11,3,13,10	69,51,39,60	13,4,4,2	169	39	0.0243439210016996	0.322474840928769
167	149,126,130,122	0,1,0,0	99,89,97,87	0,1,0,1	93	39	0.494501581350551	0.821723696012784
168	152,127,128,119	0,0,0,0	100,88,96,92	0,0,0,2	93	39	0.343171643417613	0.720583606110571
169	429,369,336,416	0,4,5,2	456,429,467,482	1,0,1,0	538	39	0.00973004431000857	0.249574604979999
172	564,452,425,535	14,9,11,9	404,364,481,403	9,10,15,11	124	39	0.228512638335462	0.648920271135186
173	468,694,682,582	27,33,26,24	666,612,666,677	35,33,11,17	1025	39	0.2600913413285	0.677990564216219
175	0,8,13,4	3,4,3,1	3,2,2,2	6,7,5,0	267	39	0.0457755369705538	0.423008262434161
179	0,1,1,0	0,1,0,0	1,0,0,0	0,0,0,0	140	39	NA	NA
184	105,157,85,116	0,0,3,1	159,126,97,99	0,0,1,0	1950	39	0.173928135395473	0.59030155043312
185	0,0,0,2	1,0,0,0	0,0,4,0	0,0,0,0	1420	39	NA	NA
187	23,33,6,13	4,0,0,0	33,23,28,20	1,1,0,0	345	39	0.999202115572178	0.999202115572178
188	1,1,0,1	0,2,0,0	0,3,1,0	0,0,2,2	138	39	0.999202115572178	0.999202115572178
190	6,2,4,1	1,0,0,0	1,2,2,0	1,0,0,1	1097	39	0.514028770147488	0.833087001424198
191	7,2,13,12	0,0,0,1	2,0,5,3	0,0,0,0	211	39	0.495865095063705	0.822196186127228
192	102,113,130,108	0,3,1,0	100,144,87,118	1,4,1,1	266	39	0.572222485402481	0.869956233312146
193	66,91,81,82	0,0,1,0	91,66,71,82	1,0,0,0	140	39	0.95069479669722	0.999202115572178
194	10,16,19,20	5,5,5,2	22,11,17,30	3,3,2,11	1153	39	0.767370373847371	0.981561008119067
199	2,2,9,2	2,0,0,0	6,7,2,2	0,0,1,1	149	39	0.727428860407755	0.967827459638387
205	162,158,159,137	8,9,4,5	145,130,167,189	8,13,6,9	500	39	0.23252140836133	0.654331601418818
