IncLevel1	IncLevel2	IncLevelDifference
0.0,NA,NA,1.0	NA,NA,0.0,NA	0.5
0.099,1.0,0.384,0.035	NA,NA,0.398,NA	-0.019
0.591,0.498,0.65,0.481	NA,NA,0.452,NA	0.103
0.311,0.315,0.385,0.24	0.0,NA,0.374,NA	0.126
0.499,0.502,0.785,1.0	NA,1.0,0.585,NA	-0.096
0.365,0.363,0.554,0.588	NA,1.0,0.464,NA	-0.264
1.0,1.0,0.776,1.0	1.0,1.0,1.0,1.0	-0.056
1.0,1.0,1.0,1.0	1.0,1.0,0.662,0.649	0.172
0.034,0.044,0.075,0.047	0.096,0.05,0.024,0.043	-0.003
0.085,0.18,0.123,0.124	0.142,0.111,0.118,0.108	0.008
0.54,0.603,0.661,0.541	0.66,0.543,0.588,0.482	0.018
0.94,0.82,0.916,0.766	0.929,1.0,0.898,0.904	-0.072
0.898,0.922,0.863,0.746	0.867,0.737,0.746,1.0	0.02
0.407,0.735,0.607,0.664	0.723,0.681,1.0,1.0	-0.248
1.0,1.0,1.0,0.153	0.499,1.0,1.0,0.332	0.081
0.537,0.137,1.0,0.112	0.156,0.457,0.209,0.513	0.113
0.963,0.966,0.978,0.984	0.967,0.99,1.0,0.978	-0.011
1.0,0.979,0.973,1.0	0.919,1.0,1.0,0.972	0.015
1.0,1.0,0.97,1.0	1.0,1.0,1.0,1.0	-0.008
0.919,0.915,1.0,0.938	0.833,0.929,0.877,0.946	0.047
0.095,0.169,0.13,0.103	0.123,0.113,0.103,0.135	0.006
0.063,0.077,0.125,0.062	0.104,0.076,0.116,0.061	-0.007
0.131,0.178,0.182,0.133	0.125,0.167,0.185,0.132	0.004
1.0,0.228,0.062,0.056	1.0,0.069,NA,0.0	-0.02
0.824,0.867,0.757,0.635	0.807,0.823,0.776,1.0	-0.081
1.0,1.0,1.0,0.711	0.65,0.672,0.396,0.699	0.324
0.896,0.812,0.708,0.77	0.844,0.792,0.815,0.698	0.009
1.0,1.0,1.0,0.135	1.0,1.0,1.0,1.0	-0.216
1.0,0.06,NA,1.0	1.0,1.0,0.113,1.0	-0.092
0.139,0.219,0.194,0.152	0.166,0.175,0.184,0.169	0.003
0.152,0.211,0.245,0.194	0.237,0.18,0.168,0.191	0.007
0.423,0.506,0.444,0.494	0.43,0.478,0.49,0.486	-0.004
0.9,0.886,0.935,0.866	0.92,0.902,0.908,0.893	-0.009
0.047,0.067,0.055,0.049	0.057,0.058,0.054,0.062	-0.003
1.0,0.538,0.744,0.068	1.0,0.225,0.0,1.0	0.031
0.0,1.0,0.084,1.0	1.0,1.0,1.0,1.0	-0.479
0.785,0.807,0.747,0.868	0.766,0.792,0.767,0.878	0.001
1.0,0.873,0.932,0.867	0.934,1.0,0.832,0.876	0.008
1.0,1.0,1.0,1.0	1.0,0.93,1.0,0.941	0.032
0.263,0.343,0.314,0.269	0.283,0.287,0.31,0.288	0.005
1.0,1.0,0.22,1.0	NA,0.0,NA,NA	0.805
0.002,0.005,0.009,0.007	0.006,0.005,0.005,0.002	0.001
0.956,0.909,0.966,1.0	0.963,1.0,0.893,1.0	-0.006
0.472,0.844,0.552,0.495	0.9,0.552,0.768,0.769	-0.156
0.144,0.192,0.192,0.214	0.143,0.226,0.231,0.191	-0.012
0.06,0.094,0.068,0.074	0.052,0.077,0.036,0.076	0.014
0.104,0.093,0.115,0.122	0.139,0.16,0.151,0.174	-0.048
0.881,0.857,0.888,0.881	0.898,0.91,0.898,0.943	-0.036
0.696,0.67,0.645,0.711	0.67,0.663,0.686,0.707	-0.001
0.408,0.384,0.426,0.358	0.346,0.448,0.353,0.422	0.002
0.867,0.608,0.645,0.459	0.751,0.627,0.646,0.836	-0.07
0.565,0.39,0.421,0.363	0.57,0.619,0.49,0.438	-0.095
0.163,0.213,0.277,0.172	0.194,0.154,0.187,0.273	0.004
0.071,0.116,0.102,0.068	0.117,0.08,0.106,0.096	-0.011
0.18,0.243,0.236,0.133	0.192,0.185,0.262,0.252	-0.025
0.045,1.0,NA,1.0	NA,1.0,1.0,NA	-0.318
0.0,0.121,1.0,0.0	0.0,1.0,NA,1.0	-0.386
1.0,0.785,1.0,1.0	1.0,1.0,1.0,1.0	-0.054
0.177,0.397,0.602,0.235	0.179,0.345,0.376,0.283	0.057
0.099,0.124,0.112,0.097	0.136,0.093,0.069,0.104	0.008
1.0,1.0,0.663,1.0	1.0,1.0,1.0,1.0	-0.084
1.0,1.0,0.353,0.0	1.0,1.0,0.12,0.29	-0.014
0.0,NA,NA,NA	NA,0.0,1.0,NA	-0.5
0.092,0.114,0.133,0.092	0.102,0.09,0.109,0.093	0.009
1.0,0.821,1.0,1.0	1.0,0.886,1.0,1.0	-0.016
0.711,0.687,0.64,0.559	0.472,0.835,0.613,0.497	0.045
0.182,0.304,0.223,0.208	0.175,0.271,0.252,0.233	-0.004
0.199,0.242,0.167,0.079	0.215,0.238,0.237,0.396	-0.1
0.221,0.277,0.218,0.294	0.243,0.25,0.256,0.181	0.02
0.534,0.583,0.56,0.34	0.381,0.466,0.422,0.39	0.09
1.0,1.0,1.0,1.0	1.0,1.0,0.073,1.0	0.232
0.431,0.615,0.575,0.372	0.513,0.547,0.489,0.548	-0.026
NA,1.0,NA,0.0	1.0,NA,NA,NA	-0.5
0.389,0.411,0.344,0.445	0.454,0.448,0.357,0.38	-0.012
0.784,1.0,0.805,0.621	0.691,0.512,0.684,0.52	0.201
0.783,0.688,0.934,0.716	0.705,0.783,1.0,0.591	0.011
0.058,0.101,0.12,0.086	0.078,0.135,0.017,0.222	-0.022
0.058,0.035,0.027,0.059	0.037,0.031,0.052,0.032	0.007
1.0,1.0,1.0,1.0	0.079,1.0,1.0,0.407	0.379
0.099,0.15,0.112,0.179	0.093,0.089,0.088,0.157	0.028
1.0,1.0,0.681,1.0	1.0,1.0,1.0,1.0	-0.08
0.068,0.254,0.179,0.106	0.097,0.132,0.11,0.144	0.031
0.263,0.332,0.284,0.216	0.384,0.311,0.255,0.377	-0.058
0.03,0.039,0.04,0.037	0.024,0.02,0.032,0.032	0.01
0.85,0.788,0.845,0.848	0.798,0.812,0.809,0.787	0.031
0.744,0.709,0.704,0.766	1.0,1.0,0.726,0.73	-0.133
0.151,0.134,0.118,0.119	0.107,0.13,0.131,0.105	0.012
0.238,0.702,0.227,0.128	0.267,0.267,0.182,0.522	0.014
0.21,0.215,0.199,0.239	0.234,0.212,0.271,0.229	-0.021
1.0,1.0,0.379,0.663	1.0,0.744,1.0,0.643	-0.086
0.37,0.176,0.473,0.174	0.561,0.758,0.741,0.48	-0.337
0.115,0.157,0.227,0.056	0.197,0.128,0.119,0.073	0.01
0.52,0.419,0.812,0.333	0.419,0.419,1.0,0.538	-0.073
0.101,0.132,0.163,0.074	0.126,0.048,0.071,0.079	0.037
0.776,0.681,0.758,0.828	0.854,0.84,0.853,0.729	-0.058
0.603,0.685,0.791,0.747	0.838,0.616,0.79,0.891	-0.077
0.111,0.153,0.199,0.131	0.116,0.143,0.161,0.175	-0.0
0.062,0.16,0.172,0.131	0.206,0.13,0.163,0.176	-0.038
0.545,0.84,0.707,0.75	0.759,0.527,0.508,0.765	0.071
0.37,0.78,0.524,0.492	0.551,0.746,0.692,0.874	-0.174
1.0,0.981,1.0,1.0	1.0,0.974,1.0,0.973	0.008
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.951	0.012
1.0,0.87,0.83,0.938	0.971,1.0,0.971,1.0	-0.076
0.927,0.94,0.924,0.949	0.934,0.92,0.91,0.92	0.014
0.397,0.444,0.5,0.48	0.42,0.414,0.697,0.602	-0.078
0.0,0.226,0.388,0.369	0.068,0.04,0.055,1.0	-0.045
NA,0.218,1.0,NA	1.0,NA,NA,NA	-0.391
1.0,1.0,0.362,0.699	1.0,1.0,0.66,1.0	-0.15
0.0,NA,NA,1.0	NA,NA,1.0,NA	-0.5
0.394,1.0,1.0,1.0	0.789,0.722,1.0,1.0	-0.029
1.0,0.124,NA,1.0	NA,1.0,0.124,0.0	0.333
0.176,1.0,1.0,1.0	0.034,1.0,1.0,0.0	0.286
1.0,1.0,1.0,0.689	1.0,NA,1.0,1.0	-0.078
1.0,0.847,0.95,1.0	0.936,0.841,0.927,0.945	0.037
1.0,1.0,0.958,1.0	0.962,1.0,1.0,1.0	-0.001
0.063,0.098,0.114,0.253	0.199,0.11,0.223,0.084	-0.022
0.207,1.0,1.0,1.0	1.0,1.0,0.344,0.344	0.13
0.612,0.578,0.756,0.681	0.586,0.438,0.685,0.621	0.074
0.36,0.392,0.307,0.268	0.253,0.431,0.337,0.346	-0.01
0.713,1.0,1.0,1.0	0.794,1.0,1.0,0.758	0.04
0.825,0.889,1.0,1.0	0.8,1.0,1.0,1.0	-0.021
0.051,0.136,0.142,0.09	0.069,0.084,0.082,0.068	0.029
0.061,0.155,0.061,0.03	0.081,0.056,0.091,0.086	-0.002
0.962,0.968,0.922,0.923	0.967,0.958,0.906,0.834	0.027
0.78,0.748,0.737,0.706	0.882,0.875,1.0,0.839	-0.156
0.826,0.707,0.809,0.751	0.76,0.858,0.72,0.604	0.038
0.366,0.374,0.318,0.402	0.52,0.359,0.262,0.632	-0.078
0.535,0.284,0.482,0.256	0.519,0.455,0.414,0.631	-0.116
0.901,0.781,0.706,0.7	0.654,0.766,0.695,0.8	0.043
0.063,0.009,0.027,0.038	0.059,0.09,0.062,0.068	-0.036
0.931,0.958,0.908,0.954	0.836,0.94,0.818,0.855	0.076
1.0,0.545,1.0,1.0	1.0,1.0,1.0,1.0	-0.114
0.87,0.894,0.876,0.895	0.784,0.856,0.759,0.932	0.051
0.086,0.203,0.136,0.163	0.239,0.169,0.141,0.14	-0.025
1.0,1.0,0.717,1.0	1.0,1.0,1.0,1.0	-0.071
1.0,1.0,0.661,1.0	1.0,1.0,1.0,1.0	-0.085
0.095,0.088,0.15,0.093	0.039,0.066,0.059,0.052	0.052
0.137,0.1,0.154,0.271	0.142,0.144,0.113,0.282	-0.005
1.0,1.0,1.0,1.0	0.979,1.0,0.98,0.962	0.02
0.753,1.0,1.0,0.571	0.722,1.0,1.0,1.0	-0.1
0.797,1.0,1.0,1.0	0.723,1.0,1.0,1.0	0.019
0.511,0.596,0.522,0.669	0.503,0.528,0.607,0.656	0.001
0.883,1.0,0.885,0.866	0.936,0.964,0.903,1.0	-0.042
0.584,0.7,0.636,0.729	0.862,0.85,0.663,0.686	-0.103
0.448,0.842,0.336,0.549	0.47,0.437,0.165,1.0	0.026
0.038,0.075,0.074,0.044	0.052,0.067,0.055,0.056	0.0
0.887,1.0,0.866,0.703	0.849,0.859,0.755,1.0	-0.002
0.565,1.0,0.534,1.0	1.0,0.349,0.616,0.364	0.193
0.375,0.651,0.473,0.363	1.0,0.318,0.217,0.257	0.017
0.2,0.351,0.394,0.429	0.238,0.282,0.194,0.361	0.075
0.118,0.178,0.34,0.212	0.13,0.16,0.136,0.114	0.077
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.537	0.116
0.139,0.084,0.381,0.217	0.156,0.136,0.109,0.269	0.038
0.813,0.617,0.392,0.474	1.0,1.0,0.677,0.763	-0.286
1.0,1.0,1.0,0.688	1.0,1.0,1.0,1.0	-0.078
0.3,0.384,0.3,0.347	0.306,0.39,0.373,0.293	-0.008
0.297,0.333,0.303,0.313	0.326,0.298,0.282,0.269	0.018
1.0,1.0,1.0,0.858	1.0,1.0,1.0,0.862	-0.001
0.525,0.591,0.781,0.581	0.882,0.624,0.776,0.889	-0.173
1.0,0.862,1.0,1.0	1.0,1.0,1.0,1.0	-0.034
1.0,1.0,1.0,0.823	1.0,1.0,0.692,1.0	0.033
0.251,0.282,0.212,0.327	0.371,0.331,0.247,0.355	-0.058
0.118,0.2,0.079,0.144	0.078,0.119,0.097,0.117	0.033
0.703,0.861,0.773,0.707	0.836,0.795,0.434,1.0	-0.005
0.804,0.898,0.81,0.955	0.868,0.901,0.842,0.863	-0.002
1.0,1.0,0.307,1.0	0.196,1.0,0.238,1.0	0.218
0.0,1.0,1.0,0.182	0.182,1.0,NA,NA	-0.045
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.758	0.06
0.827,0.472,0.434,0.544	0.395,0.671,0.618,0.764	-0.043
1.0,1.0,0.322,1.0	0.144,1.0,1.0,0.339	0.21
0.545,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.114
0.843,0.905,0.866,0.842	0.831,0.796,0.814,0.844	0.043
0.315,0.429,0.323,0.322	0.301,0.378,0.387,0.33	-0.002
0.62,0.763,0.805,0.824	0.796,0.742,0.741,0.798	-0.016
1.0,1.0,1.0,0.117	0.243,1.0,1.0,1.0	-0.031
0.121,1.0,0.279,0.181	0.249,0.142,0.399,0.436	0.089
1.0,1.0,1.0,1.0	0.404,0.404,1.0,1.0	0.298
0.788,0.535,1.0,0.832	1.0,0.907,0.883,0.902	-0.134
0.834,1.0,1.0,0.73	0.895,0.858,0.805,0.865	0.035
0.224,0.188,0.13,0.21	0.113,0.16,0.109,0.088	0.071
0.768,0.844,0.84,0.73	0.643,1.0,0.519,0.637	0.096
NA,0.202,0.202,1.0	NA,0.202,0.202,1.0	0.0
0.0,0.11,0.11,0.047	0.0,1.0,0.199,0.047	-0.245
0.913,0.851,1.0,0.737	0.844,0.757,1.0,1.0	-0.025
0.126,0.236,0.271,0.072	0.058,0.024,0.0,0.085	0.134
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.104	0.224
0.413,0.523,0.546,0.524	0.452,0.524,0.452,0.389	0.047
0.238,0.255,0.219,0.195	0.2,0.291,0.17,0.202	0.011
0.184,0.187,0.195,0.169	0.174,0.14,0.173,0.181	0.017
0.008,0.013,0.011,0.012	0.012,0.008,0.01,0.009	0.001
0.787,0.698,0.894,0.732	0.894,0.881,0.793,0.913	-0.093
0.133,0.13,0.098,0.173	0.049,0.133,0.041,0.071	0.06
0.827,1.0,1.0,0.833	0.906,0.927,0.86,1.0	-0.008
0.024,0.049,0.039,0.039	0.055,0.047,0.039,0.047	-0.009
0.423,0.792,1.0,0.688	1.0,0.319,0.527,0.732	0.081
0.031,0.068,0.031,0.03	0.031,0.035,0.041,0.04	0.003
0.592,0.68,0.802,1.0	0.673,0.877,1.0,1.0	-0.119
1.0,1.0,1.0,0.622	0.622,1.0,1.0,1.0	0.0
0.578,1.0,NA,1.0	NA,NA,0.146,1.0	0.286
0.101,0.138,0.21,0.154	0.061,0.103,0.096,0.098	0.061
1.0,1.0,1.0,1.0	1.0,1.0,0.72,0.687	0.148
0.885,1.0,0.674,0.922	0.826,0.861,1.0,0.75	0.011
1.0,0.313,1.0,1.0	1.0,0.242,1.0,1.0	0.018
1.0,1.0,NA,0.388	0.241,0.559,1.0,1.0	0.096
1.0,1.0,NA,1.0	0.065,1.0,1.0,NA	0.312
0.036,0.054,0.03,0.045	0.056,0.073,0.06,0.124	-0.037
1.0,1.0,1.0,0.457	1.0,0.752,0.814,1.0	-0.027
0.192,0.262,0.211,0.195	0.216,0.205,0.192,0.169	0.02
0.467,0.721,0.379,0.536	0.696,0.379,0.629,0.468	-0.017
0.911,0.917,1.0,0.916	0.727,1.0,0.797,1.0	0.055
