IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0,0,0,1	1,0,0,0	0,0,0,0	0,0,1,0	1029	39
9,30,34,1	6,0,4,2	0,0,18,0	0,0,2,0	532	39
28,16,18,3	6,5,3,1	0,0,8,0	0,0,3,0	126	39
288,330,392,39	57,64,56,11	0,0,362,0	1,0,54,0	437	39
94,103,86,11	12,13,3,0	0,2,111,0	0,0,10,0	307	39
93,101,86,11	21,23,9,1	0,2,113,0	0,0,17,0	300	39
75,100,85,93	0,0,1,0	107,69,77,83	0,0,0,0	955	39
33,32,42,23	0,0,0,0	38,22,18,34	0,0,1,2	358	39
13,19,27,12	42,47,38,28	26,17,8,16	28,37,38,41	340	39
33,54,25,41	16,11,8,13	59,50,33,38	16,18,11,14	871	39
1635,1820,1660,1415	36,31,22,31	1655,1423,1764,1727	22,31,32,48	1509	39
179,181,187,186	2,7,3,10	148,153,150,161	2,0,3,3	222	39
42,56,60,56	1,1,2,4	31,40,42,42	1,3,3,0	186	39
26,35,39,50	3,1,2,2	33,27,39,54	1,1,0,0	493	39
12,4,14,8	0,0,0,4	11,8,5,11	1,0,0,2	431	39
11,3,12,6	1,2,0,5	7,8,5,10	4,1,2,1	370	39
354,310,239,324	5,4,2,2	317,277,317,358	4,1,0,3	105	39
486,730,564,471	0,1,1,0	536,447,560,553	3,0,0,1	617	39
398,633,474,413	0,0,1,0	476,381,469,487	0,0,0,0	565	39
37,71,57,50	1,2,0,1	49,43,47,58	3,1,2,1	128	39
40,76,60,55	102,100,107,128	49,44,53,61	93,92,123,104	146	39
29,28,33,22	50,39,27,39	25,24,43,20	25,34,38,36	335	39
163,217,213,157	50,46,44,47	215,205,183,155	69,47,37,47	847	39
5,3,2,1	0,3,9,5	6,1,0,0	0,4,0,2	132	39
1007,1048,1169,1121	4,3,7,12	897,746,743,924	4,3,4,0	2090	39
75,107,97,22687	0,0,0,63	34463,31161,96,32935	127,104,1,97	5707	39
767,897,866,793	3,7,12,8	966,790,915,960	6,7,7,14	1158	39
2,3,2,5	0,0,0,2	1,2,1,6	0,0,0,0	624	39
3,1,0,10	0,1,0,0	3,3,4,2	0,0,2,0	611	39
98,149,131,92	95,83,85,80	102,124,104,136	80,91,72,104	250	39
179,209,188,160	119,93,69,79	201,142,156,195	77,77,92,98	328	39
1755,1518,1506,1751	161,100,127,121	1387,1384,1339,1505	124,102,94,107	579	39
1767,1525,1515,1753	13,13,7,18	1389,1387,1347,1507	8,10,9,12	588	39
441,558,484,454	1344,1170,1273,1331	553,493,524,598	1387,1205,1385,1370	257	39
7,4,10,1	0,1,1,4	1,1,0,3	0,1,2,0	134	39
0,10,2,2	1,0,1,0	11,13,2,1	0,0,0,0	852	39
176,135,119,159	12,8,10,6	171,153,159,174	13,10,12,6	157	39
116,138,137,130	0,2,1,2	142,155,149,141	1,0,3,2	390	39
349,341,455,380	0,0,0,0	504,448,680,537	0,1,0,1	1319	39
111,178,134,137	91,100,86,109	151,143,190,138	112,104,124,100	133	39
1,5,1,1	0,0,1,0	0,0,0,0	0,2,0,0	138	39
7,19,40,26	615,538,626,577	28,19,19,10	717,557,546,604	264	39
132,122,176,139	1,2,1,0	159,119,102,130	1,0,2,0	238	39
121,210,191,190	7,2,8,10	174,191,192,193	1,8,3,3	755	39
107,172,159,168	35,40,37,34	154,174,163,154	51,33,30,36	706	39
32,93,51,61	15,27,21,23	47,33,26,52	26,12,21,19	1293	39
1025,945,1081,1170	137,142,129,130	1291,1119,1188,1254	124,91,103,92	2525	39
122,99,105,123	5,5,4,5	116,133,145,109	4,4,5,2	129	39
330,345,291,324	45,53,50,41	300,309,315,394	46,49,45,51	125	39
472,463,390,470	150,163,115,185	423,459,446,556	175,124,179,167	178	39
323,307,270,315	2,8,6,15	299,291,317,252	4,7,7,2	966	39
334,312,281,323	10,19,15,22	307,293,321,261	9,7,13,13	1003	39
324,494,486,327	81,89,62,77	487,406,367,501	99,109,78,65	799	39
