IncLevel1	IncLevel2	IncLevelDifference
NA,NA,1.0,NA	0.0,NA,0.224,NA	0.888
1.0,1.0,NA,NA	1.0,NA,0.0,0.0	0.667
1.0,0.962,0.947,1.0	NA,NA,0.94,NA	0.037
1.0,1.0,1.0,1.0	NA,NA,0.952,NA	0.048
1.0,1.0,1.0,1.0	NA,NA,0.868,NA	0.132
0.018,0.0,0.0,0.0	NA,NA,0.0,NA	0.004
0.565,1.0,1.0,1.0	NA,NA,0.873,NA	0.018
1.0,0.908,0.946,1.0	NA,NA,0.916,NA	0.047
0.008,0.005,0.005,0.004	NA,NA,0.011,NA	-0.005
0.008,0.005,0.005,0.004	NA,NA,0.011,NA	-0.005
1.0,1.0,0.918,1.0	NA,NA,1.0,NA	-0.02
1.0,1.0,0.91,1.0	NA,NA,1.0,NA	-0.022
0.895,0.846,0.554,1.0	NA,NA,1.0,NA	-0.176
0.0,0.0,0.016,0.0	NA,NA,0.0,NA	0.004
0.246,0.335,0.384,0.152	NA,NA,0.343,NA	-0.064
1.0,0.913,1.0,1.0	NA,NA,1.0,NA	-0.022
1.0,1.0,1.0,1.0	1.0,1.0,0.967,NA	0.011
0.38,0.394,0.372,0.276	1.0,NA,0.334,0.0	-0.089
0.059,0.052,0.011,0.015	NA,NA,0.058,NA	-0.024
0.076,0.063,0.021,0.028	NA,NA,0.068,NA	-0.021
0.97,0.914,1.0,1.0	1.0,1.0,0.988,NA	-0.025
1.0,1.0,0.902,1.0	NA,NA,0.918,NA	0.057
1.0,0.945,0.944,1.0	NA,NA,1.0,NA	-0.028
0.03,0.122,0.138,0.104	0.114,0.087,0.193,0.144	-0.036
0.421,0.631,0.695,1.0	0.388,0.559,0.76,0.465	0.144
NA,1.0,0.623,NA	NA,NA,NA,0.569	0.243
1.0,0.933,1.0,0.733	0.744,0.754,1.0,0.838	0.082
1.0,0.803,1.0,0.565	0.464,0.598,1.0,0.722	0.146
1.0,1.0,0.852,0.861	0.883,1.0,1.0,1.0	-0.042
1.0,1.0,0.942,0.931	0.938,1.0,1.0,1.0	-0.016
1.0,1.0,1.0,1.0	1.0,1.0,0.891,1.0	0.027
1.0,1.0,1.0,1.0	1.0,1.0,0.948,1.0	0.013
0.0,0.0,0.0,0.445	0.0,0.0,NA,0.0	0.111
0.032,0.013,0.0,0.0	0.022,0.03,0.0,0.02	-0.007
1.0,1.0,1.0,0.895	1.0,1.0,1.0,1.0	-0.026
1.0,1.0,1.0,0.938	1.0,1.0,1.0,1.0	-0.016
0.12,0.092,0.096,0.188	0.154,0.204,0.217,0.242	-0.08
1.0,1.0,1.0,0.892	1.0,1.0,1.0,1.0	-0.027
NA,1.0,1.0,NA	NA,0.0,0.0,0.0	1.0
0.0,1.0,NA,NA	NA,NA,1.0,NA	-0.5
0.0,NA,NA,NA	NA,NA,NA,1.0	-1.0
1.0,1.0,1.0,1.0	1.0,1.0,0.947,1.0	0.013
0.935,1.0,1.0,1.0	0.939,1.0,1.0,1.0	-0.001
1.0,1.0,1.0,1.0	1.0,0.86,0.849,1.0	0.073
1.0,1.0,1.0,1.0	0.693,1.0,1.0,1.0	0.077
0.884,1.0,1.0,1.0	0.903,1.0,0.886,0.785	0.077
1.0,1.0,1.0,0.197	1.0,NA,0.197,NA	0.201
0.125,0.131,0.187,0.146	0.129,0.12,0.127,0.153	0.015
1.0,0.789,0.925,0.947	0.869,0.965,0.96,0.968	-0.025
0.179,0.141,0.177,0.159	0.155,0.129,0.141,0.161	0.017
1.0,1.0,1.0,1.0	1.0,1.0,0.95,1.0	0.012
0.002,0.003,0.004,0.003	0.003,0.002,0.005,0.002	0.0
0.001,0.005,0.004,0.002	0.004,0.001,0.002,0.001	0.001
0.003,0.003,0.004,0.002	0.006,0.003,0.004,0.002	-0.001
1.0,1.0,1.0,1.0	1.0,0.993,1.0,1.0	0.002
0.99,1.0,1.0,1.0	0.995,1.0,1.0,1.0	-0.001
0.994,0.994,0.997,1.0	0.997,0.997,1.0,0.986	0.001
0.073,0.071,0.046,0.07	0.057,0.055,0.062,0.07	0.004
0.899,0.928,0.978,0.966	1.0,0.956,1.0,0.98	-0.041
1.0,1.0,1.0,1.0	0.955,0.954,0.957,1.0	0.034
1.0,0.226,0.049,0.353	NA,0.154,0.522,0.0	0.182
1.0,0.931,0.909,0.971	1.0,0.928,0.979,0.924	-0.005
1.0,0.725,0.618,0.863	1.0,0.715,0.912,0.703	-0.031
0.926,0.868,0.931,0.968	0.914,0.911,0.769,0.9	0.05
0.861,0.783,0.817,0.966	0.753,0.836,0.891,0.745	0.051
1.0,1.0,1.0,1.0	1.0,0.911,1.0,1.0	0.022
1.0,0.306,NA,1.0	1.0,1.0,1.0,1.0	-0.231
1.0,0.582,1.0,1.0	1.0,1.0,1.0,NA	-0.105
1.0,0.411,1.0,1.0	1.0,1.0,1.0,0.582	-0.043
1.0,1.0,0.989,0.989	1.0,1.0,0.988,1.0	-0.003
0.0,0.0,0.002,0.0	0.0,0.0,0.0,0.0	0.001
0.961,0.96,0.958,0.936	0.939,0.94,0.94,0.944	0.013
0.008,0.017,0.025,0.012	0.014,0.021,0.03,0.046	-0.012
0.0,0.0,0.026,0.043	0.0,0.0,0.153,0.0	-0.021
0.048,0.05,0.021,0.018	0.033,0.041,0.0,0.057	0.002
0.351,NA,0.0,1.0	0.0,0.0,0.037,0.119	0.411
0.051,0.213,0.083,0.083	0.213,0.213,NA,0.351	-0.151
0.848,0.957,0.706,0.737	0.885,0.906,0.77,0.937	-0.062
0.952,1.0,0.958,1.0	0.799,0.942,0.721,0.883	0.141
1.0,1.0,1.0,1.0	1.0,1.0,0.941,1.0	0.015
0.941,0.969,0.973,0.976	1.0,0.935,0.947,1.0	-0.006
0.771,0.862,0.88,0.873	1.0,0.712,0.749,1.0	-0.019
1.0,1.0,1.0,0.949	1.0,1.0,1.0,1.0	-0.013
1.0,1.0,1.0,0.977	1.0,1.0,0.982,1.0	-0.001
1.0,1.0,1.0,1.0	1.0,0.896,1.0,1.0	0.026
1.0,1.0,1.0,1.0	1.0,0.975,1.0,1.0	0.006
1.0,1.0,1.0,1.0	0.931,0.827,0.956,0.95	0.084
1.0,1.0,0.939,1.0	1.0,1.0,1.0,0.976	-0.009
0.964,1.0,1.0,1.0	1.0,0.959,1.0,1.0	0.001
1.0,1.0,1.0,0.955	1.0,1.0,0.915,1.0	0.01
0.919,0.944,1.0,1.0	1.0,1.0,0.868,1.0	-0.001
0.06,0.052,0.0,0.071	0.087,NA,NA,1.0	-0.498
NA,0.241,NA,NA	NA,NA,1.0,1.0	-0.759
1.0,1.0,1.0,1.0	1.0,0.831,1.0,1.0	0.042
0.02,0.0,0.042,0.043	0.008,0.0,0.0,0.064	0.008
0.581,1.0,0.856,1.0	0.641,0.627,1.0,1.0	0.042
0.529,1.0,0.871,1.0	0.66,0.66,1.0,1.0	0.02
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.819	0.045
0.0,0.0,0.0,0.025	0.079,0.0,0.0,0.0	-0.013
1.0,1.0,1.0,1.0	0.905,1.0,1.0,1.0	0.024
1.0,1.0,1.0,0.811	1.0,1.0,1.0,1.0	-0.047
0.033,0.0,0.0,0.099	0.115,0.013,0.024,0.028	-0.012
1.0,1.0,1.0,0.924	0.939,1.0,1.0,1.0	-0.004
0.886,0.822,1.0,1.0	1.0,1.0,1.0,1.0	-0.073
1.0,1.0,1.0,1.0	1.0,1.0,0.857,1.0	0.036
1.0,1.0,NA,1.0	NA,NA,0.375,1.0	0.312
1.0,1.0,0.73,0.783	1.0,1.0,0.333,0.844	0.084
0.103,0.0,0.0,0.0	0.0,NA,0.0,0.0	0.026
0.0,0.325,1.0,1.0	NA,1.0,NA,NA	-0.419
1.0,1.0,1.0,1.0	0.525,1.0,1.0,NA	0.158
0.968,1.0,0.957,0.964	1.0,0.952,1.0,0.924	0.003
0.98,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.005
0.549,NA,1.0,0.448	1.0,1.0,1.0,NA	-0.334
0.028,0.0,0.012,0.026	0.018,0.011,0.038,0.0	-0.0
0.009,0.0,0.0,0.004	0.0,0.0,0.005,0.0	0.002
0.12,NA,0.0,0.064	0.0,NA,0.146,NA	-0.012
0.125,NA,0.0,0.0	0.0,NA,0.082,NA	0.001
1.0,1.0,0.956,1.0	1.0,1.0,0.979,1.0	-0.006
0.561,0.782,0.68,0.696	0.528,0.597,0.561,0.622	0.103
0.854,0.643,0.89,0.85	0.772,0.922,0.943,0.682	-0.02
1.0,1.0,0.798,1.0	0.832,1.0,1.0,1.0	-0.008
1.0,1.0,0.712,1.0	0.712,1.0,1.0,1.0	0.0
0.935,0.804,0.92,0.836	0.796,0.932,0.73,0.91	0.032
0.7,0.67,0.532,0.522	0.432,0.416,0.493,0.431	0.163
1.0,1.0,0.859,1.0	1.0,1.0,0.765,1.0	0.023
1.0,0.945,1.0,1.0	0.914,1.0,1.0,0.929	0.025
0.993,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.002
1.0,1.0,1.0,0.227	1.0,1.0,1.0,1.0	-0.193
0.406,0.439,0.37,0.446	0.506,0.227,0.339,0.37	0.055
0.255,0.0,0.278,0.278	0.204,0.204,0.506,0.473	-0.144
0.672,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.082
0.506,0.506,0.595,0.555	0.59,0.53,0.744,0.578	-0.07
0.078,0.0,0.117,0.062	0.0,0.0,0.0,0.0	0.064
0.0,0.0,0.188,0.067	0.0,0.21,0.027,0.058	-0.01
0.196,0.0,0.115,0.0	0.075,0.0,0.103,0.042	0.023
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.85	0.037
1.0,0.968,1.0,1.0	0.962,1.0,1.0,1.0	0.002
0.331,0.526,0.365,0.402	0.359,0.436,0.401,0.281	0.037
0.47,0.325,0.516,0.263	0.29,0.178,0.411,0.344	0.088
0.964,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.009
0.148,1.0,0.122,0.104	0.258,0.207,0.582,0.465	-0.034
0.188,0.207,0.23,0.225	0.06,0.411,0.481,0.179	-0.07
0.258,1.0,0.258,NA	1.0,1.0,1.0,0.582	-0.39
1.0,0.419,1.0,0.546	1.0,1.0,1.0,1.0	-0.259
0.249,0.16,0.248,0.262	0.558,0.209,0.186,0.64	-0.168
0.478,1.0,1.0,1.0	1.0,1.0,0.256,1.0	0.055
0.276,0.186,0.282,0.445	0.2,0.449,0.407,0.331	-0.049
0.376,1.0,0.462,1.0	1.0,1.0,1.0,0.407	-0.142
0.382,0.314,0.321,0.472	0.72,0.34,0.321,0.791	-0.171
0.462,1.0,1.0,1.0	NA,1.0,0.147,1.0	0.15
0.818,1.0,0.843,1.0	1.0,1.0,1.0,0.868	-0.052
0.884,1.0,1.0,1.0	1.0,1.0,0.892,1.0	-0.002
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.915	0.021
0.716,0.725,0.723,0.788	0.737,0.895,0.764,0.758	-0.05
0.892,0.891,0.913,0.89	1.0,0.944,0.978,0.906	-0.06
0.0,0.0,0.002,0.0	0.004,0.003,0.005,0.015	-0.006
0.79,0.775,0.844,0.763	0.814,0.78,0.79,0.754	0.008
1.0,1.0,1.0,1.0	0.977,1.0,1.0,1.0	0.006
1.0,1.0,1.0,1.0	1.0,0.9,1.0,1.0	0.025
0.98,1.0,1.0,0.976	1.0,1.0,1.0,0.981	-0.006
