ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	0,0,0,1	1,0,0,0	0,0,0,0	0,0,1,0	78	39	NA	NA	0.0,NA,NA,1.0	NA,NA,0.0,NA	0.5
1	41,48,60,8	34,21,37,4	0,0,36,0	0,0,25,0	42	39	0.615310369290714	0.915249953871787	0.528,0.68,0.601,0.65	NA,NA,0.572,NA	0.043
2	2,0,3,0	39,52,31,10	0,0,3,0	0,0,28,0	59	39	0.872823777575376	0.999202115572178	0.033,0.0,0.06,0.0	NA,NA,0.066,NA	-0.043
3	0,0,2,0	1,0,1,0	0,0,1,0	0,0,3,0	42	39	0.150256727024474	0.639310191793237	0.0,NA,0.65,NA	NA,NA,0.236,NA	0.089
4	26,18,22,8	3,1,0,0	0,0,7,0	0,0,0,0	78	39	0.999202115572178	0.999202115572178	0.812,0.9,1.0,1.0	NA,NA,1.0,NA	-0.072
5	28,20,10,4	0,2,2,0	0,0,11,0	0,0,1,0	42	39	0.390661253142158	0.794882874146402	1.0,0.903,0.823,1.0	NA,NA,0.911,NA	0.02
6	61,80,38,5	91,134,120,18	0,1,83,0	0,0,109,0	78	39	0.0422666727972871	0.476019734786009	0.251,0.23,0.137,0.122	NA,1.0,0.276,NA	-0.453
7	2,2,4,2	33,47,49,6	0,0,2,0	1,0,42,0	68	39	0.669292658829465	0.940014286928752	0.034,0.024,0.045,0.16	0.0,NA,0.027,NA	0.052
8	1,2,6,0	46,30,34,5	0,0,2,0	1,0,41,0	71	39	0.999202115572178	0.999202115572178	0.012,0.035,0.088,0.0	0.0,NA,0.026,NA	0.021
9	25,53,43,8	19,20,17,3	0,0,28,0	0,0,17,0	78	39	0.19442308225334	0.682949844144613	0.397,0.57,0.558,0.571	NA,NA,0.452,NA	0.072
11	9,11,15,10	9,6,6,7	12,9,14,6	7,4,6,3	42	39	0.497336569737473	0.851694515751715	0.481,0.63,0.699,0.57	0.614,0.676,0.684,0.65	-0.061
12	20,32,20,11	0,0,0,1	20,13,26,9	0,2,2,0	55	39	0.151805619455161	0.641813786261267	1.0,1.0,1.0,0.886	1.0,0.822,0.902,1.0	0.04
13	62,60,53,39	0,0,0,0	40,42,48,59	0,0,1,2	57	39	0.00986887007869197	0.374927999364937	1.0,1.0,1.0,1.0	1.0,1.0,0.97,0.953	0.019
14	57,49,66,47	0,0,0,0	46,38,54,54	0,0,1,0	78	39	0.138757999299377	0.632942788928303	1.0,1.0,1.0,1.0	1.0,1.0,0.964,1.0	0.009
15	50,44,53,44	1,0,0,0	42,35,52,51	0,0,0,0	48	39	0.329842022084837	0.763567405467972	0.976,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.006
17	25,18,20,20	2,0,0,0	14,13,21,21	0,0,0,0	78	39	0.3071592721875	0.755484378551268	0.862,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.034
