ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	0,0,0,1	1,0,0,0	0,0,0,0	0,0,1,0	78	39	NA	NA
1	41,48,60,8	34,21,37,4	0,0,36,0	0,0,25,0	42	39	0.615310369290714	0.915249953871787
2	2,0,3,0	39,52,31,10	0,0,3,0	0,0,28,0	59	39	0.872823777575376	0.999202115572178
3	0,0,2,0	1,0,1,0	0,0,1,0	0,0,3,0	42	39	0.150256727024474	0.639310191793237
4	26,18,22,8	3,1,0,0	0,0,7,0	0,0,0,0	78	39	0.999202115572178	0.999202115572178
5	28,20,10,4	0,2,2,0	0,0,11,0	0,0,1,0	42	39	0.390661253142158	0.794882874146402
6	61,80,38,5	91,134,120,18	0,1,83,0	0,0,109,0	78	39	0.0422666727972871	0.476019734786009
7	2,2,4,2	33,47,49,6	0,0,2,0	1,0,42,0	68	39	0.669292658829465	0.940014286928752
8	1,2,6,0	46,30,34,5	0,0,2,0	1,0,41,0	71	39	0.999202115572178	0.999202115572178
9	25,53,43,8	19,20,17,3	0,0,28,0	0,0,17,0	78	39	0.19442308225334	0.682949844144613
11	9,11,15,10	9,6,6,7	12,9,14,6	7,4,6,3	42	39	0.497336569737473	0.851694515751715
12	20,32,20,11	0,0,0,1	20,13,26,9	0,2,2,0	55	39	0.151805619455161	0.641813786261267
13	62,60,53,39	0,0,0,0	40,42,48,59	0,0,1,2	57	39	0.00986887007869197	0.374927999364937
14	57,49,66,47	0,0,0,0	46,38,54,54	0,0,1,0	78	39	0.138757999299377	0.632942788928303
15	50,44,53,44	1,0,0,0	42,35,52,51	0,0,0,0	48	39	0.329842022084837	0.763567405467972
17	25,18,20,20	2,0,0,0	14,13,21,21	0,0,0,0	78	39	0.3071592721875	0.755484378551268
18	44,37,42,29	2,0,0,0	28,20,39,38	0,0,0,0	78	39	0.318035276696757	0.760324903298604
19	19,19,22,9	0,0,0,0	14,8,18,17	0,1,0,0	52	39	0.326187200841979	0.763150199391251
22	36,36,31,27	2,4,6,4	32,28,38,43	15,12,3,6	42	39	0.191116979824537	0.680001708999225
28	365,403,295,314	518,504,593,509	359,281,313,364	570,506,468,550	78	39	0.691026467213431	0.950816368975956
29	13,11,16,20	119,126,147,136	16,8,14,7	80,96,89,89	78	39	0.698018739905682	0.955222326872436
30	8,5,10,7	0,0,4,0	16,8,3,3	0,0,0,1	78	39	0.54347383209591	0.877235025548157
31	37,48,47,48	3,4,0,2	41,63,59,51	3,1,3,1	78	39	0.577454025378919	0.895290562587651
32	62,58,62,68	3,4,0,2	54,77,80,60	3,1,3,1	78	39	0.738820762789997	0.97506837992052
33	69,55,52,55	0,1,0,1	54,68,55,40	0,4,0,1	78	39	0.358023660591618	0.784057125886496
34	1,1,2,0	26,23,34,31	0,2,0,1	23,31,24,18	48	39	0.867890872105742	0.999202115572178
35	0,0,1,0	29,21,26,24	0,0,0,0	12,21,24,14	63	39	0.381345203921412	0.792009625946908
41	87,79,95,79	1,2,5,3	104,105,84,81	2,1,0,2	43	39	0.0576538622835314	0.50807303104532
42	8,10,15,13	0,0,1,0	16,16,18,15	0,0,2,0	42	39	0.999202115572178	0.999202115572178
43	40,32,29,22	1,1,2,1	22,26,29,25	1,3,2,0	42	39	0.458535395785918	0.827754008349709
45	4,4,3,3	0,0,0,1	2,3,2,4	0,0,0,1	78	39	0.999202115572178	0.999202115572178
46	1,1,5,2	97,87,90,99	2,0,1,2	82,55,53,70	78	39	0.717469850449391	0.964281996002807
47	31,24,22,12	6,7,2,1	14,15,12,18	1,4,5,6	57	39	0.220669533125664	0.698581533164391
48	2,2,0,0	0,1,4,1	0,1,0,0	2,0,3,1	42	39	0.242301404457092	0.714549045393144
49	15,9,21,8	0,1,4,1	2,7,4,5	2,0,3,1	57	39	0.237120001054885	0.710968198800718
50	13,9,21,8	0,2,0,0	2,7,4,5	0,1,0,0	54	39	0.999202115572178	0.999202115572178
51	71,62,69,66	11,9,4,6	65,81,38,76	5,13,11,6	42	39	0.613014774294082	0.915180727264484
52	3,4,7,1	210,216,191,227	1,3,3,6	227,161,212,225	78	39	0.889062705561912	0.999202115572178
55	4,6,10,4	0,2,0,1	0,4,7,8	0,0,0,1	78	39	0.377137029362715	0.791525391489223
56	28,29,34,30	2,4,3,4	22,26,31,25	2,3,0,8	78	39	0.835447548682865	0.999202115572178
57	47,41,28,43	0,0,1,0	45,33,44,50	0,1,1,0	78	39	0.805547761906475	0.999202115572178
58	0,1,2,1	0,0,0,0	0,1,0,0	0,1,0,0	47	39	0.041958799730222	0.476019734786009
59	14,3,11,12	0,0,0,0	11,6,5,6	0,0,1,0	56	39	0.256978477360965	0.730295239218526
63	3,1,9,6	1,1,0,0	2,0,2,2	0,0,0,0	42	39	0.472388138414185	0.837096561803641
64	24,47,74,44	1,1,0,0	29,24,16,14	0,0,0,0	78	39	0.240926763367297	0.714549045393144
65	24,46,67,38	2,0,1,0	28,24,14,13	1,0,0,1	78	39	0.723155611413511	0.966302041583915
71	82,97,115,88	11,25,17,12	109,73,95,106	13,9,10,16	42	39	0.174762517753033	0.665388301961085
72	191,191,189,200	5,9,7,5	171,145,169,165	4,3,11,8	44	39	0.641952156345239	0.927605019034934
73	11,4,10,13	0,2,0,2	3,4,1,9	0,0,0,1	78	39	0.682939742558959	0.946925240837201
74	11,5,10,13	13,19,15,15	6,5,2,9	14,19,26,24	78	39	0.0255377425032387	0.439168947211143
75	10,4,10,12	1,8,12,0	3,6,2,12	1,5,7,4	78	39	0.269036817983116	0.737008167137925
76	19,16,17,23	65,63,47,60	9,11,14,22	63,65,63,56	78	39	0.130575430895333	0.620592396287772
77	156,157,153,149	0,0,0,1	155,128,178,157	0,0,0,0	78	39	0.322430247708802	0.761635357709043
78	535,533,522,519	27,26,13,23	498,508,595,519	18,29,31,25	44	39	0.303137920369926	0.752706842666215
79	684,683,668,653	130,95,109,83	645,626,755,668	94,101,128,81	78	39	0.699058716232624	0.956164389493308
80	176,176,159,157	130,95,109,83	165,147,191,174	94,101,128,81	78	39	0.629067402791617	0.919335815968389
85	70,62,50,71	33,28,20,41	38,34,36,37	15,33,31,15	77	39	0.284436997068717	0.743181911816437
86	84,80,65,85	4,4,0,0	47,44,55,49	2,3,10,2	78	39	0.0518114011567579	0.50807303104532
87	47,46,35,55	4,4,0,0	24,43,50,27	2,3,10,2	58	39	0.0565131291465684	0.50807303104532
88	0,2,0,1	1,0,0,0	0,1,0,1	0,1,0,1	78	39	0.0033863051727141	0.32657562790573
89	0,0,0,0	0,0,3,0	0,1,0,0	1,0,0,0	57	39	NA	NA
90	18,23,21,17	18,11,8,11	16,16,9,25	13,11,7,17	78	39	0.492011444417725	0.849157282709154
91	136,114,91,111	16,12,2,7	94,89,82,124	12,2,15,9	78	39	0.745933035218633	0.978818019542481
92	11,12,12,12	102,83,78,73	8,17,14,18	70,83,77,60	67	39	0.147741518527799	0.637181843947131
