IncLevel1	IncLevel2	IncLevelDifference
0.0,NA,NA,1.0	NA,NA,0.0,NA	0.5
0.528,0.68,0.601,0.65	NA,NA,0.572,NA	0.043
0.033,0.0,0.06,0.0	NA,NA,0.066,NA	-0.043
0.0,NA,0.65,NA	NA,NA,0.236,NA	0.089
0.812,0.9,1.0,1.0	NA,NA,1.0,NA	-0.072
1.0,0.903,0.823,1.0	NA,NA,0.911,NA	0.02
0.251,0.23,0.137,0.122	NA,1.0,0.276,NA	-0.453
0.034,0.024,0.045,0.16	0.0,NA,0.027,NA	0.052
0.012,0.035,0.088,0.0	0.0,NA,0.026,NA	0.021
0.397,0.57,0.558,0.571	NA,NA,0.452,NA	0.072
0.481,0.63,0.699,0.57	0.614,0.676,0.684,0.65	-0.061
1.0,1.0,1.0,0.886	1.0,0.822,0.902,1.0	0.04
1.0,1.0,1.0,1.0	1.0,1.0,0.97,0.953	0.019
1.0,1.0,1.0,1.0	1.0,1.0,0.964,1.0	0.009
0.976,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.006
0.862,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.034
0.917,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.021
1.0,1.0,1.0,1.0	1.0,0.857,1.0,1.0	0.036
0.944,0.893,0.828,0.862	0.665,0.684,0.922,0.869	0.097
0.261,0.286,0.199,0.236	0.239,0.217,0.251,0.249	0.007
0.052,0.042,0.052,0.068	0.091,0.04,0.073,0.038	-0.007
1.0,1.0,0.556,1.0	1.0,1.0,1.0,0.6	-0.011
0.86,0.857,1.0,0.923	0.872,0.969,0.908,0.962	-0.018
0.912,0.879,1.0,0.944	0.9,0.975,0.93,0.968	-0.01
1.0,0.965,1.0,0.965	1.0,0.895,1.0,0.952	0.021
0.03,0.034,0.046,0.0	0.0,0.05,0.0,0.043	0.004
0.0,0.0,0.023,0.0	0.0,0.0,0.0,0.0	0.006
0.987,0.973,0.945,0.96	0.979,0.99,1.0,0.973	-0.019
1.0,1.0,0.933,1.0	1.0,1.0,0.893,1.0	0.01
0.974,0.967,0.931,0.953	0.953,0.889,0.931,1.0	0.013
1.0,1.0,1.0,0.6	1.0,1.0,1.0,0.667	-0.017
0.005,0.006,0.027,0.01	0.012,0.0,0.009,0.014	0.003
0.779,0.701,0.883,0.891	0.905,0.72,0.622,0.672	0.084
1.0,0.65,0.0,0.0	0.0,1.0,0.0,0.0	0.162
1.0,0.86,0.782,0.846	0.406,1.0,0.477,0.774	0.208
1.0,0.765,1.0,1.0	1.0,0.835,1.0,1.0	-0.017
0.857,0.865,0.941,0.911	0.923,0.853,0.762,0.922	0.028
0.007,0.009,0.018,0.002	0.002,0.009,0.007,0.013	0.001
1.0,0.6,1.0,0.667	NA,1.0,1.0,0.8	-0.117
0.875,0.784,0.85,0.789	0.846,0.812,1.0,0.61	0.008
1.0,1.0,0.933,1.0	1.0,0.943,0.957,1.0	0.008
NA,1.0,1.0,1.0	NA,0.453,NA,NA	0.547
1.0,1.0,1.0,1.0	1.0,1.0,0.777,1.0	0.056
0.736,0.481,1.0,1.0	1.0,NA,1.0,1.0	-0.196
0.923,0.959,1.0,1.0	1.0,1.0,1.0,1.0	-0.029
0.857,1.0,0.971,1.0	0.933,1.0,1.0,0.867	0.007
0.874,0.783,0.863,0.872	0.886,0.883,0.898,0.86	-0.034
0.971,0.95,0.96,0.973	0.974,0.977,0.932,0.948	0.006
1.0,0.5,1.0,0.765	1.0,1.0,1.0,0.818	-0.138
0.297,0.116,0.25,0.302	0.176,0.116,0.037,0.158	0.12
0.833,0.2,0.294,1.0	0.6,0.375,0.125,0.6	0.157
0.128,0.113,0.153,0.161	0.067,0.078,0.1,0.164	0.037
1.0,1.0,1.0,0.987	1.0,1.0,1.0,1.0	-0.003
0.946,0.948,0.973,0.952	0.961,0.939,0.944,0.948	0.007
0.725,0.782,0.754,0.797	0.774,0.756,0.747,0.805	-0.006
0.404,0.481,0.422,0.486	0.467,0.421,0.427,0.518	-0.01
0.518,0.529,0.559,0.467	0.562,0.343,0.37,0.555	0.061
0.913,0.909,1.0,1.0	0.922,0.88,0.733,0.925	0.091
0.888,0.885,1.0,1.0	0.89,0.906,0.771,0.901	0.076
0.0,1.0,NA,1.0	NA,0.333,NA,0.333	0.334
NA,NA,0.0,NA	0.0,1.0,NA,NA	-0.5
0.333,0.511,0.568,0.436	0.381,0.421,0.391,0.424	0.058
0.81,0.826,0.958,0.888	0.797,0.957,0.732,0.873	0.031
0.059,0.078,0.082,0.087	0.062,0.107,0.096,0.149	-0.027
0.115,0.161,0.26,0.133	0.194,0.105,0.208,0.153	0.002
0.731,0.768,0.764,0.745	0.68,0.676,0.658,0.688	0.077
0.571,0.181,0.0,0.0	NA,0.0,0.639,0.0	-0.025
0.682,0.849,0.773,0.898	0.667,0.931,0.69,0.766	0.037
0.676,0.481,0.566,0.622	0.532,0.788,0.684,0.627	-0.072
0.655,0.432,0.627,0.745	0.782,0.679,0.588,0.765	-0.089
0.937,1.0,0.949,1.0	1.0,0.948,0.956,1.0	-0.004
0.505,0.638,0.393,0.435	0.575,0.596,0.586,0.501	-0.072
0.317,0.481,0.222,0.411	0.317,0.371,0.292,0.508	-0.014
1.0,0.0,NA,1.0	NA,1.0,NA,NA	-0.333
1.0,0.0,NA,NA	1.0,1.0,NA,NA	-0.5
1.0,1.0,1.0,0.333	1.0,1.0,1.0,1.0	-0.167
0.0,NA,NA,NA	NA,NA,1.0,NA	-1.0
1.0,1.0,1.0,1.0	0.0,1.0,0.6,1.0	0.35
0.217,0.059,0.167,0.053	0.0,0.0,0.0,0.0	0.124
1.0,0.999,1.0,1.0	1.0,1.0,0.999,1.0	0.0
0.271,0.174,0.198,0.186	0.238,0.253,0.283,0.247	-0.048
0.579,0.872,0.63,0.553	0.483,0.619,0.529,0.464	0.135
1.0,1.0,NA,0.0	1.0,1.0,1.0,1.0	-0.333
0.548,0.543,0.512,0.512	0.497,0.49,0.603,0.521	0.001
NA,NA,NA,0.402	NA,NA,NA,0.402	0.0
0.899,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.025
0.915,0.87,0.94,0.847	0.928,0.895,0.902,0.881	-0.008
0.994,1.0,0.997,0.995	0.993,0.977,0.961,1.0	0.014
0.918,1.0,0.963,0.935	0.938,0.741,0.677,1.0	0.115
0.049,0.041,0.058,0.055	0.081,0.043,0.069,0.052	-0.011
0.619,0.848,NA,0.788	1.0,1.0,1.0,0.699	-0.173
0.957,0.929,0.905,0.955	0.884,0.927,0.891,0.901	0.036
0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.004	-0.001
1.0,1.0,1.0,0.99	0.988,0.986,1.0,1.0	0.004
0.286,0.25,0.714,1.0	1.0,0.667,1.0,0.25	-0.167
0.0,0.0,0.023,0.041	0.01,0.022,0.0,0.064	-0.008
0.819,0.966,0.731,0.828	0.613,0.851,0.729,0.742	0.102
0.059,0.149,0.3,0.096	0.297,0.042,0.246,0.153	-0.034
0.0,0.053,0.091,0.015	0.044,0.048,0.064,0.0	0.001
NA,1.0,1.0,1.0	NA,0.0,1.0,0.722	0.426
0.97,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.008
0.779,0.719,0.768,0.815	0.687,0.65,0.754,0.619	0.093
0.221,0.146,0.212,0.224	0.272,0.281,0.17,0.264	-0.046
0.397,0.451,0.43,0.402	0.359,0.401,0.397,0.456	0.017
0.0,1.0,1.0,0.0	0.0,0.2,0.0,0.0	0.45
0.0,0.146,0.12,0.079	0.0,0.0,0.0,0.146	0.05
0.844,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.039
1.0,NA,0.0,NA	0.277,NA,NA,0.0	0.361
0.671,0.751,0.706,0.675	0.825,0.721,0.677,0.813	-0.058
0.006,0.0,0.0,0.007	0.014,0.008,0.024,0.018	-0.013
0.926,0.986,0.909,0.944	0.943,0.948,0.943,0.916	0.004
0.94,0.95,0.919,0.96	0.954,0.942,0.973,0.965	-0.016
1.0,NA,0.5,1.0	NA,NA,0.333,NA	0.5
0.958,0.985,0.972,0.952	0.938,1.0,0.986,0.993	-0.012
0.995,0.995,0.99,0.99	0.979,0.979,0.964,1.0	0.012
0.992,0.991,0.985,0.985	0.968,0.962,0.941,1.0	0.02
0.981,0.977,0.971,0.957	0.988,0.947,0.979,0.987	-0.004
0.995,1.0,0.995,0.975	0.991,1.0,1.0,0.991	-0.004
0.992,1.0,0.992,0.962	0.986,1.0,1.0,0.985	-0.006
1.0,1.0,1.0,0.845	1.0,1.0,1.0,1.0	-0.039
1.0,1.0,1.0,0.992	1.0,1.0,1.0,0.978	0.004
0.991,0.991,0.992,0.994	0.998,0.978,0.983,0.998	0.003
0.968,0.976,0.968,0.984	0.951,0.991,0.953,0.972	0.007
0.175,0.286,0.129,0.19	0.209,0.278,0.177,0.2	-0.021
0.412,0.374,0.471,0.333	0.516,0.507,0.586,0.517	-0.134
0.392,0.524,0.517,0.533	0.662,0.526,0.453,0.469	-0.036
0.656,0.493,0.684,0.541	0.672,0.591,0.769,0.659	-0.079
0.59,0.64,0.682,0.691	0.773,0.613,0.639,0.623	-0.011
0.377,0.524,0.44,0.571	0.585,0.41,0.342,0.358	0.054
0.018,0.016,0.007,0.018	0.018,0.003,0.019,0.006	0.003
0.551,0.6,0.857,0.667	0.778,0.6,0.379,0.5	0.104
0.03,0.071,0.087,0.067	0.069,0.07,0.072,0.053	-0.002
0.163,0.111,0.319,0.25	0.293,0.096,0.152,0.175	0.032
0.031,0.07,0.039,0.036	0.025,0.07,0.029,0.042	0.003
0.759,0.83,0.712,0.33	0.695,0.598,0.753,0.616	-0.008
0.06,0.098,0.122,0.067	0.044,0.09,0.046,0.086	0.02
0.02,0.007,0.021,0.026	0.021,0.04,0.041,0.02	-0.012
0.69,0.635,0.714,0.747	0.854,0.624,0.783,0.714	-0.047
0.671,0.676,0.719,0.699	0.836,0.593,1.0,0.807	-0.118
0.252,0.369,0.293,0.208	0.255,0.267,0.286,0.21	0.026
0.036,0.029,0.036,0.018	0.028,0.056,0.021,0.012	0.001
0.65,1.0,1.0,0.481	0.0,NA,0.317,1.0	0.344
0.465,0.419,0.386,0.456	0.671,0.546,0.472,0.481	-0.111
0.515,0.521,0.53,0.517	0.495,0.479,0.508,0.471	0.033
0.819,0.806,0.862,0.798	0.81,0.794,0.797,0.814	0.017
NA,1.0,NA,1.0	1.0,1.0,0.0,1.0	0.25
0.0,0.0,0.333,0.111	0.0,0.2,NA,0.25	-0.039
NA,1.0,NA,NA	NA,0.0,0.0,0.0	1.0
0.006,0.086,0.037,0.011	0.007,0.022,0.0,0.006	0.026
1.0,1.0,1.0,1.0	1.0,0.788,1.0,1.0	0.053
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.582	0.105
0.384,0.344,0.393,0.336	0.326,0.445,0.33,0.389	-0.008
0.124,0.06,0.103,0.102	0.09,0.086,0.142,0.072	-0.0
0.137,0.112,0.174,0.151	0.093,0.102,0.172,0.113	0.023
0.135,0.088,0.107,0.097	0.083,0.073,0.118,0.089	0.016
0.013,0.016,0.014,0.04	0.014,0.049,0.032,0.02	-0.008
0.056,0.058,0.046,0.039	0.028,0.046,0.06,0.045	0.005
0.283,0.351,0.304,0.282	0.359,0.308,0.351,0.268	-0.017
0.731,0.692,0.636,0.672	0.706,0.681,0.609,0.796	-0.015
0.958,0.989,0.974,0.967	0.945,0.984,0.98,0.924	0.014
0.986,0.99,0.991,0.989	0.985,0.983,0.997,0.973	0.005
0.013,0.0,0.029,0.014	0.02,0.02,0.031,0.025	-0.01
1.0,1.0,1.0,0.0	1.0,1.0,1.0,1.0	-0.25
NA,0.0,1.0,1.0	0.0,1.0,NA,0.0	0.333
0.043,0.077,0.103,0.065	0.103,0.145,0.151,0.115	-0.057
NA,1.0,1.0,1.0	0.0,NA,NA,1.0	0.5
0.684,0.619,0.793,0.699	0.642,0.703,0.55,0.805	0.024
0.926,0.915,1.0,0.917	0.912,0.912,0.844,0.913	0.044
0.874,1.0,0.619,0.903	0.607,0.823,0.807,1.0	0.04
NA,NA,NA,0.0	NA,NA,1.0,NA	-1.0
0.15,0.157,0.148,0.144	0.126,0.131,0.151,0.135	0.014
0.043,0.079,0.058,0.026	0.042,0.03,0.024,0.02	0.022
0.216,0.264,0.289,0.23	0.171,0.171,0.303,0.244	0.027
0.0,0.027,0.0,0.01	0.011,0.011,0.008,0.007	0.0
1.0,0.859,0.874,0.864	0.949,0.841,0.877,0.938	-0.002
0.879,0.919,0.794,0.942	0.891,0.925,0.894,0.836	-0.003
0.855,0.85,0.801,0.671	0.778,0.956,0.927,0.864	-0.087
1.0,NA,NA,0.645	0.0,NA,NA,NA	0.823
0.023,0.023,0.007,0.0	0.025,0.025,0.021,0.013	-0.008
1.0,1.0,1.0,0.934	0.968,1.0,0.956,0.8	0.052
1.0,0.837,0.956,0.962	1.0,1.0,1.0,0.693	0.015
1.0,1.0,0.481,1.0	0.823,1.0,1.0,0.881	-0.056
0.985,0.992,0.975,0.993	0.991,1.0,0.992,0.992	-0.008
0.013,0.0,0.0,0.026	0.0,0.0,0.0,0.01	0.007
0.152,0.168,0.096,0.206	0.213,0.2,0.188,0.042	-0.005
0.102,0.02,0.0,0.036	0.014,0.0,0.051,0.056	0.009
0.188,0.204,0.276,0.209	0.243,0.249,0.227,0.237	-0.02
0.025,0.067,0.053,0.041	0.013,0.028,0.032,0.027	0.021
0.881,0.88,0.897,0.969	0.843,0.936,0.836,0.875	0.034
0.062,0.057,0.117,0.0	0.117,0.0,0.181,0.0	-0.015
0.438,0.645,0.824,0.464	0.534,0.182,0.366,0.265	0.256
0.731,0.694,0.707,1.0	1.0,0.576,1.0,0.731	-0.044
0.215,0.523,0.687,0.155	0.18,0.136,0.155,0.113	0.249
0.895,0.921,0.885,0.928	0.912,0.844,0.899,0.906	0.017
0.77,0.717,0.703,0.644	0.823,0.736,0.731,0.657	-0.028
0.32,0.3,0.332,0.226	0.252,0.236,0.327,0.268	0.024
0.782,0.789,0.8,0.572	0.646,0.718,0.674,0.691	0.054
1.0,0.672,1.0,1.0	0.672,1.0,1.0,1.0	0.0
0.815,0.832,0.832,0.959	0.619,1.0,0.736,0.918	0.041
0.084,0.079,0.058,0.057	0.059,0.077,0.056,0.083	0.001
0.067,0.067,0.275,0.432	0.336,0.336,0.0,0.053	0.029
0.038,0.011,0.036,0.038	0.021,0.051,0.0,0.01	0.01
0.0,1.0,1.0,1.0	NA,1.0,0.0,1.0	0.083
0.972,0.817,0.955,0.935	1.0,1.0,0.957,0.812	-0.023
0.439,0.509,0.333,0.295	0.45,0.48,0.417,0.452	-0.056
1.0,1.0,1.0,1.0	1.0,1.0,0.6,1.0	0.1
0.333,0.714,0.6,1.0	0.059,0.429,0.556,0.333	0.317
0.647,0.875,0.714,1.0	1.0,1.0,0.529,1.0	-0.073
0.889,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.028
0.787,0.6,0.786,0.77	0.791,0.64,0.688,0.718	0.027
0.8,1.0,0.938,0.765	1.0,0.9,1.0,1.0	-0.099
0.75,0.895,0.706,0.937	0.656,0.878,0.765,0.7	0.072
NA,1.0,1.0,1.0	1.0,1.0,1.0,0.5	0.125
0.039,0.042,0.015,0.06	0.023,0.026,0.052,0.057	-0.001
0.324,0.092,0.176,0.124	0.092,0.225,0.07,0.084	0.061
0.39,0.48,0.478,0.474	0.471,0.469,0.495,0.511	-0.031
0.923,0.923,0.705,0.886	1.0,0.867,1.0,0.933	-0.091
0.873,0.925,1.0,0.92	0.765,0.925,1.0,1.0	0.007
0.129,0.19,0.238,0.206	0.222,0.314,0.304,0.309	-0.097
0.215,0.158,0.15,0.159	0.167,0.122,0.111,0.148	0.034
1.0,0.924,0.976,1.0	1.0,1.0,1.0,1.0	-0.025
0.877,0.753,0.832,0.831	0.825,0.763,0.776,0.886	0.011
0.005,0.002,0.009,0.008	0.008,0.0,0.003,0.003	0.003
0.037,0.038,0.038,0.067	0.043,0.017,0.022,0.026	0.018
0.814,0.833,0.796,0.797	0.794,0.827,0.763,0.799	0.014
1.0,1.0,1.0,1.0	0.823,0.848,1.0,0.736	0.148
0.911,0.983,0.915,0.964	0.95,0.851,0.899,0.852	0.055
0.279,0.236,0.198,0.317	0.304,0.104,0.0,0.205	0.104
0.167,0.111,0.059,0.097	0.2,0.174,0.074,0.05	-0.016
0.214,0.067,0.545,0.048	0.083,0.043,0.2,0.231	0.079
0.895,0.86,0.957,0.864	0.889,0.907,0.905,0.763	0.028
0.986,1.0,0.996,0.971	1.0,0.986,0.993,0.996	-0.005
1.0,1.0,1.0,0.995	1.0,1.0,1.0,1.0	-0.001
1.0,1.0,1.0,0.964	1.0,1.0,1.0,1.0	-0.009
0.222,0.368,0.264,0.211	0.23,0.231,0.237,0.2	0.042
0.809,0.776,0.775,0.727	0.811,0.771,0.762,0.852	-0.027
0.969,1.0,0.973,0.929	1.0,1.0,0.787,0.903	0.045
1.0,1.0,1.0,0.871	1.0,1.0,0.801,1.0	0.017
0.827,0.909,0.88,0.821	0.875,0.946,0.839,0.9	-0.031
0.362,0.571,0.362,0.302	0.217,0.535,0.391,0.294	0.04
0.139,0.124,0.0,0.064	0.069,0.086,0.068,0.066	0.009
1.0,0.333,NA,1.0	1.0,1.0,1.0,1.0	-0.222
0.0,0.04,0.0,0.11	0.032,0.026,0.055,0.052	-0.004
0.649,0.734,0.563,0.639	0.727,0.749,0.736,0.717	-0.086
0.565,0.537,0.699,1.0	0.603,0.736,0.779,0.367	0.079
0.737,0.484,0.556,1.0	0.542,0.778,0.706,0.562	0.047
0.667,0.429,0.333,0.556	0.419,0.551,0.387,0.672	-0.011
0.143,0.136,0.13,0.167	0.137,0.176,0.067,0.106	0.023
0.938,0.941,0.895,0.871	0.86,0.889,0.953,0.897	0.011
0.455,0.471,0.241,0.238	0.583,0.545,0.333,0.28	-0.084
1.0,1.0,0.75,1.0	1.0,1.0,0.75,1.0	0.0
0.006,0.002,0.01,0.005	0.004,0.006,0.005,0.008	0.0
0.916,0.889,0.906,0.903	0.907,0.959,0.978,0.946	-0.044
0.071,0.06,0.1,0.08	0.065,0.086,0.06,0.065	0.009
1.0,1.0,NA,0.547	1.0,1.0,1.0,1.0	-0.151
0.859,0.875,0.92,0.713	0.794,0.779,0.736,0.584	0.118
0.057,0.125,0.256,0.125	0.028,0.103,0.067,0.153	0.053
0.0,0.0,0.0,0.0	0.0,0.0,0.04,0.0	-0.01
0.311,0.108,0.014,0.156	0.105,0.067,0.118,0.261	0.01
1.0,1.0,1.0,0.923	1.0,0.871,1.0,1.0	0.013
1.0,1.0,1.0,0.833	1.0,0.818,1.0,1.0	0.004
0.0,0.084,0.269,0.128	0.155,0.227,0.058,0.453	-0.103
0.412,0.429,0.778,0.714	0.625,0.6,1.0,0.6	-0.123
0.055,0.024,0.066,0.048	0.048,0.069,0.054,0.055	-0.008
1.0,1.0,1.0,1.0	0.5,1.0,1.0,1.0	0.125
1.0,1.0,0.846,1.0	1.0,0.833,1.0,0.733	0.07
0.778,0.889,1.0,1.0	1.0,0.905,0.895,1.0	-0.033
NA,NA,0.0,NA	1.0,0.0,NA,0.0	-0.333
0.75,0.8,1.0,1.0	1.0,0.9,0.882,1.0	-0.058
0.75,0.8,1.0,1.0	1.0,0.905,0.882,1.0	-0.059
1.0,0.895,0.833,0.75	0.882,1.0,1.0,1.0	-0.101
0.789,1.0,0.636,0.818	0.455,0.538,1.0,0.538	0.178
