IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
3,1,6,0	20,26,20,3	0,0,0,0	0,0,28,0	78	39
22,25,9,1	12,13,3,0	0,0,17,0	0,0,10,0	46	39
15,17,16,7	17,36,18,0	0,0,16,0	0,0,19,0	78	39
38,39,48,38	0,0,1,1	59,40,32,53	1,0,0,0	78	39
21,27,9,16	2,0,0,0	15,6,14,21	0,0,0,0	78	39
0,2,0,2	19,21,10,15	3,3,2,2	21,25,13,17	78	39
21,29,9,18	16,16,17,8	17,7,16,22	11,5,15,14	78	39
38,31,12,25	3,3,14,4	29,20,20,38	5,2,8,11	78	39
40,48,19,31	16,16,17,8	36,31,27,38	11,5,15,14	78	39
57,50,22,38	3,3,14,4	48,44,31,54	5,2,8,11	78	39
41,30,25,21	3,3,14,4	31,18,26,35	5,2,8,11	78	39
3,1,3,2	20,26,29,19	4,2,5,1	18,15,22,11	48	39
0,1,0,0	0,1,1,0	0,0,2,0	0,1,1,2	48	39
0,0,2,0	0,0,0,1	0,0,0,0	0,1,1,1	75	39
39,37,37,27	0,0,0,0	48,32,59,37	2,1,4,0	78	39
175,183,209,209	2,4,2,1	155,164,132,141	2,2,5,2	78	39
19,21,8,9	0,0,1,0	21,7,13,16	1,3,2,0	78	39
20,16,22,20	0,2,3,2	8,10,10,13	4,3,6,0	78	39
1,0,0,0	1,1,1,0	0,0,1,1	0,1,0,3	78	39
17,19,19,17	0,0,2,1	20,13,14,24	0,0,3,0	78	39
29,38,33,23	0,0,1,0	30,27,22,33	1,0,0,0	78	39
16,16,19,16	4,1,10,6	25,14,21,25	3,2,6,1	78	39
7,5,1,0	70,70,71,93	2,5,6,3	69,69,89,70	78	39
13,26,26,23	2,0,1,0	17,16,18,25	2,2,0,0	78	39
0,0,2,5	32,18,19,23	7,4,5,5	34,31,17,24	44	39
0,0,0,0	0,2,0,0	1,2,0,0	0,0,0,0	48	39
2,3,2,7	0,0,0,4	8,1,2,2	1,0,0,2	78	39
11,14,30,16	3,6,6,3	11,15,18,22	3,0,2,2	78	39
38,27,33,37	75,78,79,99	44,50,34,54	118,105,60,103	48	39
48,36,25,20	1,0,0,0	36,31,42,20	2,0,0,0	66	39
