ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	15,19,13,6	55,61,42,14	0,0,11,0	0,0,34,0	78	78	0.916858320840998	0.999202115572178	0.214,0.238,0.236,0.3	NA,NA,0.244,NA	0.003
1	1,0,1,0	55,61,42,14	0,0,1,0	0,0,34,0	78	78	0.844390083700235	0.983814623954898	0.018,0.0,0.023,0.0	NA,NA,0.029,NA	-0.019
2	13,23,18,2	24,42,41,10	0,0,18,0	0,0,35,0	78	78	0.60502788963109	0.898833264606677	0.351,0.354,0.305,0.167	NA,NA,0.34,NA	-0.046
3	49,43,52,42	35,32,40,37	39,33,50,51	45,36,30,45	78	78	0.30437904456596	0.738627324591323	0.583,0.573,0.565,0.532	0.464,0.478,0.625,0.531	0.039
5	0,0,0,0	0,3,0,0	0,0,0,2	0,0,1,0	78	78	NA	NA	NA,0.0,NA,NA	NA,NA,0.0,1.0	-0.5
6	106,99,133,100	2,2,3,2	83,62,77,102	2,1,3,1	78	78	0.907317443631423	0.999202115572178	0.981,0.98,0.978,0.98	0.976,0.984,0.962,0.99	0.002
7	270,255,300,278	2,10,6,3	212,187,198,245	6,2,3,2	78	78	0.733340545953774	0.946419644879699	0.993,0.962,0.98,0.989	0.972,0.989,0.985,0.992	-0.003
8	183,186,192,183	1,4,1,3	115,141,131,133	0,2,3,0	78	78	0.592121534571541	0.893301315926331	0.995,0.979,0.995,0.984	1.0,0.986,0.978,1.0	-0.003
9	74,71,58,65	1,4,1,3	51,54,55,51	0,2,3,0	78	78	0.463924014825548	0.825068204086321	0.987,0.947,0.983,0.956	1.0,0.964,0.948,1.0	-0.01
11	0,0,1,1	111,108,108,84	0,0,4,0	113,104,98,72	78	78	0.721719618979536	0.942821888078651	0.0,0.0,0.009,0.012	0.0,0.0,0.039,0.0	-0.005
12	53,47,65,52	22,28,25,20	72,42,46,54	37,29,32,44	78	78	0.0132934689258319	0.325238215226541	0.707,0.627,0.722,0.722	0.661,0.592,0.59,0.551	0.096
13	3,1,2,2	12,15,22,17	1,1,0,2	18,18,10,20	78	78	0.216673216733307	0.670662889949066	0.2,0.062,0.083,0.105	0.053,0.053,0.0,0.091	0.063
14	0,0,6,1	12,15,22,17	2,3,1,4	18,18,10,20	78	78	0.224979769292082	0.676003622650918	0.0,0.0,0.214,0.056	0.1,0.143,0.091,0.167	-0.058
15	17,8,10,14	15,15,15,18	14,6,10,10	24,17,7,22	78	78	0.285685866788915	0.723891762509726	0.531,0.348,0.4,0.438	0.368,0.261,0.588,0.312	0.047
16	16,6,10,14	0,0,1,2	14,6,11,10	1,0,3,1	78	78	0.505726514334473	0.847702766719395	1.0,1.0,0.909,0.875	0.933,1.0,0.786,0.909	0.039
17	27,24,23,21	1,2,0,1	29,35,26,28	0,0,2,2	78	78	0.735613316985268	0.94660914589925	0.964,0.923,1.0,0.955	1.0,1.0,0.929,0.933	-0.005
18	2,4,0,3	1,9,2,4	3,0,3,0	7,2,3,2	78	78	0.784757515639643	0.96517364092557	0.667,0.308,0.0,0.429	0.3,0.0,0.5,0.0	0.151
19	8,0,3,6	3,0,0,1	4,2,7,0	0,0,1,0	78	78	0.391179681624678	0.780648288832592	0.727,NA,1.0,0.857	1.0,1.0,0.875,NA	-0.097
20	31,23,28,32	25,40,19,31	35,22,25,17	18,32,14,22	78	78	0.477238387472347	0.832746695976155	0.554,0.365,0.596,0.508	0.66,0.407,0.641,0.436	-0.03
21	22,16,20,17	2,0,2,1	14,11,17,16	0,0,0,0	76	78	0.0135871189910889	0.325238215226541	0.919,1.0,0.911,0.946	1.0,1.0,1.0,1.0	-0.056
22	2,3,2,0	26,39,31,32	1,3,5,4	25,20,23,19	78	78	0.0436959238635355	0.436483448809612	0.071,0.071,0.061,0.0	0.038,0.13,0.179,0.174	-0.079
23	2,0,5,3	26,39,31,32	1,4,1,3	25,20,23,19	78	78	0.485733073803779	0.835809342607131	0.071,0.0,0.139,0.086	0.038,0.167,0.042,0.136	-0.022
24	49,38,40,39	1,0,2,0	37,36,22,23	0,0,1,0	69	78	0.598519824255963	0.896747992901739	0.982,1.0,0.958,1.0	1.0,1.0,0.961,1.0	-0.005
25	10,6,7,14	5,1,1,5	9,5,13,3	1,1,5,7	69	78	0.787015626759872	0.96517364092557	0.693,0.872,0.888,0.76	0.911,0.85,0.746,0.326	0.095
26	34,44,49,40	2,1,5,1	41,35,37,44	5,4,3,4	78	78	0.0808995001517627	0.490197055349355	0.944,0.978,0.907,0.976	0.891,0.897,0.925,0.917	0.044
27	14,12,17,11	14,32,29,20	12,7,14,26	21,13,25,29	78	78	0.517070629262185	0.854879340969778	0.5,0.273,0.37,0.355	0.364,0.35,0.359,0.473	-0.012
28	14,12,17,11	10,28,19,17	12,7,14,26	21,9,18,22	78	78	0.604657106182195	0.898767547389088	0.583,0.3,0.472,0.393	0.364,0.438,0.438,0.542	-0.009
29	2,0,2,0	1,0,0,0	4,2,0,2	0,0,0,0	78	78	0.136674775758183	0.582257816703284	0.667,NA,1.0,NA	1.0,1.0,NA,1.0	-0.166
30	17,10,17,22	22,22,14,18	17,8,7,9	13,12,14,16	78	78	0.570088457010438	0.880503051205875	0.436,0.312,0.548,0.55	0.567,0.4,0.333,0.36	0.046
31	17,10,17,22	0,0,0,2	17,8,7,9	0,0,0,0	78	58	0.310255340330424	0.739756957871301	1.0,1.0,1.0,0.891	1.0,1.0,1.0,1.0	-0.027
32	5,7,8,12	22,22,14,18	6,3,3,3	13,12,14,16	78	78	0.195195548265893	0.650377288038825	0.185,0.241,0.364,0.4	0.316,0.2,0.176,0.158	0.085
33	22,22,14,18	0,0,0,2	13,12,14,16	0,0,0,0	78	58	0.129950184178088	0.575367686875754	1.0,1.0,1.0,0.87	1.0,1.0,1.0,1.0	-0.032
34	27,40,36,30	104,103,115,106	17,22,19,29	80,78,89,83	78	78	0.275803916346285	0.715461180418244	0.206,0.28,0.238,0.221	0.175,0.22,0.176,0.259	0.029
35	29,40,32,30	17,11,7,8	17,21,19,29	10,6,5,8	78	78	0.911821991442231	0.999202115572178	0.63,0.784,0.821,0.789	0.63,0.778,0.792,0.784	0.01
36	256,245,276,256	3,5,4,9	211,212,203,215	4,4,4,1	78	78	0.418476461451625	0.798557925168956	0.988,0.98,0.986,0.966	0.981,0.981,0.981,0.995	-0.005
37	0,0,0,0	20,20,17,22	0,0,0,3	17,10,13,11	78	78	0.999202115572178	0.999202115572178	0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.214	-0.053
38	8,10,16,11	12,11,10,11	5,7,5,12	19,16,16,13	78	78	0.0259344024961748	0.365021271103377	0.4,0.476,0.615,0.5	0.208,0.304,0.238,0.48	0.19
39	3,2,4,0	1,1,0,2	0,1,0,1	1,2,0,2	78	78	0.279598950103548	0.719683789708761	0.75,0.667,1.0,0.0	0.0,0.333,NA,0.333	0.382
40	2,2,2,0	4,2,2,2	0,1,0,1	1,0,1,0	78	78	0.661160601453358	0.922185734546035	0.333,0.5,0.5,0.0	0.0,1.0,0.0,1.0	-0.167
41	0,1,0,1	2,1,2,2	0,3,0,1	1,0,0,0	78	78	0.214857010661539	0.668957140660758	0.0,0.5,0.0,0.333	0.0,1.0,NA,1.0	-0.458
42	45,68,49,39	56,80,52,61	57,32,38,49	42,45,67,62	78	78	0.970601666640422	0.999202115572178	0.446,0.459,0.485,0.39	0.576,0.416,0.362,0.441	-0.004
43	11,13,12,7	46,43,55,48	21,11,13,14	32,38,45,47	78	78	0.0793252216538025	0.489303746732292	0.193,0.232,0.179,0.127	0.396,0.224,0.224,0.23	-0.086
44	60,44,33,47	58,75,72,77	18,19,18,15	33,70,66,74	78	78	0.00227692683410019	0.270918382876605	0.508,0.37,0.314,0.379	0.353,0.213,0.214,0.169	0.155
45	17,21,19,19	58,75,72,77	13,23,21,12	33,70,66,74	78	78	0.792650415030895	0.967329718002922	0.227,0.219,0.209,0.198	0.283,0.247,0.241,0.14	-0.015
46	10,14,9,10	14,3,7,11	6,9,5,5	4,9,5,11	78	78	0.336699708287256	0.750533794550839	0.417,0.824,0.562,0.476	0.6,0.5,0.5,0.312	0.092
47	10,14,9,10	156,147,118,94	6,9,5,5	66,64,66,72	78	78	0.659544252376724	0.922185734546035	0.06,0.087,0.071,0.096	0.083,0.123,0.07,0.065	-0.007
48	32,30,47,31	148,192,147,168	8,15,21,14	43,62,75,70	78	78	0.696144431900884	0.930959848015635	0.178,0.135,0.242,0.156	0.157,0.195,0.219,0.167	-0.007
49	14,3,7,11	156,147,118,94	4,9,5,11	66,64,66,72	78	78	0.143226470566129	0.590130223285691	0.082,0.02,0.056,0.105	0.057,0.123,0.07,0.133	-0.03
50	18,5,24,18	154,143,117,92	5,29,10,7	67,64,66,72	78	78	0.61011859352949	0.901341451842594	0.105,0.034,0.17,0.164	0.069,0.312,0.132,0.089	-0.032
51	3,1,1,1	57,47,39,50	1,0,0,4	46,36,31,57	78	78	0.704275156155738	0.935217426495247	0.05,0.021,0.025,0.02	0.021,0.0,0.0,0.066	0.007
52	6,7,13,13	10,6,10,14	12,2,8,7	12,12,4,8	78	78	0.615377880396818	0.904060607469742	0.375,0.538,0.565,0.481	0.5,0.143,0.667,0.467	0.045
53	6,7,13,13	57,51,41,51	12,2,8,7	48,38,33,57	78	78	0.50920629511418	0.850428070137093	0.095,0.121,0.241,0.203	0.2,0.05,0.195,0.109	0.026
54	137,106,132,123	16,14,9,8	130,142,117,123	7,16,10,12	78	78	0.747873393512793	0.951876909212565	0.895,0.883,0.936,0.939	0.949,0.899,0.921,0.911	-0.007
56	0,4,0,0	23,27,27,29	0,0,0,0	23,31,17,26	78	78	0.505220539624237	0.847523623352768	0.0,0.129,0.0,0.0	0.0,0.0,0.0,0.0	0.032
58	234,271,266,259	242,296,235,280	229,214,190,222	236,184,214,270	78	78	0.688998856646523	0.929429152132986	0.492,0.478,0.531,0.481	0.492,0.538,0.47,0.451	0.008
59	1,6,0,0	1,3,1,0	0,0,2,1	0,4,2,3	78	78	0.21845946944069	0.670662889949066	0.5,0.667,0.0,NA	NA,0.0,0.5,0.25	0.139
60	5,5,7,8	11,2,4,4	7,4,2,6	1,2,1,4	78	78	0.210407361011517	0.663610993075668	0.312,0.714,0.636,0.667	0.875,0.667,0.667,0.6	-0.12
61	0,3,1,2	1,0,0,0	1,3,1,2	0,2,0,1	78	78	0.329979112912287	0.748932280469953	0.0,1.0,1.0,1.0	1.0,0.6,1.0,0.667	-0.067
62	185,234,223,232	336,435,434,338	182,171,196,202	347,346,334,333	78	78	0.660664960590156	0.922185734546035	0.355,0.35,0.339,0.407	0.344,0.331,0.37,0.378	0.007
63	44,56,62,35	8,12,14,18	48,56,45,56	14,29,24,15	78	78	0.110288567088785	0.54655017082424	0.846,0.824,0.816,0.66	0.774,0.659,0.652,0.789	0.068
64	8,5,9,9	95,66,65,78	14,22,12,6	96,62,67,90	78	78	0.212836321403806	0.666325374735516	0.078,0.07,0.122,0.103	0.127,0.262,0.152,0.063	-0.058
65	4,2,7,7	82,78,57,66	8,11,8,3	80,56,66,82	78	78	0.314674757327203	0.74407149281024	0.047,0.025,0.109,0.096	0.091,0.164,0.108,0.035	-0.03
66	4,2,7,7	17,19,15,15	8,11,8,3	28,11,23,16	78	78	0.528406925682676	0.860235664551378	0.19,0.095,0.318,0.318	0.222,0.5,0.258,0.158	-0.054
67	82,78,57,66	17,19,15,15	80,56,66,82	28,11,23,16	78	78	0.399234542947379	0.784533369311994	0.828,0.804,0.792,0.815	0.741,0.836,0.742,0.837	0.021
68	0,1,0,0	60,31,49,40	0,0,0,0	48,59,50,52	78	78	0.328328235546955	0.748074695354725	0.0,0.031,0.0,0.0	0.0,0.0,0.0,0.0	0.008
69	0,2,0,0	59,31,49,40	2,5,3,0	46,59,50,52	78	78	0.0457541333811452	0.439427156324083	0.0,0.061,0.0,0.0	0.042,0.078,0.057,0.0	-0.029
70	27,10,10,14	107,88,77,73	15,13,11,22	86,91,93,101	78	78	0.761731811035976	0.956479525479684	0.201,0.102,0.115,0.161	0.149,0.125,0.106,0.179	0.005
71	324,399,315,470	160,188,239,225	442,410,301,479	230,240,152,239	78	78	0.811205574624053	0.974272644315754	0.669,0.68,0.569,0.676	0.658,0.631,0.664,0.667	-0.006
72	329,394,312,446	257,320,280,390	452,403,254,416	358,338,232,389	78	78	0.608800946323093	0.900388574922045	0.561,0.552,0.527,0.533	0.558,0.544,0.523,0.517	0.008
73	6,6,6,3	54,58,48,48	0,5,2,2	55,55,61,58	78	78	0.0334478198444524	0.400839838106885	0.1,0.094,0.111,0.059	0.0,0.083,0.032,0.033	0.054
74	48,64,60,70	24,24,30,35	53,64,68,55	39,25,45,31	78	78	0.178309394580617	0.631076155616013	0.667,0.727,0.667,0.667	0.576,0.719,0.602,0.64	0.048
75	57,75,69,78	44,54,59,35	58,76,72,61	36,44,51,40	78	78	0.669910870395091	0.923756522520419	0.564,0.581,0.539,0.69	0.617,0.633,0.585,0.604	-0.016
76	8,9,9,7	44,54,59,35	7,11,6,8	34,44,51,38	78	78	0.661401654594886	0.922185734546035	0.154,0.143,0.132,0.167	0.171,0.2,0.105,0.174	-0.013
77	74,73,56,83	44,54,59,35	80,70,63,84	34,44,51,38	78	78	0.189216353847502	0.641099480393445	0.627,0.575,0.487,0.703	0.702,0.614,0.553,0.689	-0.041
78	74,73,56,83	8,9,9,7	80,70,63,84	7,11,6,8	78	78	0.779530050893977	0.964259191696426	0.902,0.89,0.862,0.922	0.92,0.864,0.913,0.913	-0.009
79	73,70,56,80	45,49,75,43	78,69,59,85	68,30,78,43	78	78	0.837198003972961	0.982578992054825	0.619,0.588,0.427,0.65	0.534,0.697,0.431,0.664	-0.011
80	59,80,72,64	0,1,0,1	67,75,67,91	4,0,0,2	78	78	0.675471502377642	0.925433743888584	1.0,0.988,1.0,0.985	0.944,1.0,1.0,0.978	0.013
81	60,79,75,64	61,80,76,86	67,75,69,93	60,90,81,69	78	78	0.421062643441522	0.798908778761312	0.496,0.497,0.497,0.427	0.528,0.455,0.46,0.574	-0.025
82	69,67,51,74	107,86,107,113	80,48,78,72	124,132,137,149	78	78	0.111320879037579	0.548006828615987	0.392,0.438,0.323,0.396	0.392,0.267,0.363,0.326	0.05
83	16,23,22,19	26,46,27,28	32,22,23,23	39,28,47,28	78	78	0.531906658127293	0.862201405911942	0.381,0.333,0.449,0.404	0.451,0.44,0.329,0.451	-0.026
84	1,2,0,2	1,1,3,1	3,2,5,2	5,5,4,2	78	78	0.999202115572178	0.999202115572178	0.5,0.667,0.0,0.667	0.375,0.286,0.556,0.5	0.029
85	1,2,0,2	1,1,3,1	3,2,5,2	5,5,4,2	78	78	0.999202115572178	0.999202115572178	0.5,0.667,0.0,0.667	0.375,0.286,0.556,0.5	0.029
86	107,103,100,114	141,138,131,162	111,87,96,123	159,124,149,139	78	78	0.795582682280187	0.968704444921511	0.431,0.427,0.433,0.413	0.411,0.412,0.392,0.469	0.005
87	4,6,3,5	137,138,130,158	3,2,5,3	158,120,146,133	78	78	0.321903423397356	0.746233635148759	0.028,0.042,0.023,0.031	0.019,0.016,0.033,0.022	0.009
88	51,47,50,57	137,138,130,158	58,58,55,51	158,120,146,133	78	78	0.304933972475062	0.738627324591323	0.271,0.254,0.278,0.265	0.269,0.326,0.274,0.277	-0.019
89	51,47,50,57	4,6,3,5	58,58,55,51	3,2,5,3	78	78	0.200071958487404	0.655578419732001	0.927,0.887,0.943,0.919	0.951,0.967,0.917,0.944	-0.026
90	54,43,52,60	146,136,154,167	59,55,58,57	115,138,163,112	78	78	0.0484766197005507	0.444252440474414	0.27,0.24,0.252,0.264	0.339,0.285,0.262,0.337	-0.049
91	119,93,103,139	217,197,210,237	107,77,117,119	168,188,206,165	78	78	0.403431243741506	0.78668605708922	0.354,0.321,0.329,0.37	0.389,0.291,0.362,0.419	-0.022
92	94,91,108,84	42,45,54,38	84,85,96,84	47,39,42,40	78	78	0.859466021084597	0.990731667750317	0.691,0.669,0.667,0.689	0.641,0.685,0.696,0.677	0.004
93	27,17,15,26	152,176,145,140	23,12,11,22	161,96,147,162	51	78	0.345994061678117	0.753562017652083	0.214,0.129,0.137,0.221	0.179,0.16,0.103,0.172	0.022
