IncLevel1	IncLevel2	IncLevelDifference
0.214,0.238,0.236,0.3	NA,NA,0.244,NA	0.003
0.018,0.0,0.023,0.0	NA,NA,0.029,NA	-0.019
0.351,0.354,0.305,0.167	NA,NA,0.34,NA	-0.046
0.583,0.573,0.565,0.532	0.464,0.478,0.625,0.531	0.039
NA,0.0,NA,NA	NA,NA,0.0,1.0	-0.5
0.981,0.98,0.978,0.98	0.976,0.984,0.962,0.99	0.002
0.993,0.962,0.98,0.989	0.972,0.989,0.985,0.992	-0.003
0.995,0.979,0.995,0.984	1.0,0.986,0.978,1.0	-0.003
0.987,0.947,0.983,0.956	1.0,0.964,0.948,1.0	-0.01
0.0,0.0,0.009,0.012	0.0,0.0,0.039,0.0	-0.005
0.707,0.627,0.722,0.722	0.661,0.592,0.59,0.551	0.096
0.2,0.062,0.083,0.105	0.053,0.053,0.0,0.091	0.063
0.0,0.0,0.214,0.056	0.1,0.143,0.091,0.167	-0.058
0.531,0.348,0.4,0.438	0.368,0.261,0.588,0.312	0.047
1.0,1.0,0.909,0.875	0.933,1.0,0.786,0.909	0.039
0.964,0.923,1.0,0.955	1.0,1.0,0.929,0.933	-0.005
0.667,0.308,0.0,0.429	0.3,0.0,0.5,0.0	0.151
0.727,NA,1.0,0.857	1.0,1.0,0.875,NA	-0.097
0.554,0.365,0.596,0.508	0.66,0.407,0.641,0.436	-0.03
0.919,1.0,0.911,0.946	1.0,1.0,1.0,1.0	-0.056
0.071,0.071,0.061,0.0	0.038,0.13,0.179,0.174	-0.079
0.071,0.0,0.139,0.086	0.038,0.167,0.042,0.136	-0.022
0.982,1.0,0.958,1.0	1.0,1.0,0.961,1.0	-0.005
0.693,0.872,0.888,0.76	0.911,0.85,0.746,0.326	0.095
0.944,0.978,0.907,0.976	0.891,0.897,0.925,0.917	0.044
0.5,0.273,0.37,0.355	0.364,0.35,0.359,0.473	-0.012
0.583,0.3,0.472,0.393	0.364,0.438,0.438,0.542	-0.009
0.667,NA,1.0,NA	1.0,1.0,NA,1.0	-0.166
0.436,0.312,0.548,0.55	0.567,0.4,0.333,0.36	0.046
1.0,1.0,1.0,0.891	1.0,1.0,1.0,1.0	-0.027
0.185,0.241,0.364,0.4	0.316,0.2,0.176,0.158	0.085
1.0,1.0,1.0,0.87	1.0,1.0,1.0,1.0	-0.032
0.206,0.28,0.238,0.221	0.175,0.22,0.176,0.259	0.029
0.63,0.784,0.821,0.789	0.63,0.778,0.792,0.784	0.01
0.988,0.98,0.986,0.966	0.981,0.981,0.981,0.995	-0.005
0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.214	-0.053
0.4,0.476,0.615,0.5	0.208,0.304,0.238,0.48	0.19
0.75,0.667,1.0,0.0	0.0,0.333,NA,0.333	0.382
0.333,0.5,0.5,0.0	0.0,1.0,0.0,1.0	-0.167
0.0,0.5,0.0,0.333	0.0,1.0,NA,1.0	-0.458
0.446,0.459,0.485,0.39	0.576,0.416,0.362,0.441	-0.004
0.193,0.232,0.179,0.127	0.396,0.224,0.224,0.23	-0.086
0.508,0.37,0.314,0.379	0.353,0.213,0.214,0.169	0.155
0.227,0.219,0.209,0.198	0.283,0.247,0.241,0.14	-0.015
0.417,0.824,0.562,0.476	0.6,0.5,0.5,0.312	0.092
0.06,0.087,0.071,0.096	0.083,0.123,0.07,0.065	-0.007
0.178,0.135,0.242,0.156	0.157,0.195,0.219,0.167	-0.007
0.082,0.02,0.056,0.105	0.057,0.123,0.07,0.133	-0.03
0.105,0.034,0.17,0.164	0.069,0.312,0.132,0.089	-0.032
0.05,0.021,0.025,0.02	0.021,0.0,0.0,0.066	0.007
0.375,0.538,0.565,0.481	0.5,0.143,0.667,0.467	0.045
0.095,0.121,0.241,0.203	0.2,0.05,0.195,0.109	0.026
0.895,0.883,0.936,0.939	0.949,0.899,0.921,0.911	-0.007
0.0,0.129,0.0,0.0	0.0,0.0,0.0,0.0	0.032
0.492,0.478,0.531,0.481	0.492,0.538,0.47,0.451	0.008
0.5,0.667,0.0,NA	NA,0.0,0.5,0.25	0.139
0.312,0.714,0.636,0.667	0.875,0.667,0.667,0.6	-0.12
0.0,1.0,1.0,1.0	1.0,0.6,1.0,0.667	-0.067
0.355,0.35,0.339,0.407	0.344,0.331,0.37,0.378	0.007
0.846,0.824,0.816,0.66	0.774,0.659,0.652,0.789	0.068
0.078,0.07,0.122,0.103	0.127,0.262,0.152,0.063	-0.058
0.047,0.025,0.109,0.096	0.091,0.164,0.108,0.035	-0.03
0.19,0.095,0.318,0.318	0.222,0.5,0.258,0.158	-0.054
0.828,0.804,0.792,0.815	0.741,0.836,0.742,0.837	0.021
0.0,0.031,0.0,0.0	0.0,0.0,0.0,0.0	0.008
0.0,0.061,0.0,0.0	0.042,0.078,0.057,0.0	-0.029
0.201,0.102,0.115,0.161	0.149,0.125,0.106,0.179	0.005
0.669,0.68,0.569,0.676	0.658,0.631,0.664,0.667	-0.006
0.561,0.552,0.527,0.533	0.558,0.544,0.523,0.517	0.008
0.1,0.094,0.111,0.059	0.0,0.083,0.032,0.033	0.054
0.667,0.727,0.667,0.667	0.576,0.719,0.602,0.64	0.048
0.564,0.581,0.539,0.69	0.617,0.633,0.585,0.604	-0.016
0.154,0.143,0.132,0.167	0.171,0.2,0.105,0.174	-0.013
0.627,0.575,0.487,0.703	0.702,0.614,0.553,0.689	-0.041
0.902,0.89,0.862,0.922	0.92,0.864,0.913,0.913	-0.009
0.619,0.588,0.427,0.65	0.534,0.697,0.431,0.664	-0.011
1.0,0.988,1.0,0.985	0.944,1.0,1.0,0.978	0.013
0.496,0.497,0.497,0.427	0.528,0.455,0.46,0.574	-0.025
0.392,0.438,0.323,0.396	0.392,0.267,0.363,0.326	0.05
0.381,0.333,0.449,0.404	0.451,0.44,0.329,0.451	-0.026
0.5,0.667,0.0,0.667	0.375,0.286,0.556,0.5	0.029
