IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
15,19,13,6	55,61,42,14	0,0,11,0	0,0,34,0	78	78
1,0,1,0	55,61,42,14	0,0,1,0	0,0,34,0	78	78
13,23,18,2	24,42,41,10	0,0,18,0	0,0,35,0	78	78
49,43,52,42	35,32,40,37	39,33,50,51	45,36,30,45	78	78
0,0,0,0	0,3,0,0	0,0,0,2	0,0,1,0	78	78
106,99,133,100	2,2,3,2	83,62,77,102	2,1,3,1	78	78
270,255,300,278	2,10,6,3	212,187,198,245	6,2,3,2	78	78
183,186,192,183	1,4,1,3	115,141,131,133	0,2,3,0	78	78
74,71,58,65	1,4,1,3	51,54,55,51	0,2,3,0	78	78
0,0,1,1	111,108,108,84	0,0,4,0	113,104,98,72	78	78
53,47,65,52	22,28,25,20	72,42,46,54	37,29,32,44	78	78
3,1,2,2	12,15,22,17	1,1,0,2	18,18,10,20	78	78
0,0,6,1	12,15,22,17	2,3,1,4	18,18,10,20	78	78
17,8,10,14	15,15,15,18	14,6,10,10	24,17,7,22	78	78
16,6,10,14	0,0,1,2	14,6,11,10	1,0,3,1	78	78
27,24,23,21	1,2,0,1	29,35,26,28	0,0,2,2	78	78
2,4,0,3	1,9,2,4	3,0,3,0	7,2,3,2	78	78
8,0,3,6	3,0,0,1	4,2,7,0	0,0,1,0	78	78
31,23,28,32	25,40,19,31	35,22,25,17	18,32,14,22	78	78
22,16,20,17	2,0,2,1	14,11,17,16	0,0,0,0	76	78
2,3,2,0	26,39,31,32	1,3,5,4	25,20,23,19	78	78
2,0,5,3	26,39,31,32	1,4,1,3	25,20,23,19	78	78
49,38,40,39	1,0,2,0	37,36,22,23	0,0,1,0	69	78
10,6,7,14	5,1,1,5	9,5,13,3	1,1,5,7	69	78
34,44,49,40	2,1,5,1	41,35,37,44	5,4,3,4	78	78
14,12,17,11	14,32,29,20	12,7,14,26	21,13,25,29	78	78
