ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
1	0,0,0,1	1,0,0,0	0,0,0,0	0,0,1,0	78	39	NA	NA
3	2,15,19,1	6,0,4,2	0,0,7,0	0,0,2,0	78	39	0.696125539441341	0.956580946056398
4	28,16,18,3	6,5,3,1	0,0,8,0	0,0,3,0	78	39	0.261901414222382	0.688519131775871
5	157,200,203,18	57,64,56,11	0,0,199,0	1,0,54,0	78	39	0.65508579297373	0.931152623936927
6	73,86,58,9	12,13,3,0	0,2,88,0	0,0,10,0	78	39	0.999202115572178	0.999202115572178
7	73,85,62,9	21,23,9,1	0,2,90,0	0,0,17,0	78	39	0.656750531184687	0.931622181381836
8	24,30,22,28	0,0,1,0	25,18,19,27	0,0,0,0	78	39	0.375718082540568	0.761519418963738
9	31,23,36,18	0,0,0,0	32,14,16,27	0,0,1,2	78	39	0.0135967989141945	0.332459782300172
10	11,13,23,7	42,47,38,28	22,9,6,9	28,37,38,41	78	39	0.690186849843949	0.955524452297636
22	12,12,5,13	16,11,8,13	7,22,13,12	16,18,11,14	78	39	0.857066019705167	0.999202115572178
23	380,446,350,318	36,31,22,31	390,316,344,389	22,31,32,48	78	39	0.48953128312538	0.833824602869592
24	165,161,175,165	2,7,3,10	139,141,138,151	2,0,3,3	78	39	0.0826326061775724	0.494125557642756
25	42,56,60,55	1,1,2,4	31,40,42,42	1,3,3,0	78	39	0.621935685642295	0.908729930951699
26	10,13,21,27	3,1,2,2	16,9,15,28	1,1,0,0	78	39	0.0561473553550854	0.46045891553299
29	5,4,6,5	0,0,0,4	8,5,2,5	1,0,0,2	78	39	0.999202115572178	0.999202115572178
30	6,3,4,3	1,2,0,5	7,7,2,7	4,1,2,1	78	39	0.642348926153779	0.921600484200405
31	354,310,239,324	5,4,2,2	317,277,317,358	4,1,0,3	78	39	0.181475683747371	0.626478751660924
34	222,324,266,187	0,1,1,0	254,205,250,255	3,0,0,1	78	39	0.528715413441587	0.853961898858587
35	175,275,217,159	0,0,1,0	223,170,191,214	0,0,0,0	78	39	0.321225765436774	0.72901960816243
36	37,71,57,50	1,2,0,1	49,43,47,58	3,1,2,1	78	39	0.223226434369287	0.66462784284735
37	40,76,60,55	102,100,107,128	49,44,53,61	93,92,123,104	78	39	0.762738719376084	0.987655863913075
38	19,22,23,15	50,39,27,39	14,13,33,16	25,34,38,36	78	39	0.738976558519737	0.977323598377914
39	31,52,39,28	50,46,44,47	56,54,45,31	69,47,37,47	78	39	0.265921921210233	0.693153083305542
40	5,3,2,1	0,3,9,5	6,1,0,0	0,4,0,2	78	39	0.279758535839268	0.704875803492903
42	174,165,181,158	4,3,7,12	159,108,114,142	4,3,4,0	78	39	0.14330074863475	0.58889959827634
43	1,8,5,1301	0,0,0,63	1817,1693,6,1708	127,104,1,97	78	39	0.0456168961137612	0.436122781876547
48	210,230,236,263	3,7,12,8	269,226,256,278	6,7,7,14	78	39	0.901757447088495	0.999202115572178
49	1,0,2,1	0,0,0,2	1,2,0,1	0,0,0,0	78	39	0.153473390350027	0.600015215958357
51	3,0,0,4	0,1,0,0	3,1,4,0	0,0,2,0	78	39	0.334772335097383	0.741600983890015
52	75,120,98,76	95,83,85,80	81,94,89,95	80,91,72,104	78	39	0.834547844917063	0.999202115572178
53	129,146,137,119	119,93,69,79	143,86,90,129	77,77,92,98	78	39	0.3403213083887	0.744680650620724
54	767,707,669,772	161,100,127,121	608,613,564,647	124,102,94,107	78	39	0.910978358790236	0.999202115572178
55	761,707,665,754	13,13,7,18	601,605,563,627	8,10,9,12	78	39	0.725209566124127	0.971396874739392
56	362,465,392,373	1344,1170,1273,1331	467,415,437,489	1387,1205,1385,1370	78	39	0.248613900471185	0.681100871748244
57	7,4,10,1	0,1,1,4	1,1,0,3	0,1,2,0	78	39	0.999202115572178	0.999202115572178
58	0,6,0,0	1,0,1,0	3,1,0,1	0,0,0,0	78	39	0.0887272967061341	0.501271483177406
60	176,135,119,158	12,8,10,6	170,152,159,174	13,10,12,6	78	39	0.933296290173322	0.999202115572178
62	71,85,88,80	0,2,1,2	87,97,90,85	1,0,3,2	78	39	0.810441718046818	0.999202115572178
63	65,63,76,75	0,0,0,0	121,97,126,100	0,1,0,1	78	39	0.0130507941101724	0.327812219330967
64	111,178,134,137	91,100,86,109	151,143,190,138	112,104,124,100	78	39	0.82493625015393	0.999202115572178
67	1,5,1,1	0,0,1,0	0,0,0,0	0,2,0,0	78	39	0.057231567220433	0.46045891553299
69	7,15,29,24	615,538,626,577	23,18,14,10	717,557,546,604	78	39	0.608537735459548	0.904824101958787
72	95,97,130,111	1,2,1,0	115,96,79,94	1,0,2,0	78	39	0.790914645492371	0.99836298206255
73	48,100,88,84	7,2,8,10	76,60,91,84	1,8,3,3	78	39	0.168686168859467	0.614070994148496
74	46,75,68,72	35,40,37,34	62,57,72,63	51,33,30,36	78	39	0.784149216820079	0.99520874447529
75	9,31,15,11	15,27,21,23	17,9,8,14	26,12,21,19	78	39	0.429958724322674	0.791673384832624
77	58,50,42,83	137,142,129,130	62,60,60,61	124,91,103,92	78	39	0.0242254750811768	0.366442659991311
80	122,99,105,123	5,5,4,5	116,133,145,109	4,4,5,2	78	39	0.193078048071034	0.6351256323677
81	330,345,291,324	45,53,50,41	300,309,315,394	46,49,45,51	78	39	0.953017685510268	0.999202115572178
82	472,463,389,470	150,163,115,185	423,456,445,556	175,124,179,167	78	39	0.999202115572178	0.999202115572178
83	118,105,79,100	2,8,6,15	96,82,92,79	4,7,7,2	78	39	0.717162029177816	0.967631034704687
84	122,103,81,102	10,19,15,22	97,77,92,85	9,7,13,13	78	39	0.186279384561133	0.626478751660924
85	115,162,156,100	81,89,62,77	163,149,108,184	99,109,78,65	78	39	0.967196140350682	0.999202115572178
86	135,159,164,123	196,176,184,199	167,149,161,200	173,209,170,212	78	39	0.137214521176888	0.582371308773799
87	147,205,185,146	73,77,69,97	188,153,179,156	103,83,65,68	78	39	0.925693438347924	0.999202115572178
89	1,0,0,3	2,0,0,0	0,0,2,0	0,0,0,0	78	39	NA	NA
90	0,2,1,0	1,3,0,2	0,1,0,1	1,0,0,0	78	39	0.271819847582958	0.699297296853467
91	12,20,31,21	0,1,0,0	24,26,21,21	0,0,0,0	78	39	0.311704481580652	0.72901960816243
96	32,85,71,51	25,21,7,21	47,26,62,79	35,12,18,26	78	39	0.290654350842782	0.71294941562217
97	15,22,26,16	23,28,32,28	23,12,21,15	23,22,33,27	78	39	0.8120916609045	0.999202115572178
98	1,2,7,10	0,0,1,0	4,2,5,9	0,0,0,0	78	39	0.31333401573302	0.72901960816243
99	1,2,3,0	0,0,1,1	6,2,0,3	0,0,1,1	78	39	0.69865376371401	0.956580946056398
103	0,0,0,0	1,0,0,0	0,0,1,0	0,2,0,0	78	39	NA	NA
106	59,82,100,74	69,82,67,72	89,91,80,83	89,98,75,92	78	39	0.410691246365741	0.780426350556082
107	60,72,76,71	0,2,0,0	69,49,67,64	0,1,0,0	78	39	0.857797657601222	0.999202115572178
108	112,139,139,114	3,5,6,6	170,146,126,155	12,2,6,10	78	39	0.558197343296215	0.870636850761068
109	143,227,180,137	119,96,113,99	152,182,182,207	134,91,109,127	78	39	0.947756328536905	0.999202115572178
110	12,16,12,5	8,9,7,15	15,17,11,18	7,9,7,4	78	39	0.041457602930522	0.421129988592031
113	64,89,77,65	61,63,75,43	76,69,88,72	64,56,70,88	78	39	0.392570176551737	0.768725299654465
114	116,140,138,106	18,18,19,37	144,148,137,146	40,29,35,40	78	39	0.159442366608432	0.607839881376247
116	0,0,1,0	0,0,0,0	1,0,0,4	0,0,1,0	78	39	0.0667554651442214	0.46045891553299
118	100,125,133,103	19,13,16,28	127,103,128,135	17,15,19,16	78	39	0.385994554508196	0.763212262406049
120	0,2,0,0	0,0,0,1	1,0,0,0	0,0,0,0	78	39	NA	NA
121	76,80,86,62	15,15,21,12	97,104,90,95	14,16,20,19	78	39	0.3996809957315	0.771961562498206
122	23,25,18,26	1,0,1,2	40,19,18,36	2,4,2,4	78	39	0.0567052944079459	0.46045891553299
128	43,42,34,24	5,8,1,4	57,43,32,31	10,5,0,9	78	39	0.855467165018406	0.999202115572178
