IncLevel1	IncLevel2	IncLevelDifference
0.0,NA,NA,1.0	NA,NA,0.0,NA	0.5
0.143,1.0,0.704,0.2	NA,NA,0.636,NA	-0.124
0.7,0.615,0.75,0.6	NA,NA,0.571,NA	0.095
0.579,0.61,0.644,0.45	0.0,NA,0.648,NA	0.247
0.753,0.768,0.906,1.0	NA,1.0,0.815,NA	-0.051
0.635,0.649,0.775,0.818	NA,1.0,0.726,NA	-0.144
1.0,1.0,0.917,1.0	1.0,1.0,1.0,1.0	-0.021
1.0,1.0,1.0,1.0	1.0,1.0,0.889,0.871	0.06
0.116,0.121,0.232,0.111	0.282,0.108,0.073,0.099	0.005
0.273,0.353,0.238,0.333	0.179,0.379,0.371,0.3	-0.008
0.841,0.878,0.888,0.837	0.899,0.836,0.843,0.802	0.016
0.976,0.92,0.967,0.892	0.972,1.0,0.958,0.962	-0.034
0.955,0.966,0.938,0.873	0.939,0.87,0.875,1.0	0.012
0.625,0.867,0.84,0.871	0.889,0.818,1.0,1.0	-0.126
1.0,1.0,1.0,0.385	0.8,1.0,1.0,0.556	0.007
0.75,0.429,1.0,0.231	0.467,0.778,0.333,0.778	0.014
0.973,0.975,0.984,0.988	0.975,0.993,1.0,0.984	-0.008
1.0,0.994,0.993,1.0	0.977,1.0,1.0,0.992	0.005
1.0,1.0,0.991,1.0	1.0,1.0,1.0,1.0	-0.002
0.949,0.947,1.0,0.962	0.891,0.956,0.922,0.967	0.03
0.164,0.275,0.219,0.177	0.209,0.193,0.177,0.227	0.007
0.16,0.22,0.299,0.161	0.219,0.16,0.303,0.182	-0.006
0.237,0.361,0.307,0.23	0.289,0.365,0.378,0.248	-0.036
1.0,0.333,0.1,0.091	1.0,0.111,NA,0.0	0.011
0.956,0.965,0.928,0.868	0.952,0.947,0.934,1.0	-0.029
1.0,1.0,1.0,0.912	0.877,0.891,0.75,0.898	0.124
0.972,0.943,0.908,0.943	0.957,0.942,0.948,0.908	0.003
1.0,NA,1.0,0.2	1.0,1.0,NA,1.0	-0.267
1.0,0.0,NA,1.0	1.0,1.0,0.5,NA	-0.167
0.283,0.42,0.366,0.322	0.336,0.341,0.382,0.314	0.004
0.351,0.44,0.498,0.43	0.481,0.358,0.328,0.397	0.039
0.704,0.779,0.725,0.761	0.71,0.75,0.75,0.751	0.002
0.967,0.965,0.979,0.954	0.974,0.968,0.969,0.963	-0.002
0.119,0.166,0.133,0.123	0.144,0.147,0.136,0.151	-0.009
1.0,0.667,0.833,0.111	1.0,0.333,0.0,1.0	0.07
0.0,1.0,0.0,NA	1.0,1.0,NA,1.0	-0.667
0.88,0.894,0.856,0.929	0.867,0.884,0.869,0.935	0.001
1.0,0.955,0.978,0.952	0.978,1.0,0.938,0.955	0.003
1.0,1.0,1.0,1.0	1.0,0.98,1.0,0.98	0.01
0.379,0.471,0.438,0.386	0.403,0.407,0.434,0.408	0.006
1.0,1.0,0.333,1.0	NA,0.0,NA,NA	0.833
0.006,0.014,0.023,0.02	0.016,0.016,0.013,0.008	0.003
0.979,0.96,0.985,1.0	0.983,1.0,0.952,1.0	-0.003
0.774,0.962,0.846,0.808	0.974,0.789,0.938,0.933	-0.061
0.397,0.484,0.479,0.514	0.378,0.463,0.545,0.467	0.005
0.231,0.365,0.263,0.193	0.246,0.273,0.16,0.269	0.026
0.175,0.15,0.14,0.242	0.2,0.248,0.226,0.249	-0.054
0.924,0.908,0.929,0.925	0.935,0.943,0.935,0.965	-0.023
0.786,0.765,0.744,0.798	0.765,0.759,0.778,0.794	-0.001
0.611,0.587,0.628,0.56	0.547,0.648,0.554,0.625	0.003
0.967,0.868,0.868,0.769	0.923,0.854,0.868,0.952	-0.031
0.859,0.73,0.73,0.699	0.843,0.846,0.78,0.766	-0.054
0.415,0.476,0.557,0.394	0.452,0.406,0.409,0.586	-0.003
0.256,0.311,0.308,0.236	0.326,0.263,0.321,0.321	-0.03
0.502,0.571,0.573,0.429	0.477,0.48,0.579,0.534	0.001
0.2,NA,NA,1.0	NA,NA,1.0,NA	-0.4
0.0,0.25,1.0,0.0	0.0,1.0,NA,1.0	-0.354
1.0,0.909,1.0,1.0	1.0,1.0,1.0,1.0	-0.023
0.39,0.669,0.835,0.548	0.402,0.52,0.633,0.603	0.071
0.246,0.282,0.289,0.222	0.333,0.214,0.241,0.217	0.008
1.0,1.0,0.778,1.0	1.0,1.0,1.0,1.0	-0.055
1.0,1.0,0.6,0.0	1.0,1.0,0.0,0.6	0.0
0.0,NA,NA,NA	NA,0.0,1.0,NA	-0.5
0.299,0.333,0.427,0.339	0.333,0.317,0.348,0.311	0.022
1.0,0.947,1.0,1.0	1.0,0.961,1.0,1.0	-0.003
0.949,0.933,0.921,0.905	0.876,0.973,0.913,0.886	0.015
0.375,0.542,0.443,0.409	0.362,0.5,0.455,0.449	0.001
0.429,0.471,0.462,0.143	0.517,0.486,0.44,0.692	-0.157
0.344,0.414,0.339,0.43	0.373,0.381,0.386,0.29	0.024
0.763,0.795,0.784,0.589	0.643,0.718,0.662,0.646	0.066
NA,NA,1.0,NA	1.0,NA,0.0,1.0	0.333
0.725,0.828,0.806,0.648	0.789,0.774,0.771,0.808	-0.034
NA,1.0,NA,0.0	1.0,NA,NA,NA	-0.5
0.717,0.727,0.672,0.721	0.776,0.765,0.692,0.714	-0.027
0.92,1.0,0.9,0.867	0.909,0.704,0.818,0.818	0.109
0.811,0.724,0.944,0.75	0.74,0.811,1.0,0.633	0.011
0.128,0.294,0.143,0.217	0.312,0.294,0.081,0.385	-0.073
0.128,0.069,0.053,0.134	0.076,0.062,0.094,0.072	0.02
1.0,1.0,1.0,1.0	0.2,1.0,1.0,0.5	0.325
0.305,0.5,0.395,0.44	0.327,0.214,0.244,0.412	0.111
1.0,1.0,0.882,1.0	1.0,1.0,1.0,1.0	-0.029
0.209,0.434,0.443,0.28	0.226,0.308,0.29,0.358	0.046
0.6,0.661,0.561,0.442	0.677,0.611,0.59,0.676	-0.073
0.226,0.276,0.185,0.228	0.183,0.121,0.206,0.208	0.049
0.905,0.862,0.901,0.903	0.869,0.879,0.877,0.861	0.021
