IncLevel1	IncLevel2	IncLevelDifference
NA,NA,1.0,NA	0.0,NA,0.333,NA	0.834
1.0,1.0,NA,NA	1.0,NA,0.0,0.0	0.667
1.0,0.982,0.974,1.0	NA,NA,0.971,NA	0.018
1.0,1.0,1.0,1.0	NA,NA,0.957,NA	0.043
1.0,1.0,1.0,1.0	NA,NA,0.9,NA	0.1
0.047,0.0,0.0,0.0	NA,NA,0.0,NA	0.012
0.76,1.0,1.0,1.0	NA,NA,0.935,NA	0.005
1.0,0.959,0.978,1.0	NA,NA,0.962,NA	0.022
0.019,0.0,0.011,0.0	NA,NA,0.055,NA	-0.048
0.0,0.0,0.021,0.0	NA,NA,0.019,NA	-0.014
1.0,1.0,0.969,1.0	NA,NA,1.0,NA	-0.008
1.0,1.0,0.951,1.0	NA,NA,1.0,NA	-0.012
0.926,0.889,0.644,1.0	NA,NA,1.0,NA	-0.135
0.0,0.0,0.02,0.0	NA,NA,0.0,NA	0.005
0.421,0.529,0.581,0.286	NA,NA,0.538,NA	-0.084
1.0,0.952,1.0,1.0	NA,NA,1.0,NA	-0.012
1.0,1.0,1.0,1.0	1.0,1.0,0.984,NA	0.005
0.513,0.527,0.504,0.396	1.0,NA,0.462,0.0	-0.002
0.103,0.092,0.02,0.027	NA,NA,0.103,NA	-0.042
0.137,0.116,0.04,0.053	NA,NA,0.124,NA	-0.038
0.987,0.963,1.0,1.0	1.0,1.0,0.995,NA	-0.011
1.0,1.0,0.952,1.0	NA,NA,0.959,NA	0.029
1.0,0.963,0.962,1.0	NA,NA,1.0,NA	-0.019
0.059,0.22,0.227,0.191	0.207,0.133,0.326,0.254	-0.056
0.59,0.75,0.812,1.0	0.529,0.68,0.852,0.622	0.117
NA,1.0,0.714,NA	NA,NA,NA,0.667	0.19
1.0,0.956,1.0,0.81	0.818,0.826,1.0,0.889	0.058
1.0,0.846,1.0,0.636	0.538,0.667,1.0,0.778	0.125
1.0,1.0,0.926,0.931	0.943,1.0,1.0,1.0	-0.021
1.0,1.0,0.975,0.97	0.973,1.0,1.0,1.0	-0.007
1.0,1.0,1.0,1.0	1.0,1.0,0.95,1.0	0.012
1.0,1.0,1.0,1.0	1.0,1.0,0.978,1.0	0.006
0.0,0.0,0.0,0.455	0.0,0.0,NA,0.0	0.114
0.038,0.015,0.0,0.0	0.026,0.036,0.0,0.023	-0.008
1.0,1.0,1.0,0.933	1.0,1.0,1.0,1.0	-0.017
1.0,1.0,1.0,0.962	1.0,1.0,1.0,1.0	-0.01
0.176,0.137,0.143,0.265	0.222,0.286,0.302,0.333	-0.106
1.0,1.0,1.0,0.955	1.0,1.0,1.0,1.0	-0.011
NA,1.0,1.0,NA	NA,0.0,0.0,0.0	1.0
0.0,1.0,NA,NA	NA,NA,1.0,NA	-0.5
0.0,NA,NA,NA	NA,NA,NA,1.0	-1.0
1.0,1.0,1.0,1.0	1.0,1.0,0.969,1.0	0.008
0.959,1.0,1.0,1.0	0.962,1.0,1.0,1.0	-0.001
1.0,1.0,1.0,1.0	1.0,0.92,0.913,1.0	0.042
1.0,1.0,1.0,1.0	0.81,1.0,1.0,1.0	0.047
0.953,1.0,1.0,1.0	0.963,1.0,0.957,0.911	0.03
1.0,1.0,1.0,0.333	1.0,NA,0.333,NA	0.167
0.226,0.235,0.317,0.258	0.232,0.217,0.228,0.268	0.023
1.0,0.884,0.962,0.973	0.931,0.982,0.98,0.984	-0.014
0.308,0.251,0.304,0.278	0.272,0.232,0.25,0.281	0.026
1.0,1.0,1.0,1.0	1.0,1.0,0.975,1.0	0.006
0.005,0.006,0.01,0.007	0.007,0.004,0.011,0.004	0.0
0.003,0.013,0.009,0.004	0.01,0.003,0.005,0.003	0.002
0.007,0.007,0.01,0.004	0.014,0.006,0.01,0.004	-0.002
1.0,1.0,1.0,1.0	1.0,0.997,1.0,1.0	0.001
0.996,1.0,1.0,1.0	0.998,1.0,1.0,1.0	-0.001
0.995,0.995,0.998,1.0	0.998,0.998,1.0,0.989	0.001
0.115,0.113,0.075,0.112	0.092,0.089,0.099,0.111	0.006
0.956,0.968,0.991,0.986	1.0,0.981,1.0,0.992	-0.018
1.0,1.0,1.0,1.0	0.979,0.978,0.98,1.0	0.016
1.0,0.286,0.067,0.429	NA,0.2,0.6,0.0	0.179
1.0,0.949,0.932,0.979	1.0,0.946,0.985,0.943	-0.004
1.0,0.877,0.806,0.942	1.0,0.871,0.965,0.864	-0.019
0.965,0.937,0.969,0.987	0.962,0.96,0.888,0.952	0.024
0.932,0.89,0.911,0.986	0.877,0.923,0.951,0.865	0.026
1.0,1.0,1.0,1.0	1.0,0.943,1.0,1.0	0.014
1.0,0.6,NA,1.0	1.0,1.0,1.0,1.0	-0.133
1.0,0.75,1.0,1.0	1.0,1.0,1.0,NA	-0.062
1.0,0.429,1.0,1.0	1.0,1.0,1.0,0.6	-0.043
1.0,1.0,0.994,0.994	1.0,1.0,0.994,1.0	-0.002
0.0,0.0,0.003,0.0	0.0,0.0,0.0,0.0	0.001
0.961,0.96,0.958,0.936	0.939,0.94,0.94,0.944	0.013
0.015,0.03,0.045,0.021	0.026,0.039,0.055,0.081	-0.023
0.0,0.0,0.048,0.077	0.0,0.0,0.25,0.0	-0.031
0.086,0.088,0.038,0.032	0.059,0.073,0.0,0.1	0.003
0.5,NA,0.0,1.0	0.0,0.0,0.067,0.2	0.433
0.091,0.333,0.143,0.143	0.333,0.333,NA,0.5	-0.211
0.933,0.982,0.844,0.875	0.95,0.963,0.891,0.973	-0.036
0.979,1.0,0.981,1.0	0.902,0.977,0.859,0.948	0.069
1.0,1.0,1.0,1.0	1.0,1.0,0.973,1.0	0.007
0.966,0.983,0.985,0.987	1.0,0.963,0.97,1.0	-0.003
0.923,0.958,0.967,0.964	1.0,0.902,0.917,1.0	-0.002
1.0,1.0,1.0,0.978	1.0,1.0,1.0,1.0	-0.006
1.0,1.0,1.0,0.987	1.0,1.0,0.99,1.0	-0.001
1.0,1.0,1.0,1.0	1.0,0.938,1.0,1.0	0.016
1.0,1.0,1.0,1.0	1.0,0.985,1.0,1.0	0.004
1.0,1.0,1.0,1.0	0.97,0.92,0.981,0.978	0.038
1.0,1.0,0.951,1.0	1.0,1.0,1.0,0.981	-0.007
0.984,1.0,1.0,1.0	1.0,0.983,1.0,1.0	0.0
1.0,1.0,1.0,0.968	1.0,1.0,0.939,1.0	0.007
0.95,0.966,1.0,1.0	1.0,1.0,0.917,1.0	-0.0
0.077,0.067,0.0,0.091	0.111,NA,NA,1.0	-0.497
NA,0.333,NA,NA	NA,NA,1.0,1.0	-0.667
1.0,1.0,1.0,1.0	1.0,0.913,1.0,1.0	0.022
0.048,0.0,0.097,0.1	0.02,0.0,0.0,0.143	0.021
0.765,1.0,0.92,1.0	0.81,0.778,1.0,1.0	0.024
0.714,1.0,0.931,1.0	0.818,0.8,1.0,1.0	0.007
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.915	0.021
0.0,0.0,0.0,0.048	0.143,0.0,0.0,0.0	-0.024
1.0,1.0,1.0,1.0	0.947,1.0,1.0,1.0	0.013
1.0,1.0,1.0,0.867	1.0,1.0,1.0,1.0	-0.033
0.067,0.0,0.0,0.185	0.212,0.026,0.048,0.056	-0.022
1.0,1.0,1.0,0.935	0.949,1.0,1.0,1.0	-0.003
0.955,0.907,1.0,1.0	1.0,1.0,1.0,1.0	-0.034
1.0,1.0,1.0,1.0	1.0,1.0,0.929,1.0	0.018
1.0,1.0,NA,1.0	NA,NA,0.5,1.0	0.25
1.0,1.0,0.818,0.857	1.0,1.0,0.455,0.9	0.08
0.2,0.0,0.0,0.0	0.0,NA,0.0,0.0	0.05
0.0,0.333,1.0,1.0	NA,1.0,NA,NA	-0.417
1.0,1.0,1.0,1.0	0.667,1.0,1.0,NA	0.111
0.987,1.0,0.982,0.985	1.0,0.98,1.0,0.967	0.002
0.99,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.002
0.6,NA,1.0,0.5	1.0,1.0,1.0,NA	-0.3
0.035,0.0,0.015,0.032	0.022,0.013,0.046,0.0	0.0
0.013,0.0,0.0,0.005	0.0,0.0,0.007,0.0	0.003
0.167,NA,0.0,0.091	0.0,NA,0.2,NA	-0.014
0.167,NA,0.0,0.0	0.0,NA,0.111,NA	0.0
1.0,1.0,0.971,1.0	1.0,1.0,0.986,1.0	-0.004
0.732,0.885,0.82,0.831	0.706,0.761,0.731,0.78	0.073
0.912,0.761,0.934,0.909	0.857,0.955,0.967,0.792	-0.014
1.0,1.0,0.875,1.0	0.897,1.0,1.0,1.0	-0.006
1.0,1.0,0.826,1.0	0.818,1.0,1.0,1.0	0.002
0.965,0.887,0.957,0.908	0.879,0.964,0.839,0.951	0.021
0.742,0.714,0.583,0.574	0.484,0.467,0.544,0.483	0.159
1.0,1.0,0.882,1.0	1.0,1.0,0.8,1.0	0.021
1.0,0.979,1.0,1.0	0.965,1.0,1.0,0.97	0.011
0.996,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.001
1.0,1.0,1.0,0.333	1.0,1.0,1.0,1.0	-0.167
0.538,0.571,0.5,0.579	0.636,0.333,0.467,0.5	0.063
0.255,0.0,0.278,0.278	0.204,0.204,0.506,0.473	-0.144
0.672,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.082
0.506,0.506,0.595,0.555	0.59,0.53,0.744,0.578	-0.07
0.083,0.0,0.125,0.067	0.0,0.0,0.0,0.0	0.069
0.0,0.0,0.2,0.071	0.0,0.222,0.029,0.062	-0.01
0.196,0.0,0.115,0.0	0.075,0.0,0.103,0.042	0.023
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.875	0.031
1.0,0.977,1.0,1.0	0.973,1.0,1.0,1.0	0.001
0.45,0.647,0.481,0.526	0.481,0.561,0.517,0.392	0.038
0.679,0.535,0.717,0.46	0.494,0.341,0.62,0.556	0.095
0.966,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.008
0.2,1.0,0.167,0.143	0.333,0.273,0.667,0.556	-0.08
0.25,0.273,0.3,0.294	0.083,0.5,0.571,0.238	-0.069
0.333,1.0,0.333,NA	1.0,1.0,1.0,0.667	-0.361
1.0,0.6,1.0,0.714	1.0,1.0,1.0,1.0	-0.171
0.565,0.52,0.429,0.688	0.882,0.474,0.556,0.909	-0.155
0.0,1.0,NA,NA	NA,NA,0.0,1.0	0.0
0.455,0.333,0.44,0.676	0.421,0.619,0.647,0.579	-0.091
0.333,NA,0.556,1.0	1.0,1.0,1.0,0.6	-0.27
0.565,0.5,0.429,0.697	0.882,0.474,0.556,0.913	-0.159
0.0,NA,NA,1.0	NA,NA,0.0,1.0	0.0
