ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	13,19,15,6	42,61,55,14	0,0,11,0	0,0,34,0	197	279
1	1,0,1,0	42,61,55,14	0,0,1,0	0,0,34,0	217	279
2	18,23,13,2	41,42,24,10	0,0,18,0	0,0,35,0	264	298
3	52,43,49,42	40,32,35,37	51,33,50,39	45,36,30,45	298	298
5	0,0,0,0	0,3,0,0	2,0,0,0	0,0,1,0	278	298
6	133,99,106,100	3,2,2,2	102,62,77,83	1,1,3,2	269	296
7	300,255,270,278	6,10,2,3	245,187,198,212	2,2,3,6	269	296
8	192,186,183,183	1,4,1,3	133,141,131,115	0,2,3,0	217	217
9	58,71,74,65	1,4,1,3	51,54,55,51	0,2,3,0	298	217
11	1,0,0,1	108,108,111,84	0,0,4,0	72,104,98,113	254	298
12	65,47,53,52	25,28,22,20	54,42,46,72	44,29,32,37	298	208
13	2,1,3,2	22,15,12,17	2,1,0,1	20,18,10,18	298	298
14	6,0,0,1	22,15,12,17	4,3,1,2	20,18,10,18	298	298
15	10,8,17,14	15,15,15,18	10,6,10,14	22,17,7,24	203	298
16	10,6,16,14	1,0,0,2	10,6,11,14	1,0,3,1	203	298
17	23,24,27,21	0,2,1,1	28,35,26,29	2,0,2,0	298	240
18	0,4,2,3	2,9,1,4	0,0,3,3	2,2,3,7	251	298
19	3,0,8,6	0,0,3,1	0,2,7,4	0,0,1,0	206	224
20	28,23,31,32	19,40,25,31	17,22,25,35	22,32,14,18	248	260
21	20,16,22,17	2,0,2,1	16,11,17,14	0,0,0,0	186	194
22	2,3,2,0	31,39,26,32	4,3,5,1	19,20,23,25	222	223
23	5,0,2,3	31,39,26,32	3,4,1,1	19,20,23,25	298	223
24	40,38,49,39	2,0,1,0	23,36,22,37	0,0,1,0	179	245
25	7,6,10,14	1,1,5,5	3,5,13,9	7,1,5,1	179	245
26	49,44,34,40	5,1,2,1	44,35,37,41	4,4,3,5	240	241
27	17,12,14,11	29,32,14,20	26,7,14,12	29,13,25,21	298	272
28	17,12,14,11	19,28,10,17	26,7,14,12	22,9,18,21	298	227
29	2,0,2,0	0,0,1,0	2,2,0,4	0,0,0,0	281	270
30	17,10,17,22	14,22,22,18	9,8,7,17	16,12,14,13	298	244
31	17,10,17,22	0,0,0,2	9,8,7,17	0,0,0,0	298	168
32	8,7,5,12	14,22,22,18	3,3,3,6	16,12,14,13	292	244
33	14,22,22,18	0,0,0,2	16,12,14,13	0,0,0,0	244	168
34	36,40,27,30	115,103,104,106	29,22,19,17	83,78,89,80	298	250
35	32,40,29,30	7,11,17,8	29,21,19,17	8,6,5,10	298	250
36	276,245,256,256	4,5,3,9	215,212,203,211	1,4,4,4	250	194
37	0,0,0,0	17,20,20,22	3,0,0,0	11,10,13,17	212	194
38	16,10,8,11	10,11,12,11	12,7,5,5	13,16,16,19	221	235
39	4,2,3,0	0,1,1,2	1,1,0,0	2,2,0,1	298	252
40	2,2,2,0	2,2,4,2	1,1,0,0	0,0,1,1	298	195
41	0,1,0,1	2,1,2,2	1,3,0,0	0,0,0,1	252	195
42	49,68,45,39	52,80,56,61	49,32,38,57	62,45,67,42	254	254
43	12,13,11,7	55,43,46,48	14,11,13,21	47,38,45,32	198	216
44	33,44,60,47	72,75,58,77	15,19,18,18	74,70,66,33	277	226
45	19,21,17,19	72,75,58,77	12,23,21,13	74,70,66,33	239	226
46	9,14,10,10	7,3,14,11	5,9,5,6	11,9,5,4	298	226
47	9,14,10,10	118,147,156,94	5,9,5,6	72,64,66,66	298	226
48	47,30,32,31	147,192,148,168	14,15,21,8	70,62,75,43	238	226
49	7,3,14,11	118,147,156,94	11,9,5,4	72,64,66,66	226	226
50	24,5,18,18	117,143,154,92	7,29,10,5	72,64,66,67	226	226
51	1,1,3,1	39,47,57,50	4,0,0,1	57,36,31,46	227	239
52	13,7,6,13	10,6,10,14	7,2,8,12	8,12,4,12	227	227
53	13,7,6,13	41,51,57,51	7,2,8,12	57,38,33,48	227	239
