ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	0,0,0,1	0,0,1,0	0,0,0,0	0,0,1,0	298	149
3	19,15,2,1	4,0,6,2	0,0,7,0	0,0,2,0	298	149
4	18,16,28,3	3,5,6,1	0,0,8,0	0,0,3,0	236	149
5	203,200,157,18	56,64,57,11	0,0,199,0	0,0,54,1	298	149
6	58,86,73,9	3,13,12,0	0,2,88,0	0,0,10,0	298	149
7	62,85,73,9	9,23,21,1	0,2,90,0	0,0,17,0	298	149
8	22,30,24,28	1,0,0,0	27,18,19,25	0,0,0,0	298	149
9	36,23,31,18	0,0,0,0	27,14,16,32	2,0,1,0	298	149
10	23,13,11,7	38,47,42,28	9,9,6,22	41,37,38,28	298	149
22	5,12,12,13	8,11,16,13	12,22,13,7	14,18,11,16	298	149
23	350,446,380,318	22,31,36,31	389,316,344,390	48,31,32,22	298	149
24	175,161,165,165	3,7,2,10	151,141,138,139	3,0,3,2	298	149
25	60,56,42,55	2,1,1,4	42,40,42,31	0,3,3,1	296	149
26	21,13,10,27	2,1,3,2	28,9,15,16	0,1,0,1	298	149
29	6,4,5,5	0,0,0,4	5,5,2,8	2,0,0,1	298	149
30	4,3,6,3	0,2,1,5	7,7,2,7	1,1,2,4	298	149
31	239,310,354,324	2,4,5,2	358,277,317,317	3,1,0,4	215	149
34	266,324,222,187	1,1,0,0	255,205,250,254	1,0,0,3	298	149
35	217,275,175,159	1,0,0,0	214,170,191,223	0,0,0,0	298	149
36	57,71,37,50	0,2,1,1	58,43,47,49	1,1,2,3	238	149
37	60,76,40,55	107,100,102,128	61,44,53,49	104,92,123,93	256	149
38	23,22,19,15	27,39,50,39	16,13,33,14	36,34,38,25	298	149
39	39,52,31,28	44,46,50,47	31,54,45,56	47,47,37,69	298	149
40	2,3,5,1	9,3,0,5	0,1,0,6	2,4,0,0	242	149
42	181,165,174,158	7,3,4,12	142,108,114,159	0,3,4,4	298	149
43	5,8,1,1301	0,0,0,63	1708,1693,6,1817	97,104,1,127	298	149
48	236,230,210,263	12,7,3,8	278,226,256,269	14,7,7,6	298	149
49	2,0,1,1	0,0,0,2	1,2,0,1	0,0,0,0	298	149
51	0,0,3,4	0,1,0,0	0,1,4,3	0,0,2,0	298	149
52	98,120,75,76	85,83,95,80	95,94,89,81	104,91,72,80	298	149
53	137,146,129,119	69,93,119,79	129,86,90,143	98,77,92,77	298	149
54	669,707,767,772	127,100,161,121	647,613,564,608	107,102,94,124	298	149
55	665,707,761,754	7,13,13,18	627,605,563,601	12,10,9,8	298	149
56	392,465,362,373	1273,1170,1344,1331	489,415,437,467	1370,1205,1385,1387	298	149
57	10,4,7,1	1,1,0,4	3,1,0,1	0,1,2,0	244	149
