ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	4,0,0,0	0,0,0,0	0,0,1,0	0,0,1,1	245	149
1	0,1,1,0	0,0,0,0	0,0,0,1	1,0,1,0	229	149
2	76,111,103,19	1,1,0,0	0,0,68,0	0,0,1,0	279	149
3	43,67,64,11	0,0,0,0	0,0,44,0	0,0,1,0	197	149
4	18,17,29,1	0,0,0,0	0,0,18,0	0,0,1,0	217	149
5	0,0,5,0	34,53,51,13	0,0,0,0	0,0,19,0	298	149
6	51,25,19,11	0,0,3,0	0,0,29,0	0,0,1,0	298	149
7	91,47,48,20	1,1,0,0	0,0,51,0	0,0,1,0	298	149
8	1,0,1,0	47,26,26,11	0,0,3,0	0,0,26,0	298	149
9	2,0,0,0	47,26,26,11	0,0,1,0	0,0,26,0	298	149
10	63,73,54,15	1,0,0,0	0,0,63,0	0,0,0,0	298	149
11	39,52,43,7	1,0,0,0	0,0,46,0	0,0,0,0	264	149
12	29,48,25,6	8,3,1,0	0,0,22,0	0,0,0,0	224	149
13	1,0,0,0	25,22,11,5	0,0,0,0	0,0,11,0	205	149
14	25,18,16,4	9,8,11,5	0,0,7,0	0,0,3,0	284	149
16	27,40,31,6	0,1,0,0	0,0,23,0	0,0,0,0	258	149
17	288,339,239,64	0,0,0,0	0,2,249,2	0,0,2,0	277	149
18	118,125,101,21	58,56,48,16	0,0,117,1	2,0,68,0	244	149
19	5,27,21,1	120,134,91,18	0,0,25,0	0,0,109,0	254	149
20	10,35,29,2	120,134,91,18	0,0,31,0	0,0,109,0	261	149
21	353,415,312,100	0,8,2,0	0,2,416,1	0,0,1,0	298	149
22	119,131,121,23	3,0,0,0	0,0,142,0	0,0,3,0	298	149
23	51,52,57,9	1,1,0,0	0,0,25,0	0,0,0,0	227	149
25	10,13,4,17	17,23,32,36	17,8,30,12	25,26,31,23	268	149
26	26,24,23,24	3,4,8,0	23,17,23,18	7,4,2,8	264	149
27	5,3,0,0	1,0,0,0	4,0,0,0	1,0,0,0	228	149
28	35,43,21,17	0,1,0,2	16,19,38,27	1,2,0,3	231	149
29	15,11,1,7	0,1,0,2	7,8,14,7	1,2,0,3	215	149
