ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	0,0,0,1	0,0,1,0	0,0,0,0	0,0,1,0	1139	149
3	34,30,9,1	4,0,6,2	0,0,18,0	0,0,2,0	642	149
4	18,16,28,3	3,5,6,1	0,0,8,0	0,0,3,0	236	149
5	392,330,288,39	56,64,57,11	0,0,362,0	0,0,54,1	547	149
6	86,103,94,11	3,13,12,0	0,2,111,0	0,0,10,0	417	149
7	86,101,93,11	9,23,21,1	0,2,113,0	0,0,17,0	410	149
8	85,100,75,93	1,0,0,0	83,69,77,107	0,0,0,0	1065	149
9	42,32,33,23	0,0,0,0	34,22,18,38	2,0,1,0	468	149
10	27,19,13,12	38,47,42,28	16,17,8,26	41,37,38,28	450	149
22	25,54,33,41	8,11,16,13	38,50,33,59	14,18,11,16	981	149
23	1660,1820,1635,1415	22,31,36,31	1727,1423,1764,1655	48,31,32,22	1619	149
24	187,181,179,186	3,7,2,10	161,153,150,148	3,0,3,2	332	149
25	60,56,42,56	2,1,1,4	42,40,42,31	0,3,3,1	296	149
26	39,35,26,50	2,1,3,2	54,27,39,33	0,1,0,1	603	149
29	14,4,12,8	0,0,0,4	11,8,5,11	2,0,0,1	541	149
30	12,3,11,6	0,2,1,5	10,8,5,7	1,1,2,4	480	149
31	239,310,354,324	2,4,5,2	358,277,317,317	3,1,0,4	215	149
34	564,730,486,471	1,1,0,0	553,447,560,536	1,0,0,3	727	149
35	474,633,398,413	1,0,0,0	487,381,469,476	0,0,0,0	675	149
36	57,71,37,50	0,2,1,1	58,43,47,49	1,1,2,3	238	149
37	60,76,40,55	107,100,102,128	61,44,53,49	104,92,123,93	256	149
38	33,28,29,22	27,39,50,39	20,24,43,25	36,34,38,25	445	149
39	213,217,163,157	44,46,50,47	155,205,183,215	47,47,37,69	957	149
40	2,3,5,1	9,3,0,5	0,1,0,6	2,4,0,0	242	149
42	1169,1048,1007,1121	7,3,4,12	924,746,743,897	0,3,4,4	2200	149
43	97,107,75,22687	0,0,0,63	32935,31161,96,34463	97,104,1,127	5817	149
48	866,897,767,793	12,7,3,8	960,790,915,966	14,7,7,6	1268	149
49	2,3,2,5	0,0,0,2	6,2,1,1	0,0,0,0	734	149
51	0,1,3,10	0,1,0,0	2,3,4,3	0,0,2,0	721	149
52	131,149,98,92	85,83,95,80	136,124,104,102	104,91,72,80	360	149
53	188,209,179,160	69,93,119,79	195,142,156,201	98,77,92,77	438	149
54	1506,1518,1755,1751	127,100,161,121	1505,1384,1339,1387	107,102,94,124	689	149
55	1515,1525,1767,1753	7,13,13,18	1507,1387,1347,1389	12,10,9,8	698	149
56	484,558,441,454	1273,1170,1344,1331	598,493,524,553	1370,1205,1385,1387	367	149
57	10,4,7,1	1,1,0,4	3,1,0,1	0,1,2,0	244	149
58	2,10,0,2	1,0,1,0	1,13,2,11	0,0,0,0	962	149
60	119,135,176,159	10,8,12,6	174,153,159,171	6,10,12,13	267	149
62	137,138,116,130	1,2,0,2	141,155,149,142	2,0,3,1	500	149
63	455,341,349,380	0,0,0,0	537,448,680,504	1,1,0,0	1429	149
64	134,178,111,137	86,100,91,109	138,143,190,151	100,104,124,112	243	149
67	1,5,1,1	1,0,0,0	0,0,0,0	0,2,0,0	248	149
69	40,19,7,26	626,538,615,577	10,19,19,28	604,557,546,717	374	149
72	176,122,132,139	1,2,1,0	130,119,102,159	0,0,2,1	348	149
73	191,210,121,190	8,2,7,10	193,191,192,174	3,8,3,1	865	149
74	159,172,107,168	37,40,35,34	154,174,163,154	36,33,30,51	816	149
75	51,93,32,61	21,27,15,23	52,33,26,47	19,12,21,26	1403	149
77	1081,945,1025,1170	129,142,137,130	1254,1119,1188,1291	92,91,103,124	2635	149
80	105,99,122,123	4,5,5,5	109,133,145,116	2,4,5,4	239	149
81	291,345,330,324	50,53,45,41	394,309,315,300	51,49,45,46	235	149
82	390,463,472,470	115,163,150,185	556,459,446,423	167,124,179,175	288	149
83	270,307,323,315	6,8,2,15	252,291,317,299	2,7,7,4	1076	149
84	281,312,334,323	15,19,10,22	261,293,321,307	13,7,13,9	1113	149
85	486,494,324,327	62,89,81,77	501,406,367,487	65,109,78,99	909	149
86	1202,1328,868,831	184,176,196,199	1298,1044,1165,1321	212,209,170,173	2356	149
87	769,893,580,537	69,77,73,97	829,681,832,882	68,83,65,103	1518	149
89	0,6,3,4	0,0,2,0	0,3,3,0	0,0,0,0	1355	149
90	1,2,0,0	0,3,1,2	1,1,0,0	0,0,0,1	299	149
91	56,47,36,44	0,1,0,0	37,46,44,47	0,0,0,0	613	149
96	161,210,82,98	7,21,25,21	156,96,165,116	26,12,18,35	703	149
97	106,104,66,79	32,28,23,28	82,59,64,95	27,22,33,23	1133	149
98	7,2,1,10	1,0,0,0	9,2,5,4	0,0,0,0	249	149
99	4,2,1,0	1,0,0,1	3,3,1,8	1,0,1,0	396	149
103	0,0,0,0	0,0,1,0	0,0,3,0	0,2,0,0	1149	149
106	1343,1377,914,948	67,82,69,72	1224,1269,1196,1323	92,98,75,89	5193	149
107	573,555,356,398	0,2,0,0	481,471,501,525	0,1,0,0	2473	149
108	1415,1459,980,1008	6,5,3,6	1310,1342,1262,1421	10,2,6,12	5286	149
109	231,299,189,185	113,96,119,99	275,241,262,203	127,91,109,134	388	149
110	22,45,31,20	7,9,8,15	41,44,34,30	4,9,7,7	720	149
113	77,89,64,66	75,63,61,43	72,69,89,76	88,56,70,64	254	149
114	155,161,132,122	19,18,18,37	164,162,164,158	40,29,35,40	360	149
116	17,13,2,23	0,0,0,0	20,8,15,15	0,0,1,0	7526	149
118	456,439,304,350	16,13,19,28	410,382,383,378	16,15,19,17	933	149
120	0,2,0,0	0,0,0,1	0,0,0,1	0,0,0,0	995	149
121	303,288,263,265	21,15,15,12	321,357,305,320	19,16,20,14	1183	149
122	215,199,189,171	1,0,1,2	226,219,226,233	4,4,2,2	2145	149
128	34,42,43,24	1,8,5,4	31,43,32,57	9,5,0,10	203	149
129	56,23,36,29	12,6,17,9	39,32,10,32	4,6,17,11	1446	149
130	24,30,46,45	143,141,126,120	25,23,42,32	129,121,130,140	342	149
131	2,3,9,5	0,0,0,0	4,1,4,1	1,0,0,2	337	149
134	320,348,255,323	36,28,33,21	329,227,233,245	25,33,34,34	2865	149
135	111,128,94,91	3,0,0,0	105,100,75,84	0,0,0,0	787	149
136	226,240,123,150	22,15,36,27	205,193,191,181	26,27,33,36	1943	149
137	146,203,102,135	9,10,7,12	148,129,112,127	6,7,8,5	1702	149
138	96,88,76,83	77,72,82,71	80,70,83,67	80,113,83,89	1281	149
139	128,125,133,131	7,10,7,7	149,116,185,146	12,8,13,11	241	149
142	45,92,55,62	1,2,1,1	51,48,50,58	1,0,1,0	847	149
143	38,50,35,34	36,41,25,32	36,34,38,34	39,29,32,36	417	149
146	86,115,61,61	12,2,8,17	80,80,87,89	3,9,16,10	1064	149
147	156,154,172,175	97,87,100,86	136,139,161,160	71,80,67,81	362	149
148	55,90,68,59	3,0,0,1	54,87,76,89	1,1,0,0	1280	149
149	8,7,7,5	3,11,4,8	11,28,17,19	4,3,2,5	226	149
151	26,11,13,6	15,10,17,17	6,13,12,13	13,15,15,9	340	149
152	26,13,13,6	1,3,2,2	7,13,12,13	1,3,0,3	344	149
153	21,19,14,8	38,44,44,35	9,5,7,16	37,35,32,39	221	149
154	200,205,221,231	4,6,4,3	172,168,186,187	4,2,2,2	733	149
160	203,187,163,159	5,8,10,5	176,172,162,167	2,10,4,3	529	149
161	127,106,73,73	60,69,69,57	99,92,85,69	55,65,52,62	442	149
162	44,39,22,35	56,54,88,61	47,42,31,57	58,74,42,58	258	149
163	58,42,24,36	6,2,5,3	52,49,33,63	4,11,8,5	266	149
164	62,46,28,42	13,3,11,10	60,51,39,69	2,4,4,13	279	149
167	130,126,149,122	0,1,0,0	87,89,97,99	1,1,0,0	203	149
168	128,127,152,119	0,0,0,0	92,88,96,100	2,0,0,0	203	149
169	336,369,429,416	5,4,0,2	482,429,467,456	0,0,1,1	648	149
172	425,452,564,535	11,9,14,9	403,364,481,404	11,10,15,9	234	149
173	682,694,468,582	26,33,27,24	677,612,666,666	17,33,11,35	1135	149
175	13,8,0,4	3,4,3,1	2,2,2,3	0,7,5,6	377	149
179	1,1,0,0	0,1,0,0	0,0,0,1	0,0,0,0	250	149
184	85,157,105,116	3,0,0,1	99,126,97,159	0,0,1,0	2060	149
