ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	0,0,0,1	0,0,1,0	0,0,0,0	0,0,1,0	749	149	0.999202115572178	0.999202115572178
1	60,48,41,8	37,21,34,4	0,0,36,0	0,0,25,0	152	149	0.50455730859791	0.847080582011561
2	3,0,2,0	31,52,39,10	0,0,3,0	0,0,28,0	169	149	0.277579297999082	0.727509670746588
3	2,0,0,0	1,0,1,0	0,0,1,0	0,0,3,0	152	149	0.034573517150121	0.438084227668309
4	22,18,26,8	0,1,3,0	0,0,7,0	0,0,0,0	197	149	0.222978852140392	0.686650815947095
5	10,20,28,4	2,2,0,0	0,0,11,0	0,0,1,0	152	149	0.0226920938990396	0.393324236285414
6	79,119,99,12	120,134,91,18	0,2,119,0	0,0,109,0	522	149	0.414404750638032	0.794701655646259
7	4,2,2,2	49,47,33,6	0,0,2,0	0,0,42,1	178	149	0.373639920950835	0.771631119845512
8	6,2,1,0	34,30,46,5	0,0,2,0	0,0,41,1	181	149	0.400222209528181	0.787438071683162
9	43,53,25,8	17,20,19,3	0,0,28,0	0,0,17,0	256	149	0.46607684857413	0.826042156565664
11	15,11,9,10	6,6,9,7	6,9,14,12	3,4,6,7	152	149	0.475208502681618	0.831666717325381
12	20,32,20,11	0,0,0,1	9,13,26,20	0,2,2,0	165	149	0.145748019515991	0.614363245313135
13	53,60,62,39	0,0,0,0	59,42,48,40	2,0,1,0	167	149	0.00728250528121366	0.31222973232299
14	81,64,62,55	0,0,0,0	68,52,60,65	0,0,1,0	602	149	0.122688611818006	0.586117825642664
15	53,44,50,44	0,0,1,0	51,35,52,42	0,0,0,0	158	149	0.322922762579874	0.746123615141417
17	20,18,25,20	0,0,2,0	21,13,21,14	0,0,0,0	211	149	0.291461348582769	0.732597424384013
18	42,37,44,29	0,0,2,0	38,20,39,28	0,0,0,0	224	149	0.300032664953393	0.736840177708466
19	22,19,19,9	0,0,0,0	17,8,18,14	0,1,0,0	162	149	0.284049489351499	0.729099257576259
22	31,36,36,27	6,4,2,4	43,28,38,32	6,12,3,15	152	149	0.210282549983035	0.675758537161911
28	1723,1909,1721,1504	593,504,518,509	1819,1483,1836,1738	550,506,468,570	1710	149	0.819893771351006	0.999202115572178
29	16,11,13,20	147,126,119,136	7,8,14,16	89,96,89,80	252	149	0.656905755104159	0.931878054911055
30	10,5,8,7	4,0,0,0	3,8,3,16	1,0,0,0	241	149	0.771299131733408	0.992736418618979
31	71,63,53,60	0,4,3,2	66,77,80,51	1,1,3,3	368	149	0.677719040537324	0.941900087740078
32	368,364,346,351	0,4,3,2	353,360,405,310	1,1,3,3	1757	149	0.999202115572178	0.999202115572178
33	297,302,293,292	0,1,0,1	288,287,325,259	1,4,0,0	1538	149	0.795902928538215	0.999202115572178
34	2,1,1,0	34,23,26,31	1,2,0,0	18,31,24,23	158	149	0.999202115572178	0.999202115572178
35	1,0,0,0	26,21,29,24	0,0,0,0	14,21,24,12	173	149	0.35591845490446	0.763747414718422
41	95,79,87,79	5,2,1,3	81,105,84,104	2,1,0,2	153	149	0.0904746321597735	0.533696965449805
42	15,10,8,13	1,0,0,0	15,16,18,16	0,0,2,0	152	149	0.999202115572178	0.999202115572178
43	29,32,40,22	2,1,1,1	25,26,29,22	0,3,2,1	152	149	0.447137226553192	0.814518653671041
45	12,4,11,6	0,0,0,1	10,8,5,7	1,0,0,0	603	149	0.847129339747825	0.999202115572178
46	5,1,1,2	90,87,97,99	2,0,1,2	70,55,53,82	342	149	0.714827288871907	0.961461140493003
47	22,24,31,12	2,7,6,1	18,15,12,14	6,4,5,1	167	149	0.268038508857518	0.724176262690817
48	0,2,2,0	4,1,0,1	0,1,0,0	1,0,3,2	152	149	0.219132228011649	0.68299204673303
49	21,9,15,8	4,1,0,1	5,7,4,2	1,0,3,2	167	149	0.237269264076716	0.699252793431953
50	21,9,13,8	0,2,0,0	5,7,4,2	0,1,0,0	164	149	0.999202115572178	0.999202115572178
51	69,62,71,66	4,9,11,6	76,81,38,65	6,13,11,5	152	149	0.405717107917144	0.788455388175684
52	7,4,6,1	191,216,210,227	6,4,4,1	225,161,212,227	362	149	0.630413481921828	0.920062919561586
55	10,6,4,4	0,2,0,1	8,4,7,0	1,0,0,0	194	149	0.810649401056901	0.999202115572178
56	34,29,28,30	3,4,2,4	25,26,31,22	8,3,0,2	194	149	0.853394539328281	0.999202115572178
57	28,41,47,43	1,0,0,0	50,33,44,45	0,1,1,0	200	149	0.474991572002642	0.831666717325381
58	2,1,0,1	0,0,0,0	0,1,0,0	0,1,0,0	157	149	0.0345712899443107	0.438084227668309
59	11,3,14,12	0,0,0,0	6,6,5,11	0,0,1,0	166	149	0.224633510186443	0.687209509044312
63	9,1,3,6	0,1,1,0	2,0,2,2	0,0,0,0	152	149	0.457060854985334	0.820038772749458
64	106,74,45,76	0,1,1,0	25,37,29,42	0,0,0,0	442	149	0.235155103340693	0.697894462792575
65	98,73,44,70	1,0,2,0	24,37,27,41	1,0,0,1	439	149	0.64985096677729	0.928532945484508
71	115,97,82,88	17,25,11,12	106,73,95,109	16,9,10,13	152	149	0.181031990915505	0.651311242433327
72	189,191,191,200	7,9,5,5	165,145,169,171	8,3,11,4	154	149	0.631886016206135	0.920298720698562
73	10,4,11,13	0,2,0,2	9,4,1,3	1,0,0,0	213	149	0.694073305545514	0.95078249570825
74	10,5,11,13	15,19,13,15	9,5,2,6	24,19,26,14	213	149	0.0285627724279656	0.424533975859306
75	10,4,10,12	12,8,1,0	12,6,2,3	4,5,7,1	213	149	0.566823272181683	0.888850526498724
76	17,16,19,23	47,63,65,60	22,11,14,9	56,65,63,63	213	149	0.133166139435661	0.597649430293232
77	153,157,156,149	0,0,0,1	157,128,178,155	0,0,0,0	195	149	0.316406618128626	0.741988008563223
78	522,533,535,519	13,26,27,23	519,508,595,498	25,29,31,18	154	149	0.331802270797892	0.750230205175642
79	668,683,684,653	109,95,130,83	668,626,755,645	81,101,128,94	195	149	0.730024777930075	0.968766340466753
80	159,176,176,157	109,95,130,83	174,147,191,165	81,101,128,94	190	149	0.650886267095352	0.929165558513782
85	50,62,70,71	20,28,33,41	37,34,36,38	15,33,31,15	187	149	0.292828127419416	0.732607930842796
86	65,80,84,85	0,4,4,0	49,44,55,47	2,3,10,2	206	149	0.0218174211191856	0.38661317501687
87	35,46,47,55	0,4,4,0	27,43,50,24	2,3,10,2	168	149	0.0420814025678607	0.457184380755116
88	0,2,0,1	0,0,1,0	1,1,0,0	1,1,0,0	288	149	0.0290251084728786	0.424645351978708
89	0,0,0,0	3,0,0,0	0,1,0,0	0,0,0,1	167	149	NA	NA
90	21,23,18,17	8,11,18,11	25,16,9,16	17,11,7,13	218	149	0.521455679445235	0.859300204156232
91	92,114,136,111	2,12,16,7	124,89,82,94	9,2,15,12	206	149	0.706558728496401	0.957679334064778
92	12,12,11,12	78,83,102,73	18,17,14,8	60,83,77,70	177	149	0.142591553364469	0.610075253635322
93	19,15,13,14	27,39,50,39	14,8,20,12	36,34,38,25	299	149	0.91371926450223	0.999202115572178
94	182,188,175,201	23,23,28,28	124,112,122,138	20,22,27,27	354	149	0.0158304195093658	0.360270345243073
95	0,1,3,0	1,4,2,1	0,0,2,0	5,1,1,0	154	149	0.777342854024255	0.996632605482628
96	68,45,60,53	10,4,14,3	59,81,58,56	9,3,13,14	227	149	0.781516826184871	0.998503440773983
97	47,39,46,46	18,21,11,14	47,67,52,50	14,9,12,22	227	149	0.210369275046788	0.675758537161911
98	47,35,38,41	14,23,10,7	39,55,40,43	6,13,14,6	227	149	0.23478553556847	0.697743668566547
100	41,28,33,20	2,0,2,0	18,20,24,18	0,1,1,0	153	149	0.811810353877911	0.999202115572178
103	43,66,41,33	48,27,29,31	39,51,47,45	28,25,24,24	164	149	0.239726253482257	0.702483997326092
106	8,12,7,12	26,12,14,16	10,7,4,7	9,11,9,14	152	149	0.689856261766611	0.948851280313805
107	1,0,10,1	0,1,0,0	1,4,2,0	0,0,0,0	441	149	0.488044934261285	0.839869733721373
108	2,3,22,1	0,1,0,0	2,9,6,6	0,0,0,0	634	149	0.398699534683095	0.78714030617378
109	1,3,12,1	0,0,0,1	1,5,4,6	0,0,0,0	342	149	0.42243624637529	0.802248258244227
111	0,0,0,0	0,0,1,0	0,0,1,0	0,0,0,0	193	149	0.0640437076726518	0.483697569266878
112	3,7,2,2	0,0,0,0	3,5,3,0	0,0,1,2	232	149	0.458229743080002	0.820547663341121
113	5,2,6,2	5,8,9,9	0,1,0,0	4,3,3,2	425	149	0.045684385912933	0.472440043251103
114	2622,3133,3117,2646	0,1,0,0	2733,2496,2753,2922	0,0,1,0	179	149	0.999202115572178	0.999202115572178
116	87,104,103,81	199,279,157,201	68,75,60,80	117,125,86,145	179	149	0.0478644779440683	0.478607412227837
117	68,68,44,47	20,5,16,19	26,26,27,28	15,8,12,15	212	149	0.101199998008006	0.554759675981306
119	2,6,2,5	0,0,0,1	6,8,2,1	0,0,0,0	889	149	0.260846028166978	0.721064625643885
120	98,111,105,92	81,81,75,76	98,83,100,57	78,75,57,50	155	149	0.999202115572178	0.999202115572178
122	0,0,0,1	0,0,0,1	1,0,0,0	1,0,0,0	168	149	NA	NA
124	6,6,11,7	0,0,1,0	9,6,13,7	0,0,0,0	158	149	0.27929845535277	0.727826410077805
125	136,107,173,123	7,13,13,18	109,105,102,126	12,10,9,8	158	149	0.79058065977567	0.999202115572178
126	383,408,407,420	1,0,2,2	351,341,285,323	0,7,10,2	155	149	0.272206818220967	0.725885893144465
127	75,56,70,84	1,0,2,2	70,59,82,101	0,7,10,2	441	149	0.395182849951672	0.785026826970431
128	67,48,64,73	375,400,401,409	59,49,80,95	340,331,283,317	435	149	0.0753526350374909	0.509475297297711
130	0,12,7,4	0,2,4,1	5,6,6,8	2,0,0,0	152	149	0.00943114177270854	0.318966564074794
131	154,156,96,114	15,11,4,5	118,110,115,115	12,8,13,14	152	149	0.0414058826491625	0.456607044084023
132	0,0,0,0	137,140,145,159	1,0,0,0	130,115,121,147	181	149	0.137676703822929	0.603832120664607
133	123,133,134,147	0,0,0,1	138,112,119,130	0,1,0,1	170	149	0.815953219476647	0.999202115572178
134	5,2,4,3	1,3,5,0	2,4,3,8	3,1,0,0	194	149	0.193318730257278	0.662495956563245
135	2,0,0,4	42,42,48,47	7,2,0,1	51,44,49,48	197	149	0.74706247018629	0.979331926176985
136	41,31,34,26	14,1,7,5	34,37,29,29	11,6,10,17	152	149	0.072197944913461	0.502199495883094
137	18,7,4,7	21,20,32,33	13,3,17,22	36,34,26,26	224	149	0.668158055044458	0.938152717702592
138	6,5,0,1	30,45,31,33	0,5,6,4	35,50,44,43	204	149	0.911899765882227	0.999202115572178
139	5,1,0,5	0,0,0,0	5,0,1,0	1,1,0,0	185	149	0.0195973799674847	0.376795794152421
140	488,370,375,406	0,0,1,0	579,483,732,554	0,0,0,0	1525	149	0.266224960435518	0.724032930122381
141	32,11,19,19	9,4,5,4	14,14,33,26	8,7,10,11	152	149	0.0813892325776036	0.523282789947942
142	31,25,39,27	107,136,128,87	44,43,28,33	114,102,127,82	152	149	0.129394266224613	0.59258245740819
143	128,143,126,132	85,87,95,98	161,123,125,159	96,92,94,141	281	149	0.46265586491046	0.823029720040967
144	1,1,0,0	0,0,4,4	0,2,0,0	4,4,4,4	303	149	0.231257946468151	0.695144933948729
146	1,1,0,1	5,4,2,8	1,0,0,0	4,4,8,4	167	149	0.31944719569735	0.744461396843924
147	7,8,10,6	0,0,1,0	12,7,8,7	0,0,0,0	182	149	0.292195807002965	0.732607930842796
148	0,0,1,0	1,0,0,0	0,0,0,1	1,0,0,2	161	149	0.996096187350566	0.999202115572178
151	127,146,112,103	49,45,51,46	131,131,131,122	28,47,58,24	152	149	0.148939234426641	0.618400496123839
152	0,0,1,1	130,112,125,103	3,1,4,2	118,88,120,105	163	149	0.0092906588820818	0.318746439691273
