IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0,0,0,1	0,0,1,0	0,0,0,0	0,0,1,0	749	149
60,48,41,8	37,21,34,4	0,0,36,0	0,0,25,0	152	149
3,0,2,0	31,52,39,10	0,0,3,0	0,0,28,0	169	149
2,0,0,0	1,0,1,0	0,0,1,0	0,0,3,0	152	149
22,18,26,8	0,1,3,0	0,0,7,0	0,0,0,0	197	149
10,20,28,4	2,2,0,0	0,0,11,0	0,0,1,0	152	149
79,119,99,12	120,134,91,18	0,2,119,0	0,0,109,0	522	149
4,2,2,2	49,47,33,6	0,0,2,0	0,0,42,1	178	149
6,2,1,0	34,30,46,5	0,0,2,0	0,0,41,1	181	149
43,53,25,8	17,20,19,3	0,0,28,0	0,0,17,0	256	149
15,11,9,10	6,6,9,7	6,9,14,12	3,4,6,7	152	149
20,32,20,11	0,0,0,1	9,13,26,20	0,2,2,0	165	149
53,60,62,39	0,0,0,0	59,42,48,40	2,0,1,0	167	149
81,64,62,55	0,0,0,0	68,52,60,65	0,0,1,0	602	149
53,44,50,44	0,0,1,0	51,35,52,42	0,0,0,0	158	149
20,18,25,20	0,0,2,0	21,13,21,14	0,0,0,0	211	149
42,37,44,29	0,0,2,0	38,20,39,28	0,0,0,0	224	149
22,19,19,9	0,0,0,0	17,8,18,14	0,1,0,0	162	149
31,36,36,27	6,4,2,4	43,28,38,32	6,12,3,15	152	149
1723,1909,1721,1504	593,504,518,509	1819,1483,1836,1738	550,506,468,570	1710	149
16,11,13,20	147,126,119,136	7,8,14,16	89,96,89,80	252	149
10,5,8,7	4,0,0,0	3,8,3,16	1,0,0,0	241	149
71,63,53,60	0,4,3,2	66,77,80,51	1,1,3,3	368	149
368,364,346,351	0,4,3,2	353,360,405,310	1,1,3,3	1757	149
297,302,293,292	0,1,0,1	288,287,325,259	1,4,0,0	1538	149
2,1,1,0	34,23,26,31	1,2,0,0	18,31,24,23	158	149
1,0,0,0	26,21,29,24	0,0,0,0	14,21,24,12	173	149
95,79,87,79	5,2,1,3	81,105,84,104	2,1,0,2	153	149
15,10,8,13	1,0,0,0	15,16,18,16	0,0,2,0	152	149
29,32,40,22	2,1,1,1	25,26,29,22	0,3,2,1	152	149
12,4,11,6	0,0,0,1	10,8,5,7	1,0,0,0	603	149
5,1,1,2	90,87,97,99	2,0,1,2	70,55,53,82	342	149
22,24,31,12	2,7,6,1	18,15,12,14	6,4,5,1	167	149
0,2,2,0	4,1,0,1	0,1,0,0	1,0,3,2	152	149
