IncLevel1	IncLevel2	IncLevelDifference
0.178,0.008,0.049,0.0	NA,NA,0.036,NA	0.023
0.741,0.647,0.637,1.0	NA,NA,0.619,NA	0.137
0.31,0.192,0.309,1.0	NA,NA,0.286,NA	0.167
0.943,1.0,1.0,0.924	1.0,1.0,1.0,0.946	-0.02
1.0,1.0,0.845,1.0	1.0,1.0,1.0,1.0	-0.039
0.0,0.04,0.022,0.055	0.071,0.065,0.091,0.059	-0.042
0.141,0.36,0.299,0.411	0.356,0.383,0.26,0.336	-0.031
0.251,0.798,0.812,0.681	0.535,0.76,0.491,0.677	0.02
0.366,0.608,0.564,0.667	0.59,0.762,0.482,0.629	-0.065
0.452,0.898,0.903,0.825	0.7,0.904,0.67,0.827	-0.006
0.56,0.877,0.907,0.789	0.694,0.865,0.699,0.816	0.015
0.089,0.035,0.124,0.09	0.079,0.112,0.176,0.173	-0.051
0.0,0.485,NA,NA	0.0,0.0,0.654,NA	0.024
1.0,NA,NA,0.0	0.0,0.0,0.0,NA	0.5
1.0,1.0,1.0,1.0	1.0,0.959,0.916,0.947	0.044
0.98,0.959,0.979,0.99	0.974,0.975,0.933,0.975	0.013
0.89,1.0,1.0,1.0	1.0,0.714,0.807,0.917	0.113
0.825,0.804,1.0,0.862	1.0,0.602,0.509,0.62	0.19
0.0,0.0,0.374,NA	0.166,0.0,1.0,NA	-0.264
0.844,1.0,1.0,0.9	1.0,1.0,0.739,1.0	0.001
0.956,1.0,1.0,1.0	1.0,1.0,1.0,0.952	0.001
0.52,0.912,0.731,0.586	0.936,0.838,0.663,0.842	-0.133
0.007,0.033,0.057,0.0	0.02,0.033,0.031,0.013	0.0
0.927,1.0,0.784,1.0	1.0,0.808,1.0,0.827	0.019
0.092,0.0,0.0,0.174	0.168,0.111,0.222,0.166	-0.1
NA,0.0,NA,NA	NA,1.0,NA,1.0	-1.0
1.0,1.0,1.0,0.554	0.415,1.0,1.0,0.85	0.072
0.794,0.643,0.739,0.805	0.895,1.0,0.874,0.739	-0.132
0.283,0.246,0.323,0.261	0.331,0.31,0.348,0.26	-0.034
