ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	13,19,15,6	43,61,55,14	0,0,11,0	0,0,34,0	197	279	0.636168312860086	0.916978517165576
1	1,0,1,0	43,61,55,14	0,0,1,0	0,0,34,0	217	279	0.65664765247952	0.922592171637893
2	19,23,13,2	43,48,28,11	0,0,18,0	0,0,40,0	264	337	0.881697454847565	0.999202115572178
3	55,45,49,44	40,32,36,37	52,35,52,40	45,37,30,45	301	298	0.317007118577341	0.751700265826484
5	0,0,0,0	0,3,0,0	2,0,0,0	0,0,1,0	278	318	NA	NA
6	134,99,106,100	3,2,2,2	102,62,77,83	1,1,3,2	269	296	0.900283606076496	0.999202115572178
7	301,255,270,278	6,10,2,3	245,187,198,212	2,2,3,6	269	296	0.717464527795434	0.945997010633827
8	192,186,183,183	1,4,1,3	133,141,131,115	0,2,3,0	217	217	0.592573510582069	0.89524324338373
9	61,71,75,68	1,4,1,3	51,54,56,51	0,2,3,0	320	217	0.490500130648365	0.848091201187878
11	1,0,0,1	150,138,140,105	0,0,4,0	93,120,126,145	254	354	0.999202115572178	0.999202115572178
12	66,47,54,53	25,28,22,20	54,42,47,72	44,29,32,38	298	208	0.0100325096944066	0.293735929162089
13	9,1,4,4	23,18,12,18	2,4,0,2	23,18,10,18	307	308	0.0693422481775147	0.498252379824296
14	12,0,1,2	23,18,12,18	4,6,1,3	23,18,10,18	301	308	0.530623641608431	0.865100029028598
15	10,8,17,14	25,33,21,34	10,6,10,14	34,37,18,45	203	350	0.158936183795105	0.615859067329046
16	10,6,16,14	11,18,6,18	10,6,11,14	13,20,14,22	203	350	0.242114966990976	0.69828577572137
17	33,42,33,37	0,2,1,1	40,55,37,50	2,0,2,0	350	240	0.711510106893279	0.942932399313925
18	0,5,2,3	2,9,1,4	0,0,3,3	2,2,3,7	251	302	0.999202115572178	0.999202115572178
19	3,0,8,6	0,0,3,1	0,2,7,4	0,0,1,0	206	224	0.26155264550562	0.717849036495289
20	28,23,31,32	19,40,25,31	17,22,25,35	22,32,14,19	248	260	0.53995733084394	0.868949725842175
21	20,16,22,17	2,0,2,1	16,11,17,14	0,0,0,0	186	194	0.013242141380313	0.31720080447597
22	2,3,2,0	31,39,26,32	4,3,5,1	19,20,23,25	222	223	0.0569115391036831	0.477959013668395
23	10,4,7,6	31,39,26,32	4,10,2,1	19,20,23,25	337	223	0.583688141209475	0.889833910456762
24	40,38,49,39	2,0,1,0	23,36,22,37	0,0,1,0	179	245	0.526940052468343	0.863573883236518
25	7,6,10,14	1,1,5,5	3,5,13,9	7,1,5,1	179	245	0.720403890061255	0.947740624622559
26	49,44,34,40	5,1,2,1	44,35,37,42	4,4,3,5	240	241	0.0781899082415556	0.508540310879351
27	20,19,22,14	29,32,14,20	32,13,23,24	29,13,25,21	345	272	0.22294640536827	0.68053572345722
28	20,19,22,14	19,28,10,17	32,13,23,24	22,9,18,21	345	227	0.359321127112652	0.77462608394845
29	2,0,2,0	0,0,1,0	2,2,0,4	0,0,0,0	281	270	0.999202115572178	0.999202115572178
30	17,10,19,24	14,22,22,18	9,9,7,18	16,12,14,13	309	244	0.495634239089188	0.850655670404579
31	17,10,19,24	0,0,0,2	9,9,7,18	0,0,0,0	309	168	0.299511722244162	0.741601351293742
32	8,7,5,12	14,22,22,18	3,3,3,7	16,12,14,13	292	244	0.274165123861919	0.727133043274086
33	14,22,22,18	0,0,0,2	16,12,14,13	0,0,0,0	244	168	0.139480793765858	0.591701446373943
34	120,112,83,106	115,103,104,106	74,71,72,75	83,78,90,80	351	250	0.29995954560269	0.741601351293742
35	116,112,85,106	7,11,17,8	74,70,72,75	8,6,6,10	351	250	0.936401671493824	0.999202115572178
36	276,245,256,256	4,5,3,9	215,212,204,211	1,4,4,4	250	194	0.430671011058926	0.816369694115493
37	0,0,0,0	17,20,20,22	3,0,0,0	11,10,13,17	212	194	0.999202115572178	0.999202115572178
38	16,10,8,11	10,11,12,11	12,7,5,5	13,16,16,19	221	235	0.020388913625871	0.356140622506269
39	4,2,3,0	0,1,1,2	1,1,0,0	2,2,0,1	304	252	0.60695294632822	0.902442296457028
40	2,2,2,0	2,2,4,2	1,1,0,0	0,0,1,1	304	195	0.678319852008278	0.930642385918165
41	0,1,0,1	2,1,2,2	1,3,0,0	0,0,0,1	252	195	0.232743617086474	0.691344893580493
42	49,68,45,39	52,80,56,61	49,32,38,57	62,45,67,42	254	254	0.97109425389081	0.999202115572178
43	12,13,11,7	55,43,46,48	14,11,13,21	47,38,45,32	198	216	0.0698071360683202	0.498252379824296
44	34,44,61,47	72,75,58,78	15,19,19,18	74,71,66,35	277	226	0.0050945630148046	0.277676039403398
45	19,21,17,19	72,75,58,78	12,23,21,13	74,71,66,35	239	226	0.82471580350354	0.979808834214904
46	42,73,63,67	9,3,16,12	35,39,38,33	11,10,5,4	344	226	0.410571293321959	0.805286854805286
47	42,73,63,67	119,148,158,95	35,39,38,33	72,64,66,66	344	226	0.392475935589809	0.795238202841865
48	47,30,32,31	149,192,150,169	14,15,21,8	70,63,75,43	238	226	0.643665886128293	0.920079591988149
49	9,3,16,12	119,148,158,95	11,10,5,4	72,64,66,66	226	226	0.214453696920497	0.672324143439889
50	26,5,20,19	118,144,156,93	7,30,10,5	72,64,66,67	226	226	0.686642535303572	0.933092103257817
