IncLevel1	IncLevel2	IncLevelDifference
0.3,0.306,0.279,0.378	NA,NA,0.314,NA	0.002
0.029,0.0,0.023,0.0	NA,NA,0.036,NA	-0.023
0.361,0.38,0.372,0.188	NA,NA,0.365,NA	-0.04
0.577,0.582,0.574,0.541	0.534,0.484,0.632,0.468	0.039
NA,0.0,NA,NA	1.0,NA,0.0,NA	-0.5
0.98,0.982,0.983,0.982	0.991,0.986,0.966,0.979	0.001
0.982,0.966,0.993,0.99	0.993,0.99,0.986,0.975	-0.003
0.995,0.979,0.995,0.984	1.0,0.986,0.978,1.0	-0.003
0.976,0.923,0.981,0.939	1.0,0.948,0.927,1.0	-0.014
0.009,0.0,0.0,0.013	0.0,0.0,0.042,0.0	-0.005
0.648,0.54,0.631,0.649	0.461,0.503,0.506,0.569	0.107
0.282,0.053,0.251,0.182	0.08,0.182,0.0,0.1	0.102
0.348,0.0,0.079,0.102	0.151,0.254,0.093,0.146	-0.029
0.408,0.295,0.583,0.415	0.336,0.218,0.489,0.349	0.077
0.611,0.365,0.821,0.573	0.57,0.341,0.575,0.523	0.09
1.0,0.935,0.958,0.962	0.932,1.0,0.927,1.0	-0.001
0.0,0.401,0.706,0.474	0.0,0.0,0.546,0.34	0.174
1.0,NA,0.744,0.867	NA,1.0,0.884,1.0	-0.091
0.607,0.376,0.565,0.52	0.448,0.419,0.652,0.659	-0.027
0.913,1.0,0.92,0.947	1.0,1.0,1.0,1.0	-0.055
0.061,0.072,0.072,0.0	0.175,0.131,0.179,0.039	-0.08
0.176,0.064,0.151,0.11	0.122,0.249,0.054,0.026	0.012
0.965,1.0,0.985,1.0	1.0,1.0,0.968,1.0	-0.005
0.905,0.891,0.732,0.793	0.37,0.873,0.781,0.925	0.093
0.908,0.978,0.945,0.976	0.917,0.898,0.925,0.894	0.043
0.352,0.319,0.553,0.356	0.465,0.441,0.42,0.474	-0.055
0.409,0.309,0.591,0.351	0.489,0.487,0.457,0.429	-0.051
1.0,NA,0.658,NA	1.0,1.0,NA,1.0	-0.171
0.489,0.264,0.405,0.513	0.308,0.372,0.283,0.522	0.046
1.0,1.0,1.0,0.867	1.0,1.0,1.0,1.0	-0.033
0.323,0.21,0.16,0.358	0.135,0.173,0.152,0.31	0.07
1.0,1.0,1.0,0.861	1.0,1.0,1.0,1.0	-0.035
0.426,0.436,0.362,0.416	0.388,0.393,0.363,0.4	0.024
0.922,0.879,0.781,0.904	0.868,0.893,0.895,0.842	-0.003
0.982,0.974,0.985,0.957	0.994,0.976,0.975,0.976	-0.006
0.0,0.0,0.0,0.0	0.2,0.0,0.0,0.0	-0.05
0.63,0.492,0.415,0.515	0.495,0.318,0.249,0.219	0.193
1.0,0.624,0.713,0.0	0.293,0.293,NA,0.0	0.389
0.391,0.391,0.243,0.0	1.0,1.0,0.0,0.0	-0.244
0.0,0.436,0.0,0.279	1.0,1.0,NA,0.0	-0.488
0.485,0.459,0.446,0.39	0.441,0.416,0.362,0.576	-0.004
0.192,0.248,0.207,0.137	0.245,0.24,0.24,0.417	-0.089
0.278,0.324,0.462,0.33	0.142,0.179,0.19,0.296	0.147
0.2,0.209,0.217,0.187	0.133,0.234,0.231,0.26	-0.011
0.754,0.941,0.721,0.786	0.676,0.719,0.833,0.844	0.033
0.188,0.245,0.208,0.317	0.242,0.286,0.274,0.247	-0.023
0.23,0.129,0.168,0.148	0.16,0.184,0.21,0.15	-0.007
0.07,0.02,0.092,0.112	0.133,0.135,0.07,0.057	-0.025
0.181,0.034,0.114,0.17	0.089,0.319,0.132,0.069	-0.027
0.026,0.022,0.053,0.021	0.068,0.0,0.0,0.022	0.008
0.565,0.538,0.375,0.481	0.437,0.143,0.667,0.5	0.053
0.25,0.126,0.1,0.212	0.113,0.053,0.203,0.208	0.028
0.928,0.87,0.883,0.931	0.9,0.887,0.912,0.942	-0.007
0.0,NA,0.0,1.0	NA,NA,1.0,1.0	-0.667
0.346,0.42,0.491,0.346	0.328,0.273,0.406,0.326	0.068
0.523,0.482,0.488,0.483	0.459,0.532,0.441,0.493	0.013
0.0,0.628,0.457,NA	0.219,0.0,0.457,NA	0.136
0.587,0.67,0.269,0.619	0.549,0.619,0.619,0.85	-0.123
1.0,1.0,0.0,1.0	0.648,0.58,1.0,1.0	-0.057
0.364,0.353,0.375,0.417	0.385,0.344,0.381,0.351	0.012
0.754,0.764,0.789,0.576	0.717,0.568,0.561,0.7	0.084
0.098,0.056,0.062,0.083	0.05,0.217,0.123,0.103	-0.049
0.088,0.02,0.037,0.077	0.028,0.133,0.087,0.073	-0.025
0.264,0.075,0.153,0.264	0.126,0.434,0.211,0.18	-0.049
0.788,0.801,0.825,0.812	0.834,0.833,0.738,0.737	0.021
0.0,0.033,0.0,0.0	0.0,0.0,0.0,0.0	0.008
0.0,0.063,0.0,0.0	0.0,0.082,0.059,0.044	-0.03
0.12,0.106,0.209,0.167	0.186,0.13,0.11,0.154	0.006
0.573,0.681,0.67,0.676	0.668,0.631,0.667,0.658	-0.006
0.545,0.57,0.581,0.553	0.535,0.563,0.539,0.576	0.009
0.121,0.102,0.109,0.064	0.036,0.091,0.035,0.0	0.058
0.606,0.672,0.611,0.606	0.577,0.663,0.538,0.516	0.05
0.516,0.558,0.546,0.67	0.581,0.611,0.563,0.599	-0.016
0.122,0.132,0.157,0.154	0.161,0.185,0.097,0.176	-0.013
0.523,0.579,0.616,0.702	0.681,0.633,0.572,0.705	-0.043
0.887,0.9,0.896,0.928	0.918,0.883,0.926,0.918	-0.009
0.486,0.619,0.626,0.673	0.676,0.734,0.481,0.56	-0.012
0.673,0.69,0.656,0.611	0.698,0.633,0.639,0.612	0.012
0.467,0.47,0.451,0.387	0.516,0.403,0.416,0.451	-0.003
0.329,0.414,0.381,0.388	0.34,0.269,0.377,0.362	0.041
0.443,0.344,0.362,0.423	0.437,0.414,0.323,0.418	-0.005
0.0,0.667,0.5,0.667	0.5,0.286,0.556,0.375	0.029
0.0,0.695,0.532,0.695	0.532,0.313,0.587,0.406	0.021
0.397,0.392,0.398,0.38	0.435,0.375,0.36,0.376	0.005
0.026,0.042,0.036,0.036	0.031,0.014,0.039,0.021	0.009
0.257,0.231,0.251,0.245	0.26,0.299,0.253,0.245	-0.018
0.929,0.874,0.9,0.895	0.916,0.968,0.892,0.937	-0.029
0.261,0.245,0.277,0.272	0.348,0.292,0.27,0.345	-0.05
0.464,0.465,0.43,0.456	0.51,0.398,0.449,0.466	-0.002
0.643,0.645,0.668,0.665	0.654,0.662,0.673,0.617	0.004
0.137,0.128,0.21,0.221	0.172,0.161,0.102,0.18	0.02
0.405,0.219,0.429,0.265	0.417,0.242,0.205,0.437	0.004
0.403,0.359,0.4,0.381	0.362,0.4,0.311,0.331	0.035
0.59,0.545,0.635,0.484	0.535,0.55,0.443,0.442	0.071
0.643,0.495,0.631,0.58	0.519,0.57,0.555,0.477	0.057
0.0,0.0,0.0,0.278	0.224,0.0,0.0,0.0	0.014
0.0,0.0,0.0,0.401	1.0,0.0,0.0,0.0	-0.15
0.57,0.515,0.575,0.549	0.503,0.506,0.522,0.536	0.035
0.138,0.106,0.183,0.166	0.135,0.146,0.136,0.143	0.008
0.019,0.0,0.01,0.009	0.016,0.012,0.021,0.004	-0.004
0.019,0.024,0.022,0.047	0.049,0.025,0.046,0.057	-0.016
0.074,0.084,0.073,0.11	0.1,0.119,0.118,0.094	-0.022
0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.016	-0.004
0.0,0.0,0.399,0.0	0.46,0.0,0.299,0.0	-0.09
0.441,0.361,0.503,0.529	0.515,0.435,0.507,0.478	-0.025
0.582,0.455,0.522,0.556	0.408,0.233,0.354,0.496	0.156
0.324,0.218,0.352,0.283	0.319,0.223,0.306,0.239	0.022
0.333,0.177,0.352,0.225	0.252,0.207,0.279,0.222	0.032
0.524,0.492,0.438,0.474	0.362,0.442,0.387,0.345	0.098
0.505,0.48,0.373,0.388	0.482,0.342,0.403,0.399	0.03
