IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
13,19,15,6	43,61,55,14	0,0,11,0	0,0,34,0	197	279
1,0,1,0	43,61,55,14	0,0,1,0	0,0,34,0	217	279
19,23,13,2	43,48,28,11	0,0,18,0	0,0,40,0	264	337
55,45,49,44	40,32,36,37	52,35,52,40	45,37,30,45	301	298
0,0,0,0	0,3,0,0	2,0,0,0	0,0,1,0	278	318
134,99,106,100	3,2,2,2	102,62,77,83	1,1,3,2	269	296
301,255,270,278	6,10,2,3	245,187,198,212	2,2,3,6	269	296
192,186,183,183	1,4,1,3	133,141,131,115	0,2,3,0	217	217
61,71,75,68	1,4,1,3	51,54,56,51	0,2,3,0	320	217
1,0,0,1	150,138,140,105	0,0,4,0	93,120,126,145	254	354
66,47,54,53	25,28,22,20	54,42,47,72	44,29,32,38	298	208
9,1,4,4	23,18,12,18	2,4,0,2	23,18,10,18	307	308
12,0,1,2	23,18,12,18	4,6,1,3	23,18,10,18	301	308
10,8,17,14	25,33,21,34	10,6,10,14	34,37,18,45	203	350
10,6,16,14	11,18,6,18	10,6,11,14	13,20,14,22	203	350
33,42,33,37	0,2,1,1	40,55,37,50	2,0,2,0	350	240
0,5,2,3	2,9,1,4	0,0,3,3	2,2,3,7	251	302
3,0,8,6	0,0,3,1	0,2,7,4	0,0,1,0	206	224
28,23,31,32	19,40,25,31	17,22,25,35	22,32,14,19	248	260
20,16,22,17	2,0,2,1	16,11,17,14	0,0,0,0	186	194
2,3,2,0	31,39,26,32	4,3,5,1	19,20,23,25	222	223
10,4,7,6	31,39,26,32	4,10,2,1	19,20,23,25	337	223
40,38,49,39	2,0,1,0	23,36,22,37	0,0,1,0	179	245
7,6,10,14	1,1,5,5	3,5,13,9	7,1,5,1	179	245
49,44,34,40	5,1,2,1	44,35,37,42	4,4,3,5	240	241
20,19,22,14	29,32,14,20	32,13,23,24	29,13,25,21	345	272
20,19,22,14	19,28,10,17	32,13,23,24	22,9,18,21	345	227
2,0,2,0	0,0,1,0	2,2,0,4	0,0,0,0	281	270
17,10,19,24	14,22,22,18	9,9,7,18	16,12,14,13	309	244
17,10,19,24	0,0,0,2	9,9,7,18	0,0,0,0	309	168
8,7,5,12	14,22,22,18	3,3,3,7	16,12,14,13	292	244
14,22,22,18	0,0,0,2	16,12,14,13	0,0,0,0	244	168
120,112,83,106	115,103,104,106	74,71,72,75	83,78,90,80	351	250
116,112,85,106	7,11,17,8	74,70,72,75	8,6,6,10	351	250
276,245,256,256	4,5,3,9	215,212,204,211	1,4,4,4	250	194
0,0,0,0	17,20,20,22	3,0,0,0	11,10,13,17	212	194
16,10,8,11	10,11,12,11	12,7,5,5	13,16,16,19	221	235
4,2,3,0	0,1,1,2	1,1,0,0	2,2,0,1	304	252
2,2,2,0	2,2,4,2	1,1,0,0	0,0,1,1	304	195
0,1,0,1	2,1,2,2	1,3,0,0	0,0,0,1	252	195
49,68,45,39	52,80,56,61	49,32,38,57	62,45,67,42	254	254
12,13,11,7	55,43,46,48	14,11,13,21	47,38,45,32	198	216
34,44,61,47	72,75,58,78	15,19,19,18	74,71,66,35	277	226
19,21,17,19	72,75,58,78	12,23,21,13	74,71,66,35	239	226
42,73,63,67	9,3,16,12	35,39,38,33	11,10,5,4	344	226
42,73,63,67	119,148,158,95	35,39,38,33	72,64,66,66	344	226
47,30,32,31	149,192,150,169	14,15,21,8	70,63,75,43	238	226
9,3,16,12	119,148,158,95	11,10,5,4	72,64,66,66	226	226
26,5,20,19	118,144,156,93	7,30,10,5	72,64,66,67	226	226
1,1,3,1	39,47,57,50	4,0,0,1	58,36,31,46	227	239
13,7,6,13	10,6,10,14	7,2,8,12	9,12,4,12	227	227
13,7,6,13	41,51,57,51	7,2,8,12	58,38,33,48	227	239
132,106,137,123	9,14,16,8	123,142,117,130	12,16,10,7	220	194
0,0,0,1	1,0,1,0	0,0,1,2	0,0,0,0	1023	215
27,37,42,29	27,27,23,29	24,22,22,21	26,31,17,23	401	212
268,272,236,259	277,331,280,314	226,215,190,231	302,214,273,269	287	325
0,6,1,0	1,3,1,0	1,0,2,0	3,4,2,0	241	203
7,5,5,8	4,2,11,4	6,4,2,7	4,2,1,1	270	219
1,3,0,2	0,0,1,0	2,3,1,1	1,2,0,0	241	222
223,235,185,233	586,648,464,490	203,171,197,182	489,491,483,507	229	345
63,57,44,36	14,12,8,18	56,56,45,48	15,29,24,14	294	200
9,5,8,9	65,66,95,78	6,22,12,14	90,62,67,96	249	195
7,2,4,7	57,78,82,66	3,11,8,8	82,56,66,80	249	195
7,2,4,7	15,19,17,15	3,11,8,8	16,11,23,28	249	191
57,78,82,66	15,19,17,15	82,56,66,80	16,11,23,28	195	191
0,1,0,0	49,31,60,40	0,0,0,0	52,59,50,48	191	200
0,2,0,0	49,31,59,40	0,5,3,2	52,59,50,46	191	200
10,10,27,14	77,88,107,73	22,13,11,15	101,91,93,86	191	200
319,402,324,471	240,190,161,228	483,411,305,446	242,243,154,234	319	322
313,394,329,446	284,323,257,391	417,403,254,453	393,339,236,362	294	319
6,6,6,3	48,58,54,48	2,5,2,0	59,55,61,55	207	227
60,64,49,70	30,24,24,35	55,64,68,54	31,25,45,39	269	207
69,75,58,78	59,54,44,35	61,76,72,59	40,44,51,36	269	245
9,9,9,7	59,54,44,35	8,11,6,8	38,44,51,34	269	245
109,125,119,139	59,54,44,35	137,128,115,137	38,44,51,34	413	245
109,125,119,139	9,9,9,7	137,128,115,137	8,11,6,8	413	269
109,122,118,136	75,49,46,43	138,127,111,135	43,30,78,69	413	269
84,91,66,69	53,53,45,57	98,77,71,74	55,58,52,61	318	413
87,90,67,69	129,132,106,142	100,77,73,74	122,148,133,117	318	413
51,68,71,74	146,135,162,164	72,48,78,80	196,183,181,198	255	358
23,23,16,19	39,59,38,35	23,22,23,32	40,42,65,60	253	341
0,2,1,2	3,1,1,1	2,2,5,3	2,5,4,5	225	225
0,2,1,2	3,1,1,1	2,2,5,3	2,5,4,5	225	256
101,104,109,116	131,138,141,162	125,87,98,112	139,124,149,159	248	212
4,7,6,7	130,138,137,158	5,2,7,4	133,120,146,158	248	212
51,47,52,58	130,138,137,158	53,58,56,58	133,120,146,158	240	212
51,47,52,58	4,7,6,7	53,58,56,58	5,2,7,4	240	248
53,43,55,61	155,137,148,169	59,55,59,59	114,138,165,116	240	248
297,280,268,325	211,198,219,239	282,202,275,240	167,188,208,169	403	248
108,91,94,84	54,45,42,38	84,85,96,84	40,39,42,47	239	215
15,17,27,26	145,178,156,141	22,12,11,23	163,96,148,161	161	247
15,7,18,9	22,25,24,25	15,8,8,14	21,25,31,18	295	295
72,75,79,67	124,156,138,127	71,68,60,62	146,119,155,146	225	262
38,22,32,27	33,23,23,36	35,42,35,31	38,43,55,49	211	264
41,24,33,29	26,28,22,24	34,43,35,32	36,37,32,40	211	241
0,0,0,4	2,15,5,12	1,0,0,0	4,10,9,4	173	200
0,0,0,4	3,3,3,7	1,0,0,0	0,7,1,3	173	203
319,295,301,319	175,202,162,191	221,210,192,243	159,149,128,153	327	238
38,33,50,52	173,202,162,190	34,34,27,35	159,145,125,153	327	238
6,0,3,3	361,395,350,399	4,3,5,1	290,283,265,281	286	327
5,7,7,12	242,262,287,227	14,5,11,18	251,185,212,275	329	306
31,40,38,50	361,407,451,377	46,46,44,48	384,318,306,428	329	306
0,0,0,0	76,94,85,100	0,0,0,1	122,98,88,98	208	329
0,0,2,0	9,10,3,7	6,0,3,0	7,9,7,2	208	207
67,42,69,74	72,63,58,56	75,59,69,70	60,65,57,65	285	242
14,13,13,16	11,17,13,14	17,5,7,27	27,18,14,30	203	222
46,21,52,31	99,78,99,81	43,27,41,31	95,97,96,102	266	275
46,21,52,31	102,108,106,118	43,27,41,31	141,114,117,120	266	294
55,67,58,54	55,76,82,66	49,49,43,33	95,68,75,69	299	329
29,16,30,19	18,11,32,19	47,23,17,22	32,28,16,21	358	227
