IncLevel1	IncLevel2	IncLevelDifference
NA,NA,0.0,1.0	NA,NA,0.0,NA	0.5
0.664,1.0,0.258,0.104	NA,NA,0.676,NA	-0.169
0.791,0.669,0.747,0.654	NA,NA,0.627,NA	0.088
0.656,0.584,0.579,0.491	NA,NA,0.646,0.0	0.255
0.911,0.739,0.737,1.0	NA,1.0,0.799,NA	-0.053
0.776,0.615,0.617,0.8	NA,1.0,0.707,NA	-0.151
0.922,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.019
1.0,1.0,1.0,1.0	0.844,1.0,0.851,1.0	0.076
0.19,0.118,0.093,0.124	0.114,0.132,0.065,0.235	-0.005
0.322,0.427,0.239,0.324	0.292,0.297,0.313,0.359	0.013
0.874,0.844,0.807,0.808	0.768,0.809,0.835,0.874	0.012
0.965,0.921,0.976,0.893	0.96,1.0,0.957,0.971	-0.033
0.938,0.966,0.955,0.876	1.0,0.87,0.876,0.94	0.012
0.828,0.896,0.682,0.861	1.0,0.87,1.0,0.891	-0.123
1.0,1.0,1.0,0.355	0.602,1.0,1.0,0.752	0.0
1.0,0.318,0.773,0.271	0.756,0.713,0.437,0.352	0.026
0.988,0.982,0.98,0.991	0.988,0.995,1.0,0.982	-0.006
0.991,0.993,1.0,1.0	0.991,1.0,1.0,0.973	0.005
0.991,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.002
1.0,0.957,0.959,0.969	0.973,0.964,0.936,0.911	0.025
0.246,0.307,0.186,0.2	0.255,0.218,0.201,0.235	0.007
0.29,0.194,0.163,0.159	0.157,0.191,0.275,0.251	-0.017
0.43,0.423,0.337,0.342	0.339,0.404,0.435,0.327	0.007
0.12,0.381,1.0,0.11	0.0,0.133,NA,1.0	0.025
0.919,0.959,0.945,0.864	1.0,0.944,0.926,0.938	-0.03
1.0,1.0,1.0,0.902	0.897,0.885,0.711,0.874	0.134
0.895,0.938,0.968,0.921	0.89,0.93,0.939,0.95	0.003
1.0,1.0,1.0,0.337	1.0,1.0,1.0,1.0	-0.166
NA,0.171,1.0,1.0	1.0,1.0,0.292,1.0	-0.099
0.389,0.426,0.299,0.322	0.351,0.361,0.374,0.345	0.001
0.481,0.433,0.338,0.408	0.404,0.386,0.366,0.47	0.008
0.719,0.767,0.702,0.758	0.753,0.746,0.755,0.708	-0.004
0.979,0.962,0.967,0.954	0.964,0.967,0.97,0.974	-0.003
0.134,0.162,0.118,0.122	0.151,0.142,0.133,0.139	-0.007
0.859,0.71,1.0,0.132	1.0,0.379,0.0,1.0	0.081
0.237,1.0,0.0,1.0	1.0,1.0,1.0,1.0	-0.441
0.869,0.904,0.891,0.937	0.942,0.895,0.881,0.88	0.001
0.976,0.954,1.0,0.951	0.955,1.0,0.937,0.977	0.003
1.0,1.0,1.0,1.0	0.982,0.979,1.0,1.0	0.01
0.489,0.522,0.428,0.435	0.458,0.457,0.484,0.453	0.006
0.375,1.0,1.0,1.0	NA,0.0,NA,NA	0.844
0.025,0.014,0.005,0.018	0.007,0.013,0.014,0.015	0.003
0.987,0.963,0.983,1.0	1.0,1.0,0.956,0.986	-0.002
0.804,0.948,0.749,0.766	0.917,0.804,0.917,0.968	-0.085
0.44,0.44,0.358,0.474	0.439,0.491,0.498,0.355	-0.018
0.205,0.268,0.185,0.22	0.225,0.226,0.116,0.161	0.037
0.322,0.273,0.297,0.337	0.435,0.41,0.395,0.371	-0.096
0.942,0.925,0.938,0.939	0.971,0.954,0.948,0.948	-0.019
0.787,0.805,0.823,0.834	0.83,0.8,0.816,0.805	-0.0
0.637,0.595,0.619,0.568	0.633,0.657,0.563,0.556	0.003
0.862,0.842,0.957,0.744	0.946,0.852,0.862,0.912	-0.042
0.715,0.687,0.817,0.663	0.729,0.849,0.768,0.82	-0.071
0.562,0.476,0.396,0.41	0.558,0.379,0.435,0.446	0.007
0.292,0.323,0.219,0.209	0.279,0.24,0.302,0.326	-0.026
0.522,0.532,0.438,0.352	0.545,0.446,0.557,0.457	-0.04
NA,1.0,0.142,1.0	NA,1.0,1.0,NA	-0.286
1.0,0.249,0.0,0.0	1.0,1.0,NA,0.0	-0.354
1.0,0.92,1.0,1.0	1.0,1.0,1.0,1.0	-0.02
0.83,0.679,0.41,0.497	0.56,0.629,0.66,0.413	0.038
0.303,0.328,0.274,0.271	0.285,0.261,0.203,0.352	0.019
0.807,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.048
0.601,1.0,1.0,0.0	0.53,1.0,0.273,1.0	-0.05
NA,NA,0.0,NA	NA,0.0,1.0,NA	-0.5
0.365,0.325,0.275,0.274	0.276,0.271,0.314,0.299	0.02
1.0,0.944,1.0,1.0	1.0,0.966,1.0,1.0	-0.006
0.869,0.892,0.902,0.826	0.787,0.95,0.856,0.769	0.032
0.44,0.545,0.379,0.418	0.454,0.504,0.48,0.368	-0.006
0.394,0.509,0.445,0.216	0.68,0.503,0.501,0.47	-0.147
0.376,0.453,0.381,0.474	0.324,0.42,0.427,0.411	0.025
0.772,0.787,0.752,0.577	0.629,0.698,0.66,0.62	0.07
1.0,1.0,1.0,1.0	1.0,1.0,0.229,1.0	0.193
0.82,0.844,0.719,0.666	0.804,0.803,0.763,0.78	-0.025
NA,1.0,NA,0.0	NA,NA,NA,1.0	-0.5
0.645,0.707,0.688,0.736	0.68,0.738,0.658,0.742	-0.011
0.937,1.0,0.929,0.856	0.797,0.792,0.887,0.89	0.089
0.961,0.794,0.863,0.815	0.717,0.863,1.0,0.807	0.011
0.325,0.283,0.179,0.249	0.501,0.355,0.057,0.231	-0.027
0.068,0.085,0.137,0.14	0.078,0.076,0.123,0.091	0.016
1.0,1.0,1.0,1.0	0.639,1.0,1.0,0.181	0.295
0.316,0.393,0.287,0.444	0.406,0.263,0.263,0.273	0.059
0.875,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.031
0.441,0.551,0.208,0.299	0.377,0.354,0.307,0.278	0.046
0.587,0.64,0.561,0.496	0.683,0.617,0.551,0.69	-0.064
0.127,0.124,0.097,0.12	0.104,0.067,0.104,0.081	0.028
0.919,0.885,0.922,0.92	0.885,0.9,0.898,0.891	0.018
0.888,0.89,0.906,0.916	0.9,1.0,0.898,1.0	-0.049
0.274,0.303,0.333,0.275	0.248,0.295,0.298,0.252	0.023
0.501,0.89,0.516,0.334	0.789,0.555,0.432,0.555	-0.022
0.398,0.421,0.415,0.456	0.441,0.417,0.497,0.448	-0.028
0.681,1.0,1.0,0.873	0.863,0.91,1.0,1.0	-0.055
0.637,0.296,0.536,0.292	0.645,0.86,0.849,0.715	-0.327
0.432,0.325,0.251,0.134	0.168,0.275,0.26,0.388	0.013
0.918,0.652,0.738,0.565	0.752,0.652,1.0,0.652	-0.046
0.271,0.225,0.177,0.134	0.141,0.088,0.129,0.217	0.058
0.91,0.874,0.918,0.94	0.897,0.945,0.95,0.95	-0.025
0.92,0.868,0.821,0.9	0.961,0.829,0.919,0.94	-0.035
0.416,0.341,0.263,0.302	0.378,0.323,0.355,0.273	-0.002
0.312,0.294,0.126,0.249	0.319,0.247,0.299,0.362	-0.061
0.844,0.922,0.729,0.87	0.879,0.714,0.698,0.876	0.05
0.718,0.891,0.576,0.692	0.941,0.872,0.839,0.739	-0.129
1.0,0.989,1.0,1.0	0.985,0.985,1.0,1.0	0.005
1.0,1.0,1.0,1.0	0.971,1.0,1.0,1.0	0.007
0.939,0.955,1.0,0.98	1.0,1.0,0.991,0.991	-0.027
0.961,0.97,0.962,0.974	0.959,0.959,0.953,0.966	0.008
0.775,0.734,0.695,0.761	0.839,0.709,0.888,0.714	-0.046
0.631,0.441,0.0,0.613	1.0,0.101,0.137,0.165	0.071
1.0,0.373,NA,NA	NA,NA,NA,1.0	-0.314
0.672,1.0,1.0,0.894	1.0,1.0,0.875,1.0	-0.077
