IncLevel1	IncLevel2	IncLevelDifference
NA,NA,0.0,1.0	NA,NA,0.0,NA	0.5
0.614,0.691,0.542,0.662	NA,NA,0.585,NA	0.042
0.079,0.0,0.043,0.0	NA,NA,0.086,NA	-0.055
0.662,NA,0.0,NA	NA,NA,0.246,NA	0.085
1.0,0.932,0.868,1.0	NA,NA,1.0,NA	-0.05
0.831,0.907,1.0,1.0	NA,NA,0.915,NA	0.019
0.137,0.23,0.251,0.122	NA,1.0,0.276,NA	-0.453
0.064,0.034,0.048,0.218	NA,NA,0.038,0.0	0.072
0.127,0.052,0.018,0.0	NA,NA,0.039,0.0	0.03
0.596,0.607,0.434,0.608	NA,NA,0.489,NA	0.072
0.71,0.642,0.495,0.583	0.662,0.688,0.696,0.627	-0.061
1.0,1.0,1.0,0.909	1.0,0.854,0.922,1.0	0.033
1.0,1.0,1.0,1.0	0.963,1.0,0.977,1.0	0.015
1.0,1.0,1.0,1.0	1.0,1.0,0.964,1.0	0.009
1.0,1.0,0.979,1.0	1.0,1.0,1.0,1.0	-0.005
1.0,1.0,0.898,1.0	1.0,1.0,1.0,1.0	-0.025
1.0,1.0,0.936,1.0	1.0,1.0,1.0,1.0	-0.016
1.0,1.0,1.0,1.0	1.0,0.88,1.0,1.0	0.03
0.835,0.898,0.946,0.869	0.875,0.696,0.925,0.677	0.094
0.199,0.286,0.261,0.236	0.249,0.217,0.251,0.239	0.007
0.06,0.049,0.061,0.08	0.044,0.047,0.085,0.106	-0.008
0.607,1.0,1.0,1.0	0.65,1.0,1.0,1.0	-0.011
1.0,0.857,0.86,0.923	0.962,0.969,0.908,0.872	-0.018
1.0,0.879,0.912,0.944	0.968,0.975,0.93,0.9	-0.01
1.0,0.965,1.0,0.965	0.952,0.895,1.0,1.0	0.021
0.053,0.039,0.035,0.0	0.05,0.057,0.0,0.0	0.005
0.032,0.0,0.0,0.0	0.0,0.0,0.0,0.0	0.008
0.949,0.975,0.988,0.962	0.975,0.99,1.0,0.981	-0.018
0.936,1.0,1.0,1.0	1.0,1.0,0.898,1.0	0.009
0.934,0.969,0.975,0.956	1.0,0.895,0.934,0.956	0.012
1.0,1.0,1.0,0.6	0.667,1.0,1.0,1.0	-0.017
0.027,0.006,0.005,0.01	0.014,0.0,0.009,0.012	0.003
0.908,0.754,0.822,0.915	0.728,0.77,0.682,0.926	0.073
0.0,0.662,1.0,0.0	0.0,1.0,0.0,0.0	0.165
0.824,0.889,1.0,0.877	0.817,1.0,0.543,0.472	0.19
1.0,0.803,1.0,1.0	1.0,0.864,1.0,1.0	-0.015
0.944,0.871,0.864,0.915	0.925,0.859,0.772,0.927	0.028
0.018,0.009,0.007,0.002	0.013,0.009,0.007,0.002	0.001
1.0,0.697,1.0,0.754	0.86,1.0,1.0,NA	-0.091
0.897,0.848,0.915,0.852	0.706,0.869,1.0,0.894	0.011
0.954,1.0,1.0,1.0	1.0,0.961,0.97,1.0	0.006
1.0,1.0,NA,1.0	NA,0.487,NA,NA	0.513
1.0,1.0,1.0,1.0	1.0,1.0,0.818,1.0	0.045
1.0,0.495,0.746,1.0	1.0,NA,1.0,1.0	-0.19
1.0,0.959,0.923,1.0	1.0,1.0,1.0,1.0	-0.029
0.971,1.0,0.857,1.0	0.867,1.0,1.0,0.933	0.007
0.869,0.792,0.88,0.878	0.867,0.888,0.903,0.892	-0.033
0.963,0.954,0.974,0.975	0.952,0.979,0.937,0.976	0.005
1.0,0.583,1.0,0.82	0.863,1.0,1.0,1.0	-0.115
0.318,0.155,0.372,0.377	0.208,0.155,0.051,0.231	0.144
0.368,0.259,0.875,1.0	0.677,0.456,0.167,0.677	0.131
0.202,0.151,0.17,0.211	0.216,0.106,0.135,0.091	0.046
1.0,1.0,1.0,0.991	1.0,1.0,1.0,1.0	-0.002
0.975,0.952,0.95,0.956	0.953,0.944,0.949,0.964	0.006
0.824,0.846,0.801,0.857	0.863,0.826,0.818,0.84	-0.005
0.534,0.592,0.515,0.597	0.628,0.533,0.539,0.579	-0.01
