ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
2	6,1,3,0	20,26,20,3	0,0,0,0	0,0,28,0	298	149	0.110757869943039	0.524576173392458
4	9,25,22,1	3,13,12,0	0,0,17,0	0,0,10,0	156	149	0.825321540596846	0.999202115572178
5	16,17,15,7	18,36,17,0	0,0,16,0	0,0,19,0	298	149	0.864273475985072	0.999202115572178
6	48,39,38,38	1,0,0,1	53,40,32,59	0,0,0,1	298	149	0.550139014266066	0.878085701778546
7	9,27,21,16	0,0,2,0	21,6,14,15	0,0,0,0	288	149	0.311598834256702	0.724612444383287
10	0,2,0,2	10,21,19,15	2,3,2,3	17,25,13,21	298	149	0.186739520120382	0.613291897658516
11	9,29,21,18	17,16,16,8	22,7,16,17	14,5,15,11	298	149	0.999202115572178	0.999202115572178
12	12,31,38,25	14,3,3,4	38,20,20,29	11,2,8,5	298	149	0.839078446694381	0.999202115572178
13	19,48,40,31	17,16,16,8	38,31,27,36	14,5,15,11	288	149	0.356313564457008	0.745467094050876
14	22,50,57,38	14,3,3,4	54,44,31,48	11,2,8,5	298	149	0.999202115572178	0.999202115572178
15	25,30,41,21	14,3,3,4	35,18,26,31	11,2,8,5	209	149	0.600501654977405	0.90979885402239
16	3,1,3,2	29,26,20,19	1,2,5,4	11,15,22,18	158	149	0.137474336640027	0.554627756275466
17	0,1,0,0	1,1,0,0	0,0,2,0	2,1,1,0	158	149	0.214138637781824	0.648453484119367
18	2,0,0,0	0,0,0,1	0,0,0,0	1,1,1,0	185	149	0.0609206406385056	0.441560284511379
25	37,37,39,27	0,0,0,0	37,32,59,48	0,1,4,2	202	149	0.000221732736757629	0.0983109732850771
26	209,183,175,209	2,4,2,1	141,164,132,155	2,2,5,2	298	149	0.288409080694331	0.710835567681291
27	8,21,19,9	1,0,0,0	16,7,13,21	0,3,2,1	298	149	0.120694250825526	0.531165256170528
28	22,16,20,20	3,2,0,2	13,10,10,8	0,3,6,4	298	149	0.141652862201606	0.55855536185657
29	0,0,1,0	1,1,1,0	1,0,1,0	3,1,0,0	249	149	0.999202115572178	0.999202115572178
30	19,19,17,17	2,0,0,1	24,13,14,20	0,0,3,0	298	149	0.477805410885523	0.832241664738496
31	33,38,29,23	1,0,0,0	33,27,22,30	0,0,0,1	224	149	0.926190808969399	0.999202115572178
32	19,16,16,16	10,1,4,6	25,14,21,25	1,2,6,3	298	149	0.0735772121871764	0.461042815780399
33	1,5,7,0	71,70,70,93	3,5,6,2	70,69,89,69	298	149	0.305701366686649	0.721655685293072
34	26,26,13,23	1,0,2,0	25,16,18,17	0,2,0,2	298	149	0.728596257114224	0.980679594832599
35	2,0,0,5	19,18,32,23	5,4,5,7	24,31,17,34	154	149	0.0263026277789307	0.36676736835872
36	0,0,0,0	0,2,0,0	0,2,0,1	0,0,0,0	158	149	0.0580203712760923	0.441560284511379
37	2,3,2,7	0,0,0,4	2,1,2,8	2,0,0,1	210	149	0.999202115572178	0.999202115572178
38	30,14,11,16	6,6,3,3	22,15,18,11	2,0,2,3	193	149	0.0430896931619466	0.419873131900937
39	33,27,38,37	79,78,75,99	54,50,34,44	103,105,60,118	158	149	0.271921599432946	0.700450183195236
40	25,36,48,20	0,0,1,0	20,31,42,36	0,0,0,2	176	149	0.999202115572178	0.999202115572178
41	0,3,2,8	0,0,0,1	2,0,1,0	0,0,0,0	298	149	0.997449502360972	0.999202115572178
42	0,2,2,10	0,0,4,0	2,0,1,0	0,1,1,2	298	149	0.0308015148255034	0.378519479580646
43	2,7,1,7	14,10,11,11	0,2,0,1	5,6,1,6	157	149	0.163400383602471	0.580901733391031
44	6,3,2,18	14,10,11,11	6,8,8,0	5,6,1,6	298	149	0.64501902323141	0.939000529773165
45	6,3,2,14	2,7,1,3	6,10,8,0	0,2,0,1	298	149	0.189185367545432	0.618071567268846
46	22,47,44,44	27,26,20,21	31,27,19,34	19,19,5,13	290	149	0.305333202682526	0.721547684078682
47	21,22,11,12	80,65,74,67	22,15,14,12	58,41,92,77	158	149	0.65281149231304	0.943131864642108
48	1,1,2,4	108,123,117,103	1,5,3,0	90,67,81,80	176	149	0.73563408123414	0.982419832402575
49	0,4,2,2	11,10,15,18	6,1,2,1	13,22,20,16	179	149	0.825047341272929	0.999202115572178
50	38,29,51,36	14,15,11,18	45,50,25,42	11,15,17,12	259	149	0.661815037885086	0.948450193085594
51	13,7,16,4	0,0,2,0	5,10,4,2	1,2,0,0	244	149	0.180570903520286	0.602546758270901
54	0,1,0,0	27,16,7,12	0,0,0,0	5,7,2,5	153	149	0.538852998349379	0.872040469340858
55	0,0,1,0	1,1,2,3	0,0,2,3	1,0,1,2	298	149	0.0793552066879832	0.472592601139078
57	173,162,141,136	114,96,82,85	123,134,149,111	106,71,93,105	201	149	0.25311219417975	0.684609370504
58	155,157,131,88	114,96,82,85	113,105,129,109	106,71,93,105	298	149	0.156941469264623	0.573337277806343
59	91,97,88,58	1,1,0,0	66,66,91,60	1,0,0,3	201	149	0.89075975335037	0.999202115572178
61	5,10,10,14	22,17,21,18	1,5,16,3	31,13,26,23	254	149	0.121214043849867	0.532560036102234
62	5,7,2,0	69,52,63,48	1,4,2,3	40,37,46,56	153	149	0.999202115572178	0.999202115572178
63	3,1,7,9	30,26,24,21	6,6,6,4	34,30,29,39	298	149	0.802227834272098	0.999202115572178
64	8,10,19,14	108,103,97,116	11,9,22,10	116,100,96,63	188	149	0.462857886040637	0.824424322234132
65	1,1,2,0	143,165,101,134	0,0,1,0	131,121,122,93	153	149	0.229751068398019	0.668187032092612
68	199,197,174,179	8,11,18,11	146,140,194,166	17,11,7,13	298	149	0.580428694096643	0.899472280917977
69	3,7,5,6	107,100,102,128	4,2,8,3	104,92,123,93	167	149	0.649293538083082	0.940954134539601
70	4,7,6,5	0,0,2,0	4,6,14,2	0,0,0,0	298	149	0.0696914600570689	0.454728768330875
71	14,3,9,8	60,55,70,45	13,2,4,5	48,50,43,37	155	149	0.779188672577876	0.999202115572178
72	69,77,89,73	14,10,15,18	82,56,47,62	12,13,8,17	161	149	0.660047802015169	0.94790130232956
74	78,70,73,61	1,4,0,3	67,74,72,92	2,2,4,5	194	149	0.299452020795112	0.719455614407301
75	0,1,0,0	5,4,9,3	1,0,0,0	15,4,7,4	184	149	0.873947324220095	0.999202115572178
77	8,5,4,4	6,1,9,14	2,2,4,3	4,6,7,8	167	149	0.305297881411963	0.721547684078682
78	1,0,2,4	27,32,35,37	0,0,3,3	28,28,27,24	298	149	0.999202115572178	0.999202115572178
85	2,7,0,4	0,1,0,0	2,3,6,5	0,0,0,0	298	149	0.320010159246941	0.72884439463134
86	0,0,2,0	13,14,18,20	0,0,0,1	13,7,5,12	298	149	0.803855854990743	0.999202115572178
87	5,1,3,0	17,28,30,21	1,0,0,1	18,27,5,12	298	149	0.382129583849859	0.762579458714568
88	18,15,19,20	17,28,30,21	14,7,5,12	18,27,5,12	159	149	0.533383008554445	0.868537599216805
89	10,9,2,10	1,1,5,0	9,9,9,10	0,1,2,1	170	149	0.999202115572178	0.999202115572178
