ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	13,19,15,6	42,61,55,14	0,0,11,0	0,0,34,0	197	279	0.636168312860086	0.9209931434599	0.305,0.306,0.279,0.378	NA,NA,0.314,NA	0.003
1	1,0,1,0	42,61,55,14	0,0,1,0	0,0,34,0	217	279	0.65664765247952	0.928583677021962	0.03,0.0,0.023,0.0	NA,NA,0.036,NA	-0.023
2	18,23,13,2	41,42,24,10	0,0,18,0	0,0,35,0	264	298	0.824971255465354	0.984961107102012	0.331,0.382,0.379,0.184	NA,NA,0.367,NA	-0.048
3	52,43,49,42	40,32,35,37	51,33,50,39	45,36,30,45	298	298	0.335793368761721	0.754893120588919	0.565,0.573,0.583,0.532	0.531,0.478,0.625,0.464	0.039
5	0,0,0,0	0,3,0,0	2,0,0,0	0,0,1,0	278	298	NA	NA	NA,0.0,NA,NA	1.0,NA,0.0,NA	-0.5
6	133,99,106,100	3,2,2,2	102,62,77,83	1,1,3,2	269	296	0.90845950390963	0.999202115572178	0.98,0.982,0.983,0.982	0.991,0.986,0.966,0.979	0.001
7	300,255,270,278	6,10,2,3	245,187,198,212	2,2,3,6	269	296	0.716419815245602	0.949702219342444	0.982,0.966,0.993,0.99	0.993,0.99,0.986,0.975	-0.003
8	192,186,183,183	1,4,1,3	133,141,131,115	0,2,3,0	217	217	0.592573510582069	0.896449992201779	0.995,0.979,0.995,0.984	1.0,0.986,0.978,1.0	-0.003
9	58,71,74,65	1,4,1,3	51,54,55,51	0,2,3,0	298	217	0.463264644466118	0.831960793500414	0.977,0.928,0.982,0.94	1.0,0.952,0.93,1.0	-0.014
11	1,0,0,1	108,108,111,84	0,0,4,0	72,104,98,113	254	298	0.999202115572178	0.999202115572178	0.011,0.0,0.0,0.014	0.0,0.0,0.046,0.0	-0.005
12	65,47,53,52	25,28,22,20	54,42,46,72	44,29,32,37	298	208	0.0134725850466739	0.314945529193069	0.645,0.54,0.627,0.645	0.461,0.503,0.501,0.576	0.104
13	2,1,3,2	22,15,12,17	2,1,0,1	20,18,10,18	298	298	0.19224761654433	0.644103666960539	0.083,0.062,0.2,0.105	0.091,0.053,0.0,0.053	0.063
14	6,0,0,1	22,15,12,17	4,3,1,2	20,18,10,18	298	298	0.154553916883283	0.596269328417502	0.214,0.0,0.0,0.056	0.167,0.143,0.091,0.1	-0.058
15	10,8,17,14	15,15,15,18	10,6,10,14	22,17,7,24	203	298	0.302970877679378	0.739241774869966	0.495,0.439,0.625,0.533	0.4,0.341,0.677,0.461	0.053
16	10,6,16,14	1,0,0,2	10,6,11,14	1,0,3,1	203	298	0.372592780890381	0.774077449120701	0.936,1.0,1.0,0.911	0.936,1.0,0.843,0.954	0.029
