IncLevel1	IncLevel2	IncLevelDifference
0.305,0.306,0.279,0.378	NA,NA,0.314,NA	0.003
0.03,0.0,0.023,0.0	NA,NA,0.036,NA	-0.023
0.331,0.382,0.379,0.184	NA,NA,0.367,NA	-0.048
0.565,0.573,0.583,0.532	0.531,0.478,0.625,0.464	0.039
NA,0.0,NA,NA	1.0,NA,0.0,NA	-0.5
0.98,0.982,0.983,0.982	0.991,0.986,0.966,0.979	0.001
0.982,0.966,0.993,0.99	0.993,0.99,0.986,0.975	-0.003
0.995,0.979,0.995,0.984	1.0,0.986,0.978,1.0	-0.003
0.977,0.928,0.982,0.94	1.0,0.952,0.93,1.0	-0.014
0.011,0.0,0.0,0.014	0.0,0.0,0.046,0.0	-0.005
0.645,0.54,0.627,0.645	0.461,0.503,0.501,0.576	0.104
0.083,0.062,0.2,0.105	0.091,0.053,0.0,0.053	0.063
0.214,0.0,0.0,0.056	0.167,0.143,0.091,0.1	-0.058
0.495,0.439,0.625,0.533	0.4,0.341,0.677,0.461	0.053
0.936,1.0,1.0,0.911	0.936,1.0,0.843,0.954	0.029
1.0,0.906,0.956,0.944	0.919,1.0,0.913,1.0	-0.006
0.0,0.345,0.704,0.471	0.0,0.0,0.543,0.337	0.16
1.0,NA,0.744,0.867	NA,1.0,0.884,1.0	-0.091
0.607,0.376,0.565,0.52	0.448,0.419,0.652,0.671	-0.031
0.913,1.0,0.92,0.947	1.0,1.0,1.0,1.0	-0.055
0.061,0.072,0.072,0.0	0.175,0.131,0.179,0.039	-0.08
0.108,0.0,0.054,0.066	0.106,0.13,0.032,0.029	-0.017
0.965,1.0,0.985,1.0	1.0,1.0,0.968,1.0	-0.005
0.905,0.891,0.732,0.793	0.37,0.873,0.781,0.925	0.093
0.908,0.978,0.945,0.976	0.917,0.898,0.925,0.892	0.044
0.349,0.255,0.477,0.334	0.45,0.33,0.338,0.343	-0.012
0.405,0.246,0.516,0.33	0.474,0.372,0.372,0.303	-0.006
1.0,NA,0.658,NA	1.0,1.0,NA,1.0	-0.171
0.499,0.271,0.388,0.5	0.315,0.353,0.29,0.517	0.046
1.0,1.0,1.0,0.861	1.0,1.0,1.0,1.0	-0.035
0.323,0.21,0.16,0.358	0.135,0.173,0.152,0.278	0.078
