IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
13,19,15,6	42,61,55,14	0,0,11,0	0,0,34,0	197	279
1,0,1,0	42,61,55,14	0,0,1,0	0,0,34,0	217	279
18,23,13,2	41,42,24,10	0,0,18,0	0,0,35,0	264	298
52,43,49,42	40,32,35,37	51,33,50,39	45,36,30,45	298	298
0,0,0,0	0,3,0,0	2,0,0,0	0,0,1,0	278	298
133,99,106,100	3,2,2,2	102,62,77,83	1,1,3,2	269	296
300,255,270,278	6,10,2,3	245,187,198,212	2,2,3,6	269	296
192,186,183,183	1,4,1,3	133,141,131,115	0,2,3,0	217	217
58,71,74,65	1,4,1,3	51,54,55,51	0,2,3,0	298	217
1,0,0,1	108,108,111,84	0,0,4,0	72,104,98,113	254	298
65,47,53,52	25,28,22,20	54,42,46,72	44,29,32,37	298	208
2,1,3,2	22,15,12,17	2,1,0,1	20,18,10,18	298	298
6,0,0,1	22,15,12,17	4,3,1,2	20,18,10,18	298	298
10,8,17,14	15,15,15,18	10,6,10,14	22,17,7,24	203	298
10,6,16,14	1,0,0,2	10,6,11,14	1,0,3,1	203	298
23,24,27,21	0,2,1,1	28,35,26,29	2,0,2,0	298	240
0,4,2,3	2,9,1,4	0,0,3,3	2,2,3,7	251	298
3,0,8,6	0,0,3,1	0,2,7,4	0,0,1,0	206	224
28,23,31,32	19,40,25,31	17,22,25,35	22,32,14,18	248	260
20,16,22,17	2,0,2,1	16,11,17,14	0,0,0,0	186	194
2,3,2,0	31,39,26,32	4,3,5,1	19,20,23,25	222	223
5,0,2,3	31,39,26,32	3,4,1,1	19,20,23,25	298	223
40,38,49,39	2,0,1,0	23,36,22,37	0,0,1,0	179	245
7,6,10,14	1,1,5,5	3,5,13,9	7,1,5,1	179	245
49,44,34,40	5,1,2,1	44,35,37,41	4,4,3,5	240	241
17,12,14,11	29,32,14,20	26,7,14,12	29,13,25,21	298	272
17,12,14,11	19,28,10,17	26,7,14,12	22,9,18,21	298	227
2,0,2,0	0,0,1,0	2,2,0,4	0,0,0,0	281	270
17,10,17,22	14,22,22,18	9,8,7,17	16,12,14,13	298	244
17,10,17,22	0,0,0,2	9,8,7,17	0,0,0,0	298	168
8,7,5,12	14,22,22,18	3,3,3,6	16,12,14,13	292	244
14,22,22,18	0,0,0,2	16,12,14,13	0,0,0,0	244	168
36,40,27,30	115,103,104,106	29,22,19,17	83,78,89,80	298	250
32,40,29,30	7,11,17,8	29,21,19,17	8,6,5,10	298	250
276,245,256,256	4,5,3,9	215,212,203,211	1,4,4,4	250	194
0,0,0,0	17,20,20,22	3,0,0,0	11,10,13,17	212	194
16,10,8,11	10,11,12,11	12,7,5,5	13,16,16,19	221	235
4,2,3,0	0,1,1,2	1,1,0,0	2,2,0,1	298	252
2,2,2,0	2,2,4,2	1,1,0,0	0,0,1,1	298	195
0,1,0,1	2,1,2,2	1,3,0,0	0,0,0,1	252	195
49,68,45,39	52,80,56,61	49,32,38,57	62,45,67,42	254	254
12,13,11,7	55,43,46,48	14,11,13,21	47,38,45,32	198	216
33,44,60,47	72,75,58,77	15,19,18,18	74,70,66,33	277	226
19,21,17,19	72,75,58,77	12,23,21,13	74,70,66,33	239	226
9,14,10,10	7,3,14,11	5,9,5,6	11,9,5,4	298	226
9,14,10,10	118,147,156,94	5,9,5,6	72,64,66,66	298	226
47,30,32,31	147,192,148,168	14,15,21,8	70,62,75,43	238	226
7,3,14,11	118,147,156,94	11,9,5,4	72,64,66,66	226	226
24,5,18,18	117,143,154,92	7,29,10,5	72,64,66,67	226	226
1,1,3,1	39,47,57,50	4,0,0,1	57,36,31,46	227	239
13,7,6,13	10,6,10,14	7,2,8,12	8,12,4,12	227	227
13,7,6,13	41,51,57,51	7,2,8,12	57,38,33,48	227	239
132,106,137,123	9,14,16,8	123,142,117,130	12,16,10,7	220	194
0,4,0,0	27,27,23,29	0,0,0,0	26,31,17,23	298	212
266,271,234,259	235,296,242,280	222,214,190,229	270,184,214,236	287	298
0,6,1,0	1,3,1,0	1,0,2,0	3,4,2,0	241	203
7,5,5,8	4,2,11,4	6,4,2,7	4,2,1,1	270	219
1,3,0,2	0,0,1,0	2,3,1,1	1,2,0,0	241	222
223,234,185,232	434,435,336,338	202,171,196,182	333,346,334,347	229	298
62,56,44,35	14,12,8,18	56,56,45,48	15,29,24,14	294	200
9,5,8,9	65,66,95,78	6,22,12,14	90,62,67,96	249	195
7,2,4,7	57,78,82,66	3,11,8,8	82,56,66,80	249	195
7,2,4,7	15,19,17,15	3,11,8,8	16,11,23,28	249	191
57,78,82,66	15,19,17,15	82,56,66,80	16,11,23,28	195	191
0,1,0,0	49,31,60,40	0,0,0,0	52,59,50,48	191	200
0,2,0,0	49,31,59,40	0,5,3,2	52,59,50,46	191	200
10,10,27,14	77,88,107,73	22,13,11,15	101,91,93,86	191	200
315,399,324,470	239,188,160,225	479,410,301,442	239,240,152,230	298	298
312,394,329,446	280,320,257,390	416,403,254,452	389,338,232,358	294	298
6,6,6,3	48,58,54,48	2,5,2,0	58,55,61,55	207	227
60,64,48,70	30,24,24,35	55,64,68,53	31,25,45,39	269	207
69,75,57,78	59,54,44,35	61,76,72,58	40,44,51,36	269	245
9,9,8,7	59,54,44,35	8,11,6,7	38,44,51,34	269	245
56,73,74,83	59,54,44,35	84,70,63,80	38,44,51,34	298	245
56,73,74,83	9,9,8,7	84,70,63,80	8,11,6,7	298	269
56,70,73,80	75,49,45,43	85,69,59,78	43,30,78,68	298	269
