ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	0,0,0,1	0,0,1,0	0,0,0,0	0,0,1,0	298	149	0.999202115572178	0.999202115572178	NA,NA,0.0,1.0	NA,NA,0.0,NA	0.5
3	19,15,2,1	4,0,6,2	0,0,7,0	0,0,2,0	298	149	0.0710589483285233	0.459724831592713	0.704,1.0,0.143,0.2	NA,NA,0.636,NA	-0.124
4	18,16,28,3	3,5,6,1	0,0,8,0	0,0,3,0	236	149	0.406481572454275	0.766602685167057	0.791,0.669,0.747,0.654	NA,NA,0.627,NA	0.088
5	203,200,157,18	56,64,57,11	0,0,199,0	0,0,54,1	298	149	0.16133550013877	0.597861069387846	0.644,0.61,0.579,0.45	NA,NA,0.648,0.0	0.247
6	58,86,73,9	3,13,12,0	0,2,88,0	0,0,10,0	298	149	0.329465939943252	0.735255194888	0.906,0.768,0.753,1.0	NA,1.0,0.815,NA	-0.051
7	62,85,73,9	9,23,21,1	0,2,90,0	0,0,17,0	298	149	0.169539740713036	0.604796051983506	0.775,0.649,0.635,0.818	NA,1.0,0.726,NA	-0.144
8	22,30,24,28	1,0,0,0	27,18,19,25	0,0,0,0	298	149	0.390750403140433	0.756634871535566	0.917,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.021
9	36,23,31,18	0,0,0,0	27,14,16,32	2,0,1,0	298	149	0.00958343315819687	0.307490574748422	1.0,1.0,1.0,1.0	0.871,1.0,0.889,1.0	0.06
10	23,13,11,7	38,47,42,28	9,9,6,22	41,37,38,28	298	149	0.652957635983442	0.924476516035906	0.232,0.121,0.116,0.111	0.099,0.108,0.073,0.282	0.004
22	5,12,12,13	8,11,16,13	12,22,13,7	14,18,11,16	298	149	0.817961625772413	0.999202115572178	0.238,0.353,0.273,0.333	0.3,0.379,0.371,0.179	-0.008
23	350,446,380,318	22,31,36,31	389,316,344,390	48,31,32,22	298	149	0.473619297767309	0.820567017678337	0.888,0.878,0.841,0.837	0.802,0.836,0.843,0.899	0.016
24	175,161,165,165	3,7,2,10	151,141,138,139	3,0,3,2	298	149	0.0614078996634021	0.443281387668878	0.967,0.92,0.976,0.892	0.962,1.0,0.958,0.972	-0.034
25	60,56,42,55	2,1,1,4	42,40,42,31	0,3,3,1	296	149	0.662624846771449	0.929016810486148	0.938,0.966,0.955,0.874	1.0,0.87,0.876,0.94	0.012
26	21,13,10,27	2,1,3,2	28,9,15,16	0,1,0,1	298	149	0.0503650477115747	0.437548767027829	0.84,0.867,0.625,0.871	1.0,0.818,1.0,0.889	-0.126
