IncLevel1	IncLevel2	IncLevelDifference
NA,NA,0.0,1.0	NA,NA,0.0,NA	0.5
0.704,1.0,0.143,0.2	NA,NA,0.636,NA	-0.124
0.791,0.669,0.747,0.654	NA,NA,0.627,NA	0.088
0.644,0.61,0.579,0.45	NA,NA,0.648,0.0	0.247
0.906,0.768,0.753,1.0	NA,1.0,0.815,NA	-0.051
0.775,0.649,0.635,0.818	NA,1.0,0.726,NA	-0.144
0.917,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.021
1.0,1.0,1.0,1.0	0.871,1.0,0.889,1.0	0.06
0.232,0.121,0.116,0.111	0.099,0.108,0.073,0.282	0.004
0.238,0.353,0.273,0.333	0.3,0.379,0.371,0.179	-0.008
0.888,0.878,0.841,0.837	0.802,0.836,0.843,0.899	0.016
0.967,0.92,0.976,0.892	0.962,1.0,0.958,0.972	-0.034
0.938,0.966,0.955,0.874	1.0,0.87,0.876,0.94	0.012
0.84,0.867,0.625,0.871	1.0,0.818,1.0,0.889	-0.126
1.0,1.0,1.0,0.385	0.556,1.0,1.0,0.8	0.007
1.0,0.429,0.75,0.231	0.778,0.778,0.333,0.467	0.014
0.988,0.982,0.98,0.991	0.988,0.995,1.0,0.982	-0.006
0.993,0.994,1.0,1.0	0.992,1.0,1.0,0.977	0.005
0.991,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.002
1.0,0.957,0.959,0.969	0.973,0.964,0.936,0.911	0.025
0.246,0.307,0.186,0.2	0.255,0.218,0.201,0.235	0.007
0.299,0.22,0.16,0.161	0.182,0.16,0.303,0.219	-0.006
0.307,0.361,0.237,0.23	0.248,0.365,0.378,0.289	-0.036
0.12,0.381,1.0,0.11	0.0,0.133,NA,1.0	0.025
0.928,0.965,0.956,0.868	1.0,0.947,0.934,0.952	-0.029
1.0,1.0,1.0,0.912	0.898,0.891,0.75,0.877	0.124
0.908,0.943,0.972,0.943	0.908,0.942,0.948,0.957	0.003
1.0,NA,1.0,0.2	1.0,1.0,NA,1.0	-0.267
NA,0.0,1.0,1.0	NA,1.0,0.5,1.0	-0.167
0.366,0.42,0.283,0.322	0.314,0.341,0.382,0.336	0.005
0.498,0.44,0.351,0.43	0.397,0.358,0.328,0.481	0.039
0.725,0.779,0.704,0.761	0.751,0.75,0.75,0.71	0.002
0.979,0.965,0.967,0.954	0.963,0.968,0.969,0.974	-0.002
0.133,0.166,0.119,0.123	0.151,0.147,0.136,0.144	-0.009
0.859,0.71,1.0,0.132	1.0,0.379,0.0,1.0	0.081
0.0,1.0,0.0,NA	1.0,1.0,NA,1.0	-0.667
0.869,0.904,0.891,0.936	0.942,0.895,0.881,0.879	0.001
0.978,0.955,1.0,0.952	0.955,1.0,0.938,0.978	0.004
1.0,1.0,1.0,1.0	0.98,0.98,1.0,1.0	0.01
0.489,0.522,0.428,0.435	0.458,0.457,0.484,0.453	0.006
0.375,1.0,1.0,1.0	NA,0.0,NA,NA	0.844
0.023,0.014,0.006,0.02	0.008,0.016,0.013,0.016	0.003
0.985,0.96,0.979,1.0	1.0,1.0,0.952,0.983	-0.003
0.846,0.962,0.774,0.808	0.933,0.789,0.938,0.974	-0.061
0.479,0.484,0.397,0.514	0.467,0.463,0.545,0.378	0.005
0.263,0.365,0.231,0.193	0.269,0.273,0.16,0.246	0.026
0.14,0.15,0.175,0.242	0.249,0.248,0.226,0.2	-0.054
0.942,0.925,0.938,0.939	0.971,0.954,0.948,0.948	-0.019
0.787,0.805,0.823,0.834	0.83,0.8,0.816,0.805	-0.0
0.636,0.595,0.619,0.568	0.633,0.655,0.563,0.556	0.003
0.868,0.868,0.967,0.769	0.952,0.854,0.868,0.923	-0.031
0.73,0.73,0.859,0.699	0.766,0.846,0.78,0.843	-0.054
0.557,0.476,0.415,0.394	0.586,0.406,0.409,0.452	-0.003
0.308,0.311,0.256,0.236	0.321,0.263,0.321,0.326	-0.03
0.573,0.571,0.502,0.429	0.534,0.48,0.579,0.477	0.001
NA,NA,0.2,1.0	NA,NA,1.0,NA	-0.4
1.0,0.25,0.0,0.0	1.0,1.0,NA,0.0	-0.354
1.0,0.909,1.0,1.0	1.0,1.0,1.0,1.0	-0.023
0.835,0.669,0.39,0.548	0.603,0.52,0.633,0.402	0.071
0.289,0.282,0.246,0.222	0.217,0.214,0.241,0.333	0.009
0.807,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.048
0.6,1.0,1.0,0.0	0.6,1.0,0.0,1.0	0.0
NA,NA,0.0,NA	NA,0.0,1.0,NA	-0.5
0.427,0.333,0.299,0.339	0.311,0.317,0.348,0.333	0.022
1.0,0.947,1.0,1.0	1.0,0.961,1.0,1.0	-0.003
0.921,0.933,0.949,0.905	0.886,0.973,0.913,0.876	0.015
0.443,0.542,0.375,0.409	0.449,0.5,0.455,0.362	0.001
0.462,0.471,0.429,0.143	0.692,0.486,0.44,0.517	-0.157
0.376,0.453,0.381,0.47	0.324,0.42,0.424,0.411	0.025
0.784,0.795,0.763,0.589	0.646,0.718,0.662,0.643	0.066
1.0,NA,NA,NA	1.0,NA,0.0,1.0	0.333
0.806,0.828,0.725,0.648	0.808,0.774,0.771,0.789	-0.034
NA,1.0,NA,0.0	NA,NA,NA,1.0	-0.5
0.672,0.727,0.717,0.721	0.714,0.765,0.692,0.776	-0.027
0.9,1.0,0.92,0.867	0.818,0.704,0.818,0.909	0.11
0.961,0.794,0.863,0.815	0.717,0.863,1.0,0.807	0.011
0.143,0.294,0.128,0.217	0.385,0.294,0.081,0.312	-0.073
0.053,0.069,0.128,0.134	0.072,0.062,0.094,0.076	0.02
1.0,1.0,1.0,1.0	0.5,1.0,1.0,0.2	0.325
0.395,0.5,0.305,0.44	0.412,0.214,0.244,0.327	0.111
0.882,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.029
0.443,0.434,0.209,0.28	0.358,0.308,0.29,0.226	0.046
0.561,0.661,0.6,0.442	0.676,0.611,0.59,0.677	-0.072
0.185,0.276,0.226,0.228	0.208,0.121,0.206,0.183	0.049
0.919,0.885,0.922,0.92	0.885,0.9,0.898,0.891	0.018
0.846,0.909,0.931,0.92	0.895,1.0,0.905,1.0	-0.048
0.226,0.305,0.359,0.2	0.235,0.256,0.273,0.242	0.021
0.529,0.897,0.529,0.37	0.842,0.654,0.5,0.545	-0.054
0.322,0.392,0.383,0.407	0.372,0.347,0.468,0.411	-0.024
0.684,1.0,1.0,0.778	0.867,0.818,1.0,1.0	-0.056
0.637,0.296,0.536,0.292	0.645,0.86,0.849,0.715	-0.327
0.444,0.355,0.277,0.128	0.188,0.302,0.211,0.379	0.031
0.923,0.684,0.75,0.556	0.778,0.684,1.0,0.647	-0.049
0.271,0.225,0.177,0.134	0.141,0.088,0.129,0.217	0.058
0.867,0.789,0.902,0.926	0.879,0.918,0.937,0.926	-0.044
0.925,0.889,0.854,0.917	0.963,0.85,0.928,0.952	-0.027
0.412,0.327,0.242,0.269	0.304,0.29,0.32,0.275	0.015
0.312,0.294,0.126,0.249	0.319,0.247,0.299,0.362	-0.061
0.844,0.922,0.729,0.87	0.879,0.714,0.698,0.876	0.05
0.718,0.891,0.576,0.692	0.941,0.872,0.839,0.739	-0.129
1.0,0.989,1.0,1.0	0.985,0.985,1.0,1.0	0.005
1.0,1.0,1.0,1.0	0.971,1.0,1.0,1.0	0.007
0.936,0.956,1.0,0.98	1.0,1.0,0.99,0.99	-0.027
0.961,0.97,0.962,0.974	0.959,0.959,0.953,0.966	0.008
0.777,0.734,0.684,0.751	0.807,0.708,0.875,0.679	-0.031
0.647,0.5,0.0,0.6	1.0,0.125,0.167,0.2	0.064
1.0,0.373,NA,NA	NA,NA,NA,1.0	-0.314
0.571,1.0,1.0,0.9	1.0,1.0,0.846,1.0	-0.094
NA,NA,0.0,NA	NA,NA,1.0,NA	-1.0
1.0,1.0,0.619,1.0	1.0,0.889,1.0,0.92	-0.048
NA,0.231,1.0,1.0	0.0,1.0,0.231,NA	0.333
NA,NA,0.333,NA	0.0,NA,NA,0.333	0.167
1.0,1.0,1.0,0.857	1.0,NA,1.0,1.0	-0.036
0.983,0.941,1.0,1.0	0.981,0.934,0.976,0.978	0.014
0.98,1.0,1.0,1.0	1.0,1.0,1.0,0.982	-0.001
0.375,0.412,0.167,0.6	0.214,0.4,0.6,0.571	-0.058
1.0,1.0,0.365,1.0	0.535,1.0,0.535,1.0	0.074
0.927,0.852,0.882,0.914	0.879,0.789,0.908,0.88	0.03
0.603,0.722,0.697,0.604	0.672,0.744,0.689,0.597	-0.019
1.0,1.0,0.852,1.0	0.895,1.0,1.0,0.909	0.012
1.0,0.943,0.908,1.0	1.0,1.0,1.0,0.893	-0.01
0.436,0.371,0.135,0.302	0.193,0.176,0.261,0.213	0.1
0.081,0.368,0.171,0.087	0.2,0.172,0.176,0.184	-0.006
0.966,0.986,0.983,0.964	0.922,0.98,0.959,0.985	0.013
0.856,0.863,0.882,0.835	0.917,0.937,1.0,0.94	-0.09
0.895,0.83,0.906,0.859	0.755,0.924,0.838,0.865	0.027
0.778,0.636,0.818,0.733	0.923,0.714,0.6,0.875	-0.037
0.875,0.538,0.9,0.6	0.923,0.789,0.75,0.875	-0.106
0.901,0.932,0.973,0.881	0.945,0.921,0.901,0.861	0.015
0.061,0.02,0.133,0.084	0.144,0.186,0.132,0.126	-0.072
0.955,0.98,0.967,0.978	0.927,0.971,0.907,0.917	0.039
1.0,0.667,1.0,1.0	1.0,1.0,1.0,1.0	-0.083
0.948,0.956,0.944,0.957	0.973,0.936,0.889,0.901	0.026
