IncLevel1	IncLevel2	IncLevelDifference
1.0,NA,NA,NA	NA,NA,0.378,0.0	0.811
NA,1.0,1.0,NA	0.0,NA,0.0,1.0	0.667
0.976,0.983,1.0,1.0	NA,NA,0.973,NA	0.017
1.0,1.0,1.0,1.0	NA,NA,0.971,NA	0.029
1.0,1.0,1.0,1.0	NA,NA,0.925,NA	0.075
0.0,0.0,0.047,0.0	NA,NA,0.0,NA	0.012
1.0,1.0,0.76,1.0	NA,NA,0.935,NA	0.005
0.978,0.959,1.0,1.0	NA,NA,0.962,NA	0.022
0.011,0.0,0.019,0.0	NA,NA,0.055,NA	-0.048
0.021,0.0,0.0,0.0	NA,NA,0.019,NA	-0.014
0.969,1.0,1.0,1.0	NA,NA,1.0,NA	-0.008
0.957,1.0,1.0,1.0	NA,NA,1.0,NA	-0.011
0.707,0.914,0.943,1.0	NA,NA,1.0,NA	-0.109
0.028,0.0,0.0,0.0	NA,NA,0.0,NA	0.007
0.593,0.541,0.433,0.296	NA,NA,0.55,NA	-0.084
1.0,0.959,1.0,1.0	NA,NA,1.0,NA	-0.01
1.0,1.0,1.0,1.0	NA,1.0,0.985,1.0	0.005
0.554,0.577,0.562,0.445	0.0,NA,0.512,1.0	0.03
0.024,0.106,0.119,0.032	NA,NA,0.119,NA	-0.049
0.045,0.13,0.154,0.06	NA,NA,0.14,NA	-0.043
1.0,0.963,0.987,1.0	NA,1.0,0.995,1.0	-0.011
0.952,1.0,1.0,1.0	NA,NA,0.959,NA	0.029
0.971,0.972,1.0,1.0	NA,NA,1.0,NA	-0.014
0.246,0.239,0.065,0.208	0.274,0.146,0.35,0.225	-0.059
0.83,0.772,0.619,1.0	0.65,0.706,0.866,0.559	0.11
0.766,1.0,NA,NA	0.723,NA,NA,NA	0.16
1.0,0.965,1.0,0.846	0.912,0.86,1.0,0.853	0.046
1.0,0.884,1.0,0.708	0.829,0.735,1.0,0.618	0.102
0.93,1.0,1.0,0.935	1.0,1.0,1.0,0.946	-0.02
0.975,1.0,1.0,0.97	1.0,1.0,1.0,0.973	-0.007
1.0,1.0,1.0,1.0	1.0,1.0,0.951,1.0	0.012
1.0,1.0,1.0,1.0	1.0,1.0,0.978,1.0	0.006
0.0,0.0,0.0,0.565	0.0,0.0,NA,0.0	0.141
0.0,0.022,0.054,0.0	0.034,0.052,0.0,0.037	-0.012
1.0,1.0,1.0,0.946	1.0,1.0,1.0,1.0	-0.014
1.0,1.0,1.0,0.969	1.0,1.0,1.0,1.0	-0.008
0.176,0.17,0.216,0.317	0.391,0.339,0.358,0.268	-0.119
1.0,1.0,1.0,0.955	1.0,1.0,1.0,1.0	-0.011
1.0,1.0,NA,NA	0.0,0.0,0.0,NA	1.0
NA,1.0,0.0,NA	NA,NA,1.0,NA	-0.5
NA,NA,0.0,NA	1.0,NA,NA,NA	-1.0
1.0,1.0,1.0,1.0	1.0,1.0,0.974,1.0	0.006
1.0,1.0,0.967,1.0	1.0,1.0,1.0,0.969	-0.0
1.0,1.0,1.0,1.0	1.0,0.93,0.924,1.0	0.036
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.831	0.042
1.0,1.0,0.953,1.0	0.911,1.0,0.957,0.963	0.03
1.0,1.0,1.0,0.356	NA,NA,0.356,1.0	0.161
0.34,0.254,0.244,0.278	0.289,0.235,0.247,0.251	0.024
0.965,0.894,1.0,0.976	0.986,0.984,0.982,0.937	-0.014
0.326,0.271,0.33,0.299	0.302,0.25,0.27,0.293	0.028
1.0,1.0,1.0,1.0	1.0,1.0,0.977,1.0	0.006
0.01,0.006,0.006,0.007	0.004,0.004,0.011,0.007	0.001
0.009,0.013,0.003,0.004	0.003,0.003,0.005,0.011	0.002
0.01,0.007,0.007,0.004	0.004,0.006,0.01,0.014	-0.002
1.0,1.0,1.0,1.0	1.0,0.997,1.0,1.0	0.001
1.0,1.0,0.996,1.0	1.0,1.0,1.0,0.998	-0.001
0.998,0.997,0.997,1.0	0.992,0.998,1.0,0.998	0.001
0.091,0.136,0.139,0.135	0.134,0.108,0.12,0.111	0.007
0.991,0.968,0.956,0.986	0.992,0.981,1.0,1.0	-0.018
1.0,1.0,1.0,1.0	1.0,0.978,0.98,0.979	0.016
0.089,0.355,1.0,0.507	0.0,0.256,0.673,NA	0.178
0.95,0.962,1.0,0.984	0.958,0.96,0.989,1.0	-0.003
0.806,0.877,1.0,0.942	0.864,0.871,0.965,1.0	-0.019
0.969,0.937,0.965,0.987	0.952,0.96,0.888,0.962	0.024
0.911,0.89,0.932,0.986	0.865,0.923,0.951,0.877	0.026
1.0,1.0,1.0,1.0	1.0,0.954,1.0,1.0	0.012
NA,0.6,1.0,1.0	1.0,1.0,1.0,1.0	-0.133
1.0,0.763,1.0,1.0	NA,1.0,1.0,1.0	-0.059
1.0,0.535,1.0,1.0	0.697,1.0,1.0,1.0	-0.04
0.995,1.0,1.0,0.995	1.0,1.0,0.995,1.0	-0.001
0.003,0.0,0.0,0.0	0.0,0.0,0.0,0.0	0.001
