Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
CONTROL_REP1_1	3.4	21192945	7171022	21192945	3178941750	5239273	3161941174	0.53478727630036
CONTROL_REP1_2	3.4	21192945	7321099	21192945	3178941750	21879114	3143469438	1.1158528463127706
CONTROL_REP2_1	3.4	21635559	7304983	21635559	3245333850	5755801	3228053845	0.5324569304325963
CONTROL_REP2_2	3.4	21635559	7463893	21635559	3245333850	22567341	3209486467	1.1045822912795242
CONTROL_REP3_1	3.4	21085053	7113312	21085053	3162757950	5252070	3146355032	0.5186270419460964
CONTROL_REP3_2	3.4	21085053	7293410	21085053	3162757950	20419815	3129428017	1.0538249694384612
CONTROL_REP4_1	3.4	19348588	6537964	19348588	2902288200	4992282	2886922253	0.529442492995699
CONTROL_REP4_2	3.4	19348588	6692948	19348588	2902288200	18319515	2872040912	1.0421876090734201
PREECLAMPSIA_REP1_1	3.4	20414332	6921921	20414332	3062149800	5514115	3042739352	0.6338830321103167
PREECLAMPSIA_REP1_2	3.4	20414332	7103750	20414332	3062149800	19155775	3027741722	1.123657568940618
PREECLAMPSIA_REP2_1	3.4	21356444	7237534	21356444	3203466600	5561809	3185719813	0.553986952759239
PREECLAMPSIA_REP2_2	3.4	21356444	7412143	21356444	3203466600	18143059	3171689937	0.9919461311068454
PREECLAMPSIA_REP3_1	3.4	20085967	6706688	20085967	3012895050	7356659	2994216697	0.6199470174044064
PREECLAMPSIA_REP3_2	3.4	20085967	6910574	20085967	3012895050	42161203	2957761564	1.829917241889989
PREECLAMPSIA_REP4_1	3.4	20695417	6881715	20695417	3104312550	6658878	3086021944	0.5891998858169097
PREECLAMPSIA_REP4_2	3.4	20695417	7071977	20695417	3104312550	36960401	3054047784	1.6191915340483354
