Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	Total Bases
CONTROL_REP1_1	CONTROL_REP1_1.gz	Conventional base calls	Sanger / Illumina 1.9	21192945.0	0.0	150.0	48.0	66.42872471957048	150.0	150	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass	3.1 Gbp
CONTROL_REP1_1_val_1	CONTROL_REP1_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21161098.0	0.0	20-150	48.0	66.39388859247181	148.65545767048573	150	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	
CONTROL_REP1_2	CONTROL_REP1_2.gz	Conventional base calls	Sanger / Illumina 1.9	21192945.0	0.0	150.0	48.0	71.34655425889798	150.0	150	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass	3.1 Gbp
CONTROL_REP1_2_val_2	CONTROL_REP1_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21161098.0	0.0	20-150	49.0	71.24965480427119	147.96713053358573	150	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass	
CONTROL_REP2_1	CONTROL_REP2_1.gz	Conventional base calls	Sanger / Illumina 1.9	21635559.0	0.0	150.0	48.0	66.53207212840209	150.0	150	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass	3.2 Gbp
CONTROL_REP2_1_val_1	CONTROL_REP2_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21609448.0	0.0	20-150	48.0	66.51543787507858	148.64274390535104	150	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	
CONTROL_REP2_2	CONTROL_REP2_2.gz	Conventional base calls	Sanger / Illumina 1.9	21635559.0	0.0	150.0	49.0	70.43617925277611	150.0	150	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	3.2 Gbp
CONTROL_REP2_2_val_2	CONTROL_REP2_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21609448.0	0.0	20-150	49.0	70.38948394591951	147.93999518173717	150	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	
CONTROL_REP3_1	CONTROL_REP3_1.gz	Conventional base calls	Sanger / Illumina 1.9	21085053.0	0.0	150.0	48.0	65.58496562881925	150.0	150	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass	3.1 Gbp
CONTROL_REP3_1_val_1	CONTROL_REP3_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21062833.0	0.0	20-150	48.0	65.5633961300346	148.6604783886384	150	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	
