Sample	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
CONTROL_REP1	0.004461421	2150492.0	41291011.0	100.0	99.95338694903838	0.20933854102046567	41291011.0	43441503	43441503	100.0	74.52947384866324	15771255	94.36	19967447.0							
CONTROL_REP1_1															0.53478727630036	33.57127528042952	48.0	150.0	150	10.0	21192945.0
CONTROL_REP1_1_val_1																33.60611140752819	48.0	148.65545767048573	150	10.0	21161098.0
CONTROL_REP1_2															1.1158528463127706	28.65344574110202	48.0	150.0	150	0.0	21192945.0
CONTROL_REP1_2_val_2																28.750345195728812	49.0	147.96713053358573	150	10.0	21161098.0
CONTROL_REP2	0.004436221	2148297.0	42264472.0	100.0	99.95923763107699	0.20962523795399596	42264472.0	44412769	44412769	100.0	75.01922770077236	16211241	94.7	20464007.0							
CONTROL_REP2_1															0.5324569304325963	33.46792787159791	48.0	150.0	150	10.0	21635559.0
CONTROL_REP2_1_val_1																33.484562124921425	48.0	148.64274390535104	150	10.0	21609448.0
CONTROL_REP2_2															1.1045822912795242	29.563820747223886	49.0	150.0	150	0.0	21635559.0
CONTROL_REP2_2_val_2																29.61051605408049	49.0	147.93999518173717	150	10.0	21609448.0
CONTROL_REP3	0.00419208	2069230.0	41281276.0	100.0	99.9628015374331	0.2083365833943699	41281276.0	43350506	43350506	100.0	75.33339413553722	15867347	94.93	19995243.0							
CONTROL_REP3_1															0.5186270419460964	34.41503437118075	48.0	150.0	150	10.0	21085053.0
CONTROL_REP3_1_val_1																34.436603869965396	48.0	148.6604783886384	150	10.0	21062833.0
CONTROL_REP3_2															1.0538249694384612	29.77094423767774	49.0	150.0	150	0.0	21085053.0
CONTROL_REP3_2_val_2																29.83918331950173	49.0	147.99338692947904	150	10.0	21062833.0
CONTROL_REP4	0.004153567	1897362.0	37922897.0	100.0	99.96397163434007	0.2137943206184907	37922897.0	39820259	39820259	100.0	74.5471463634708	14408711	95.09	18379701.0							
CONTROL_REP4_1															0.529442492995699	32.82929609348312	48.0	150.0	150	10.0	19348588.0
CONTROL_REP4_1_val_1																32.86119670981414	48.0	148.6487480029304	150	10.0	19328320.0
CONTROL_REP4_2															1.0421876090734201	28.476150518128478	49.0	150.0	150	0.0	19348588.0
CONTROL_REP4_2_val_2																28.533298189745324	49.0	148.01134164790318	150	10.0	19328320.0
PREECLAMPSIA_REP1	0.004094118	2001155.0	39842186.0	100.0	99.96589042579139	0.20393208344542138	39842186.0	41843341	41843341	100.0	73.24038935695614	14922150	94.7	19294361.0							
PREECLAMPSIA_REP1_1															0.6338830321103167	33.37819254003159	48.0	150.0	150	10.0	20414332.0
PREECLAMPSIA_REP1_1_val_1																33.35688750651737	48.0	148.60815759767655	150	10.0	20374209.0
PREECLAMPSIA_REP1_2															1.123657568940618	28.31868878566145	49.0	150.0	150	0.0	20414332.0
