Module	Section	Sample Name	Source
Samtools	stats	PREECLAMPSIA_REP1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/84/PREECLAMPSIA_REP1.stats
Samtools	stats	PREECLAMPSIA_REP4	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/90/PREECLAMPSIA_REP4.stats
Samtools	stats	CONTROL_REP1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/85/CONTROL_REP1.stats
Samtools	stats	PREECLAMPSIA_REP3	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/89/PREECLAMPSIA_REP3.stats
Samtools	stats	PREECLAMPSIA_REP2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/88/PREECLAMPSIA_REP2.stats
Samtools	stats	CONTROL_REP3	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/86/CONTROL_REP3.stats
Samtools	stats	CONTROL_REP4	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/83/CONTROL_REP4.stats
Samtools	stats	CONTROL_REP2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/87/CONTROL_REP2.stats
Samtools	flagstat	CONTROL_REP4	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/67/CONTROL_REP4.flagstat
Samtools	flagstat	PREECLAMPSIA_REP4	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/73/PREECLAMPSIA_REP4.flagstat
Samtools	flagstat	CONTROL_REP2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/72/CONTROL_REP2.flagstat
Samtools	flagstat	PREECLAMPSIA_REP3	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/74/PREECLAMPSIA_REP3.flagstat
Samtools	flagstat	PREECLAMPSIA_REP1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/68/PREECLAMPSIA_REP1.flagstat
Samtools	flagstat	PREECLAMPSIA_REP2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/71/PREECLAMPSIA_REP2.flagstat
Samtools	flagstat	CONTROL_REP3	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/69/CONTROL_REP3.flagstat
Samtools	flagstat	CONTROL_REP1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/70/CONTROL_REP1.flagstat
Samtools	idxstats	PREECLAMPSIA_REP4	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/82/PREECLAMPSIA_REP4.idxstats
Samtools	idxstats	PREECLAMPSIA_REP2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/80/PREECLAMPSIA_REP2.idxstats
Samtools	idxstats	PREECLAMPSIA_REP3	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/81/PREECLAMPSIA_REP3.idxstats
Samtools	idxstats	CONTROL_REP1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/79/CONTROL_REP1.idxstats
Samtools	idxstats	PREECLAMPSIA_REP1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/78/PREECLAMPSIA_REP1.idxstats
Samtools	idxstats	CONTROL_REP3	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/75/CONTROL_REP3.idxstats
Samtools	idxstats	CONTROL_REP4	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/77/CONTROL_REP4.idxstats
Samtools	idxstats	CONTROL_REP2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/76/CONTROL_REP2.idxstats
Salmon	all_sections	PREECLAMPSIA_REP3	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/66/PREECLAMPSIA_REP3/libParams/flenDist.txt
Salmon	all_sections	CONTROL_REP4	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/63/CONTROL_REP4/libParams/flenDist.txt
Salmon	all_sections	CONTROL_REP3	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/61/CONTROL_REP3/libParams/flenDist.txt
Salmon	all_sections	PREECLAMPSIA_REP1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/60/PREECLAMPSIA_REP1/libParams/flenDist.txt
Salmon	all_sections	PREECLAMPSIA_REP2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/64/PREECLAMPSIA_REP2/libParams/flenDist.txt
Salmon	all_sections	CONTROL_REP1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/59/CONTROL_REP1/libParams/flenDist.txt
Salmon	all_sections	PREECLAMPSIA_REP4	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/65/PREECLAMPSIA_REP4/libParams/flenDist.txt
Salmon	all_sections	CONTROL_REP2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/62/CONTROL_REP2/libParams/flenDist.txt
STAR	SummaryLog	CONTROL_REP2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/53/CONTROL_REP2.Log.final.out
STAR	SummaryLog	PREECLAMPSIA_REP1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/55/PREECLAMPSIA_REP1.Log.final.out
STAR	SummaryLog	PREECLAMPSIA_REP2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/56/PREECLAMPSIA_REP2.Log.final.out
STAR	SummaryLog	CONTROL_REP4	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/52/CONTROL_REP4.Log.final.out
STAR	SummaryLog	CONTROL_REP3	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/54/CONTROL_REP3.Log.final.out
STAR	SummaryLog	PREECLAMPSIA_REP4	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/57/PREECLAMPSIA_REP4.Log.final.out
STAR	SummaryLog	CONTROL_REP1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/51/CONTROL_REP1.Log.final.out
STAR	SummaryLog	PREECLAMPSIA_REP3	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/58/PREECLAMPSIA_REP3.Log.final.out
Cutadapt	all_sections	PREECLAMPSIA_REP1_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/28/PREECLAMPSIA_REP1_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	CONTROL_REP2_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/24/CONTROL_REP2_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	PREECLAMPSIA_REP1_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/27/PREECLAMPSIA_REP1_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	CONTROL_REP4_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/21/CONTROL_REP4_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	PREECLAMPSIA_REP4_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/31/PREECLAMPSIA_REP4_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	CONTROL_REP2_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/23/CONTROL_REP2_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	CONTROL_REP3_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/30/CONTROL_REP3_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	PREECLAMPSIA_REP3_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/33/PREECLAMPSIA_REP3_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	CONTROL_REP1_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/20/CONTROL_REP1_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	CONTROL_REP4_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/22/CONTROL_REP4_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	CONTROL_REP3_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/29/CONTROL_REP3_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	PREECLAMPSIA_REP3_2	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/34/PREECLAMPSIA_REP3_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	PREECLAMPSIA_REP2_1	/home/iweber/Documents/Backup_shared_folder/Pre-eclampsia_dataset_raw_and_processed/Pre_eclampsia_Nextflow_work_folder_rMATS/33/8c1d08fc42bbb41e712d2e3355ef02/25/PREECLAMPSIA_REP2_1.fastq.gz_trimming_report.txt
